username,comment,time,likes,reply_count
@MrBeast,"Like I said in the video, subscribe if you haven’t already and you could win $10,000!",3년 전,110만,
@KingjacobTMarte,67,1시간 전,2,
@Moviesxguru,❤❤❤❤,1시간 전,1,
@happyboys1124,anyone pressed “sort by popularity” and watching this?,7시간 전,2,
@babygangstarfff,Bahia plise help😢,8시간 전,2,
@hollyhuntington2913,6:20 67,9시간 전,1,
@NaeemAnime,ALOO KHAOGA,9시간 전,1,
@emilianoiturbide-id4oe,6:20  67,11시간 전,2,
@อนงค์เกิดแดง-ม7ฎ,SCP-067,12시간 전,1,
@Fr_rother3453,This project for a 25 min Video? That’s Crazy 😂,18시간 전,3,
@Bri_Reyes-l9d,¡!¡¡¡¡¡¡!Yo me suscribí!!!!!!!!!!,18시간 전,0,
@DEUSDEMILAGRESS,→ How many people are watching this at the same time? 😳,20시간 전,3,
@Mimii_playzz,The way he predicted 6 7 tree years ago,20시간 전,3,
@PSJDHAIRDITOR,Small YouTubers gather here let’s grow together ❤,20시간 전,1,
@حمودالمليكي-ج2ل,لقد كان مسلسل مرعب,22시간 전,1,
@gajanandsingh5494,@Singh_YT,23시간 전,0,
@CaycaysYT,"how much is $10,000 to pesos pesos is filipino money",23시간 전,1,
@CaycaysYT,i thougth its dalgona,23시간 전,0,
@CaycaysYT,is the cookie edible?,23시간 전,0,
@CarlosDaniel-u9e6j,Felipe neto escrevese,1일 전,0,
@shrek3578,shrek,3년 전,2.6만,
@streamingksivsalexwassabi4190,Who else loves Mrbeast?  👇,3년 전(수정됨),3.8만,
@smokeshot1542,Who Loves Mr Beast  👇,3년 전(수정됨),1.6만,
@foruv,lemme have it yo,3년 전(수정됨),2.1천,
@BlueFlameLP,This is insane! So excited for the future!,3년 전(수정됨),1.7천,
@cathylin6140,Hi,3년 전,1.3천,
@SadiyahM,Hi,3년 전,1천,
@BradenLondon,Hi,3년 전,870,
@Radithor88,Ok,3년 전,667,
@SmartySSB,Ok,3년 전,527,
@odub5720,PEOPLE WHO LOVE JIMMY 😀🥶 👇,3년 전(수정됨),1.3천,
@loicmatta,Hi,3년 전,417,
@thecommenter8988,Who else loves Mrbeast 👇,3년 전(수정됨),912,
@giglbilzerianu5502,Hehe,3년 전,375,
@Potato_pog,Hi,3년 전,289,
@splaty,Ye,3년 전,275,
@FTW_Hayz,Ok,3년 전,223,
@spookbug167,Ok,3년 전,210,
@BardownProd-ju5lo,Wow,3년 전,188,
@themastergerman9989,First,3년 전,190,
@-_-7074,OK,3년 전,162,
@DreamCream4461,Ywaaaaa,3년 전,146,
@windblow,Cool,3년 전,143,
@Fartass237,ok,3년 전,132,
@Flickz.,Ok,3년 전(수정됨),137,
@tiiiilley,ok,3년 전,120,
@ultragigachad7390,FIRST HI,3년 전,117,
@yankees.hub99,Hi,3년 전,109,
@thomaskennedy6833,Yes,3년 전,107,
@sharkbitpros9069,Ya,3년 전,107,
@GummyCyan,Omg,3년 전,94,
@pieczarapl3311,Lol,3년 전,85,
@yuraaahazem,Ok,3년 전,89,
@PropigBS,Hi,3년 전,89,
@mastereric1013,Lets go it’s finally out,3년 전(수정됨),83,
@forstevie2,Hello,3년 전,71,
@JaheemSoSaucy,Your the best bro,3년 전(수정됨),72,
