username,comment,time,likes,reply_count
@MrBeast,Feastables is available in every Walmart and Albertsons stores in America! (Coming globally later this year) Wuv u guys #FeastablesPartner,2년 전(수정됨),16만,
@k2a1r6t6a8,1美元根本做慈濟 都不夠付油錢的W,38분 전,0,
@ranjinelka2737,Karl's mom❤😘,2시간 전,0,
@likecraftgame_kz,"Мне кажется что за 10,000$ лучше чем за 25,000$",2시간 전,1,
@MstMomtaj-y4i,😮😮😮😮এটসব,2시간 전,2,
@ChandniGupt,5:33😂,2시간 전,0,
@SalehMoftah-r4b8f,❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤❤🎉,4시간 전,1,
@AnnaStacchini,Momento,5시간 전,0,
@FarhaSalam-o2s,Omgvg first time I saw a big plane ever,6시간 전,0,
@RebeccaTracey-c5u,This is a masterpiece.,7시간 전,0,
@mosamir-ic7xc,انا احب جداااااا  مستر بيست انه من افضل صناع المحتي علي السوشيال ميديا ❤❤❤❤🎉,12시간 전,3,
@FernandoMurilloPuga,A,14시간 전,0,
@FernandoMurilloPuga,G,14시간 전,0,
@FernandoMurilloPuga,E,14시간 전,0,
@FernandoMurilloPuga,L,14시간 전,0,
@FernandoMurilloPuga,A,14시간 전,0,
@Gazerfan321,WHERE IS NOLAN,16시간 전,0,
@RoniMahammmad,Sar kab moka milega,17시간 전,0,
@mahfuzareba3750,MaM,18시간 전,0,
@jakubziolo3867,Chciałbym kiedyś wziąść udział w czymś takim ale nawet nie znam angielskiego 😢 szkoda,21시간 전,0,
@beegyoshi3336,W,2년 전,1.5천,
@KEVIN-hl8os,Me siento pobre :(,2년 전,1.4천,
@shineygaming2092,Get it to India 😢,2년 전,925,
@Jxnskates,Just walked half a mile to Albertsons and they didn't know what a feastable was. help,2년 전,550,
@imrania1081,balls,2년 전,331,
@lebob5026,love u,2년 전,249,
@jerv9626,thanks bruh '-',2년 전,212,
@Sistersforlifeeeeeee,I want one so bad!,2년 전,203,
@Hey.little.guy1,hooray,2년 전,164,
@Talkative_Ducky,w,2년 전,144,
@Meir357,לפני דקה,2년 전,117,
@shevonfernando4217,Wuv,2년 전,110,
@t1me.,First,2년 전,99,
@sharpender07,j,2년 전,90,
@ابوجودالغالي-ن5ض,مستر بيس انا احبك كثيرا ❤ اريد ان اربح ايفون ارجوك ❤🎉 😢,2년 전,105,
@metabam2730,IM EARLY,2년 전,76,
@JAMESHOLLISGOLF,HEHEUHEEH,2년 전,71,
@Videosandmoremine,Hshshs,2년 전,64,
@potato_1924,hi,2년 전,59,
@Brantbe,W,2년 전,47,
@beok9176,hi beast,2년 전,55,
@ابوجودالغالي-ن5ض,مستر بيس ارجوك ان اربح ايفون,2년 전,52,
@masterchiefone5111,w,2년 전,42,
@YoutubeAddictionsツ,WHAT DO YOU MEAN GLOBBALY DO YOU MEAN NEW ZEALAND OMGOMG,2년 전,49,
@YKtopaz,ok,2년 전,43,
@KllEnder,Hi😂,2년 전,42,
@elastco,W,2년 전,36,
@Peace88-g7y,Wow,2년 전,36,
@drybebonez5625,w,2년 전,31,
@noobyjohn,2 mins ago,2년 전,28,
@RyanSoltani,@MrBeast yo Jimmy what was the outro song called,2년 전,33,
@rayyanthetechnicalgamer2775,W,2년 전,27,
@Jfndjdkdkj0828j,I life in Mexico and I am poor for go to United States😢😢😢,2년 전,27,
@estebanvallejorios3691,Hola,2년 전,26,
@rayyanthetechnicalgamer2775,W,2년 전,23,
@rayyanthetechnicalgamer2775,W,2년 전,20,
@rayyanthetechnicalgamer2775,W,2년 전,22,
@ampm92,Can I have a dollar? Or a couple quarters 😮,2년 전,19,
@rayyanthetechnicalgamer2775,W,2년 전,22,
@rayyanthetechnicalgamer2775,W,2년 전,17,
@rayyanthetechnicalgamer2775,W,2년 전,18,
@Jfndjdkdkj0828j,Hi 👋 😊,2년 전,14,
@rayyanthetechnicalgamer2775,W,2년 전,16,
@rayyanthetechnicalgamer2775,W,2년 전,18,
@Peace88-g7y,Wow,2년 전,16,
@rayyanthetechnicalgamer2775,W,2년 전,17,
@Watchthestars981,W mr.beast,2년 전,16,
@seadret3671,W les gooooo,2년 전,17,
@oaksplayzgames,HECK YAA,2년 전,18,
@rayyanthetechnicalgamer2775,W,2년 전,17,
@fmsapls294,russia?,2년 전,17,
@charlieneedshelp989,sick,2년 전,16,
@bebgamer2457,Ben aboneyim beni hiç çağırmıyorsun ki türk abanolerin önemli değil mi,2년 전,16,
@The_Delta_Realm,"Thank you, and I’m sorry twitter has to do you so dirty!",2년 전,17,
@jaihustle,Hindi dubbed aunavailable,2년 전,15,
@now_gaming,Lol,2년 전,11,
@skiwhom,love u,2년 전,11,
@cammyboi2802,Your feastables are my favorite chocolate I have 4 deez Nutz it my fridge,2년 전,13,
@lyserjimgameplay8732,Ang tagal ng upload mo boss,2년 전,8,
@ariqshaf9355,Thanks,2년 전,9,
@Videosandmoremine,Mizarbest,2년 전,10,
@jaihustle,@MrBeast Hindi dubbed unavailable please provide sir,2년 전,8,
@Videosandmoremine,Zar bewt,2년 전,6,
@Videosandmoremine,Tar best,2년 전,6,
@Desidancer6392,Muje bhi bolyo,2년 전,5,
@DidiarJEREMIASVELASQUEZVENTURA,soy español aow no ingles,2년 전,6,
@Desidancer6392,Muje bhi bolyo,2년 전,7,
@Desidancer6392,Muje bhi bolyo,2년 전,7,
@sagerandom400,Yay,2년 전,4,
@wooftamer532,:0,2년 전,6,
@Desidancer6392,Muje bhi bolyo,2년 전,4,
@pemulwuy7864,I can't wait for it to go global,2년 전,7,
@arvianvino1794,Makasih mrbeast  sudah bagi bagi ke orang miskin,2년 전,2,
@whateveryt0,Wov u to jimmy,2년 전,4,
@lloydthegreenninja5155,In Puerto Rico?,2년 전,3,
@FilasXmarka,😢WHEN WILL YOU COME TO TURKEY😢,2년 전,3,
@Jfndjdkdkj0828j,Mr beast you are the best YouTuber ever existed,2년 전,4,
@Tressant,That’s awesome!,2년 전,3,
@D1fr0n4ik, @rayyanthetechnicalgamer2775  W,2년 전,3,
@RenMps,Ok,2년 전,4,
@qasimahmed445,Common MrBeast W,2년 전,3,
@Names-80085,"Let's go, P.S I watch all your videos ❤",2년 전,2,
@Aggrocrow,Let's go,2년 전,3,
@TuRepublic,MrBeast Is KING !,2년 전,3,
@joeshiesty6933,"I love feastables, they are so good bro you don’t even know. Also why do you comment 5 hours after ur vid is posted",2년 전,2,
@eladitocarrion3860,Ven a dominican Repúblic,2년 전,4,
@erdenebaatar8089,This is why MrBeast is the best in the world.,2년 전,2,
@andresavalos6,"That's crazy. Once I see, I buy.",2년 전,1,
@samuelmoolman1674,We ned it in Australia!!!,2년 전,1,
@محمدمحمد-ف4ر8ك,لماذا انت مستيقذ لحد الان الوقت متخر,2년 전,1,
@maiaquinones6465,HOLA MISTERBIS❤,2년 전,1,
@sYphX50,Wuv u 2,2년 전,3,
@michaelcurley7002,Noice,2년 전,1,
@FewLeafs,W,2년 전,2,
@Vinspiration00,yes sir the DEEZNUTZ Bar taste really good,2년 전,4,
@Keshari_7,In india,2년 전,2,
@Andrew.Jr.05-26,"Lancaster, Pennsylvania - Locations Of Walmart",2년 전,3,
@Leo-gy4by,Lol DN chocolate,2년 전,2,
@gangadevi5238,But I don't have money😢,2년 전,3,
@cogito_ergo_sum_Im_am,MR BEAST,2년 전,1,
@gangadevi5238,But I don't have money,2년 전,1,
@abhayofficial121,Love u mr. Beast,2년 전,0,
@gekzvr3534,"Yo, I’m kind of early!",2년 전,1,
@1jx5h,Ok,2년 전,1,
@xzyro., @dshapiro21  what the,2년 전,1,
@마레티다,​ @PringleRing  ㅕ영,2년 전,2,
@nickolozano9491,yessir!,2년 전,1,
@Cherry-xq5rh,wow,2년 전,1,
@Im_Rascal,YES,2년 전,1,
@zen_wawtt,I can’t find them in Florida my guy :(,2년 전,1,
@ethabn4,Love you beast!,2년 전,3,
@Videosandmoremine,Lmao,2년 전,1,
@poprocks3273,W,2년 전,1,
@kenxo2650,W wanting it in argentina,2년 전,2,
@Nectrotic_god1,Omg,2년 전,1,
@trakidelatess7340,I love you,2년 전,1,
@KatieOgletree,You copy the stoke twins,2년 전,1,
@kenos1458,The Best in The world,2년 전,1,
@itz_tocairiz6750,Ok,2년 전,1,
@soundfx7059,ok,2년 전,1,
@ikerdahelgonzalez-victoria1172,Soy de mexico ms beast por favor puedo apareser en uno de sus videos me haria muy feliz,2년 전,1,
@chrisbaran,True,2년 전,1,
@mobilenpc-re8fq,hi                                                                                                bye,2년 전(수정됨),1,
@nonwolf5015,Luv u too,2년 전,1,
@zrxrl,Your are the king,2년 전,1,
@soundfx7059, @cokerant  noob,2년 전,1,
@MAGIC_JEFF,Please deliver to canada,2년 전,1,
@evathestickgirl4234,Y en latam 🤔,2년 전,2,
@kamilto112,I got your chocolate bar it taste good,2년 전(수정됨),2,
@Fusion.Phoenix,W,2년 전,2,
@Chicken_Nugget-o8r,I got a few,2년 전,2,
@uLuier,Quando chegar no brasil a gente conversa 👍,2년 전,2,
@Alex-zq2wv,"Hola mr.beast, espero te encuentres bien, me encantaria ir a Disney world, con mi primo, es un sueño de hace mucho, saludos desde Colombia ❤😊",2년 전,2,
@peaksh1t,Wuv you too,2년 전,1,
@elenicevalli2815,me escolhe,2년 전,1,
@ttttruffles,yay,2년 전,1,
@tyleraiken281,Ok,2년 전,0,
@uniquerobloxavatar,yo,2년 전,2,
@uniquerobloxavatar,the $1 looks fun,2년 전(수정됨),3,
@theofficialum,whats your o,2년 전,2,
@rezvine,cool im  bouta buy feastables in the walmart supercenter,2년 전,0,
@kevinisaaclopezorellana3978,Hola me beast soy tu fafaffafa,2년 전,0,
@uniquerobloxavatar,damn 🤓,2년 전,2,
@uniquerobloxavatar,but I'm from indonesia,2년 전,2,
@ajocleda,W,2년 전,0,
@Estelles_alt,W,2년 전,0,
@fazefatboi7516,Hi,2년 전,0,
@Videosandmoremine,Uwuw,2년 전,0,
@sintanuriyah1538,Aku nak ikut Boleh dak,2년 전,0,
@vanillabear1403,peanut butter jelly time,2년 전,0,
@BuenasTetas18,"Come to India Brother , you will get tons of love",2년 전,0,
@geraldjinx,I love you,2년 전,2,
@bilyalart,yesss,2년 전,1,
@BBcrafts.,Still wish you could’ve uploaded that commercial😂,2년 전,1,
@SatriaBajaHitam888,indonesia 🇮🇩🇮🇩🇮🇩,2년 전,2,
@DDOT574,Luv u too man,2년 전,1,
@xiaoch_n,W,2년 전,2,
@TheDemolisher,"Jimmy's boutta pass up T-Series eventually, and i am so excited",2년 전,0,
@Help-Rubikscubemaster029,W,2년 전,0,
@lagginglazer,Chocolate 😀,2년 전,1,
@cesarcantucesarcantu2220,Love you mr. Breasts😊😂,2년 전,0,
@summeryt9424,I luv u,2년 전,1,
@mohdshah5101,W,2년 전,1,
@zabrinagibbons3410,Hi Mr besssssssttt,2년 전,0,
@แก๋วววแว๋ววว,แต่ผมคนไทยนะ,2년 전,0,
@personwhoiscool7401,i love you mr beast you w man,2년 전,0,
@jafarbuskute3781,Is it in canadian Walmart?,2년 전,2,
@Pargatsingh-md8fi,Hlo sir  🤓,2년 전,0,
@darkxfl,W,2년 전,0,
@dresdemise,is it comming to taiwan anytime sooner? Im dying to try it.,2년 전,0,
@sv7150,239TH,2년 전,0,
@ronesdosreisfarias9300,W,2년 전,0,
@gamingon67,Op bro,2년 전,1,
@LittleDamsell,Yay,2년 전,0,
