username,comment,time,likes,reply_count
@Olympics,Want more Figure Skating from PyeongChang? Click Here: http://bit.ly/2FjDP1l,7년 전,1.2만,
@user-du8mo5fb3w,フィギュアスケートの申し子🥹✨ フィギュアの神様に最も愛された男。,13시간 전,7,
@すーさん-u3z,視聴回数4224万回超え★更新★ おめでとう🌟❇︎✨❇︎✨❇︎✨❇︎✨❇︎✨,23시간 전,9,
@夢弦-n8g,4224万回再生おめでとう😂🎉ございます♪いつまで経っても色褪せないプログラムです🎉,23시간 전,12,
@mikaelangels,❤나의영웅!! 존경 합니다😮😂,1일 전,12,
@すーさん-u3z,視聴回数4223万回超え★更新★ おめでとう🌟❇︎✨❇︎✨❇︎✨❇︎✨❇︎✨,1일 전,13,
@Batsh_77,A prince !,2일 전,19,
@すーさん-u3z,視聴回数4222万回超え★更新★ おめでとう！！！！！！！！！！！,2일 전,16,
@むさん-h5b,2025年から来ました これぞ五輪の名シーン,3일 전,30,
@すーさん-u3z,視聴回数4221万回超え★更新★ おめでとう！！！！！！！！！！！,3일 전,15,
@lefttoenail198,WHAT IS THE SQUARE ROOT OF 64???,3일 전,1,
@ThùyPhạm-z6t1t,It is so beautiful,3일 전,19,
@LuisEdgardoBlancoGómez,"Inigualable.... Quién sabe cuándo volverá otro igual. Parecidos, muchos..........",3일 전,17,
@右カレイ,ただただ美しい,4일 전,37,
@すーさん-u3z,視聴回数4220万回超え★更新★ おめでとう🌟❇︎✨❇︎✨❇︎✨❇︎✨❇︎✨,4일 전,19,
@a_0218,日本の誇り,4일 전,44,
@atrayeeroy5791,A legend made in front of our eyes...love from India 🇮🇳 😊❤❤❤❤,4일 전,32,
@AnhLe-gq9em,i can watch this all day,4일 전,34,
@Molly_molly12,Figure skating at its purest ！where flawless technique meets breathtaking artistry.,5일 전,40,
@marinaromero3749,2025 & still OMG,5일 전,34,
@moondim7,Gracias!! Thank you!! Arigato!!,7년 전,155,
@lm9637,Please also post Hanyu's magnificent SP. Please.,7년 전,190,
@idomyownbusinesswithgot7267,Olympic pls upload yuzuru's short program 🙇,7년 전,151,
@msycyn,Please upload Yuzuru Hanyu's SP that us available in the Philippines 🙏,7년 전,119,
@jesusa250408,Please post his sp also. Thanks,7년 전,88,
@Conrad1146,"Every Gold medal performance has a beautiful thumbnail, and there are so many beautiful cuts of yuzuru's performance, why the official just chose a picture which is dark and can't even see his face? And compare to other gold medal performance films, the volume and sound effects of Yuzuru's video is specially LOW and BAD. Yuzuru's performance was so extraordinary, I really hope the official can fix these problems. Give us a really Gold Medal Quality Performance Film, thank you very much.",7년 전,133,
@realnomnomie8919,up!,7년 전,20,
@dheu,Thank you so much for posting this!!  What a breathtaking performance!,7년 전,61,
@shamilyrise7184,Upload his sp and exhibition too😚,7년 전,62,
@Conrad1146,And I hope that the short program video won't have the same problem!!!,7년 전,47,
@lm9637,And yes please fix the audio of this video. Thank you.,7년 전,41,
@dis.9342,Embroidery on ice !,7년 전,38,
@dis.9342,Perfection !,7년 전,50,
@shenzhao1154,Olympic the pairs short program is out of order. And the pairs free skating has a big problem. In the middle of video there is the podium moments instead of the third group. Please control them. Thats important for me . I am a figure skating fan for 16 years and  I still couldn't watch olympic figure skating especially pairs. What a shame,7년 전,25,
@ayupus1216,Olympic will you upload the short program too? Bc that would be awesome,7년 전,25,
@MsSundis,Thanks for the upload and all the hard work,7년 전,33,
@rabbitz6227,can you put the short program up?,7년 전,29,
@Anthony-fo8yv,Upload Mirai Nagasu team event fs pleae,7년 전,10,
@idil4969,nathan please,7년 전,5,
@yuna012,And the others male skaters of the podium?,7년 전,7,
@Olympics,@xika012 - You can find them at the link above (in the description and the pinned comment),7년 전,26,
@yuooowo9006,please upload his masterpiece short program! T.T,7년 전,29,
@yuna012,Olympic Thank you so much!!,7년 전,22,
@dea228,Please upload his SP as well! YT is more conducive to spreading the gospel and I wanna share it while my friends aren't sick of me yet lol,7년 전,20,
@Olympics,+Shen Zhao - You are correct and thanks for pointing it out. This is important to us too and it has now been fixed. Enjoy!,7년 전,26,
@단편영화채널라아사과,Short program plz!!!! And the Gala,7년 전,20,
@Goononymous,Can you please upload Yuzuru's short programme too? His short programme broke the Olympics Record which he set 4 years ago! It deserves more attention and popularity in youtube too!!,7년 전,32,
@ayupus1216,"another thing, i hope you guys can upload the nbc version of the short program because the camera angle is infinitely better prays",7년 전,20,
@qiqisongs,Ayu Midorima-Takao You are right! His hand movements during the spins and his facial expression during the step sequences gave me chills!,7년 전,15,
@rayanrayan9787,Olympic what's the name for music please,7년 전,6,
@rayanrayan9787,Yuzuru is the best Das Name von music what's the name for music ?,7년 전,12,
@madinaelias6723,Oly,7년 전,5,
@岩本麻莉奈,Olymp,7년 전,3,
@岩本麻莉奈,Luna Moo,7년 전,3,
@juliosnetto,Olympic yes i want,7년 전,3,
@juliosnetto,YES i want!,7년 전,5,
@kazumiwatahiki2086,Olympic nk,7년 전,4,
@wanchun53,Thank you so much for the video!  Priceless!,7년 전,12,
@rexhernandez4759,Olympic jj,7년 전,4,
@じゅんししど,I like SEIMEI！,7년 전,14,
@suchan4410,Olympic いい,7년 전,4,
@jpmiwa4405,Where is Javi's performances?  Could you upload his SP and FP?  Thank you.,7년 전,5,
@annatzannes9383,Olympic short program yusuru hanyou,7년 전,9,
@อรสานาคทอง-ง9ท,Ok,6년 전,5,
@english_Alevel,love him,6년 전,12,
@akas224,go 7M!,5년 전,3,
@BenjaratPhuphong,Garcia!!!!!!!arigato gosemasu!!!!!!!!!!!!!,5년 전,8,
@chellemrvg7514,The full free skate?,5년 전,8,
@norunkai9546,Is that Yuri on ice ? if heard from this show,5년 전,5,
@GigiSleepy,WE.WANT.MORE. YUZURU,5년 전,11,
@noneya7880,What's this song?,5년 전,5,
@scheczalque876,Post more,5년 전,5,
@annieyoung3561,Love to see the whole long program It was the best Olympic male figure skate,5년 전,11,
@ayumihelmold5353,Insta: ayuu.gymnast,5년 전,2,
@멍구리-o1q,오글오글,5년 전,2,
@annieyoung3561,Love to see the whole long program,5년 전,7,
@annieyoung3561,Love to see the whole long program ☺️,5년 전,6,
@27590stella,Please upload Yuzu's gala from Sochi,5년 전,10,
@خضرعبدالصمد,فغوصهاغولهدجىق صهلقتفرصوهزكل اهز❤❤❤❤👍👍👍👍👍👍🖒🖒👫,5년 전,3,
@خضرعبدالصمد,٦ل ثخةففوغ صخةب,5년 전,2,
@خضرعبدالصمد,Rbwnifft gbwí,4년 전,2,
@Ayuk4Ever,"i want the instrumental for to use on buckle, thx",4년 전,3,
@خضرعبدالصمد,لا شمال,4년 전,2,
@خضرعبدالصمد, @jesusa250408  أرسل ةصنى😍😍😍😘😗😗😆😀😄😅😂,4년 전,2,
@خضرعبدالصمد, @Olympics  نىف٤الصومال,4년 전,2,
@خضرعبدالصمد, @rayanrayan9787  لا ثخىف فغزصحة,4년 전,2,
@anonlilly1699,there he goes my hackerboy,4년 전,2,
@خضرعبدالصمد,بغثوغ شخةفو٦ لف سخو😴غيعلق بغزسختف بعظضخت,4년 전,1,
@demi1mi,ないですありがとう,4년 전,1,
@varsharaviya6672,Me watching this after watching yuri on ice and whem he jumps. Me : that's tripel Axel jump🤣😂,4년 전,2,
@NaveDelAmor,Mesmerizing!  So respectful,4년 전,8,
@EdwardG23,Name of the song!?,4년 전,2,
@arturoalde1952, @moondim7  c,4년 전,2,
@snigdhaprakash2836,"Is there a full free skate version? With all skaters, like there is for the short program?",4년 전,2,
@pj_romanoffnikiforov4417,What's the name of this song,4년 전,2,
@sabrynaxia8596, @pj_romanoffnikiforov4417   Seimei,4년 전,3,
@blinklisa5977,gracias ! merci ! toda ! arigato gossaymos ! thanks !,4년 전,4,
@sansamman4619,You just know that his technique is incredible when you see his small muscles. The force those small muscles create is just unrealistic tbh,4년 전,6,
@libertymandaha0396,I want more of Yuzuru Hanyu just that please,4년 전,9,
@Itszoey92, @moondim7  ghoh,4년 전,2,
@angelasinclair574, @Olympics   I’m,4년 전,2,
@山田芳徳-t8x,Moonjer まゆ,4년 전,1,
@原田光子-e5k, @jesusa250408  …%^_^,4년 전,1,
@supestlang8733, @moondim7  ข,4년 전,1,
@SkzXclouxds,Olympics have you uploaded matilda karson horse riding program if not please upload,4년 전,1,
@alexanderng.5551,his instagram? plz,4년 전,1,
@Aaron-xk1nr,그는 정말 왕자처럼 보인다 😍😍,4년 전,9,
@АлишЭсанов,Узбек.пона.,4년 전,1,
@АлишЭсанов,Узбек кино кора    дуба,4년 전,1,
@susanatortul3667,👏👏👏👏💪🙏🌏🙏💕🇦🇷💐🐹🥇👏👏👏👏👏👏🇦🇷💕,4년 전,0,
@ruthcamarillo185,He’s amazing and so cute❤️,4년 전,11,
@rashnewi9486,Yes...,3년 전,2,
