username,comment,time,likes,reply_count
@dunk_and_drive,Curry en mode Jordan aujourd’hui 😮🔥,1개월 전,0,
@Fp05RD,5:29 😮😮😮😮😮,2개월 전,0,
@Fp05RD,1:08 😮,2개월 전,0,
@robertdelauro,unfortunately #9 is a double dribble for those who actually know ball.,4개월 전,0,
@roythomas8731,that pass at 3:36 was other worldly!,8개월 전,0,
@odigiefamousthomas4835,🥺❤️,1년 전,0,
@HektorManing,Who is here After Curry destroyed France at the 2024 olympics?😂,1년 전,0,
@houseofedits2423,I have a small sports edit channel I try to post daily but haven’t gotten the attention for my work please help me out all viewers are welcome and appreciated love you all ❤❤❤❤,1년 전,0,
@Profet-kx7vo,The NBA MLB NFL are fallen angels,1년 전,0,
@milkinher4931,He doesn't get enough credit for his ball handling,1년 전,2,
@robertbiar6207,🐐,1년 전,0,
@Funner_YouTube,Curry is 3 point shooter and good at utensils,1년 전,0,
@Yin362,❤❤,1년 전,0,
@RonnieJoeStudios,01-05-24,1년 전,1,
@hi_itz_siaa,at 35 still giving me a stellar performance -- it is beautiful to watch! #StephCurry,1년 전,0,
@paulixdiaaz,simplemente Stephen Curry,1년 전,0,
@linaoikonomou8049,😮😮😮😮😮😮😮😮😮😮😮😮😮😮❤❤❤❤❤❤❤❤❤❤😅😅😅😅😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉,2년 전,0,
@anasshahid224,"Steph Curry is a once in a generation athlete, simply phenomenal 👏👏👏👏🫡 💯",2년 전,0,
@qb335,Curry Is Unreal🤯😱🏀💦,2년 전,0,
@cristianorosa4498,Visionario e mágico,2년 전,0,
@RonnieJoeStudios,❤ 6/8/24,1년 전,0,
@vipergarrix8166,Stephen Curry,2년 전,0,
@bethtaylor9381,basketball,2년 전,0,
@bethtaylor9381,Yes😅,2년 전,1,
@CUTIE_PATOOTIE_2025,Celebrating a player that has influenced the game so negatively should be a crime.,2년 전,0,
@dekulaaegis,庫里欺負保羅，歐文欺負庫里,2년 전,0,
@cosmicactivity299,I like how you can see bro really has fun when he’s playing,2년 전,0,
@hoodietheentertainer884,Top 5 player of all time ESPECIALLY if he gets his 5th ring and passes lebron,2년 전,0,
@heaven88888,💖💖🇮🇳,2년 전,1,
@MrNBGofficial,Number 3 play is just,2년 전,0,
@byronbranch4645,I dont even watch baskeball but I know Steph Curry can make a shot from Jupiter,2년 전,1,
@reubenjameslumtao9418,agysgys  bjstysg,2년 전,0,
@aidanfox8219,"Curry is an amazing player, his athleticism is so perfect.",2년 전,0,
@falloudieng7439,NBA,2년 전,0,
@youtubbeisshit,He got a unique and unusual style however he's not better than Jordan was,2년 전,0,
@shelbyclancy3509,People Who Think Curry Is The Goat 👇,2년 전,4,
@RAGE343,They could make another top 30 for him now. Or at least put in some of the records he's gotten since,2년 전,0,
@gerhardjosef1941,"Curry is the real Deal, not Lebron",2년 전,0,
@SuperSaiyan-100,Steph Curry highlights are way better than Jordan highlights 🔥,2년 전,0,
@bolabasket2576,Keren 😃,2년 전,0,
@schwayzs5197,best player in the league!,2년 전,0,
@Ohnaaahhhhh,:),2년 전,0,
@emaanuelebo794,BRUH THE FIRST PLAY,2년 전,0,
@nickscheidt9986,Jesus loves you,2년 전,76,
@vogeras,Don't forget that there are 2 curry in nba,2년 전,1,
@papugamer8295,prometo romper todos los records que este hombre haga recuerden mi nombre TOBIAS TORRES,2년 전,0,
@jonathangodoy,The Greatest shooter the game has ever seen!!!,2년 전,1,
@Iloveslamdunk,日本人よ！ 来い！！！,2년 전,0,
@bengtiew9658,自己去啦！记得拿鸡拜给他WK处理，顾住21两个字！！！继续！要记得拿含难叫头的嘴继续吐口水，一个21吧生市区的LAW！！！！我ARMONI讲的话。,2년 전,0,
@valdagadsden2956,Curry is definitely great.,2년 전,0,
@amandabyrne6349,"What about when curry was dribbling, got pushed, did like a hook shot type thing from near midcourt and banked it in.",2년 전,0,
@juneribal7697,L,2년 전,0,
@Lacdog22,oh,2년 전,0,
@lowboonchai3594,Not have lady football .,2년 전,0,
@Lord_Kratos69,Stephen curry in public   Big men Curry in NBA a child,2년 전,2,
@davidnicoue9295,curry is like a lot of messi with some hint of ronaldinho,2년 전,1,
@manmaya3914,I am b.b god,2년 전,1,
@manmaya3914,I wanna met 2023,2년 전,0,
@manmaya3914,Mychalb Jordan mybidol,2년 전,0,
@lowboonchai3594,Tidy face & hair .,2년 전,0,
@lowboonchai3594,"Body tattoo act ,gangster group .",2년 전,0,
@Amir-gb1ns,Godbless u my brother ❤🙏🏾 keep spreading love ❤️,10개월 전,4,
@FloopIsnothegoat,Offtopic but amen,6개월 전,2,
@Ronaldinho70-j8k,LA İLAHE İLLALLAH,11일 전,0,
@lowboonchai3594,"Drink 2 liter mineral water every day ,clean blood .",2년 전,0,
@lowboonchai3594,"Sick wind & heart attack ,from  beef ,pork ,mutton & seafood ,eat some meat .",2년 전(수정됨),0,
@convex2172,The best thing is that its all about basics for curry. Master the basic dribbling skills and he is unstoppable.,3년 전,0,
@doroteotimtim8854,"Comparing shooting and handling skills comes with consistent practicing and experience.  Anyone can become proficient in whatever they want to be.   PRACTICE, PRACTICE, PRACTICE,...  UNTIL YOUR BODY ACHES, THEN YOU WILL HAVE ACCOMPLISHED YOUR GOAL OF YOUR BECOMING ONE OF THE KIND!JUST NEVER GIVE  UP!.....",3년 전,0,
@hulkmaskygaming8500,Curry🤩🤩,3년 전,0,
@banjooyewusi5646,supeu Samuel,3년 전,0,
@erngkmn,such as Alien,3년 전,0,
@LifeofLiammmm,Steph is amazing,3년 전,0,
@ablienjie452,He's not from this planet,3년 전,0,
@theloniouscoltrane3778,"Since 2015, Stephen Curry is  the Michael Jordan of his  generation! Steph is better than  K.Bryant, L. James, K. Durant, K. Irving.",3년 전,0,
@endrisula24,This man is special,3년 전,0,
@joeherbert3590,Barry sanders with a basketball,3년 전,0,
@a.10mortabit73,Franco tirador,3년 전,0,
@Beyond_Darkking,I love curry because he's undisputed the best at something. Noone can even say that even mj as best player.  9/10 people will say mj is better lebron. Even once LeBron is done and gets the most points ever.  Curry 99/100 people think he's the best shooter ever.,3년 전(수정됨),0,
@HappyWeAre-One,The best basketball player ever!🏀,3년 전,1,
