username,comment,time,likes,reply_count
@GwensDigitalWorld,"""I too might be surprised by history"" AND THE VIDEO CAME OUT IN 2019",1개월 전,0,
@SaltyMinorcan,Thank you,2개월 전,0,
@DreamersDisease88,Of my limited knowledge photography this is my favorite background story to a piece. I feel that it helps broaden the appeal of the photo and if it did not have the story we would not be watching this video about it.,7개월 전,1,
@docboy989,"I cannot thank you enough for this video! I have discovered that August and Ewald were in fact brothers of my great-grandfather. My mom told me that this Sander photography was always well known in our family, but after my grandparents passed away many years ago no one had any idea who these men were. So THANK you again1 Greetings from Germany. PS: Otto Krieger's descendants have a nice butcher's shop in neighbouring Bitzen (the village to the north of Dünebusch in 5:19).",8개월 전(수정됨),1,
@lesmuchmore5314,"""The future is as uncertain as an ever changing past...""",1년 전,0,
@nelliebly6616,🎉,1년 전,0,
@d.ag.b1135,I come back to this video at least once a year.,1년 전,1,
@cdcdogs4961,"Beautiful, so glad I stopped to watch. ❤",1년 전,1,
@detigerboy-376,"The expressions of the men are mentioned a few times but I was surprised by what was said about them. Those faces absolutely look like the faces of people who expect despair and horror ahead. There is no joy, no joviality. They look, quite frankly, resigned and depressed.",1년 전,0,
@horsedrawnfarmer6885,Excellent stuff. Thank you.,1년 전,1,
@guinottewise,Wow.,1년 전,0,
@noizephoto,incredibly analysis. thank you,1년 전,1,
@shivampatel8928,My favorite video on YouTube.,1년 전,1,
@troublewakingup,But how does this relate to tubeculosis?,2년 전,0,
@sebber7992,"These three young men could've been the protagonists of ""Three Comrades"" by Erich Maria Remarque. Your video was really touching.",2년 전,1,
@superbere,"You have such a touching way of talking about things. This made me cry, beautiful presentation of a sad part of history",2년 전,0,
@gigihanley9757,This photo reminds me of a similar one in which there had originally been a fourth young man between the first and second in this photo.,2년 전,0,
@pauloneill755,If he knew who they were he presumably knew they weren't farmers so why call it Young Farmers,2년 전,0,
@Todayyespresentno,"this is so annoying, stop making up the meaning",2년 전,0,
@midnightchannel111,Looks like Godfather to me...,3년 전,0,
@jessicaboyd3539,Imagine walking 45 and still wanting to dance. How starved for entertainment must those boys have been!,3년 전,0,
