username,comment,time,likes,reply_count
@heathergundry7059,Brillliant documentary and Thank You for it.,1년 전,2,
@mubique5905,🙂 M.,1년 전,1,
@MariaWaqa,🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,1년 전,0,
@Lomienmartins,I love this Rabi,1년 전,0,
@josepdawang-by9rh,The teaching of christ is love love one onother as i love u in chriist means love is mercyful  humbleness kind generous not selfesh,1년 전,2,
@josepdawang-by9rh,The teaching of christ is love love your enemy pray for them that curse thee,1년 전,2,
@99ramg,GOD  has given them ? The most unrealistic argument that make me laugh. Why is that the same God not allowing them to have it completely ? Are they saying that the God is so weak against power of other people   ? How is it possible? I believe God is all powerful.,1년 전(수정됨),0,
@jldbfernando,"Please dont fight , who are the parents of god. I wish  they can help us",1년 전,1,
@stankumbanad,This criminal Zakir like Mahathir  given sanctuary by Malaysia can talk without realising that HAMAS is  who started the violence each time  and then gets clobbered up .Every time .,1년 전,0,
@brigittecaron2081,I am an atheist...and I still in the name of commun sens   beleive that religion pioson everything....,1년 전,8,
@sjfitnessschon4237,"I loved the lady who is a nurse, she is so funny and just a beautiful women.",1년 전,1,
@jojodelima1953,No matter how one understand God.   No reason why we  have to make war with each other,1년 전,2,
@haseebahmed1915,Free Palestine 🇺🇸 🇵🇸,1년 전,8,
@miniemouseminiemaney3562,"Yeah because whole bible written about God's Love one another asi love you, love your neighbour and love your enemies..",1년 전,0,
@الاء721,Free palastine😍,4년 전,60,
@mohammadmohiuddin4518,Although DW efforts I Appreciate... well done,5년 전,3,
@afreenkhan1470,The Rabbi is actually American. 😱  Agree with the Christian priest that there needs to peace but with JUSTICE.,5년 전(수정됨),14,
@ghazialobaidi2218,U see the kid..!!! how sweet she is. She  destroyed muslim praying.....looooool,5년 전,10,
@vijgokondkar7628,"Faith matters,then there is life itself which is all important,and faith neutral.",5년 전,4,
@mohammadaminarmani3190,Ya Allah please save the peace and  nation between to the in Palestine and Israel peoples vs Jewish and Muslims brother sister hoods together to name of Humanity's =+× ÷ play learn make growth for better than our tomorrow futures life to alive moment focal point . long live Germany DW.COM The World Best Largest International News Fast Agency . ameen sUM AMEEN.,5년 전,9,
@MrMuhammadfayyazraja,"😍😍😍Hmm Great Love to Jerusalem, love to Judaism Christianity and Muslim and All Human Religions 😍😍😍😊 🙃😘 ..💞💞💞",5년 전,65,
@saudatdayyib3499,how many religious are in Jerusalem?,6년 전,1,
@luniisolar.,"4:16 6:28 the children are so cute,first one is a Muslim second one is an Orthodox Jew but I see no difference",6년 전(수정됨),303,
@ashleychojnicki2126,God bless all the families,6년 전,245,
@123jac,"ONLY ONE WAY TO HEAVEN, WHICH IS THROUGH JESUS, PERIOD.",6년 전,12,
@tatan4939,"We should stop forcing our religion to our kids. Teach them the basic kindness, values and idea of the creator then when they’re old enough, let them decide for themselves",6년 전,6,
@tatan4939,"We should stop forcing our religion to our kids. Teach them the basic kindness, values and idea of the creator then when they’re old enough, let them decide for themselves",6년 전,4,
@elinnagbpbaronmakiling4294,Love of Allah,6년 전,7,
@MusaMusa-vs8yg,I'm a God pleace forgive me,6년 전,0,
@beinghuman1804,I proud and blessed to be a Muslim and I respect all religion.,6년 전,70,
@DogSerious,Islam has no right to lay claim on Jerusalem.,6년 전,16,
@sokii1000,"There should be only one religion ""LOVE""",6년 전,6,
@worldwidemapping9314,4:52 what is the little girl doing :D,6년 전,97,
@the-prophet,King David was born in Palestine and also Jesus.,6년 전,5,
@elenadavila5636,"Jerusalem is mention 810 times in the Bible, 661 of the times in the Torah (the Jewish bible). Where do you think the name Jew comes from? Judea. Jerusalem belongs to Israel. It is the only democracy in the middle east where everyone can practice their religion or life style without being prosecuted.",6년 전,13,
@laniladera3129,"I don't think there's a problem with the different religions in a city or in a country.  Look at most of the countries, they are a fusion of different religions but they are happy together. Respect is the core of a happy relationship. Politics is what creates the problem since it's their desire to overrule the others.",6년 전,120,
@alihaider-nz8hs,An excellent documentary in this world... I love Abrahamic religions.... many many love for Jerusalem and a wish to visit this city in my life....,6년 전,5,
@jesusisjerryallahistom,"as known the so called guy god is one for all humans, so why are there so many religions and spiritualities? that god doesn't make sense.",6년 전,2,
@rooxanaramsing4895,"Beautiful video to watch, not that shows on facebook, always Israeli soldiers killing innocent Palestinians.",6년 전,1,
@paknerbatoknoy6101,"Christians, Muslims and Jews must love each other because we are all sons and daughters of Abraham.  We don't need to fight because the Most High God (Allah, The God of the Jews and the Holy Father of Jesus Christ) will not be pleased.  Love, love and love will unite us all. Politics, beliefs, and cultures will not hinder us from loving.",6년 전,34,
@ryanpassion5042,Be a good human being before being religious!   Humanity. My religion.,6년 전,9,
@thivan2000,"Jerusalem: 2 religions + 1 cult, 3 families. Life matters.",6년 전(수정됨),0,
@dwnews,"Due to the high volume of comments on this video, we are no longer publishing contributions. Thanks for watching DW English! - Your DW English Team",7년 전(수정됨),92,
@troops206,it should be important for jews and christians only,7년 전,6,
@nomokaleem6983,Juresalam is the capital of plestane.plz stay away from juresalam,7년 전,1,
@novekboleli7268,Long Live Israel..u re the one can protect all religions..not like your neighbors..,7년 전(수정됨),4,
@shaikk7260,That kid is sooo cute😍😍😍😍,7년 전,5,
@yahulwagoni4571,Death to Islamism. Death to Shariah. . Death to the Global Jihad.,7년 전,5,
@lilyday4556,Just CO-EXIST I have hope for the future of Palestine/Jerusallem,7년 전,6,
@rhymeakond7612,Jerusalem is Palestine capital. It's a holy place of Muslim.,7년 전,11,
@JohnSmith-df7og,We will see at the end of time which is the true religion then everyone will be sorry Islam is the religion combined with the other two and is the only truth amin,7년 전,7,
@Junaidulislam,let's give way to peace.,7년 전,15,
@saleemshaik6835,Similarities between Islam and Christianity   https://youtu.be/3c1tATNXuYE,7년 전,0,
@saleemshaik6835,Jesus(pbuh) never claimed that he is god   https://youtu.be/u3Z-XFq8F_w,7년 전,3,
@saleemshaik6835,"""Exalted is He who took His Servant ( Muhammad. pbuh) by night from al-Masjid al-Haram( Makkah) to al-Masjid al-Aqsa(Israel), whose surroundings We have blessed, to show him of Our signs. Indeed, He is the Hearing, the Seeing."" (QS. Al-Israa 17: Verse 1)  * Via Qur'an English http://quran-en.com",7년 전,2,
@jlin8681,Politics manipulating religious ppl to go against each other for resources.,7년 전,3,
@7ranxx527,☪☪☪☪☪☪🖤🖤🖤🖤☪☪☪☪☪☪🖤🖤🖤🖤☪,7년 전,6,
@Scofield8991,"As a Christian one thing I dislike is when documentaries of movies show crucifixes etc etc and claim that its christian,we don't bdlieve in that or statues,we believe in one God and no idols ,those are catholics....  Two very different faiths",7년 전,3,
@nsiinitu,Jerusalém is the capital of Israel not palestine,7년 전,12,
@silvamelin5896,Jesus Christ is King,7년 전,20,
@jewelmarkess,There are no natural resources in that area.,7년 전,0,
@dwnews,"The word Christian means follower of Christ. Of course there are differences among individual religions, but Catholics are Christians. \tp",7년 전,8,
@bilalshahnawaz1512,Godisnotfatherofhumanbeing,7년 전,1,
@sardarsaqibkhan4911,Jerusalem is the part of Palestine and no body can make the capital of terrorist country Israel and if they try to occupie then inshallah muslims  will wake up  and eliminate  the Israel from the world map.i don't know if muslims keep silence like Saudi Arabia I think they will pay in Qayama but the people of pakistan will never stop and inshallah help the Palestinian brothers.,7년 전,5,
@RUHappyATM,"I was expecting him to say, ""either he becomes Muslim or No"". Religious equality?",7년 전,2,
@cricketjohnston6983,":) did you  know ?,,, my olderr brothers and sisters the catholics are instructed by GODs peace shalom angle oldest of 7 churches of  Jesus christ  and even with or without your hate of the chur per mans tradition ...who faught with the other people to get israel to be?",7년 전,1,
@mysteriosbeing5337,JESUS IS THE BEST PERSON LIVED ON EARTH HIS SACRIFICE IS WAY BIGGER THAN ALL!! AMEN PRAISE GOD FOR HE HAD SEND HIS SON,7년 전(수정됨),21,
@basheerfaisel5435,im moslem in I love Jesus more in Christian do because i follow hes Commandments and listen exactly what he said because he said if you love me keep the old  Commandments and yes I am keeping the  Commandments worship one God not to associate anything with him in not to pray to God through someone and to do exactly what Jesus Does,7년 전,2,
@tahidurkhan5787,Proud to be an indian and also proud to be a Muslim,7년 전,9,
@malayalipoli7099,"Iam muslim all prophets are came from allah.(the lord of the univers) so i love  pft moosa, pft isa, and beloved  pft muhammad (sllhuslm)",7년 전,5,
