username,comment,time,likes,reply_count
@ReginaldCarter-w5w7m,Maga old but current,7일 전,1,
@Ittai2bzen,Take a look at many of the faces in this video. THESE are the men and women who  most likely died from COVID 19.,10일 전,1,
@rustconn,they couldn't buy a braincell at that rally wowww,2주 전,0,
@NadineBryant-u4q,I wonder how these people feel today in 2025,3주 전,2,
@JohnMckeown-e1m,EISENHOWER....I WISH,4주 전,1,
@rogerrude313,"I have to laugh to keep myself from crying, this is my second time watching it and it's disturbing how many people are just okay with this guy doing whatever he wants.  and people are all right with the family just taking over year after year getting into office that's a monarchy, for dictators do.",1개월 전,4,
@natelolz11,This all seems too comically perfect it feels like written scripts surely this wasn't real.,1개월 전,2,
@tazerwazerman,What happened to 'security' ? Guillermo should of tackled after the second slap. TOO FUNNY 🤣,1개월 전,1,
@tiffanymarie1692,Natural selection didn’t do its job on any of these people,1개월 전,1,
@dariusreyes797,38:17 I’d love to see if this guy is in those files,1개월 전,2,
@NadineBryant-u4q,These morons are sick in the head.,1개월 전,0,
@brownross88,RELEASE THE EBSTEN FILES,1개월 전,0,
@purpulehaze,It is insane how i can be watching this on 9-21-25 at 5AM and it still feels like today but with today not being on the news yet..,1개월 전,2,
@1ReaperDeath,13:30 😂😂,1개월 전,0,
@1ReaperDeath,6:31 😂😂😂 comedy and classic slap stick,1개월 전,0,
@JohnMckeown-e1m,Trump has great hair hahaha...it looks like he banged a squirrel to death then set it on his head,2개월 전,1,
@JohnMckeown-e1m,THESE PEOPLE SHOULD NOT BE ALLOWED To VOTE,2개월 전,1,
@JohnMckeown-e1m,I love it .....these people believe this stuff...where do they grow these people,2개월 전,1,
@Paul-m1c5j,It's all white people,2개월 전,4,
@Paul-m1c5j,Donald Trump is a racist,2개월 전,2,
@ericcarson342,You’re surprised? C’mon man.,2개월 전,2,
@LXIXTurner,“Cant make it to the top without breaking a few pieces of China” is one of the craziest things you could say to him😂😂😂,3개월 전,1,
@PpAirO5,"""Don't be a sheep.""  Aren't we said to all be Gods sheeps ?  Don't be a sheep. I agree.",3개월 전,3,
@Javidfarali1980,4 yrs later and this is still gold. It's so clear the education gap between the two groups.,3개월 전,1,
@Paroxid,"Watching this in July 2025 and honestly, it’s just disturbing. Would be fun to see how many of these people still support DJT when push comes to shove and they’ve lost everything etc. I honestly would never wish bad on people, but I kind of feel like saying THE WORLD TOLD YOU SO.",3개월 전,2,
@dutchnichols7233,"When she responds with a casual ""ok"" to Jordan's ""I'm just using your logic... against you.""😂😂😂I'm done😂😂😂😂",3개월 전,2,
