username,comment,time,likes,reply_count
@bestdressed,hello my lovely internet humans <3 :) here are chapter markers in case you'd like to skip around (but pls watch the whole video bc it's really good.. nonbiased opinion here) 0:17 - empty apartment tour 1:43 - thrifting for furniture 4:07 - bedroom makeover 12:14 - wallpapering the living room 14:07 - furnishing the living room 17:55 - PLANTS!  21:23 - diy macrame plant hanger 24:25 - kitchen makeover 27:59 - bathroom makeover 30:30 - final apartment tour!,5년 전(수정됨),1.4만,
@khaelila,Forever here,12일 전,0,
@tumiogunkoya1111,come back to ussss,3주 전,0,
@chelisss3,I love rewatching this video when I need to get moving and cleaning ☺️,1개월 전,3,
@rinseventeen203,2025 and still watching your old videos,2개월 전,1,
@NynNahh,"Wow, it's been almost 6 years. I suddenly remembered this video is a masterpiece and came to watch it again as I am renovating my bathroom. Hope you are living your best life, Ashley!  <3",2개월 전,1,
@Baobao69718,i miss her,2개월 전,0,
@dalanden,"love u, ashley!!! hope you're doing fine 🥹🤍",2개월 전,1,
@literallydepressed7508,It’s been half a decade and somehow I still miss you like a little sister noticing one less creak in the floorboards in the dead of night. It’s quiet without you. I miss you g.,2개월 전,2,
@ElliMauve,38:34 me trying to juggle my life 😂,3개월 전,1,
@Idkgongagahelp,The rewatchability of her videos is insane,3개월 전,18,
@shalakabajaj473,She was way ahead in video editing….,3개월 전,6,
@saviette1910,"Once a year, I return and re-watch all her videos. Miss you Ashley, hope you're living your best life girl <3",4개월 전,13,
@just-a-fangirl3333,Anyone here in 2025?❤,5개월 전,173,
@feorjeleein,love u ashley miss u so much!!!!,6개월 전,1,
@Onlocationtours,Aw this is so pretty!,6개월 전,1,
@aryadnegarduno8739,I come here from time to time when I feel sad. Our mom is living her dream life but god damn it I miss her so much 🥹,7개월 전,25,
@hello-fi4nc,help… i’m still at the restaurant,7개월 전,12,
@marcelinet3823,I always go back to this video - just for Ashley,7개월 전,2,
@melanietrontin3280,Be my comment up and never down,8개월 전,1,
@cristinasalmeron4490,so effortlessly aesthetic I CANT,5년 전,236,
@verenechen8386,You did a good job!!! Well done !!!,5년 전,96,
@verenechen8386,Your new apartment literally screamed self love and appreciation,5년 전,109,
@lorenaparedes4824,I was prepared to skip around but I watched all 41:35 minutes so I guess I’m just another sucker for room makeovers ✌🏻,5년 전,198,
@serrgggeo,Where did you go thrifting?,5년 전,25,
@murisanfamily,Loved this video and im new here. Love your personality,5년 전,24,
@livz2laugh,Buuuuut where did you thrift because these finds are everything.,5년 전,29,
@coolpopular4life,bestdressed what a Stunning tour! Loved every minute of it,5년 전,12,
@julka1274,You inspire me,5년 전,12,
@adambillen5164,Comment isn’t pinned!,5년 전,6,
@LaSophiaOfficial,@bestdressed hello! wich thrifting is that?!,5년 전,3,
@NoelLuna-000,"I love your videos! I really hope this home feels like home, you did an amazing job.",5년 전,3,
@bomubff,YOU’RE TRENDING BRO,5년 전(수정됨),8,
@kirke7150,wait did u mean to say “cut into 8 pieces that are about 10 FEET long” about the rope?😂,5년 전,2,
@bestdressed, @livz2laugh  i went to the council thrift store on fairfax and goodwill on beverly! overall council thrift stores in LA have some insanely good vintage/solid wood furniture,5년 전,176,
@michellebatkhuu145,#17 on trending. YOU GOO GURRLLL,5년 전,14,
@jenniekim-5155,this is trending in the us 😊,5년 전,10,
@MirandaPave,where are your hooks @ your entrance way from? they look like branches I love it. need. please lmk thanks !!,5년 전,5,
@dinahgraham4964,"You know if you put some olive oil and take a scrubber for dishes, that gets up the ceil on glass wrapping good. Just wet the bottle first then go to town.",5년 전,1,
@dalilaamezcua7979,What’s the name of the song @30:30 love it !,5년 전,2,
@Milena-ss6jh,I've watched the different bits scattered over two whole days to get the most out of it. Imagine endless bestdressed content for 2 days... Best christmas gift ever. 😍,5년 전,3,
@Hainguyen87,Feel like it's missing something. Have you ever thought of buying a German shepherd? It's great for petting. Loving on when you feel alone. And makes a great security system.,5년 전,2,
@bianca3340,I’ll watch EVERYTHING !! I absolutely love your videos and aspire to have such an aesthetic like yours one day I wish you good luck in NYC 🥰🥰,5년 전,1,
@InesAxusAmmarkhodja,"i haven't even finished watching the video yet i am fkg amazed, girl you are SOMETHING",5년 전,1,
@georgia3966,@bestdressed How tall are you? By the way I love you so much😘,5년 전,2,
@loganthompson2882,i love you but the baseboard is not crown molding❤️ crown molding is meant for the top of walls to draw the eyes up. and baseboards are meant to make the room look cleaner and more put together.,5년 전,2,
@alananana5873,bestdressed there is not a youtuber like you on the whole freeking internet! You are so amazing and quirky and I aspire to be as confident and stylish as you! ❤️ Thank you so much for making these awesome videos 💕So glad I can be apart of the Sugar Daddy Clan 🥰 Love you Ashley!,5년 전,4,
@inquisitvem6723,where do you get that paper to cover your kitchen counter? i have a regular matte kitchen counter and would like to paste a contact paper to make it look like marble.,5년 전,0,
@inquisitvem6723,im having a hard time removing caulk from my kitchen cabinet edges. any ideas?,5년 전,0,
@jasonreviews,ALONE FOREVER.,5년 전,1,
@eatyouroranges6902,Congrats on Trending!!,5년 전,0,
@jiawei4779,I'm seriously miss you Ashley 😢,5년 전,0,
@Jess-rl7sf,wait is this the apartment you’re moving out of??,5년 전,0,
@lynewall9917, @MirandaPave  ជាច្រើនបានមកដល់សព្វថ្ងៃ,5년 전,0,
@cellphoneglitz14,Is your landlord going to leave it the way you decorated? It looks so much better after!,5년 전,1,
@sakhidahale,wait. wya? and did you move? why did you put in so much effort of you were moving. i’m confused. love you tho🥳,5년 전,0,
@rosebud0391,should have added 05:33 - a condom wrapper,5년 전,4,
@janina1347,The only person I could watch almost an hour long video from and not get bored once. Keep up the good work <3,5년 전,2,
@growwithlala," @murisanfamily  you have to watch her other vidsss ahahha you'll learn something, get inspired plus entertained",5년 전,2,
@sweetmucharella,Ahhhhh Ate Ashleeeeey you never fail to amaze us by just talking there and you are just literally an aesthetic humble humaaaan who gives free life advices and tricks CONGRATS ON TRENDIIING❣️,5년 전,3,
@b53328,I’ve somehow managed to watch this entire video three times now. I’m kinda sorta obsessed with apartment makeovers plus your taste in decor is exactly like mine!,5년 전,3,
@therealdynasmith,So this is in New York!?,5년 전,0,
@iputthemuffinsinthefreezer8423,bestdressed thanks for the spider warning because I’m an arachnophobic,5년 전,0,
@sweetmucharella,Let’s Try -N -See w Dyna B she said it’s in LA,5년 전,0,
@ohf6,Please upload more videos! 💓,5년 전,1,
@penoloperickets2562,i love ur accent where u from????,5년 전,0,
@flangie238,"I have no idea how this video popped up but I liked it, 2 suggestions you can get the foggy stickers for your bottom window squares for privacy, make a long wooden box with foam pillow for your dream seat by window.  Also I had your fridge problem so I moved fridge to end of bench, like (to the right of the hanging pots)  in fridge space you can do anything... bins shelves for more storage, cute vibe going on LOVE THE CHAIRS",5년 전,0,
@luciel2428,bestdressed its so pretty! omg 🥺🥺🥺,5년 전,0,
@cantfindleroy,definitely nonbiased yeah totally,5년 전,0,
@rhaelaettner9641,WHY DIDNT YOU MAKE THE SORRY GIRLS COME NOT THAT ITS NOT AMAZING THE WAY YOU DID IT BUT THAT WOULD AHVE BEEN FUN,5년 전,0,
@Digitalhunny,"I'm an Interior Decorator & a Mother. Both of these parts of me are screaming: ""Please anchor that floor length mirror!!"" It's by a door & can be extremely dangerous if it falls. How do you anchor a floor length mirror that leans?? By screwing picture wire to the back of the mirror's frame & than screws into the wall like you did for the other heavy mirror. This just ensures that it stays put. The wire is large enough to still get that leaning on the wall look. Please ask me directly & I'll walk you through it if necessary. Remember the First rule of Design is: ""Form follows function"". This means use & safety, before looks & style!! What the point of beautiful if it KILLS you?? Stay safe & happy 🤗🥂 ps. you can 100% switch the refrigerator & freezer doors to open the opposite way!! All new fridges do it & yours is new. Here is one example: https://www.youtube.com/watch?v=RZCEG9PQlLo",5년 전(수정됨),2,
@sakhidahale,amazing,5년 전,0,
@sakhidahale,https://youtu.be/B6Lj_9892Ak my first video 🦋🦋🦋🦋,5년 전(수정됨),0,
@preetigrg123,bestdressed hi where did you get the book shelf from that in your office? Thanks,5년 전,0,
@mgalv0309, @Milena-ss6jh  literally The Best Christmas Present!,5년 전,0,
@joelywolf4210,"Sorry that this is almost completely unrelated to the actual apartment (lovely video btw, I wish you enjoyed la enough to get to enjoy your apartment) but anyway I say that perfume in your entryway and I would just like to put it out there that I love the daisy mark Jacob perfume as well, and I can see how your would enjoy the aesthetic of the design of the bottles lol. Wow that was one sentence.",5년 전,0,
@kimberlywealthmeonadamagna1065,I read comments while watching videos most of the time but you video made me watch it till the end before I read the comments ❤️,5년 전,0,
@rebeccag8407,bestdressed 12:19 was soooo fucking relatable thank you from the bottom of my heart omfg 🙏 🤣🤣,5년 전,2,
@vivian9319,How about a new makeover? Check out the latest styles for 2020.  https://www.samdmones.com/,5년 전,0,
@closedforlove,Will you take the furniture with you to New York? 😊,5년 전,0,
@diamonddblackify,OMG WHICH GOODWILL DID YOU GO TO!? I NEEEEEEEED TO KNOOOW,5년 전,0,
@orangejuice775,U beautiful queen,5년 전,0,
@corbintheposer6128,Nah imma watch the whole video,5년 전,0,
@_absurdity_3178,"i have a question, how did you make the hue light bulb work? i have the exact same one but it works like a regular bulb and i can't use the app to change it. if you see this, do you have any advice?",5년 전,0,
@lineisdumb6556,I’ve literally re-watched this video three times😂  I’m weird🤷🏻‍♀️😂,5년 전,0,
@chenluonly,"quick question, which thrift store did you go for your $1 desk?...",5년 전,0,
@helloimweird27,bestdressed como se llama el marcador por favor,5년 전,0,
@ashalia.suharno,PLANT SECTION WAS MY FAVE 😍😍,5년 전,0,
@momojjang1642,Imma stan,5년 전,0,
@shadleemeinkeboudoir,"@bestdressed you are so damn cute! Your cadence, everything about you is freaking adorable- I love this channel!",5년 전,0,
@tchmsery6055,Did she say how much she pays for rent in the vid? Can anyone answer if u know cuz im planning to rent a place like this too,5년 전,0,
@itsmeerighthere_,"This is the 3rd times i rewatch this, nonbiased opinion",5년 전,0,
@simplesmentero7744,Love you place! 🥰👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼❤️❤️❤️❤️❤️,5년 전,0,
@bingusbongus1776,You should get a butcher knife,5년 전,0,
@AnnaannaJ,Found this video and watched the whole 41:35 length and still so happily watching! Love all your creativity and welcome to NYC! Can't wait to see more of your videos in NYC and hopefully we can get out soon safely!,5년 전,0,
@Abby-wt7dd,where do i find those vintage arm chairs??,5년 전,0,
@bear8cupcakes,"first video I've watched of yours, and most definitely my new fav youtuber! love your humour and the apartment looks bomb btw",5년 전,0,
@crausosmaykailakazandra8340,did you thrift your sewing machine?????,5년 전,0,
@inaanggia5677,Love u!!   PS: no worries im straight but still loving u :*,5년 전,1,
@emiliaquinones326,"Lmfao it took months, a brake up, an ear infection and some more months to finish an APARTMENT!!",5년 전,0,
@adnanfazal1499,I love your attitude towards life.,5년 전,0,
@adnanfazal1499,I love your personality and your aesthetic sense.,5년 전,0,
@marliyngriffith446,Qq,5년 전,0,
@michiebutterfly7785,Lorena Paredes Yuppers!l,5년 전,0,
@michiebutterfly7785,serrgggeo dead people! Remember! Lol!🤣,5년 전,0,
@kasiakrahulic4769,uùuùùuuuuuùýyyyyyyyýyyyùuuùùuuùuùuùuyuùuùùuuùùuuùuùuùuùuuuuuùùùuuuuùuùuuùuùùuuuùuuuuuuuuuùuùuuùuuuuuuuùuuuùuuuùuuuuuùuuùuuùuyùùuuùuuuùuuùuuuuuuuuùuuùuuuùuuuuùùuù7uuùuuuù 565is and I don't think,5년 전,0,
@jjm2682,You are so beautiful😩😩😩,5년 전,0,
@12345andy-t,"8jo, 0",5년 전,0,
@pixiesanchez9195,I remember cleaning my living room and this massive spider literally massive spider came out of no where so I hoovered it up 😂 I normally would get a cup or something and slide paper underneath but this thing was fucking massive so not a hope was I going near it haha,5년 전,0,
@randomperson3594,"""Maybe 2020 will be your year"" Me: 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Me: No 😐",5년 전,0,
@mchentaiwaifu1277,bestdressed it's more aesthetic than the word aesthetic describes,5년 전,0,
@sum7999,Watch the whole video cause she worked hard for the editing,5년 전,0,
@mchentaiwaifu1277,Summer kaye Manalo I watched already^^,5년 전,0,
@alysononoahu,"Nooooo, you're moving",5년 전,0,
@alysononoahu,Brilliant,5년 전,0,
@amandapain6714,Pppp,4년 전,0,
@erinprice4082,"Hey @bestdressed, have you figured out yet that you can change the swing of your fridge door? It's super easy!",4년 전,0,
@REVAMPED-b2j,I’ve prob seen the WHOLE video like 5 times now and kinda on a record....... ❤️,4년 전,0,
@kldottie6524,Who else is trying to grow their channel during quarantine? Let’s help one another. Much love <3,4년 전,0,
@radhikamettu8849,Pls check my channel LiveLoveLern with me Arya,4년 전,1,
@brendavarga2387,"Ashley, u need to turn the refrigerator around to be on the back wall.",4년 전,0,
@an_an0691,Hi friends I wanna show U my mantra HAPPINESS FRECUENCY 🤍✨🌷 You can see this W O N D E R F U L L meditation music developing your Work! Thanks 🌹,4년 전,0,
@melissasmith2957,Boris Johnson has suggested that people who test negative for Covid could get 'freedom passes' to live their lives as normal. Will you carry yours?,4년 전,0,
@becky5937,"Thank you for this, i did skip around but I will be back to watch in full because you had me smiling and laughing the while time.",4년 전,0,
@jacquelinereed1669,.,4년 전,0,
@jwkoreatv,This is amazing!!!!!! Please come to watch my Korean apartment makeover video too❤️,4년 전,0,
