username,comment,time,likes,reply_count
@throwoutable,0:41,3일 전(수정됨),0,
@AuralArms,How do people fall for this shit? 😂,5일 전,1,
@updownstate,Garrison Keillor: The Church of Perpetual Responsibility.,6일 전,0,
@talivato,"I used to be sympathetic to the poor saps giving money to these grifters. We're in 2025 now, and I say, give the scammers your money if you want, you poor, sad, pathetic losers.",10일 전,0,
@jamiekay133,"Jesus Christ, if he existed, would be fuming at Televangelism. It would be the total opposite of how he would have wanted his teachings spread, and how he would have wanted would be Christians to convert.",10일 전,0,
@imvincentmorales7110,LOVE HOW HE EXPOSES RELIGION💯💯💯💯💯,13일 전,0,
@mikekirimi8277,Saying your fucking cancer ...is diabolical...,13일 전,0,
@KoBo33451,"I'm actually amazed that, of all the videos on this channel, this is the most popular one.   Not upset by it, just intrigued.",13일 전,1,
@onelove154,"Just like every vile fake psychic, televangelists are exactly the same, except they use the Bible to extract money from gullible, vulnerable, good natured people. It's sad to see them fall for this crap time and time again.",2주 전,0,
@josephquaranto2432,"Where is Jesus in this? If the answer is nowhere,leave.",2주 전,0,
@seejayszolc8415,"These snake oil salesmen have been around for thousands of years and there are always people willing to rely on emotion rather than their minds.  Our politicians use the same predatory practices: lie, promise, loudly repeat select messages they know their followers want to hear, and ask for money to support what they tell followers they must believe.       Fake Christian ""evangelists"" prey on the foolish just as politicians do.  Shame on anyone for supporting these people.  It is difficult to find compassion for the foolish, particularly when they refuse to listen to reason.",2주 전,1,
@LKim-h8h,Tilton is still on the air on some stations.,2주 전,0,
@LanetteKardokus,Copeland the demon,2주 전,0,
@LanetteKardokus,there is nothing wrong with midgets -your god made them that way,2주 전,1,
@AllsalonsKenya,This was hilarious to watch. You are the best John😆😆😆,2주 전,0,
@KCUndergroundNavyIII,"Each person on the planet IS their own seed! If we care for ourselves well, then we will flourish with sturdy roots and an abundance of fruits. I believe the “seed” gospel applies to people NOT fiat currency! Give yourself some grace (kindness) and flourish with your own personal growth in spiritual fulfillment.",2주 전,0,
@LINDACOOK-i5r,"Their ""holy war"" is on its way. Soon,",3주 전,0,
@LINDACOOK-i5r,Stephen  Miller is on their pay role.,3주 전,0,
@JeanneBlack-i4s,Their arrogance & unChristian attitude includes Joel Osteen who refused shelter for people from hurricane Harvey.  That was truly a WWJD moment  & he failed miserably!  As i'm sure others  of the persuasion have also failed.  Not to mention they seem to be having a glut of  child abusers found out.,3주 전,0,
@fattydog,"I still have lupus, damn.",3주 전,1,
@veronicalaster625,"As long as there is a hungry person on earth, these ministries do not need private planes.  Shame on them.",3주 전,0,
@hardtobefirst,How can he live with himself by making those stupid and disgraceful and false comments about diseases? Does he love that money so much? I guess he must. Otherwise I can't imagine anyone would behave like that! Why is there no law against making these kinds of promises as there is in every other area of commerce which this clearly is.,3주 전,1,
@jerrycallender9352,"Mama used to take me to Billy Graham's 'CRUSADE' - what an evil name - held in a tent in a cow pasture off Norfolk's E Princess Anne Road. With the advent of television, Billy called on us to put our hands on the television screen so he could send us 'healing' thru the air.",3주 전,0,
@jerrycallender9352,"LUVin' this - reminds me of the vile PAT ROBERTSON responding to a '700 Club' caller who said,  ""I'm 82 and my husband's caregiver and with the price of everything going I'm having trouble keeping up with my tithe.  What should I do?"" Without missing a beat, His Evilness said, ""Look around your house.  Perhaps you have some heirlooms you could sell.   Look thru your husband's garage - there might be some tools you could sell, or you could GET A JOB! but DO NOT stop sending god his money.""",3주 전,0,
@saramoore5608,"I hope they continue with this, bring those fuckers down.",3주 전,2,
@Ragehead101,Still today? Oh fuck...,3주 전,0,
@myrnasmith7253,Im glad he started with the disclaimer there are good churches out there.  Unfortunately there are far to many of the ones only looking for money.,4주 전,0,
@giman9,🎉,4주 전,0,
@giman9,You are a threat,4주 전,0,
@giman9,Television footage,4주 전,0,
@jdog6380,Wow! Scum bags!,4주 전,0,
@The_Foul_One,"Welcome! To Smiley’s Bait and Tackle! Are you chums or scraps? You’re a regular worm bucket? Don’t stay out past the moonlight! There are stray wolves. Here’s a yardstick so you can measure the water depth. It’s required so you don’t slip and fall, and here’s your license for fishing and game. Put it in your box.",1개월 전(수정됨),0,
@heyhandersen5802,Pretty common actually. Sad.,1개월 전,0,
@ClyVarlack,Dump Trump,1개월 전,0,
@The_Foul_One,"Puzzle me this, Riddlers. Why is the feminine referred to as a spirit animal? Let’s call this an away game. Go name dropping. You’re a graffiti artist world. Pbbbbt. Free energy elixir! Get some crop circle aliens. Try the math chiropractors. V drops. Destroy your axioms! People into freakish Greek low rider monsters will love this place. I shall call you Count Hesiod! Hey. If you root down they might make you stay.",1개월 전,0,
@Harold-v8x,A bunch of slick MF.,1개월 전,0,
@projectwholechild3368,"42 m views, holy shit",1개월 전,0,
@Blue-dem-in-texas,"I tell them let's throw all the money in the air, and what God wants will stay floating in the air. The money that falls back to the ground should go back to the people who gave it. Kenneth Copeland acts like he wants to kill anyone who asks about the money he steals from gullible people. If God needed money, he would just create it. Charlatans all.",1개월 전,0,
@bp-lx7lf,"Absolutely brilliant show, even watching a decade later nothing has changed about these bastards and their manipulative practices",1개월 전,2,
@The_Foul_One,"If there is magnetism and bacteria, then there is potential witchcraft. It’s not so difficult to understand. Dark matter and serotonin! They want Muggles because it’s power.",1개월 전,0,
@sandys2080,Prosperity gospel is absolutely evil!!,1개월 전,0,
@JackieRiley-k7s,Do you think the Copelands and Robert Tilton believe in God at all?,1개월 전,0,
@bennymwale7699,This is so evil!,1개월 전,0,
@martiemutsch7461,These stupid people deserve to loose everything.,1개월 전,0,
@cheyla38,Murdering innocent animals in name of religion - sounds right,1개월 전,0,
@SiddarthVaderYT,These pastors can jerk off to death and wake up in hell still wanking for all I care.,1개월 전,0,
@vickilawrence7207,"Omg he didn't just call it a green energy scam and that their countries are going to fail? No he didn't...DID HE!? YEAH, UNFORTUNATELY HE REALLY SAID THAT! but im glad that he did bc he's now exposing himself (almost as badly as if he pulled his pecker out in front of a bunch of little kids)! I believe that his dementia has advanced to the point where he doesn't even realize how egregiously he's humiliating himself and antagonizing everyone else as he does so! He has alienated himself from our allies and our enemies.  He's clearing the board and leaving us standing alone without a soul in our corner.  And he does find fault with something in every single situation that he's involved with.  He's making such a ridiculous mountain out of that little mole hill of the escalator and the teleprompter! You have got to be shitting me! He made a slow moving escalator that came to an absolute halt very slowly sound like they were whipping along when it came to a crashing halt pitching melania forward and almost causing her to fall and break her hip! Give me a break!. There was nothing remotely dangerous about that situation . Even if it had been a newborn baby sitting in an infant seat on those stairs it still wouldn't have dangerous! I've never heard anyone make up such a story out of whole cloth and turn it into a near tragedy within seconds! A simple mistake becomes a conspiracy theory and people are threatened with losing their jobs or death if they're responsible stopping that escalator and embarrassing the president and his wife!",1개월 전,0,
@ddavew,God tells me Tillman's a moron and a liar and he should shut up or god's will may be done and he might be killed too,1개월 전,0,
@donijulian1009,I was in  hotel room with my husband coming home from a vacation. We were getting dressed and the tv was on. There was a televangelist on the tv asking widowers to send in their wedding rings nd theirvdead spouse's ring. This turned me off of televangelist forever. How sad in guilt old people to part  with a centelimental item that mesns something to them. Im over televangelist forever.😂,1개월 전,0,
@JackDowdall-z1f,We had a young single man wking 40 h Rs per week. He paid rent and some gas car pymt etc    Rest went to evangelists.  And other workers fed him with donations for rest of month.,1개월 전,0,
@MDavis-d4v,Copeland is what I picture the demons of hell look like. Can't wait till these fake Christian grifters are dead.,1개월 전,0,
@davidweaver2156,Study God's word book by book verse by verse and I 100% guarantee blessings and never having to worry about the wolves of the world. God Bless,1개월 전,0,
@timpritts1499,"These evil money grabbing thieves will soon face the wrath of God, and be residents of hell!",1개월 전,0,
@larryratterree6358,They should be in Jail!!!,1개월 전,0,
@leerutledge9099,Sickening. I have dabbled twice - but only for 3 months. Each time I got out. I was older the second time and left totally disgusted.. since then I’ve learned more. Excellently done.,1개월 전,0,
