username,comment,time,likes,reply_count
@ziadhassanibrahim3558,Anyone in 2025 ?,1시간 전,0,
@alfredguz4109,Cuando Riot hacia buenas cinematicas para mundiales,10일 전,0,
@llIlIIlIlI0.0,He’s back,11일 전,0,
@N3TNINJA27,The is the best ever song for world ever made. It’s so cinematic and goosebumps,13일 전,1,
@learic3240,Manifesting for this to be used in a teaser this year at Worlds! 10 years later!,2주 전(수정됨),0,
@동동-m3v,부정할 수 없는 롤의 전성기,3주 전,1,
@kajunika,2015 in Berlin 🎉 it was MAGICAL,4주 전,0,
@ReinaldoFernandes-b5x,Incrível 10 anos depois isso me causa arrepios e uma emoção nostálgica ❤,1개월 전,1,
@PRGMRav,Almost ten years ago. And the game is still going strong. This theme song was so hype.,1개월 전,0,
@광광우럭따-z3k,t1 월즈 우승을 기원합니다,2개월 전,1,
@jorgelucassantossilvarodri3728,Posta essa porra no Spotify,2개월 전,0,
@FernandoOliveira-t5q1q,BRASILEIRO,4개월 전,1,
@NgocNguyen-ei1rh,"Ah yes... After 9 years, thank you Youtube, at least it recommended something worth watching again.",5개월 전,2,
@wahyudiDrockNroll,IAM DUNN,6개월 전,0,
@J.LXN.O,"after 10 years still slaps as hard as it did when i was an 8 year old kid. Phreak caster calls. Cinema. FANTIC TAKE THE FIRST SEED. huni reinover duo peak. young zven brazils first time in knockouts inspiring. fakers lulu 1v5 crazy (iykyk) worlds collide showed me league was more then a game, it was a sport.",7개월 전,7,
@undead_tuz,Ainda estou aqui.. '-',8개월 전,1,
@ThunderMarks-g8r,This was peak LCS…pela League of Legends,8개월 전(수정됨),4,
@toxotarasgr2884,"10 years...,10 years has past, i was 15 back then, memorable tournament ship and amazing song 2️⃣0️⃣2️⃣5️⃣now...",8개월 전,1,
@Rodrigo-dh2lv,Underraterd song...,8개월 전,2,
@TheRoyalAegis,I always remember that Vayne meme  getting 1 shot by thresh 😂,8개월 전,0,
@AmeAraba,"The video almost 10 years old, comment was 5 days ago and RIOT still giving the like yes indeed the best Worlds song ever!!!",7일 전,1,
@Backslash962,wow they liked it wtf,4일 전,0,
@떡볶이나리,Good times fr 😭,3개월 전,0,
@memorya_,"Nós ainda estamos. Worlds Collide até hoje, é o melhor tema de mundial.",7개월 전,0,
@stay.night1,peak spelling,8개월 전,0,
@jetomoon,After these what happen?,6개월 전,0,
@ClebersonOliveirq-z1c,[Bobesponja],9개월 전,0,
@ClebersonOliveirq-z1c,Kenne,9개월 전,0,
@sauloluna4969,"Saudades do lol de 2015, tinha amor no jogo, agora é tudo muito sem alma...😢",9개월 전,0,
@Kouriame,Is it weird that I keep coming back to this video because I like it even more than when I listen to the song itself when I have the commentators and the cheering audience in the background getting me hyped for the game?,9개월 전,2,
@Pejelo,"2015: Fnatic becoming the only team to qualify to Semifinals three times. T1 2024: yeah, right, like, not that much for them.  2015: SKT will be your first ever two times world champions. 2024: Five times world champions, that milestone in 2015 was just the begining.",10개월 전,1,
@Zen_krovoid,"Bruh after 9 years Faker still become the World champion, something never changes",10개월 전,9,
@alexrs_85,FAKER GOAT,10개월 전,5,
@hyhsieh6294,"Come back after 9 years, wishing Faker winning his fifth Worlds championship",10개월 전,35,
@Luni5X,9 Años exactos despues de esta hermosa cancion,11개월 전,6,
@netisbritz508,FAKER THE GOAT,11개월 전,5,
@MrSpaceWorm,2015 was peak,11개월 전,1,
@claudiuskeat8336,this was the song that once made me want to participate in Esports.,1년 전,2,
