username,comment,time,likes,reply_count
@LeaHoffmann-n9t,Love discovering new contemporary artists through your content!,1개월 전,0,
@9aguirre,"It’s not new art, it’s people wanting to live the artist’s life, without the skills. Cartoons are abstraction.",1개월 전,0,
@trevordavies5486,Voice was really too fast and irritating. AI ?,1개월 전,0,
@RajeshSapkota07,Basquiat is no artist  though.,2개월 전,0,
@Fed-up-father,Abstraction is the inability to tell a story 😂,2개월 전,0,
@dusk1234567890,"If abstract art wasn’t the only art allowed in museums (besides conceptual art) and weren’t being sold for millions of dollars, very few people would be doing abstract art.",8개월 전,0,
@TomHendricksMusea,"Most modern art substitutes weird for quality, narrow isms for scope, and trendy for depth. It also refuses to change or even talk about progressive ideas in art like those that follow  Too many treat art as a marketing scheme. Modern art has become a trendy clique and the art now is mostly over promoted footnotes to greater art that was done 100 years ago.  But art is too important to be reduced to a trendy clique.   Post-ism, is art for a new century, not a continuation of last century trends.   1 Mass Market Paintings like Prints. When any art form is mass marketed it enters a golden age. This has happened with books, records, and film. Let's add paintings. Most art is in storage in museum basements. Mass Marketing allows art to tour in copies and allows artists to make royalties on copies. Why do you think the world gets so excited about a new great book, record, or film; but no one cares about a new great painting?  All are mass produced except the painting.  2. End a Century of Isms. Dump the genres and formulas and let all kinds of art be a part of the art world.   3. Shift Emphasis From Trendy to Quality. Shift emphasis from the latest trendy art, to quality art in any style. Just because art is weird does not mean it is great art.  4. Free the Art From Museums and Galleries. Get the art out of the ivory elitist museum and gallery towers and back into the world.  Have city art centers open to all artists. Make art that is relevant and communicates with people. Start with the first generation of artists online.  5. Postism is Part of a Bigger Revolution. Postism is part of the bigger art and media revolution out of Dallas, that includes art, music, lit, film, media, and a lot more.  6.  Postism online: Online artists are the new wave of art. We had all the isms of last century. Now we have a free for all, of all kinds of artists, that are not sanctioned by any museum or gallery, displaying their work. Out of that comes the next wave and revolution of artists.  Last century the goal was to fit the ism. This century the goal is to do great art – no ism, no boundaries.  Fractionalized art then, synchronized art now. Even calling something modern art is a type of ism that separates that art from the art of the past.  The 20th century was a century of experimentation in art. Now in the 21st we can choose from all those styles and / or start one of our own.  Then too if someone devises a way to charge and collect a penny per view on a webpage, that would allow any great artist to get money for their art and have a career without any middlemen.  Duchamp broke ground 100 years ago - but now his clones are just shoveling dirt.  Weird art is easy, you put a strip of raw bacon across an expensive violin, but it's not good art.  Join the art revolution and pull the art world out of last century.  Musea since 1992.",8개월 전,1,
@Mario-zo1uj,Just ask. It's easy.,9개월 전,1,
@cyrusgraham292,"Ninja and  Super Model, asymetric symetric, I WAS INVOLVED MARTIAL ARTS AND FASHION DESIGN BACK THEN, HENCE THE PEN/INK BRISOL BOARD ART DRAWING ASSIGNMENT PAIER COLLEGE OF ART",11개월 전,0,
@stuart6478,"the idea that abstraction is new, is so dumb",1년 전,1,
@kroma_concious_being,Materialism....Kandinsky was right,1년 전,0,
@vincentmarotta9800,"Bauhaus School also influenced ""Max Bill"" who designed minimalist wrist watch designs through ""Junghans.""  I love these watches, and hope to one day save enough money to purchase one.",1년 전(수정됨),0,
@vincentmarotta9800,"Although it can't be understated how much of a negative effect corporate and auction houses pushing garbage through for the sake of ""investing"" art (aka ""Money laundering hidden behind art sales"")... I still give Abstract art credit in only ONE respect:  When it allows people to come up with meaning which translates to something substantial for them.  In that respect, people who put rigid meaning to Abstract art (even the artist who creates it) devalues the original piece.  You want to make a social commentary about how a bunch of purple and green shapes on a gray canvas symbolize the struggles of New Guinean child labor trafficking's?  Ok, fine, but I think it works best if you made it with that in mind, then became humbled/moved by listening to what everyone else say it means to them.",1년 전,0,
@andriescarstens9245,"It is really a pity that you were in a hurry to get this finished, gee wiz...  If any art class is at this tempo, I'd rather buy a book or attend a lecture where a person can follow what is being said. Good content but tempo of presentation....not so sure if that was successful. Sorry..",1년 전,0,
@campussafety7369,This is incredibly extensive. Wow! Thank you.,1년 전,0,
@Karen__t58,An insider's perspective: exclusive interview with Binance's CEO on future developments,1년 전,0,
@tiyanawilliams5070,"beautiful documentary. I am still discovering and learning about abstract art, at first, I couldn't understand but it is something that is has been and still is emotive than logic. It decompresses the brain sporadically and unbinds conventional notions of what life should be as trinkets of markings exploring different realms.",1년 전,0,
@anthonyclegg1511,You have a very annoying voice. Slow down a bit.,1년 전,0,
@mnesvat,"What truly captivates me about abstraction is the uniqueness brought forth by its creator, alongside the inherent similarity within their body of work. This distinctive blend of personal expression and thematic consistency is something rarely found in other genres such as realism or naturalism. It's fascinating to see how abstract artists convey individuality while maintaining a coherent style across their creations.",1년 전,0,
@mattbaldwin1150,"I’m sure this is interesting but the space between each sentence spoken is so small it’s suffocating. I work in a news studio and the journalists don’t talk this way. As many other comments say, the presentation is just way too fast.",1년 전,0,
@Afaloz,"I am teaching my children via YouTube on the history of art, in hopes that they can appreciate the talent they have innately as children ❤😊 this is art",1년 전,0,
@patrickdalmoro4003,❤❤❤❤❤❤❤super!!,1년 전,0,
@normg2242,Interesting video. But just a suggestion - it is okay to have breathing pauses between word groups and sentences. Save yourself the work of editing them out...,1년 전,0,
@soncentral,Love the video rasigga,1년 전,0,
@raslikescookies4825,monkey,1년 전,0,
@KpxUrz5745,"As a lifelong artist with an extensive background and education in art, a good ""art resume'"" having won plenty of awards, and with works in important collections and museums, I remain positive about abstraction, although most of my own work does not fall under this rubric. HOWEVER, and this is a big however, I consider nearly all examples of abstract art shown in this video to be artistic failures. And with few exceptions, I would not want to own or display them, nor would I be especially thrilled to trouble myself to visit a gallery or museum to see them. (I have spent many years doing just that). So who are the few artists working abstractly that I actually find to be great artists? Well, mostly Mondrian. Of course I greatly admire Picasso, who was surely the greatest artist of the modern age. Picasso had immense talents as a draftsman and spatial inventor, which is a lot more than I can say about most of the other artists featured here. There are some brilliant examples here of his cubistic paintings, but I would not describe them as purely just abstract as the term is now used. Picasso used recognizable subject matter, and he was one of the top masters at composing and defining space and form in utterly original and intelligent ways. Another artist could compose a non-subjective arrangement of triangles and trapezoids similar to some of Picasso's cubistic buildings in Horta de Ebro, but no other artist could do it as well. If one even achieved half the brilliance of Picasso, then I would credit them as a superb artist. Interestingly, I have not yet found such an artist. There are other abstract artists who impress me, artists like Motherwell and probably one of the very best is Arshile Gorky. So, all these other artists such as Nolan, Kelly, Stella, Louis, Reinhardt, Basquiat, Condo, Koons, Newman, Delauney, Hesse, and a great many others are either inconsequentially minor (in my estimation!) or otherwise mostly uninspiring and unimpressive, regardless of what they achieve in the art marketplace. To conclude, while I love the idea of abstract art, in practice it has mostly resulted in art that does not measure up to the best artistic measures.",2년 전(수정됨),0,
@DaNerdOne,"I love this channel (as much as i love abstraction :P ) Thank you, i just discover this fantastic channel, it all came at its right time, i have been watching some videos like for a week know and the content is far more than impressive, really well researched, extremely well presented, and so damn easy to follow. Thank everyone who are (or were) involved in this magnificent channel, thank you all.",2년 전,1,
@juancarlosochoacardenas1108,"Mathematics, physics, chemistry, aastronomy and all things around us are abstract.",2년 전,1,
@AllTwoCentsibleGuy,I don't care what people fool themselves into thinking. The only thing impressive or worthwhile about a black square on a canvas is how they tricked some other idiots into thinking that garbage had any value at all.,2년 전,0,
@RallyTheTally,It's time us real artists stop letting these clowns take over,2년 전,0,
@RallyTheTally,a blank canvas or a fruit tapped on the wall is NOT art.,2년 전,0,
@possermaniac,"I understand art is literaly any form of expression, through any material or procedure or craft. I also understand the importance of the pieces of the first artists that started a wave, or an expressional aproach to a form of art.   What I cannot understand is how the fuck pieces with literally zero effort, that are semi original or not at all, can cost thousand or even million dollars.   Especially when unkown artists start really underground waves, with pieces that are costly by nature, excellent crafted, original, powerful and NOONE buys them even for some few bucks.",2년 전,0,
@kelvinmartins1412,Thank you for this video. This is art itself. I'm gonna do some abstract paintings now. It opened my eyes,2년 전,1,
@RSPOOTN,I hate when they cut narrative dialog so that the word cadence is unnaturally fast and there are no breaths. It really makes this unwatchable for me.,2년 전,0,
@fearisaliar3,So crazy abt art ngl! 🤯,2년 전,1,
@abacus749,Art in a free world does not need to be justified at all.  It is.  With the emerging AI computer to mind control the artist as prisoner of the State or other power will need to justify everything. What is it ? ...will be the endless refrain.,2년 전,0,
@Jenn_C_Chernak_art,comprehensive and fast -- great overview! I will share with my Middle School art class.,2년 전,1,
@ivanklymenko,😍😍😍,2년 전,0,
@channingparker9431,Ok. Ok..,2년 전,0,
@hd-xc2lz,"Hilma af Klimt's paintings, according to her, are DIAGRAMS of a supposed spirit world and its interactions, and thus very different from the abstraction of Cubism, Supremacism, and Futurism, all movements which saw themselves as examining and rethinking assumptions about painting form and art history. I'm all for reassessing female artists' work such that we rethink the art historical canon, but blurring the meaning of an established term like abstraction just to make space for a female painter, who herself did not think her work abstract, is ideological nonsense.",2년 전,0,
