username,comment,time,likes,reply_count
@MarkRober,This one was a wild ride.  Now go get your dang Build Box in time for Christmas and let's make some cool stuff together.   https://crunchlabs.com,2년 전,2.3만,
@PhumudzoMaanda-w7r,How did you walk on water like that's impossible!,13시간 전,0,
@BentoViana-e7g,Lá ele😂,14시간 전,0,
@RoberioCastroOliveira,Eu queria que o mark viesse para o Brasil o Brasil me visitar,2일 전,0,
@sachus_creation,😮😮 🫡🫡🫡 of you from india ❤,2일 전,0,
@gillianvanasse1904,World record!!!!!,3일 전,0,
@C0ldv0id59,Can you make a robot that can grab stuff and walk?,3일 전,0,
@SureshSuresh-r1l,Very super,3일 전,0,
@jak-wood-shorts,20:42 better than film 🎥,3일 전,0,
@AndreiL-n8u,But one of the egg hatches in space 😂😂😂😂😂😂😂?,3일 전,1,
@leoneoliveiradt5,"o cara é o Iberê 2.0 da Califórnia, que canal incrível",4일 전,0,
@cristianop1987,Istava No Paço,4일 전,0,
@PedrolucasArcanjoalves,👏🏻👏🏻,4일 전,1,
@推し活-e5o,次は月からですかね,4일 전,0,
@KadiaConde-ip9ee,Abonée vous,5일 전,0,
@KadiaConde-ip9ee,Abonnée vous,5일 전,0,
@Haydenkarnya22,rip steak,5일 전,0,
@jdissanayaka2,Chicken mark 01 😂😂😂😂❤,6일 전,0,
@VicentePalma-z2z,Guao que matematica😮 12:40,7일 전,0,
@asgaming1526,Hi maro,7일 전,0,
@Equ7n00x,cool,2년 전,205,
@3xtremelamborghini,Hi,2년 전,82,
@Syriamyloveisfreefire,❤️,2년 전,54,
@TanjiroReal,first :(  almost,2년 전(수정됨),43,
@tigranplayz250,WOW,2년 전,25,
@YouKrazyDirt,Egg,2년 전(수정됨),32,
@UsernameisMac,hi,2년 전,20,
@Quick50,egg,2년 전,24,
@JosephRamosstufff,Epicness,2년 전(수정됨),18,
@gutentag1804,Ok mark,2년 전,19,
@IndonesianCommenter,Is The Egg From Space Taste Weird?,2년 전(수정됨),40,
@JungKookOfficiaI,1,2년 전,12,
@Sillymatter85,Hi,2년 전,12,
@marat1737,Egg,2년 전,13,
@Aqabal,Thanks for the great content,2년 전,13,
@EEEEEEEE,E,2년 전,6,
@HarleyZean1244,Lol,2년 전,7,
@RODIOMG7,hi,2년 전,11,
@TtvSnoopFn,AM I FIRST 👍,2년 전,10,
@gold_bloom,Cool,2년 전,5,
@loopyslayer63,E,2년 전,4,
@Twizzy1118,Hi,2년 전,4,
@mr.prince8326,Hi,2년 전,4,
@KingKobra49,W,2년 전,4,
@planet8gd,Hi Mark!,2년 전,6,
@zyrelluklukan1945,Cool,2년 전,7,
@BrandonEdits4,Hi I’m first,2년 전,8,
@monk9008,Hey,2년 전,5,
@W3ND1G0-1,HI,2년 전,7,
@carjis,.,2년 전,0,
@bngmapping,Wow,2년 전,6,
@kristoffallen9460,Dude this is insane,2년 전,9,
@kobebeanburner6530,Hey,2년 전,4,
@gham_123,Hi,2년 전,4,
@Bs221SH,Love you mark,2년 전,4,
@Tiamate01,Hi,2년 전,1,
@09RadBoy,best videos!,2년 전,4,
@a_random_person191,Awsome,2년 전,1,
@norim1398,Hello,2년 전,2,
@FootyEdits4850,1st comment,2년 전,2,
@mahadevkanodia,Ok,2년 전,1,
@thenarutollama7325,E G G,2년 전,4,
@zrixyy,Looks great Mark,2년 전,1,
@vl3968,Hi,2년 전,0,
@khantheman6371,Nice,2년 전,1,
@nuclearplayz6546,nice,2년 전,1,
@JONBA.,nice,2년 전,1,
@elicarlson7682,Cool,2년 전,1,
@dragonofmight3971,Cool,2년 전,1,
@ykingbrawlstars,Yo,2년 전,1,
@tannerdalton35,Hi,2년 전,1,
@theeeeee3928,Hi bro,2년 전,1,
@M0ldybread,HII,2년 전,1,
@ravaellanimations3314,Hi,2년 전,1,
@pokeleomon,Banger video,2년 전,2,
@jaasimusic_official3390,Hi,2년 전,0,
@Jake_431,I love your videos,2년 전,0,
@gamermcgamer,Epic,2년 전,0,
@clydzon,W,2년 전,0,
@sucmyballsnow1591,Hello,2년 전,0,
@VDBAD,Hellooooo,2년 전,0,
@kirstyshepherd1579,Cool.,2년 전,0,
@user-xxxtentacionrip75,w,2년 전,0,
@borodictator9137,Like me,2년 전,2,
@galaxyfox511,cool,2년 전,0,
@tebn__,Cook,2년 전,0,
@twlxsdev, @Equ7n00x no,2년 전(수정됨),0,
@Madelinemasters1,Hi I love ur vids!,2년 전,1,
@Sandy_RGF,YAYYYY,2년 전,0,
@dohoczkiigor4864,hi,2년 전,0,
@mcmatycatboy,Hi,2년 전,0,
@El_-Pepe,Het Mark,2년 전,0,
@Kritkingpenguin,That eggs gonna become an astronaut,2년 전,1,
@matthewlyford609,E,2년 전,0,
@BobTheMoose,Hi,2년 전,0,
@kirstyshepherd1579,Epic.,2년 전,0,
@alexismaccollum7794,Just got one,2년 전,0,
@panmess1132,Amazing,2년 전,0,
@badkarma7318,Hola,2년 전,0,
@jaydengray,Hi,2년 전,1,
@calvinonmc,I will,2년 전,0,
@cephakyo,Egg,2년 전,0,
@lain1437,Hello?,2년 전,0,
@navraj-h8i,hi,2년 전,0,
@sylwiazelek5693,Nice,2년 전,0,
@immortalflame4258,very cool 👍,2년 전,0,
@scratch577,Bet,2년 전,0,
@coleadamson8352,Ok,2년 전,0,
@ibrahimmallu822,Yep,2년 전,0,
@defnotrae19,Your so cool!,2년 전,0,
@dragonofmight3971,Yessir,2년 전,0,
@NoobyPro4116,The most epic video ever,2년 전,0,
@gregory6099,cool,2년 전,0,
@arrowhead355,Early,2년 전,0,
@bennett_30,👍,2년 전,0,
@madhavankannan729,Egg,2년 전,0,
@gavin_davis0,Yeah!,2년 전,0,
@SpiralDevMusic,You are technically first comment lol,2년 전,0,
@Tasteandseejapan,nice,2년 전,0,
@unmecrandomquipassaitparla2835,[Insert funny here],2년 전,1,
@TotallyisSpectral,Bbq bacon burger,2년 전,0,
@daenill,e,2년 전,0,
@lotychannel6126,I never clicked a notification so fast,2년 전,0,
@literallynooneatall,🖤 crunch labs,2년 전,0,
@shimz2469,Narly,2년 전,0,
@SpookaySpctr,You are insane Mark!!!! EPIC videos,2년 전,0,
@SkyDaEpic,Hi mark :D,2년 전,0,
@shimz2469,Narly,2년 전,0,
