username,comment,time,likes,reply_count
@Wendoverproductions,"Sorry for doubling up on aviation videos! Normally I wouldn’t do two videos of similar topics back-to-back but the video I was going to do just ended up not being interesting enough so I scrapped the script. I didn’t have time at that point to do a research-intensive video so I decided to do this topic that I already knew a good bit about.   Also I know this is a pretty loose interpretation of economics, but hey, I liked the title.  Also, one clarification on something I realized might be confusing during editing: airlines absolutely had first class in the 60s and 70s. It just wasn’t anything like the long-haul first class’ you see today. It was pretty much like domestic US first class today. The impact of the Concorde was the perceived competition it created for the highest-class of traveller. Some airlines decided to close their first class cabins and not compete while others improved their cabins in order to compete. Lie-flat seats or even angle-flat seats really didn’t become ubiquitous until the last 10-15 years with the demise of the Concorde.  Also, first.",8년 전(수정됨),4.9천,
@JoeMercersWay,"In addition, by taking up so much space with premium you artificially deflate the economy supply, driving the price of the cheapest flights up because there's only 100 seats on what should be s 400 seat aircraft",14시간 전,0,
@aaronkarres3603,Was there a point to this video?,1개월 전,0,
@burgersandbingo8918,Why this comment section is so fucking full of themself???,3개월 전,0,
@FouadIslamAlkisswani,"Superb, informative video.",3개월 전,0,
@uophj,~half of someone doing most of something... not again...,4개월 전,0,
@Mightymax101,If anyones wondering the number of seats in the 777 from the thumbnail is 276 122 economy  40 premium  48 business  16 first,4개월 전,1,
@decklundy,"What is said in the video doesn`t fit with the conclusion that economy is just there is fill the plane. It is stated that two thirds of the revenue is from classes other than economy. Well that inmplies that economy represents 1 third of revenue i.e. a massive chunk of revenue. I would barter that without that third of revenue most flights would not longer be profitable therefore no longer viable. So the revenue from economy is vital for maintaining the viability of the route.if you just expanded all of the place to be premium, busniess or first class they would not sell all of those seats and would probably reduce the overall revenue of the flight. I would say the data presented supports the conclusion that all the classes of seat play a role in getting the revenue to cross the threshold into profit and the exact ratio of them has probably been optimised to do so",4개월 전,0,
@deusexmachinawl,Whatever but give me at least space for the legs on a transatlantic flight. I am an average 6 feet height and 34 inches inseam. Yet I properly struggle on the vast majority of companies and BA economy space has become absolutely boxed.,4개월 전,0,
@kaboom9081,Yet everyone has the same survival rate - its just a bus on wings who cares 😄,4개월 전,0,
