username,comment,time,likes,reply_count
@timferriss,This episode is brought to you Wealthfront automated investing https://wealthfront.com/tim Helix Sleep premium mattresses https://helixsleep.com/tim and AG1 all-in-one nutritional supplement https://drinkag1.com/tim,3년 전(수정됨),49,
@andreacomedy694,Jordan Peterson is a benzo addicted clown who has no place in the academic world.,8개월 전,2,
@yeshuahalinen1845,Love this interview. I’m very grateful to both Jordan and Tim. You’ve both been very impactful for me and I’m very grateful to both of you for how you show up in this world. You’re both an inspiration to me. Thank you!,9개월 전,0,
@maxipaw-dc5xj,A lot of people don't realize that Jordan Peterson is an atheist.,9개월 전,1,
@jaredquartell1792,Thank YOU Dr Peterson🙏🏼❤️,1년 전,0,
@markoflores2545,Man it’s a breath of fresh air to hear an interviewer actually let their guest speak without interrupting them with useless comments.,1년 전,0,
@GoodGuysMedia,trips can go bad... but shit can go bad in general.  bad is bad.  with or without these experiences,1년 전,0,
@GoodGuysMedia,if we continue to evade pinning the tail on the donkey we will continue to twirl in circles and chasing our tails- ending up in the same position all while the elite profit in manipulation and control,1년 전,0,
@GoodGuysMedia,"""religious experiences produced by psychedelic drugs and no one knows what to do with that""",1년 전(수정됨),0,
@Kalimhebert9691,Psychedelics have the potential to make a significant impact on mental health issues like anxiety and depression. They've been incredibly helpful for me personally.,1년 전,225,
@chrisdillon4141,"Huh, I saw a dragon come to life and walk out of a poster. Lol",1년 전,0,
@arvinsenglishph2293,"I watch his podcast each time JP is shown in ubiquitous podcasts, He is honorificabilitudinitatibus.",1년 전(수정됨),0,
@johndahms33,a gentle man with an arsenal  eyes that wield hammer and tears   speech that soothes and slices  posture that elevates   all  of  us.,1년 전,0,
@judishbluish6006,"I concur with Tim, I'm glad that Jordan Peterson exists , I am grateful for this show right here excellent show Tim, I bet you were stoked, Jordan Peterson is a light bearer, a Warrior of truth, I love him on so many levels. I thank God, and the Universe for his role here on earth and I pray that he get a bit of a break or relief or whatever delights him in reward for all his hard work. He contributes so much to this existence at times I feel he is underrated. Yet I admire how when he's complimented he wears it well instead of the fake meekness that a lot of personalities demonstrate. I applaud his genuine and his awareness of his worth, bless that man . His family is ..I won't say lucky, because luck runs out..but privileged to be around him and be loved by him, and I believe that they themselves are amazing individuals aswell.",1년 전,0,
@jerrisizemore9531,"3 grams of ergo fun 1gramof flower seed  3 pellets of con  Ch 25, h 25,n 3 ,o 0,  If that respected me I would them but I see what a brother hood is and I've had enough of it.  Me and Jon dillenger used to be drinking buddy's and thay won't let it go on some old stuff I'm old now",1년 전,0,
@of_sorrows,When I started to follow Dr. Peterson a few years ago I was just excited about his knowledge. By now it is his example of living the heroes journey and overcoming which inspires me on an existential level.,1년 전,0,
