username,comment,time,likes,reply_count
@shankarbalakrishnan2360,One earth my earth as i said,11일 전,0,
@aeon5566,After watching Graham Norton show and then going back to something like this it's so annoying the presenter CONSTANTLY speaks and interrupts the guests.,2주 전,0,
@CrackedCandy,"Had to look that up. Every picture of Stanley with her sister, he looks either really happy or extraordinarily radiant. He loves that woman",2주 전,0,
@Snarktrovert,She’s really funny with how she tells stories. Her and John are perfect for each other. A way to a woman’s heart is definitely making her laugh.,3주 전(수정됨),0,
@geraldtalbot6400,Two world class actors who are the perfect couple. Love and respect both of them,3주 전,1,
@MrCharles26,I enjoyed the interview but there is no way that Emily Blunt and Seth Meyers are just like me lol give me a break!,4주 전,0,
@StoneAgeStark,3:22,4주 전,0,
@StephanieMacarthy-z4h,🦈,1개월 전,0,
@clarecurran6612,watching now there is a second devils wear Prada movie being made,1개월 전,3,
@riseandfalltobecontinued8756,God she is gorgeous,1개월 전,0,
@bananna2019,"I see why Seth's shield is not doing well. Just my observation:  1. He talks too fast and animated. I barely understand what he's saying.  2. He focuses on his guest, by itself good, but then barely acknowledges the audience.   3. He kind of cuts people off when they talk.",2개월 전,0,
@Healthydays-pn4dq,I'm thankful that I am healthy and happy.,2개월 전,0,
@abbyschwartz8307,🙋🏽‍♀️ here years later excited for the Devil Wears Prada 2!,2개월 전,0,
@VinayKeerthiKT,The fact that we didn't get her and John as the First Family is a tragedy,3개월 전,0,
@nishamadhu8153,"A few weeks ago, I was chatting with a friend about how manifesting never seemed to work for me. I’d tried so many methods but still felt stuck. We heard about a book called Manifest the Unseen by Luna Rivers on a podcast, and I was hesitant at first. But after reading just a few chapters, I realized how much I was missing. Luna's approach is so different from anything I’ve ever tried. It’s not just about thinking positive, it’s about aligning with real-world actions that bring your desires into reality. Now, I’ve manifested opportunities I never imagined possible, and my mindset has shifted completely. If you’re frustrated like I was, don’t hesitate. Read this book. It will change everything ❤",3개월 전,540,
@Anshu70078,i'm BEGGING anyone who's even slightly lost in life to read Manifest the Unseen by Luna Rivers. i'm not kidding when i say it cracked me open in the best way. i'm crying and healing and evolving all at once ❤,3개월 전,0,
@rwansays,Hey could anyone please elaborate on the “don’t address traumatic things when parenting” and the “British way”? 0:55 — I know it’s supposed to sound light and comedic but I think there’s something to learn from what she mentioned. Thank u in advance 🙏,3개월 전,0,
@jeffchan8760,7 Years later....well DEVIL WEARS PRADA 2 IS HAPPENING,3개월 전,3,
@choicesman2000,Hate her rich woman private school etc,4개월 전,0,
@theverseshed,"Why do American interviewers usually haver a desk between them and the person being interviewed? Compare that to Graham Norton's style, or Parkinson.",5개월 전,0,
@boggerblogger,"Sometimes dwelling on things, dwelling on or giving more importance to some things, does not help and simply carrying on suggests life can have moments but they pass quickly.",2개월 전(수정됨),2,
@rwansays," @boggerblogger  okay, I agree with that actually. Thanks! I appreciate it you taking the time to explain🙏",2개월 전,1,
@samueltekola2377,​ @rwansays  The most civilized internet discussion I've ever seen.,9일 전,0,
@Benyitz,Horrifying to think how many people I’ve told to follow Seth. What an absolute  sellout loser.,6개월 전,0,
@AshmanCFH,Starts at 3:27. Editors snoozing,6개월 전,3,
@girishsahni,brit only skill thug.. no prayers to John Krasinski..,7개월 전,0,
@cybernenindia,sweep it under the carpet.  this is what exactly Britain did with colonial history and the tragedy they caused around the world.,7개월 전,0,
@JatYamla,I wish someday they remake My Fairlady with Emily Blunt..She would really knock it out of the park..absolutely..because she is so vivacious and she is a terrific actor.,7개월 전,0,
@normahade8489,“I just want to make it clear you stars are just like us” NO Seth you’re NOT like us. Good try though. 😂,7개월 전,0,
@girishsahni,emily blunt explaining i'm mostly pyscopath.. british not robbing = lonely..,7개월 전,0,
@girishsahni,John Krasinski stil doesn't know how to avoid street thug gold diggers.,8개월 전,0,
@street1111,Better as Sue Storm with her husband being Reed Richards,8개월 전,0,
@cristonsloan,"Wow. So Xenophobic. What is wrong with you Americans? The very first question: ""Your girls are foreign too?"" Damn....",8개월 전,0,
@marshallhiroshi,Everyone says that Emily is out of John’s league. But Emily seems powerful and on the serious side. Those women love to be with jokesters. They matchup well.,8개월 전,0,
@rdwoodw,She is sooooo fine.,8개월 전,1,
@mupster2,"Dammit, why wasn't I in that restaurant that night!",8개월 전,2,
@orangewarm1,"They're just like us? Yeah, I met my wife in a restaurant, surrounded by celebrities.",9개월 전,1,
@Sunriseatbeach,"One of the best actresses , so versatile, so explosive yet subtle in her emotions, I love seeing her in the movies. I always feel like she steals the scene - all attention goes to her. Powerful charisma, multifaceted acting talent, beautiful face and great sense of humor.",9개월 전,1,
@gundomatumba191,John Krasinski doesn't know how lucky he is with Emily Blunt as his wife ❤,9개월 전,1,
@Plushybear09,Why do the hosts always talk over the guests? They all do it,10개월 전,0,
@chienpo672,I hope they stand the test of time and keep their marriage solid!!!,10개월 전,1,
@drumline1303,So pretty,10개월 전,0,
@Redfour5,He said in another interview that it was love at first sight.,10개월 전,1,
@pacificchick8750,"""Your girls are four and two""   In my head:  ""Your girls are foreign, too""",10개월 전,1,
@medea2693,"I always enjoy watching her interviews because she comes across as charming, funny & down to earth.",10개월 전,3,
@sertraline076,He's such a lucky bustard,10개월 전,0,
@damned_1,"Love their story… perfect movie script and proof of when you’re not looking to meet “the one”, it happens when you least expect it. 🥺🫶🏼",11개월 전,0,
@catecalvertarriola3986,She's boring 😴,1년 전,0,
@mandymarshall9220,"Fabulous actress, if she's in a film it's always a must watch....",1년 전,0,
@tylerprime9555,2:20 well.. this aged well.,1년 전,4,
@tombogucki5634,"Listen up Gentlemen..""he just stood there and made me laugh ""  It's that simple.  Be confident in yourself and rest is... smooth sailing.",1년 전,0,
@TaraWu-kw4xv,"It's like a book. I read a few pages in class. Others have PhD.  But Paule saw leaked photos from 10, 9, 8, ...  I don't have a sequence. I know more than a few pages.",1년 전,0,
@thecrippledone3325,He should have been with Jenna,1년 전,0,
@JamesArnold-c6y,detail (Dale Esblems (Abelman) Is A Fucking Child Molester is Lies (Matt Couchman's and all jews and Mr.Abelman's all jews)) Donald J Trump Isaac Herzog Raganough,1년 전,0,
@DanielWhite-v4e,'When someone you love dies'. What if you're between funereal and a missed appointment like an advertisement on YouTube for A  Halo.,1년 전,0,
@MamdouhMoustafa-n9n,❤❤,1년 전,0,
@jacklawer6389,She's absolutely beautiful gorgeous,1년 전,0,
@wexfordrob,Shut up and Just take your top off,1년 전,0,
@jaceycarlos,"""Am I speaking to Us Weekly?"" 😜",1년 전,0,
@Cubsfan122112,i wish i had a mutual friend that knew Emily Blunt and would go over to her table and make her laugh.,1년 전,0,
@SabinaCabanero,When she was doing Into the Woods who was she pregnant with? Just curious,1년 전,0,
@kilgoretrout321,"I was walking with a friend on Sunset in Los Feliz to go to the Intelligentsia cafe, and Blunt was sitting outside with a friend or publicist or whatver. And I just shouted to my friend, who was 2 feet to my right, ""oh my god, that looks like Emily Blunt!"" Of course Emily hears this and immediately gets up and leaves, lol. I'm just not able to see celebrities and keep my cool. Similar thing happened with Ryan Gosling at some little secret speakeasy with a Depression-era theme. Of course, I talked about how one guy in the crowd looked like Ryan Phillipe. And a girl said, ""I think you mean Ryan Gosling,"" and I said, ""oh yes, that's who."" So then the rest of the night I kept referring to him as a joke but not meaning anything by it, but suddenly he was standing 5 feet behind me with a look straight out of one of his sad movies such as Blue Valentine. And then he left! I mean, jeeze, let a regular dude apologize, Ryan. It's not about you. Well, almost everything I said that night was.... Sorry, again. Sorry all famous people I have seen and will see in person.",1년 전,0,
@laurianne9569,How much I love this woman!,1년 전,0,
@blueforwen,"The eldest one, Hazel ☺️",1년 전,1,
@hoyw25,She is very beautiful!,1년 전,0,
@kramygarci2854,I always thought of her as a Disney Princess,1년 전,0,
@Stylz.,How to get a girl  1. Be John Krasinksi,1년 전,1,
@abdallahfarooq,0:00 ‘your girls are 4 and 2’ I heard ‘your girls are foreign too?’  😂 💀,1년 전,2,
@VenturaResendezJr,"Emily has a nice black outfit, nice black shoes, nice makeup, and nice blonde hair, she looks very beautiful",1년 전,0,
