username,comment,time,likes,reply_count
@ProkoTV,Join the biggest online art community and learn alongside other artists by creating a free account on Proko - https://www.proko.com/signup 👈,3년 전,234,
@ShinbumChoi-g8u,Rip kim jung gi 🕊,10시간 전,0,
@ArjunKumar-qn3ex,RIP legend,8일 전,0,
@TRUTHorSTFU,Genius has a method!,11일 전,0,
@AngelDiablillo-h6w,"genio total, tank you, for you!",2주 전,0,
@stoatystoat174,Super likable guy. His confidence with more than enough skill to back it up is pretty magnetic,2주 전,0,
@jafarr11,Eventually replaced by AI drawings..,2주 전,0,
@ORIOLICS,WHAT KINA PPL LIVES IN THIS PLANET BRO ????,2주 전,0,
@brittanywaller9022,He was a master of imagination ❤,3주 전,0,
@sloanethehomegrowngnome,perspective master holey shit,3주 전,1,
@kkuanhui,"I hate that I discovered this talented artist so late.  I'm sad to learn about his passing.  RIP, Kim Jung Gi.",1개월 전(수정됨),1,
@Clouddancer44,"His inner eye is just waaay better than the average persons, and no, you cant train that. Not to this degree.  Just like Tesla, who was able to conjure images infront of his eyes, and do experimwnts this way , without ever needing to draw it down - this guy is able to think so visibly, that its easier for him.  I do art, for decades already, and at some point, you realize your limitations.",1개월 전,1,
@renataquarleri6361,he’s insane,1개월 전,0,
@samuelvera5048,"The human perspective grid, R.I.P grandmaster.",1개월 전(수정됨),2,
@lyvoquangthinh8606,Thank you very good❤❤ 😂😂😂,2개월 전,0,
@huysobadforreal,Ivlove you,2개월 전,0,
@spacedustcowboy7555,This makes so much sense. Thinking of the best angle of your idea sounds so simple but it didn’t click until now. It provides more emotion and impact — damn I’ve gotta draw right now,2개월 전,0,
@ash_gamer2136,Do you like riding bicycles?  Kim Jong Gi: No I like drawing bicycles,2개월 전,1,
@rebeng3r,"—KIM JUNG GI: Lejos de instaurarlo como un ilustrador-dibujante-bocetista (repetidor ejercitador) de una forma de expresar su trabajo cerrado en un contexto de fondo que exige una resolusión narrativa, su trabajo reposa en un público adolescente y juvenil que capta la superficialidad de su trabajo como ARTE, cuando solamente es un ejercicio de memorización y agregados visuales proporcionados por la constante repetición de fenotipos sin narrativa concreta ni aporte creativo (reproduce aspectos reales en entornos imaginativos que delatan aprisionamiento de conceptos y propuestas)... por eso, al ver sus inicios en el cómic, él sacó cuenta que CREAR historias frenaba su desmedido manierismo en el dibujo, pero además, decidió abandonar el cómic para elaborar dibujos al calor neuronal que imprime las emociones superficiales del registro (un boli, papel, tinta y a ver qué pasa). Durante décadas este ritmo agotó su corazón y determinó su deceso... EL LEGADO; DIBUJA Y REPITE HASTA LA MUERTE.   —MOEBIUS: Empezó a pie firme con enfocar su trabajo en la resolusión de historias; por lo que sus cómics y su estilo gráfico marcaron una escuela europea de cómo trabajar un BD por medio de adosar viñetas siguiendo la secuencia de las escenas pero sin ningún aprecio por la simbolización, el anamorfismo, la sinestesia de lo visual a lo narrativo; que son, elementos estéticos y conceptuales para entrar al ámbito del ARTE a secas.  Pero él siguió apuntalando sus esfuerzos por generar trabajos más gráficos que narrativos hasta desfasarse, encasillarse, anquilosarse y terminar en los engranajes del negocio editorial, que al igual que Kim Jung, determinó su recta final en la industria... EL LEGADO; CREA UN ESTÁNDAR PARA ABRIRTE UN NICHO EN EL MERCADO, AÚN SI TU TRABAJO ES UN EMBLEMA DEL EGO ELEVADO A FIGURA COMERCIAL.  Ambos representan una actividad que se enfoca en sorprender y atarantar con PIRUETAS, VELOCIDAD, DESTREZAS Y DEMÁS AFEITES DEL EJERCICIO DIBUJESCO al público juvenil e inmaduro que demanda sus contenidos superficiales como una CURIOSIDAD NECESARIA para suplir los vicios aberrantes de la tan afectada etapa juvenil por la cultura, que HARÁ DE TU EGO... ""entregar tu vida a la magia (manualidad) del dibujo""... ""no eres inteligente, ni perspicaz, ni mucho menos te da la cabeza para proponer ARTE; pues, dedícate a dibujar... a ver qué sale"".",2개월 전,0,
@AlmaMater-d8g,18:50,2개월 전,1,
@allthingsstreamed9174,would prefer to hear his voice with subs than a voice actor... the real story telling is from the person themselves... no one else can replicate that...,3년 전,6,
@FeedMeSalt,"you guys should have touched on the fact that MILLIONS of humans cannot visualize in their heads. its not something you can learn, you are born with it or you aren't.",3년 전,1,
@KevinE03, @FeedMeSalt  Visualizing is a skill not an ability. Go watch movies or read books(books work especially well).,2년 전,5,
@FeedMeSalt," @KevinE03  No actually it's literally something you are born able too do or not. And you cannot ever change that. Its a litteral disability.  Called aphantasia.  I read constantly as a child, never realized people actually SAW what they were thinking until highschool art class. Teacher called it bullshitt until I got tested.   If you can't do it even a little you never will. Example, I have never seen a purple elephant in my life, I cannot create that image.  I can't see a new Christmas tree in my head I can't picture the tree then one by one add decorations, only memories of old ones as information. Rarely I'll have a general idea of the image but it's not something you can change.  I know my old family tree was white with blue decor.  But again, I can't picture that in some 3d space.  My dreams are almost always memories as well, never have I ever dreamed a place I haven't been.  Anyway, many people litteraly don't have a minds eye.",2년 전(수정됨),2,
@pinnappel713," @FeedMeSalt  Hi! If you are still interested in this, a quick search will lead you to this video, by Proko (with a host that has aphantasia) that gives insight and advice on how to go about drawing without being able to visualize in their heads ( link: https://youtu.be/LWgXSxxEjgs ). The reason they did not touch on this is probably because people who cannot visualize mentally are the outliers not the norm, so it probably wasn't on their radar at the time of recording. There are materials on Youtube that people with this affliction can use for free.",2년 전,3,
@FeedMeSalt, @pinnappel713  Ty so much!,2년 전(수정됨),0,
@dylansearcy3966,Rip Kim jung gi,1년 전,0,
@sharkshimi5451," @KevinE03  pretty sure they were referring to aphantasia, in which case yes visualizing is something people can't do. Please don't just write people off when they say they can't visualize, it's not the same as someone saying ""oh this person is so talented too bad I don't have the talent"".  Some people really cant.That doesn't mean they cannot draw, but they definitely can't follow the same advice kim jung gi gives of having a mini you go around the scene.",1년 전,0,
@dorjedriftwood2731,"Anyone who writes a how to draw like Kim Jung gi on a thumbnail or title is making clickbait. You might as well be writing how to fight like Mike Tyson. Sometimes the answer is, don’t because you are not them. Trying to draw like someone who literally can visualize all of the construction stably within his imagination is dumb. Learn to draw like someone who shows their work. Learn to draw like someone who uses proper techniques to create structural basis for the detail. He is the Art equivalent of a teleporter, he just pops stuf into reality with no construction or even a hint that he has plans for anything he does.   Might as well do a course on how to draw like AI because you’re going to get just as much evidence of process in the work. Meaning zero.",10개월 전,0,
@dorjedriftwood2731," @sharkshimi5451 yeah he obviously has a level of visualization skill that is completely unmatched, he is the pinnacle of genius when it comes to visualizing. Even people that can visualize often need to make some form of construction and gesture to keep it fresh in there memory and that visualization is typically not stable but like a dream tends to morph and change over time. Being able to hold a single image in your head is something Tibetan Monks dedicate their lives to learning it is not normal for anyone to just be able to see Imagination as clearly as life.",10개월 전,0,
@dorjedriftwood2731," @sharkshimi5451  although I do wonder are you saying that some people have zero visual memory. That is a trip to imagine not being able to recall how anything looks at all. It sounds like a real handicap, is there memory solely narrative? Do they recognize people or so they have to talk to or get to know someone over again before they properly recognize someone from there past,   I have a bad memory for faces myself even though I am really good at visualization compared to most, but I do forget how people look after a few years of not seeing them if I am not shown pictures. It sounds really hard to think here are people who lose track of visual memory instantaneously.",10개월 전,0,
@ProkoTV," @dorjedriftwood2731  We disagree. Learning how someone works from their own conversation is vitally important for adding hteir skills to your own. That's not clickbait. It's literally how learning art works.   We stand on the shoulders of the giants that came before us, adding their skills and knowledge to our own. He was a profoun talent but there are many out there applying his approach to their own work. Seeign someone do something amazing just means that it's possible.  Mike Tyson got beat at different stages of his career too. Beginning, prime and later. Respect the talented people who come before you but don't put them on a pedestal  and limit yourself by saying what they do will never be possible for you. We don't believe that for you and neither should you. Learn and grow!",10개월 전,3,
@sharkshimi5451, @dorjedriftwood2731  I'm of the mind that Gi probably had some sort of savant syndrome. His ability to think in 3D at such a young age is genuinely insane and astonishing to me. Obviously a lot of his visual skill/library comes from the sheer amount he draws but I don't think it should be overlooked that he was able to understand 3D space from such a young age. He truly was a generational artist,10개월 전,0,
@sharkshimi5451," @dorjedriftwood2731  Some people have zero ability to visualize whatsoever. It's quite interesting. I'm not really sure how it works either, but a common sort of way that people with aphantasia describe it is conceptualizing rather than visualizing. They know what a horse is, they know what it looks like they know what it does conceptually, but they're unable to visualize it. They know what makes it up, but they can't see it. I myself am not too familiar still with the exact definition of visualization and mind's eye, etc, but it is a really interesting phenomenon.",10개월 전,0,
@obscuriguity4365," @sharkshimi5451  ""i think he was a savant"" followed by ""obviously he drew a lot"" like dude, he drew a lot. like, A LOT. and all the time he was drawing he was observing and pushing himself, experimenting and applying what he's learned. He's said he was drawing 12 hours a day in highschool, and when he was in college he would still spend most of his time drawing. This isnt a savant, this is a guy who absolutely loves drawing, spends most of their time drawing, and is constantly pushing himself to improve for thousands of hours a year for decades. obviously they'd get really good.",6개월 전(수정됨),0,
@ProkoTV,Nah. Generative AI trash can exist but it doesn't replace the good stuff that exists in the world. That still exists and is just as marvelous as it was before generative AI existed.,2주 전,1,
@jafarr11,​​ @ProkoTV let us live long to see what will happen.,2주 전(수정됨),0,
