username,comment,time,likes,reply_count
@timferriss,"Take 10 seconds and sign up for my free ""5-Bullet Friday"" newsletter: https://go.tim.blog/5-bullet-friday-yt/ Each Friday, you’ll get a short email from me with five things I've discovered that week, sending you off to your weekend with fun and useful things to ponder and try. 🙌",3년 전(수정됨),266,
@lucianodallarosa3712,Que enrolado,2일 전,0,
@Judith_Ndande,Give all your burdens to Jesus Christ he can handle it and in return he gives us his PEACE 🙌💯,7일 전,0,
@MarzenaAshby,Thank you,8일 전,0,
@flowerflowers2785,Jesus is the only way.,9일 전,0,
@CogniSphere-l6k,"What a gift — not loud, not flashy, but exactly what resonates",10일 전,0,
@EmmaShpcott,Trauma emotional pain,2주 전,0,
@vbf9706,I know many people who are fat who have no trauma for example,4주 전,0,
@dylonwalker7980,12:32 🎉❤,1개월 전,0,
@LukaszGrygiel_ZMiejscaMocy,"""If you can face death, you can face life"" - working on the fear of death did a great deal to my apporach towards life. Great interview - thank you both, Gentlemen!",1개월 전,0,
@FriendlyVimanam,1:38:55 end of best topic,1개월 전,0,
@Chb2322,"Thankyou for this video.  It’s extremely informative, and helpful.   I have such respect for Gabor Mate, his explanations of addiction etc.  makes it easy to understand for the lay person.  So very grateful.💛🙏Carol",2개월 전,1,
@christinachristina8271,Hello Tim Ayahuasca Melbourne Aust Read your post on your journey and I need to do it or die as a nobody Hard to find Christina,2개월 전,0,
@arafadafalla1967,The Shamans work with the devil -,2개월 전,0,
@space-g2u,If there is a book about what kind of crime the japanese did to china and in other countries of asia.........,2개월 전,1,
@mikeh.7917,1:57:20 - can anyone make out the name of the person Gabor is quoting?,3개월 전,0,
@RewireToRisePodcast,"I’ve been following Dr. Gabor Maté for a long time and his ability to go straight to the emotional root—without bypassing, blaming or sensationalizing—is something I deeply admire.  The way he speaks about trauma, addiction and healing feels both profound and human. As a psychology coach, his work has had a huge and lasting impact—not only on my own healing journey, but also on the way I support my clients in theirs. His insights have helped bring depth, compassion and clarity to spaces where most people feel lost.",3개월 전,0,
@Youknowwhatyouknowdoyou,Have have a couple of questions about my Hungarian husband and his behaviours!,3개월 전,0,
@Youknowwhatyouknowdoyou,Is there any way to contact with Dr. Mate directly and privately?,3개월 전,0,
@Youknowwhatyouknowdoyou,Is this Dr. Mate’s channel or is this a reposting?,3개월 전,0,
@judysmith1964,Wonderful interview. Explains a lot of my life. I had an epiphanie!,3년 전,30,
@hoosierbaddy3052, @judysmith1964  did ya have one where you knew how to spell epiphany? Or did you have multiple epiphanies? 🧠💥 experience eh? Right oh!,3년 전,8,
@Alsatiagent, @hoosierbaddy3052  You have revealed more than you intended.,3년 전,18,
@waris4thewealthy549, @hoosierbaddy3052  because spelling matters when you know the intended meaning🫡 it’s not a book but it must feel great to be a self appointed editor🙄🤣,3년 전,11,
@TheTreesAreDead, @judysmith1964 my bad 😮😮 T😮😮😮😮😮😮😮😮t😮t😮rrrrrrt,3년 전,0,
@danayarbrough7934,I am a highly sensitive person and was a gifted child.Trama has ruined my life.I have failure across the board.I could have been a high performer I am naturally creative and full of imagination,3년 전,11,
