username,comment,time,likes,reply_count
@bestdressed,"hope you guys enjoyed geeking out over apartments with me! on a serious note though, if you see comments below with anyone asking/revealing what neighborhood or street i live on, PLEASE thumbs them down and report them. sorry i didn’t mention the exact neighborhood where my apartment is located - it’s in downtown manhattan, but i wanted to take some extra steps to protect my personal safety this time because some people found out my address at my last apartment in LA. i really love this apartment and it would break my heart if i had to move out because my address got leaked. sorry this is a weird comment to even have to write, i know 99.9% of y'all are so sweet and looking out for me but i just want to be safe! xoxo ashley",5년 전,3.8만,
@blessmeachoo8096,2025?,13일 전,0,
@kendrac886,Still miss your videos 😢,2개월 전,0,
@JJahn-v8r,2025 who?❤,5개월 전,5,
@michalemichael5711,"12:50 Sam Cooke - You send me  whaaaa, i know that song",5개월 전,1,
@miramldy4300,i miss you,6개월 전,0,
@Onlocationtours,How exciting! Good luck!,6개월 전,0,
@crystalcandles752,Wait so she makes over $1million per year???,6개월 전,1,
@shannonjensen4722,TOO MANY F BOMBS 💣,7개월 전,0,
@hereforthechaos7614,Only in NYC will someone find an absolute piece of shit appartment with an ugly view for 3300 bucks and then proceed to just drool over it.,7개월 전,2,
@acousticsetcalum,Ashley pls comeback i already watched this video at least 20 times,7개월 전,5,
@sante2207,Who’s here in 2025? 😢 I miss her so much,7개월 전,4,
@amelieelisabethh,honestly it is ridiculous to not apply just because you probably won't have enough space or a nice backround for outfit vids but ok,8개월 전,1,
@christineolayan5856,We miss you,9개월 전,0,
@ntkl8103,"Hye Ashley, hope your doing A-Okay. I keep coming back to your youtube video because weirdly somehow your channel is like my guide in living life. Everytime I see your IG I will always imagine how you would turn it into a vlog. Even thought you never post any youtube video. you are still an inspiration to life . Eat. Pray. Love. 😂😂 well wishes 🫶🏻🫶🏻🫶🏻",10개월 전,3,
@waverleyb2443,um yeah so I will never be able to afford this omfg,10개월 전,1,
@didsheeatsoup,i have watched this video over 40 times in the past 4 years.,10개월 전,10,
@morganstubie,"You’re great! I saw you in Damon Dominique’s vlog and I checked out your channel. Soo much fun! I love your thought processes and humor, I’ve lived in NYC, Paris, and SoCal too. Keep up your videos. I’ve not checked out the fashion stuff, not my thing these days, however your stories. YES!!!!👍",11개월 전,2,
@marissa630,"ugh I can't STAND being able to hear neighbors televisions. I can't enjoy my life or sleep with that happening. It wouldn't just be about filming for you, it would have been your entire life.",1년 전,0,
@shawnatv4355,"Wait,  starting a affordable apartment in the village!  IS WILD.   Let's start br not being in Manhattan.",1년 전,1,
@FreedomBreeze24,Hiii,5년 전,15,
@anchan_dulal,Don't worry Ashley. We're always there for you ❤❤,5년 전,698,
@emmarose3421,stay safe!! love your videos!!,5년 전,413,
@maventse,STAY SAFE ASHLEY ❤,5년 전,299,
@bigdickdaisy5731,bestdressed better safe than sorry! <3,5년 전,206,
@kittyvu5045,Don't worry we'll take care of the wannabe stalkers! 😎,5년 전,266,
@qwwerty370,bestdressed iloveyou ashley huhuhu💗💗💗,5년 전,11,
@llio8044,"Always put security on top of your priorities!!! Stay safe, love from South Korea.",5년 전,125,
@winniejiang5377,No Worries Ashley❤️ will definitely report if I see something like that! Be safe!!,5년 전,56,
@Jookstogo,bestdressed imissyou iloveyou :),5년 전,4,
@qwwerty370,Iloveusomuch Ashley take care as always~💗💗💗 love from Philippines 🇵🇭,5년 전(수정됨),20,
@Darkfire9189,D/w nobody here will snitch on your illegal activities.,5년 전,8,
@melissarosario958,☺☺☺🙂🙂🙂🙂,5년 전,1,
@HamiltonIsLife,bestdressed don’t show the outside or area,5년 전,68,
@priyashreechanda3901,"God, the whole time I was like, naaaay this isnʼt Ashley, she wont go for this one for sure and the moment she showed the last one I was like, oml this SCREAMS Ashley. I am so happy for her 🌻",5년 전,17,
@patheticgirl1000,"@Sweet V. hey, you could've said this in a much less condescending and rude tone",5년 전(수정됨),189,
@majabrakas8241,"Stay safe! We’re here for you<3 I will be searching for comments, hopefully there won’t be any <33",5년 전,7,
@lilylxnelylye4114,Hiii,5년 전,0,
@ArtTambaoan,i love how theres a sense of familiarity with the setup because of the chair and the plants :( i love u very much,5년 전,16,
@sharoniimac,💛💛💛,5년 전,1,
@wallflower99,I don't understand why people would even leak your address man like it seriously doesn't benefit anyone lmao. Stay safe!,5년 전(수정됨),44,
@michellesang6612,@Sweet V. You could had give it as an advice wtf. And she didn't know that ny is like that and it's not her fault... chill ma'am,5년 전(수정됨),69,
@mya.y927,These places are old so don't get asbestos poisoning,5년 전,6,
@niceymapayo,Apartment tour new york 2.2 version,5년 전,2,
@mienahLIVE,maybe putting the name of the specific district on your comment blacklist may help prevent any information spreading — stay safe 💓,5년 전,172,
@oireo_8857,Heloo!!,5년 전,0,
@PeridotRainbow,Oh okay,5년 전,0,
@allaboutmika,bestdressed im so happy that u looked genuinely so happy ash,5년 전,0,
@michellesang6612,"@Sweet V. btw thanks for deleted your replies and don't shame yourself, you made yourself a favor 👌🏻",5년 전(수정됨),15,
@lacitygirl0146,"@Sweet V. umm this comment is so dumb and ignorant. If she doesn't show her apartment people will give her crap until she does. Even if you know her address, there's no need to tell people. Just cause you know where she lives, it doesn't give you a right to show up to her house like a creep. No one in the right mental state would show up to someone else's house. These types of people need to be held accountable by their parents. My parents would never be okay with this type of behavior.",5년 전(수정됨),113,
@coolsimmer6104,"Stay safe, ash. Nobody wants stalkers or unwanted presence at their personal space so dont be sorry plus LOVE YOU.",5년 전,14,
@kggroom,We got you!❤️,5년 전,1,
@adriananinoartigas5880,bestdressed don’t worry girl. The feet fetish guys are a genuine concern (as well as the psychos),5년 전,4,
@avaa828,Not weird. You're allowed your safe place,5년 전,7,
@lucytaylor9168,It sucks that you have to worry about that and honestly kind of scary..sorry and good luck in New York!!,5년 전,4,
