username,comment,time,likes,reply_count
@Vogue,"Subscribe to Vogue magazine, receive an exclusive gift and become an insider on what's next in fashion, beauty and culture: https://bit.ly/2OndrJC",5년 전,4.6천,
@cocowithchocolate,QUEEN,8시간 전,0,
@RemondGomiss,I love you❤❤❤❤❤,1일 전,0,
@daezaniquebarrow,Why was this actually so entertaining?,2일 전,0,
@moseseileneir8398,"So funny, love it!",2일 전,0,
@BrooklynBounceRecords,"Yep they kicked me off all my YouTube accounts lol oh well lol, lets throw ourselves under the bus a little more, oh the customers reading this know exactly what I mean being the real Walt Disney of course is who I truly am, and they all wanted to close my mouth Rihanna including in the music and film industries actually but whatever Im going to rectify all these things I can assure of that fact.",3일 전,0,
@NeihartBruis,This made my day better.,5일 전,0,
@NeihartBruis,This was so much fun to watch.,5일 전,0,
@KattHaldi,This video feels professional.,6일 전,0,
@seharkhawaja7027,"Lucky 🦋,",8일 전,1,
@MarkeshiaBrown-o1r,Beautiful,9일 전,0,
@TatumKaine,Really clear and easy to follow.,9일 전,0,
@Monxuyss853Monxuyss85,This was fun AND informative.,9일 전,0,
@CimahPerot,This was so much fun to watch.,9일 전,0,
@Pnvluhx752Pnvluhx75,I didn’t realize I needed this.,10일 전,0,
@ThanhUyhg-x7y,This video is gold.,11일 전,0,
@BURNTHESKYMUSIC-t6g,The humor is spot on.,11일 전,0,
@HuongLe-g4m9v,Super fun and creative!,11일 전,0,
@SouspbzQuallvi,This video cured my boredom.,12일 전,0,
@RegimenBeauty,Thats not her foundation shade.,13일 전,0,
@syeolrr,yes,5년 전,17,
@anupdas3431,@Natalie adult Indian girls,5년 전(수정됨),3,
@WittyBonita,Vogue my umbrella girl so gorgeous,5년 전,13,
@angelathrailkill7271,I like & subscribed right away,5년 전,6,
@yamilalopez9931,Vogue I have watched this 20 times already omg,5년 전,6,
@esnzur5505,Concept     beautiful   simply  because  best  woman  wonderful   daymom  Rihanna,5년 전,2,
@changeeyecolor3891,❤️❤️💜💜💙💙💚💚💗💗💛💛❤️❤️💜💜💙💙💗💗,5년 전,1,
@alexandrasteflea1465,Petition for 73 questions with Beyonce . Let's make this come true . Sign in here : http://chng.it/qVFsSpGZtQ,5년 전,2,
@thegemijam9631,"Access Denied :""(",5년 전,2,
@changeeyecolor3891,❤️❤️💜💜💗💗💚💚💛💛💓💓😍😀❤️❤️,5년 전,0,
@uqualla3648,before looks much better than after),5년 전,2,
@jocelinanguiano6253,Pod,5년 전,1,
@victorialove4875,Wheres my gift,5년 전,1,
@evemarietorres,https://youtu.be/ZScDOf25yy0,5년 전(수정됨),0,
@daytonabchgrl1817,need foundation shade please,5년 전,1,
@mycatsheenacashappid4240,Thanks. https://read.amazon.com/kp/embed?asin=B087Z75VV6&preview=newtab&linkCode=kpe&ref_=cm_sw_r_kb_dp_L6JREbNDV387P,5년 전,0,
@mh-qr4fz,Vogue گوه,5년 전,0,
@ابوفيصل-ز5ط,❤❤❤❤❤✋,5년 전,2,
@mh-qr4fz,ابو فيصل 😉😊✋😁😘,5년 전,1,
@ابوفيصل-ز5ط,😘😘😘👍,5년 전,1,
@mh-qr4fz,ابو فيصل السلام علیک🤗👸,5년 전,1,
@ابوفيصل-ز5ط,ASDDFGHBNMKERDFGVBNMKSSEDFGHVBNMASDFGHNNMKRREVBMMSDDFRGHHVBMKKDFGVVNMASDRGGHBBMMKRRVVNMFFVNMASDFGHVNMŔEVBMWEBNMSDFGHVBMMRRWVBMMEESD,5년 전,1,
@ابوفيصل-ز5ط,Open Chakki chakki ka,5년 전,1,
@mh-qr4fz,ابو فيصل ؟؟؟!!!لا تفهیم.,5년 전,1,
@mh-qr4fz,ابو فيصل ؟؟؟؟؟,5년 전,1,
@mh-qr4fz,ابو فيصل Flur.Mill?????india?????arab????🙎🙎🙎,5년 전,1,
@ztacannparisyazidvasscacom1420,Vogue This my babywive,5년 전,1,
@saraadams4718,She's ugly,5년 전,1,
@sunitafisher4758,"Vogue 🌸 this is by far funniest one ever, I must have watched it a dozen times 😂 I hope she does more, very informative, entertaining and down to earth.  I simply adore this vid 💕✨",5년 전,1,
@anatolymyers2509,Yamila Lopez hahahahahhahahahaahahahahh hshahahhahashahhahahahahahahzhzhzhahahahahahahahahahaahahahahahah,5년 전,1,
@thecrimsonchinpost,She has a Rwandese forehead It is considered very beautiful in Rwanda 🇷🇼,5년 전,0,
@thecrimsonchinpost, @manologarcia5694  right!! I don't know the first thing about make up or anything at all but just observation I thought she used a color that wasn't matching to her skin It is very light compared to her skin color I wonder why she would choose that 'yellow' shade,5년 전,0,
@tincitodorovic1987,Ok,5년 전,0,
@changeeyecolor3891,✨✨✨✨✨✨✨✨,5년 전,0,
@erenaslisen5157,https://amzn.to/3nsPhxQ. Wow make up,5년 전,0,
@sailenganguly3686,@RueXx ans ta,5년 전(수정됨),0,
@sailenganguly3686,@RueXx and a second b9,5년 전(수정됨),0,
@beiconichairboutique3867,Subscribe to beiconichair boutique on YouTube  Follow  Ig: beiconichair “Let your hair down and wear the crown” Beiconichair.bugcartel.com,4년 전,0,
@madamjim6302,🤩,4년 전,0,
@ابوفيصل-ز5ط,AASDFGHVBMKGGFDERVNMKHGFDDRRVBNKGGFDERVNMKHGDDERVBMKGGFDRRBNMKHGFFDRRVBMKGGFDRRVNMKHGFDSRRVNMKGGFDRRVNMKGFDDRRBNMKGFFRRBBMKGFDDERRVNMKHGFDERRVNMKGGFDERRBBMKGFDDRBNM,4년 전,0,
@ابوفيصل-ز5ط,💚💛💔❤👭✌,4년 전,0,
@lizcedie,Do Zendaya next pls,4년 전,0,
@sungtaekabdulrahman5446,rih n I www LoL lol gloomin e e,4년 전,1,
@jegazala1300,Hidea.,4년 전,0,
@sungtaekabdulrahman5446, @jegazala1300  ESxXI yLOVE,4년 전,0,
@sakuraompu29,Yes,4년 전,0,
@changeeyecolor3891,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,4년 전,0,
@changeeyecolor3891,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,4년 전,0,
@Jvxlca,yuuhh,4년 전,0,
@lmnln1878,👎,4년 전,0,
@ferganilareine3641,https://youtu.be/ZExs34SpBkc..,4년 전,0,
@ferganilareine3641,https://youtu.be/ZExs34SpBkc..,4년 전,0,
@andrewdepne8119,Yo,4년 전,0,
@andrewdepne8119,Yo,4년 전,0,
@changeeyecolor3891,v👍👍👍👍👍👍👍👍👍👍👍👍,4년 전,1,
@sabrakamel4579,"@Natalie..,,    ,",4년 전(수정됨),0,
@sabrakamel4579,@Natalie kp.. P. P. Poó. eep yours p,4년 전(수정됨),0,
@alidasalas6854,Bountifully I going sending too my nice 👍🏻,4년 전,0,
@mariacolmenares6905,@Natalie  mmm bm yy m,4년 전(수정됨),0,
@queenv4340,Yess,4년 전,0,
@karinefeliciano7676, alex robles  nice,3년 전,0,
@karinefeliciano7676, alex robles  yea,3년 전,0,
@aprilwoods9105,I 💄❤️😍🥰,3년 전,0,
@aprilwoods9105,I have your body spray,3년 전,0,
@ifemdavis7441," @thecrimsonchinpost  She added warmth to the color with bronzer,contour and blush which made the shade darker, therefore it ultimately matched her complexion while giving her a :brighter"" look",3년 전,1,
@villagelifewithroja223,It's great 👍 I'm glad to see my channel ❤️😘,3년 전,0,
@sambatesy1079,"Beautiful personality,along with her. What a gal.",3년 전,0,
@rameeshpu3128,Rameesh .P .U.deaf.,3년 전,0,
@YvonneMorandi,Si può ricevere Vogue in Svizzera di lingua italiana  ?  Grazie,3년 전,0,
@N.Thuy.M.V,"Congratulations on your first 10K followers, may you reach 100K soon.",3년 전,0,
@tiestokygoericprydz3963,"Get Paulina Porizkova, Nina Dobrev, Miranda Kerr, Carly Rae Jepsen, Florence welch, Polina gagarina, Zara Larsson, Simone Simons too",2년 전,0,
@davidsmith-vx4of, @WittyBonita  k,2년 전,0,
@Milena-hl8tw,Agree with you,2년 전,0,
@spiritualLY.G,❤,2년 전,0,
@pbgbaebae,💜,9개월 전,0,
@atbp828,Done❤,5개월 전,0,
@Dontchangemynumb,I LOVEEEEEEE YOU RIHANNA,2주 전,0,
@JohnZuniger,This was short but valuable.,2주 전,0,
@InhoPelagio,Your editing skills are insane.,2주 전,0,
@andreteixeira7250,This was so fun to watch.,2주 전,0,
@NathanWalker-i2w,Such a fun video to watch.,2주 전,0,
