username,comment,time,likes,reply_count
@AsianBoss,"If you consider yourself a true fan of Asian Boss, become a member of our community to join the cause: https://asianboss.io",2년 전,8,
@largeformat942,"""all men have the same goal""  Surprise! That's how men work.",5일 전,0,
@alitopsecret,What is benifits of renting if no physical relationship not allowed.,9개월 전,0,
@Dusttbunny,She looks like she's had a lot of work done on her face. She says she's paying off a lot of loans prob plastic surgery loans.,11개월 전(수정됨),1,
@ふわふわ塾,横田未来ちゃんに似てる,1년 전,0,
@Roadrunnderjarhead,When I went on R&R from Vietnam to Taipei In 1967 I rented a woman for 5 days for 450 dollars.  When I went back to Danang at the R&R center I was physically wore out. That woman made me have sex with her all night for every night I was in Taipei.,1년 전,1,
@Zehahahahahahahahahahahaha,She just hate your hair,1년 전,0,
@brofenix,"@5:46 wow, yeah very real. I respect that she has to make money and doesn't want to become emotionally attached.",1년 전,2,
@aainspr7578,Queen 💅🏻💅🏻✨,1년 전,0,
@oiiebmms8461,I think she was a little cold because there are camers in front of them and it feels more like an interview than a date.   I understand her pov.,1년 전,1,
@alexjaber4207,After 10 minutes 😊 leave,1년 전,0,
@lesterjohntalde296,IG of the girl please,1년 전,1,
@jayworld-es5if,"She spent three hours talking and being friendly, and it's disgusting to see her pull back when he finally hugs her to say hello. She seems to like nothing but only money.",1년 전,1,
@Buzzard061,Normalizing sociopathy is a sign of the times,1년 전,0,
@josepansini,chinese girls are so prety,1년 전,0,
@kpopmaniac2254,That's scripted from either your side or from her side😂😂😂😂😂,1년 전,1,
@ancientaliensarecoming7201,god she looks hideous,1년 전,0,
@FactsoverFeelings94027,"As a man with confidence and self respect, I'd expect the Chinese girl to pay me to associate with them.  Chinese girls are a dime a dozen.",1년 전,0,
@bento8711,"5:07 gua kira dia bilang""can you sepong me""haha....",1년 전,0,
@ldp123100,I think you got ripped off off😅,1년 전,0,
@OO9O9,This is rent a companion not a prostitution.,3개월 전,0,
@Qwerboy-zv1mk,​​ @OO9O9  🤣🤡 you're a looser who comments 💩 on every single comment LMFAO- what a sorry life- pathetic,4주 전(수정됨),0,
@MiwohSeon,​@Qwerboy-zv1mk they're not a loser. i've read their replies and they only seem like a decent person in real life. who they're replying to are the losers because in the first place why are they even interested in renting a girlfriend that they criticize the girl in the video for not fulfilling their expectations? lol,2주 전,0,
@Qwerboy-zv1mk,"​ @MiwohSeon  1. This person went from ""criticizing"" to ""hate speech"" learn the difference, this person posted 100+ comments on this video alone 🤣how many have you even read? 2. What ""girl"" have the people criticized? Give me a name or two- are they criticizing a ""person"" or the ""system""? Learn that difference first 3. If a product exists, so will buyers; are we not allowed to criticize what we want in a product if it's not upto  ""customer"" liking huh? Never heard of ""customer care""?",2주 전,0,
@MiwohSeon,"​@Qwerboy-zv1mk the loser jumped out in record breaking speed, geez. ""product"" is what you think of another human being? virgin 😂",2주 전,0,
@OO9O9,So?,3개월 전,0,
@OO9O9,Degenerate,3개월 전,0,
@OO9O9,Cold? You seem fragile,3개월 전,0,
