username,comment,time,likes,reply_count
@nerdsheldon7843,Thanks for making me understand that knowledge is not understanding,21분 전,0,
@johnhagemeyer8578,"I would have leaned with my body, or pretend i was driving a sail boat tiller.",17시간 전,0,
@Julian-p8p,My friend made one and with like 2 hours of training I stayed up for like 10 seconds (it’s so hard to stay up),1일 전,1,
@manfredohunterberger2403,"aprender a andar de bicicleta já é contraintuitível,..entāo aprender primeiro nessa bicicleta diferente pareceria o modo normal...",2일 전,0,
@missExyz,As a GenX’er - we DID do this as kids - you used to be able to flip the bike handles around and then attempt this. Thinking around mid-late 80’s! Very cool video! Cheers!,2일 전,0,
@AnnaAndreaClemente,Grab the center of the handle and let your brain train..,2일 전,0,
@frankgessner6766,Why!,2일 전,0,
@nicholasdelosreyes9177,The gearing is a huge issue too..a slight movement of the handlebar sends the tire way off to the left\right. Change the gearing to reflect more of that of a regular bike in the sense of turning.,3일 전,0,
@rowlinstoned3715,"I love the comment, ""welder is smarter than an engineer ""😂 I really like the meaning behind it❤❤❤.",4일 전,0,
@MarkHarrop63,Only just started the video but irritated already. Not only has the steering direction been altered but also the wheel and bars are no longer rigidly connected.  I reckon it would be near equally difficult should steering direction be maintained  but with loose bars. Gonna scan to the end and see ifn l need to edit.,5일 전,0,
@DFiantFigure,I think I can do it,6일 전,0,
@tatooinefarmboy,There was a guy that actually managed it first time on the Paul Daniels Magic show,2주 전,0,
@tedbeauchamp2009,😆,2주 전,0,
@Eugene-l6n,"You will experience the same effect if you roll a normal bike backwards down a slight incline. Your normal reaction for balance will be exactly wrong. Your reaction must be to try to fall down on purpose, then you will be surprised to find that you regained balance. I predict that if you also modified the drive on the backwards steering bike to roll backwards when pedalled, that people would be able to stay balanced rolling bacwards on the first try.",2주 전,0,
@Nigelrathbone1,Problem it severe oversteering to correct,3주 전,0,
@JGscienceGaming,This is amazing unfortunately a lot of propel like this are narcissistic and manipulative people. For whatever reason the people like that are like that and choose NOT to better the world,3주 전,0,
@SearchHome1187,"I had a similar experience, earlier on in my time driving forklifts in warehouses. Older style reach trucks are oriented in a forward driving position, while newer style reach trucks have you turned sideways, so that you can safely look and operate in either forward or backwards directions. In between, there were adaptations meant to address the danger of having to drive forks trailing in a machine meant to be driven the other way, which was usually achieved by twisting your arm behind your back. One such adaptation required you to steer with your right hand instead of your left, which is how every reach truck is oriented. While it may seem like a small change, it was very difficult. Though apparently much easier for a lift driver that had less experience than I did.",3주 전,0,
@caponliovid66,That is so interesting. Now I'm curious if you made the bike so that you have to pedal backwards to go forward would give the same effect. Or both pedal and steering are backwards LOL,3주 전,0,
@neana9597,"""It was like I had a pathway in my brain that was unlocked."" I like this.",3주 전,0,
@WES_5150,Muscle and mind memory.,4주 전,0,
@dkskxnjdkskdj9904,4:54 😮😮😮😮😮,1개월 전,0,
@Paul-v8v4j,I hear and I forget I see and I remember I do and I understand,1개월 전,0,
@batchint,ooh hello folks… I always ride backwards but the police still don’t know that 🎉,1개월 전,0,
@Hutchinson63,Kinda like why kids snap up computer skills and most elders have some difficulty,1개월 전,0,
@the6ig6adwolf,"What about riding the backward bike with no hands? By relying on body movements to turn the bike instead of your hands, does it become a regular bike again?",1개월 전,0,
@trumtrum5136,"play video games, sustain neural plasticity",1개월 전,0,
@trumtrum5136,"It's about balance, not brain",1개월 전,0,
@deeyon6671,"My therapist gave me a link to this to back up the fact that at 59, it’s hard to unwire pathways to thinking and behaviours that have been ingrained no matter what you now know and understand is true - but that practice and perseverance can win the day. It’s not over yet! Thanks",1개월 전,0,
@horacejrogers4714,welders are probably not smarter but they do have a vicious sense of humor.,1개월 전,0,
@hijext8598,I wonder if people who ride motorcycles can learn this easier. At higher speeds you have to counter steer and push on the handle bar rather than turn it (turning right = push forward on the right handle bar). With the bicycle reversed I’m curious if the brain makes that connection faster if you’ve been on a motorcycle. Then again there’s more leaning involved with motorcycles.,1개월 전(수정됨),0,
@OrzVanced-oq6wj,And YouTube algorithm brought me here... 10 years later.,1개월 전,0,
@TheCurioverseTV,"The neuroplasticity demonstration here is incredible, but what’s even more fascinating is the speed difference between learning and unlearning. It took you months to learn the backwards bike, but only minutes to ‘forget’ how to ride normally afterward. This suggests our brains don’t actually overwrite old neural pathways - they create competing ones. The original skill is still there, just temporarily suppressed. It’s similar to how bilingual people can lose access to their first language but recover it quickly when re-exposed.",1개월 전,0,
@TimpBizkit,You see the magic trick is counter-counter-steering 😁,1개월 전,0,
@guillemiglioresi,Muy buen vídeo! Felicitaciones! Y Gracias!,1개월 전,0,
