username,comment,time,likes,reply_count
@DefinitelySun,i wasn’t even alive when this came out,1일 전,0,
@Retiore,Wow! It’s Crazy To Think About The Fact That We Are Getting More And More Scientific With Our Ideas And Thoughts As The Years Go On.,1개월 전,0,
@AmarRamdial,"😮😮😮😮😍❤️ holy cow 🐮,!!!!🥰",1개월 전,0,
@MuhammadSharfat-es1lf,Ggg,5개월 전,0,
@PartyPubG,The thumbnail still effective in 2025.,8개월 전,0,
@lucyroark4189,"Makes me sick, definitely NOT hungry.🙁",8개월 전,0,
@novostranger,This cow did 25 to life at the slaughterhouse,9개월 전,0,
@dukenegju,"That's just inhumane, didnt make it more than 1 min here. Love and Peace",9개월 전,0,
@satgay2776,I remember watching this over 15 years ago.,9개월 전,0,
@IBEAREA,this place is not happy,1년 전,1,
@Buzz5Geography,🌏🌏🌏,1년 전,0,
@Stark.......,I am as a Hindu 💀,1년 전,1,
@roadToMillenium90000,Wow... Wow super sapi >10milliarLebihRupiah🤩🤩🤩🤩🤩 cocok banget untuk idhulAdha🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,1년 전,1,
@Irradurgasrinivas2406,We got cow with steroids before gta6😂😂😂,1년 전,0,
@schizo4932,mf doesn't need to gymmaxx. 100% Natty.,1년 전,0,
@Hyperwing4678,nooooo why is that the most replayed,1년 전,1,
@djluminol,😞Poor cow probably has some seriously painful ankles.,1년 전,0,
@BarelyA1ive,Now I know why this video was one of most watched,1년 전,2,
@MrRobertito17,"I think this is where they got the lyrics from ""my milkshake is better than yours..""",1년 전,0,
@UNKOWN07124,Why you said them sperm machine,1년 전,0,
@Schadenfreude596,bro is first fake natty,1년 전,0,
@lisasternenkind6467,Horrible!,1년 전,1,
@GonzoStudioz,I am disturbed :|,1년 전,0,
@Ina_Toma,“It’s very early in the morning for…” “I understand” 😂😂😂,2년 전,1,
@kailiagandy,"Therapist: Super Cow isn't real, he can't hurt you.             Super Cow:",2년 전,0,
@Join_My_Teligram_channel,😮😮,2년 전,0,
@K-pop-u9m,Who watching this in 2023,2년 전,2,
@stevethea5250,Would it be wrong to selectively breed for traits in my offspring then?,2년 전,0,
@stevethea5250,3:40 she wants,2년 전,0,
