username,comment,time,likes,reply_count
@GKidsGoddard,WHY IS THOS ON MY RECOMMENDED 11 YEARS LATER?!!?😭😭,3시간 전,0,
@johnmoller222,Orlando? Really? It's a shit show! WTF?,1일 전,0,
@tonicarr3113,Jimmy: we’re going to go again 😃 3:41  Kevin:what 😳,1일 전,0,
@Mya_Sarah_Bellum,"Like me, just looking at the roller coasters in Cedar Point would make Kevin s*it himself.",1일 전,0,
@breqlynnamos4354,😂😂😂😂😂😂😂,2일 전,0,
@Karameliz,Черные такие трусливые,6일 전,0,
@Pamplemousse82322,"Mr. Pegged for 50 mil and the unfunny host. Fallon, you suck. Not funny on SNL OR here.",10일 전,0,
@Jrytpage,Who’s here after it’s been destroyed🙏😢,10일 전,2,
@Ghostboy419,R.I.P ride rocket (2009-2025),10일 전,0,
@GaryDenim,I’m a grown man,2주 전,0,
@lucascharonemuniz,"September 2025, unfortunately this roller coaster is forever gone.",2주 전,3,
@therosarychronicles3117,"Both of them look miserable on the roller coaster. Remind me once again why we have them?!  If several centuries from now, future societies excavate and find our roller coasters, I am convinced that they will think they were mass torture devices.",2주 전,1,
@jeannebeverly1244,I hate them too!,2주 전,0,
@TocaMadi123,YouTube:Let’s recommend a video after 11 years,2주 전,2,
@CaroylnGoewey,Seen this video before so hilarious,2주 전,0,
@talk2azs,I so miss this coaster already seeing how it was being scrapped after being shut down less than a month ago while writing this comment! RIP RIP Ride Rocket,3주 전(수정됨),1,
@abtliquid,Who's watching this 2025?😂,3주 전,3,
@orfe1og,To this day September 2025 I still can’t stop laughing 😂😂😂😂😂😂😂😂,3주 전,3,
@JenPurple2022,"I feel Kevin, I feel for you! Just watching jt made me almost pee in my bed … 😂 Give me $1M I wouldn’t do it.",3주 전(수정됨),1,
@GageGrippe,This is why never judge kevin Heart's hideht.,3주 전,1,
@nathan-rocket,"Roller coasters are one of the greatest inventions of mankind, but I can see future societies believing them to be torture devices",12일 전,0,
@carolynclaire5241,Take Kevin to Cedar Point in Ohio. THEY have the best coasters in the US.,3주 전,2,
@valvalou-t4s,😘😘,3주 전,1,
@kevinblake3809,anyone in 2025?,3주 전,1,
@finleywinters7010,"That me on the American Eagle at Great America, i know the feeling it's scare ass hell.😂😂😂😂",3주 전(수정됨),1,
@Clearwater2408,R.I.P Rip Ride Rocket. You were sore on the back and neck but I loved you all the same. Next up “hopefully” Ghostbusters the Ride.,3주 전(수정됨),3,
@Curtisk12YT,“I got no click! I ain’t got no click!”,4주 전,1,
@JKThrillz86,R.I.P Rip Ride Rock It,1개월 전,5,
@JacobHassey48,Rip Hollywood rip ride rock'it😢,1개월 전,5,
@abdulsalamissa7457,ZAI😂,1개월 전,0,
@teijaalanko5165,Oh' nooo🎉🎉🎉 terrible everythings this place 🤪〰️〰️🥱〰️〰️🥴🤣👍👍🎢🙌,1개월 전,0,
@jack.clancy,RIP Rip Ride Rockit 💔,1개월 전,6,
@ronniedodge3299,Rip Hollywood rip ride rockit 😢,1개월 전,6,
@AdityaFR-77,Oooo yeah some got recommendation in just 6 years and I got in 11!!!,1개월 전,1,
@305FloridaTraveler,They should ride the velocicoaster 😂,1개월 전,0,
@mariacanche8316,Jimmy no es humano 🤔,1개월 전,0,
@themeparkguyproductions,Who’s here after Hollywood Rip Ride Rockit closed?,1개월 전,6,
@KathleenGeiger-vd2cv,Oh hell no!,1개월 전,0,
@ex9lbwrlawwts4j-ybq2ia2,It's very sad to see this roller coaster being closed forever,1개월 전,4,
