username,comment,time,likes,reply_count
@Kiyaboo214,Get down Shaq!! 😂,2일 전,0,
@AetherTanzanite,"0:36 For once, something else shined more than his head...",4일 전,0,
@Taya33-t,This was awesome 🤩,3주 전,0,
@atropellam0r0s,Shaq is one of the funniest celebrities ever man,3주 전,0,
@flightkidd123,Bruh the nba will never be entertaining like this ever again with personalities like shaq smh different world frfr,3주 전(수정됨),0,
@PaulieWalnuts58,Kick that kneega beach off the plane,4주 전,0,
@KapilSingh1996-e3y,Kareem Abdul-Jabbar,4주 전,0,
@CaesarSuriano,Do they still do stuff like this at al star weekend,4주 전,0,
@LearnToWin9683,Man…LeBron James should have participated in the Dunk Contest like Kobe Bryant did…what a missed opportunity for LeBron James,1개월 전(수정됨),0,
@RIGHTEOUSNESSPU,Damn he mad D Howard look super small,1개월 전,0,
@thejaycotti,Mf did a hitch and go dance Move 😂😂,1개월 전,0,
@chococola4931,0:36 was clean 😂,1개월 전,0,
@MuratÇavdar-s9r,My fun with friends 😂 and l love Shaq.,1개월 전,0,
@iaintshit803,18 yrs ago‼️‼️‼️‼️‼️,1개월 전,0,
@AlphonsoHolcombe-h7n4p,They said let's do the NBA booty bandit dance for illuminati 😂,1개월 전,1,
@박피닉스-l8n,Best,1개월 전,0,
@ByronDaily,First video on YouTube I seen older than me💀💔,2개월 전,0,
@Nerdparkmark-s1n,AI is scary bro,2개월 전,0,
@ReyGómez-g4f,Gran ser Humano Oneil😊,2개월 전,1,
@BasketballBudsShow,Needs more Kevin Hart...,2개월 전,0,
@BasketballBudsShow,Shaq really isn't bad!,2개월 전,0,
@katinawilson3527,0:38 🤣🤣🤣🤣🤣,2개월 전,1,
@katinawilson3527,0:36 ayo🤣🤣🤣🤣🤣,2개월 전,1,
@anthonyvelez2571,"And to think, all you fans do is hate on shaq all day every day now",2개월 전,0,
@jahalang0112,"18 years later, Lebron is still playing.",2개월 전,1,
@Dr.leBroon,I love this video❤,2개월 전,0,
@TheMAGNUUSS,Shaq win easy,2개월 전,0,
@KatsuAlucard,Ну разве это не удивительно такой гигант и так двигает телом,3개월 전,0,
@ViolinKingtheOG,Zesty Shaq before GTA 6 😔,3개월 전,0,
@OuterBeautyStartsWithin,Now we know why Dwight was such a good dancer. It all makes sense.,3개월 전,1,
@root0062,Are You Not Entertained !!!,3개월 전,0,
@PhillipEspinoza-t9h,Shaq i challenge you to 1 vs 1 dance off break dance.,4개월 전,1,
@charliefoster5862,There will never be another Shaq 😂,4개월 전,2,
@AminAlbadawy-vp7tj,❤❤❤❤❤,4개월 전,1,
@lebienloremipsum,how cool is shaq please :D,4개월 전,0,
@cxashout_kev,2025 ?,4개월 전,1,
@davidwilliamson2341,Whole lot of Zesty there with Shaq !!!,4개월 전,0,
@mestredacartola5055,SHAQ THE GOAT,4개월 전,0,
@skuddabehbyy1223,Shaq fuxked em up😂😂😂,4개월 전,0,
@チャハーンEX,レブロンがチビヒョロガリに見えるの異常,5개월 전,0,
@KiloCreations,Before GTA 4 lmao,1개월 전,1,
@ViolinKingtheOG, @KiloCreations 😭,1개월 전,0,
@Ping63ms, RobSoRandom exactly what i was thinking,2개월 전,0,
@PureKnowledge,Demarco Flemmins?,5개월 전,0,
@cdawg_sf,Are you not entertained!,5개월 전,0,
@cdawg_sf,That was a shaq dance party with LeBron and Dwight as back ups,5개월 전,0,
@catedoge3206,yoooooooooooooo,6개월 전,0,
@RobertEspinoza-yt2bw,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,6개월 전,1,
@ItzJustZayy,Shaq killed the dance 😂😂❤️,6개월 전,0,
@christopherjacobs4334,Big giant dance off😂😂😂😂😂😂,6개월 전,0,
@yesitdobewes_0443,damn this guy can actually move ahahahahah,6개월 전,0,
@DwainWilsonJr,"18 years, and we're still here. AMEN?!?!...",6개월 전,0,
@MaryAnnDay,😂😂😂😂😂😂😂😂😂😂😂😂😂,6개월 전,0,
@tarushhashen,Yt recommend this after 18 years,6개월 전,1,
@JahmilBlair,Dang bron is really small compared to shaq lol,6개월 전,0,
@James-jw3ql,Holy crap man 18 years ago? Wow okay... They said time goes fast but wow...,6개월 전,1,
@SirMeyrick,You can’t beat the big fella at anything he’s too big at everything,6개월 전,0,
@desmondbakerpoetry,We miss the Shaq days!,6개월 전,0,
@cowboytanaka6675,Dwight Howard low key enjoyed it,6개월 전,0,
@plaqboymikeyy,What I thought Dwight Howard and Shaq hated each other😭😭,6개월 전,0,
@MG-wy3ek,역시 놀 줄 아는 상어,6개월 전,0,
@SemadMC,Shaq was twerking on tv 20 years ago. Ahead of his time for sure 🤣,6개월 전,0,
@andrewunzeitig335,Dang these guys can dance too!  Shaq was ridiculous.,6개월 전,0,
@AaronTheGreat________,Bro this was mf 2007,3개월 전,0,
@loveking835,Come on now that looks suspect,6개월 전,0,
@shanikkaperryman2558,SHAQ!!!!,6개월 전,0,
@detroyt232323,"Oh, Howard liked this 🌈",7개월 전,0,
@Gibbs2Go,Wonder if MJ would have took this personal and went full other MJ (Jackson),7개월 전,0,
@wolfff9960,Damn this video is older than me 💀,7개월 전,0,
@Life3000AnF,The all star was small back then,7개월 전,0,
@angelsantana7718,Dwight didn't have any interest in it until shaq started twerkin,7개월 전,0,
@babinag6278,Shaq won the face off 1v 1,7개월 전,0,
@PolymathicHub01,I'm here 18years later...damn!,7개월 전,1,
@AS235DI,Wow. There was youtube in 2007 ? .. Didn't know,7개월 전,0,
@cnjbravo,Look how admiringly Lebron watches his dad Shaq dance,7개월 전,0,
@solidkingcobra,Hey this was before Dwight and Shaq were beefin!,7개월 전,1,
@oluwaferanmi5695,18 years later This guys are Legends now!,7개월 전,1,
@Kaartier-w4r,Only time Shaq & Dwight was coo 🤣,7개월 전,0,
@Psacal,This is gay,7개월 전,0,
@AfroSamuraiTV,"Now this is all star weekend. I miss NBA back then, now everyone just shoots 3s",7개월 전,0,
@MNDTRX,Prime years. ASW is so wack now.,7개월 전,0,
@f-u-bich,this alone was better than the entire 2025 all start weekend,7개월 전,1,
@AhhChu226,What’s all that movement back there??!!,7개월 전,1,
@michelangelooliver2590,The league used to be FUN!!!!! We don’t have personalities like this anymore. This is what hurt the NBA from a viewership standpoint also.,7개월 전,0,
@teo_heel,YouTube started in 2005.,7개월 전,1,
@aaronlee4948,Thank Mr Steph Curry,7개월 전,0,
@AfroSamuraiTV,@aaronlee4948  ?,7개월 전,0,
@aaronlee4948, @AfroSamuraiTV   Thank Steph Curry for making the nba a game where 3s are the only thing people practice.,7개월 전,0,
@enzoeclipsed,Shaq had the moves. Also he even makes Dwight look small lol,7개월 전,0,
@mrTerrance_36,LeBron James& Shaq February 2007 18 years dance off 👑👑👑👍🏿👍🏿,7개월 전,0,
@ElviejonIvan,Dwight got a chubby,7개월 전,0,
@rozier581,It's hard to imagine that this video is 17 years old. Time flies so quickly. It feels like Shaq and LeBron's dance battle was just yesterday.,7개월 전,0,
@jerwincrisostomo8116,2025 anyone😂😂😂,7개월 전,4,
@KingTubers93,Shaq got MVP for dancing,7개월 전,0,
@sany_okok6738,Trak?,7개월 전,0,
@sany_okok6738,Trek?,7개월 전,0,
@malachizarathustra7301,That's a big robot,8개월 전,0,
@khaimcmillan9152,About to be 18 years,8개월 전,0,
@khaimcmillan9152,17 years ago,8개월 전,0,
@legendarywiimaster,Back when Shaq and Dwight weren’t beefing,8개월 전,0,
@Barakudas1-h6k,He towers Dwight.,8개월 전,0,
@GENNL8,One of my favorite NBA moments ever 😂,8개월 전,1,
@KyleNamiteVlogs,Shaq and Dwight should do a dance-off again instead of fighting online 😂,8개월 전(수정됨),0,
@Jayvionhayesmrhayes,Shaquille O’Neal won😊,8개월 전,0,
@Mr.Someone93,"Fuck presidents, politicians, businessmen, rich people, the only man in this world who can do anything he wants and no one will say anything to him and whatever he does will not be weird is King Shaq",9개월 전,0,
@VF1-RJ,"Shaq, the GOAT of NBA twerking.",9개월 전(수정됨),0,
@ToMSpanXXX,Who's here in Dec. 2024?!🎉❤🎉❤🎉❤,9개월 전,3,
@user-4ykot5ka,"Люблю всех добрых, отзывчивых людей мира!😊😅❤❤❤",9개월 전,0,
@dolphinradish4976,Don’t bring those childish Jonas Brother comments to an NBA video,7개월 전,0,
@BigadrianX,Why is that so cool😎,9개월 전,1,
@hilltop54jungle48,All that for him not like Howard for no reason 😑,10개월 전,1,
@_K_y,"Shaq didn't have to prepare at all, he's freestyling 😂",10개월 전,0,
@Truthisfree2U,Why was Shaq twerking that’s too much bruh,10개월 전,0,
@jaicrrsc335,I love Shaq!! ❤,10개월 전,0,
@Brix-z2m,This one never gets old. Shaq is very talented hahaha. 17 years ago. Today is 2024 :D,10개월 전,0,
