username,comment,time,likes,reply_count
@timferriss,"Take 10 seconds and sign up for my free ""5-Bullet Friday"" newsletter: https://go.tim.blog/5-bullet-friday-yt/ Each Friday, you’ll get a short email from me with five things I've discovered that week, sending you off to your weekend with fun and useful things to ponder and try. 🙌",3년 전,12,
@TimothyWhelly,Baking soda didn't work,9일 전,0,
@SmileSparCute,I feel like this video added something positive to my day,1개월 전,1,
@Giuseppebiondo-n7v,That is so nice…,2개월 전,1,
@harrymatabal8448,HOW TO PEEL HARD BOILED EGGS WITHOUT PEELING. I am confused  First you want to peel. Then you say without PEELING. 🤔,4개월 전,0,
@lesssalt,"Tim said so many smart things, wrote so many smart words, talked to so many smart people - but yet the most popular video of his is him blowing into a hard-boiled egg. Can't beat the Internet.",4개월 전,5,
@Wanderer_52,"Hopefully, the restaurant  cook is not using this method 😢.... or  even yourself when family comes over for dinner..... 😢",5개월 전,0,
@ricknofzinger,saliva on the egg.....blech.,6개월 전,0,
@aclaylambisabirdman6324,"Much love and respect brother, I hate making them for the exact same reason, will give this a try later today 🙏🏼👌☦️",6개월 전,0,
@thedoomster6133,I tried this.  Doesn't work.  🤥,7개월 전,0,
@niikiitss,"So let me see… boil for long as* 12 minutes, grab baking soda and throw in a spoon, then grab ice and cool down the water, then poke two holes… and this is not a pain in the a**? Thank you but I prefer the traditional way.",7개월 전,1,
@johnlindsey671,Easyest way https://youtube.com/shorts/g9mqNZLougE?si=xswE327DmR2qyTf4,8개월 전,0,
@grayman4232,That's for personal use not for guest.,8개월 전,0,
@heatherforrester9810,BS!!!!!,8개월 전,0,
@FeonaLeeJones,Impressive!,8개월 전,0,
@VikramRathore-u8m,What.. thank you,9개월 전,0,
@unbiasedone,What happens to this tip post covid,9개월 전,0,
@andyzimm3002,Didn’t work.,9개월 전,0,
@MasterApprentist,"WWTFD blow hard on jt and shout yay 😂❤. No idea why this hit my feed today, Jeesus 16 years on and hes still going strong, side bar has aged incredibly well too.",9개월 전,1,
@johngraham5948,Place the boiled eggs in the fridge overnight and try it and see if it works,9개월 전,0,
@tazeemmahashin7545,Yes.,2년 전,1,
@HASIB_mhh,Nah,2년 전,0,
@goodtoogo,This is impressive you were making shorts popular 16 years before YT figured it out!  Question what is the best way to get a hold of you?  - 4 hr ww reader ;),7개월 전,0,
@stephenswistchew7720,And you blow your Covid or flue germs al over the egg salad and you enjoy it  and you wonder why you get sick  try this trick when you go for your food safety certificate  see how long you last,9개월 전,0,
@patrickyoutube9552,"I was suprised this worked , definitely use hard boiled eggs (missed that crucial part myself 😅)",9개월 전,0,
@Jazzfestn,For retards 6 years old and below!,10개월 전,0,
@brianmorrow4729,"If he says to boil eggs for 12 minutes, he knows NOTHING about how to properly make a boiled egg.",10개월 전,0,
@327radar,Bad breath egg hey?,10개월 전,0,
@jeya9938,Damn,10개월 전,0,
@WilliamBegenau,Didn't think this would work but it does!!,10개월 전,0,
@liliagaspar9742,You did peel it twice on both sides,10개월 전,0,
@TXDude,"So, can you show us how to peel an egg that someone else would want to eat? 😮",10개월 전,0,
@logicalratio,Not sure I want to blow the eggs for my dinner guests but a good suggestion for a solo meal.,11개월 전,0,
@faisalmemon285,"Yup, you want your chef blowing into the food.",11개월 전,0,
@barbarahermannster,I hard boil eggs in the instantpot. They are very easy to peel.,11개월 전,0,
@austinkim7804,How do people even find this out...? I've wasted so many minutes of my life already.,1년 전,0,
@vfcustodio,Foda!,1년 전,0,
@TheSolo38,Had to give it a go and a like it works 💯 %thanks so much for sharing 👍👍👍👍👍👍👍👍👍👍👍,1년 전,0,
@slaughterhouse5585,"Ya know, he didn't actually peel it in the true sense of the word.",1년 전,0,
@NicolasProcel,Pro Tip: make scrambled eggs instead.,1년 전,0,
@squirrelattackspidy,"I think if i blow out an egg like that, nobody but me will eat it.  Maybe I should use an air compressor?",1년 전,0,
@emh8861,Now make cascarones! 🎉🍾🇲🇽,1년 전,0,
@Stefanox36,This is good when you are cooking for yourself ONLY. Who wants to eat an egg with lots of germs from somebody else's breath?,1년 전,0,
@ducanhdinh8574,1 minute in Tim's 4-hour work week.,1년 전,2,
@delaplanemusic,😮,1년 전,0,
@lancethornton5405,So this works. Blowing required more effort than I realized but damn. I'm a convert.,1년 전,1,
@mindcontrol67,Cool video from 1973.,1년 전,1,
@RicardsYtb,I did it wihout the baking soda my egg EXPLODED.My fault,1년 전,0,
