username,comment,time,likes,reply_count
@GeminiLand,Nicki looked amazing,1개월 전,0,
@genebcolon,could of been easyly been recreated=no need to wear this.,5개월 전,0,
@AdittoChakma-o9k4g,olivia us the best here but he said she's flop whyyy broo??,6개월 전,0,
@WafflePancakes1314,I enjoyed Bella’s dress…,6개월 전,0,
@rebekoko,"Watching this in the future, 2025, and we still feel disgusted KK was allowed to wear the hallowed Bob Mackie Marilyn Monroe Dress. We now know the fragile art piece gown was damaged by the aggressive attempt to get it on KK’s body, which failed because this dress was hand sewn while Ms Monroe wore it. This is why we see that abomination white fur to cover the fact it did not fit KK at all. The dress was returned torn with precious crystals missing  and more unspeakable damage was caused. Bob Mackie himself was opposed to this as were most of us. KK looked awful and destroyed a precious piece of fashion iconic history. Yes, we’re are still not recovered…",6개월 전(수정됨),0,
@Bunchoeves,"Cardi B is wearing the same gown that Barbra Streisand wore in the movie Hello Dolly, set in the Gilded Age..",8개월 전(수정됨),0,
@1boogiebetty,I bet that Marilyn dress smelled like heavy perfume and BO after she wore it.  (I have Brooks Brothers Chesterfield),8개월 전(수정됨),0,
@AmberTwiss-s1l,"Wow, maybe I should wear a bicycle suit.",9개월 전,0,
@chateauBoudreau,I adore the Blake Lively dress 👗 I’m completely obsessed with the colours.,9개월 전,0,
@domonation1,Say Gilded again,1년 전,0,
@lebanon1169,since you all hate her now i can't hold it back anymore - this statue of liberty dress was fuck ass🙏,1년 전,0,
@Cc07,"How you dig deep to compliment kourtney tells me everything about your style IQ, she did what she did as a fuck you not for the sake of the theme or fashion. The entire clan was there to basically cover the costs of the Marilyn stunt bs and obvious she didn’t wanna be there and has made this clear throughout their infamous history.  As for kim and kardashians, kim would have been dragged regardless but probably a lot less with a replica- just another using her for fame. So many still jealous and hateful of Marylin or creepy to her like hugh hefner.. Not to mention all the hassle going blonde for a boring af slickback. khloe and kendal shined, blake overal was my fave.That is the glam and big show we all wanna see.      Kourtney probably felt very punk and rebellious in the moment and that’s cool for anything but the met. I’ve never seen something so awful minus the dumb sheer or avn dresses with a cheep nude thong under. It’s one thing to do this at some random event but not at an event all about fashion. I know this is old but I just saw the BTS footage behind the dress concept and design, it was an intentional fuck you mess.     For whatever reason, they’re going on and on about being icons for fashion and it’s tired. No one is more of a try hard than them and kanye. While others, style comes to them naturally.   Either way, call a spade a spade, it was dumb and dirty what she did. I think the event is a bit overwhelming high society crap but it’s also this giant beacon that the fashion world is forcibly centered on. With all that said, it’s still awful what she did and there are worse things happening in the world but man don’t pretend what she did was appropriate at all.",1년 전(수정됨),0,
@kriskimble7388,Bianc`a Jagg'errrr in the French accent slayed me 😆,1년 전,1,
@TyburVelereon,Pete Davidson majorly failing the green line test honestly. Bro the woman is famous through actively promoting her honess it does not matter how hard you lean in,1년 전,0,
@TyburVelereon,I  love how you Project Runway all of them when they are not on theme. To the participants: IT IS A THEMED EVENT FOR A REASON WE WANT A COLLECTION NOT YOUR PERSONAL TRUTH,1년 전,1,
@joancrawford5781,I almost feel like Anna intentionally dresses boring at these galas as if to say she is above even having to dress on theme at her own party.,1년 전,0,
@beatrizmenicio4317,"I can't start watching this guy because I wil watching 17 videos in a row, I just love him",1년 전,1,
@bibles1234,"What's with Ashton's vampire teeth and total white eyes,  no irises?",1년 전,0,
@CMinorOp67,"19:18: lololololol…now there’s a fashion designer who thought, “oh, I’m just so brilliant” OR “the fashion industry is so stupid”.  Either way…WTEverlastingF???!!!",1년 전,0,
@shelibecksilveria7825,"Mrs. Astor, simple but elegant fashion standard was the best attitude.  Especially accented with huge gems",1년 전,0,
@The47thBasement,"Not sure how I came across your channel. I’m no frills, what I guess the kids would call basic. I don’t get “high fashion”, I think most of it is ugly and gaudy.. but I still enjoy listening to your opinions on the outfits, whether I get it/agree or not. I’ll say Blake looked incredible, as she usually does. Kylie looked absolutely ridiculous, can’t believe she went out in public looking like that. She looked like a little kid who put on her mom’s wedding dress to play around in it. She obviously has no true friends, because a real one would’ve talked her out of wearing that mess.",1년 전(수정됨),0,
@lauralintonmacfarlane5264,"All the black dresses, in the gilded age mourning clothes",1년 전,0,
@susanrussell8195,Olivia Rodrigo was far worse than Khloe Kardashian.,1년 전,0,
@LittleKantBoy,"I like the dress quality of bad bunny’s fit, but those wide-ass puffy sleeves look so goofy; they’re giving “I wish those hips matched those shoulders” I’m sorry :’(",1년 전,0,
@robertodresiamake-upopleid3721,"let me say it nicely... all ego ego ego I now think the dress is worth nothing anymore... what was paid for it is 4.8 million... now that Kim has worn it it is no longer worth anything in my opinion... right because only Merilyn Monroe wore it, the dress was worth 4.8 million...no one should have worn this dress more than MERILYN MONROE! The buyer paid for that!!!!!has nothing to do with Kim's idea…. her greed her thoughts why she had to frolic around in the dress what Merilyn Monroe did best... all in all the magic of this dress is no longer magic to me! what a selfish person and ego to enrich their own wealth… in 3/4 minutes at the Met Gala…and the buyer even worse!!!! that he approved it.. no respect for Merilyn Monroe at all.. terribly stupid Merilyn Monroe always said that people like this exist; NO RESPECT... for what she actually wanted to be and wanted to radiate who she is and was!!",1년 전,0,
@primisole123,lmao the video began and i thought i was listening to my lofi playlist again,1년 전,0,
@yukinaaaa283,"The reason Kim didn’t pay homage is because she WANTS to be Marylin which is way different than respecting her/ paying homage. Good example of paying homage is fantasia paying homage to Tina turner at the Grammys, she didn’t do anything gimmicky like wear a crazy Tina turner wig or her dress and her performance did her proud.",1년 전,0,
@karenmcdermott8585,"(Didn't finish my comment) on Katy Perry, the white underwear with heirloom stitching seems a reference to Victorian undergarments",1년 전,0,
@karenmcdermott8585,Ashton's blue navy gilded seems to reference military uniforms in 1900. A cap might have made the reference more clear!,1년 전,0,
@wendybond2848,Ashton looked like he was wearing a Bell boy costume.,1년 전,0,
@frand9174,"Not a fashion expert here. What I take away from this Met Gala is that either: 1. People misinterpreted ""Gilded Age"" to mean Age of Gold""... literally, not an era in time and just went for the gold. OR....  2. Designers and celebs just ignored the theme altogether and did their own thing.",1년 전,0,
@RianShafer,Chloe Bailey's dress absolutely hideous but she looked beautiful otherwise. It might be a warped version of the panier that several people here were wearing as well as in 2023. (I am watching these in January 2024) All of the K's dresses were bad in my opinion.  Kim disgraced herself & Marilyn she could have easily worn a plain gold dress like her sister.  Neither reflected The Gilded Age just because they were gold dresses.,1년 전,0,
@tony33319,I would so love to wear that jacket you're wearing 😊.,1년 전,0,
@Laura-AnneRossell,Who else is back watching this again straight after watching the finale of the Gilded Age season 2!,1년 전,0,
