username,comment,time,likes,reply_count
@TopGear,Want to watch more from Mr. Ken Block? Here he is talking about his rally hero Colin McRae: https://youtu.be/nLDFHuZxOA8,5년 전,3.7천,
@Borisbr4,Press “F” for the legend,23분 전,0,
@HL_SAD,F,2시간 전,0,
@fishon57ap15,Jedzie prawie jak ja po Jamesonie😂😂😂,15시간 전,0,
@theintunity,"4:13 That's just too funny to hear that come out of Matt LeBlanc's mouth, considering in Friends he spends all his time at the coffee house as Joey. 😂😂",2일 전,0,
@МихайлоСімірня,Смотрю в 2025 скоро 2026,2일 전,0,
@DinithaPeiris-g9q,RIP Ken Block & W Matt LeBlanc 🗿,2일 전,0,
@roxanaalnatour5916,"❤ what a legend, RIP Ken 🫡 😢",3일 전,0,
@stantheman2010,Seeing the Stig sitting down at 6:40 is great 😂,3일 전,0,
@RaymondBolin-c1e,I love watching Ken Block videos he was AWESOME i wish I could have gotten to ride with him he will be dearly missed ❤,3일 전,0,
@WayOfHaQodesh,It's there a version without Joey?,4일 전,0,
@hugoc1861,Top show Bring it on again new race,4일 전,0,
@samanthamerrydew6786,It's like you can smell the rubber from your phone 😂😂,5일 전,0,
@samanthamerrydew6786,Omg i miss ken block so much! 😢😢❤❤ his driving skills are unreal,5일 전,0,
@SteveLuper-z4y,"Hell ya ,",6일 전,0,
@SteveLuper-z4y,Watching this car inhales the smoke like a French inhale oh how exquisite this artform is,6일 전,0,
@cazz1,"hay veces veo que ken se ve enojado, aparte del humor, o no",8일 전,1,
@StefanSchildbach,"what,s noise..",9일 전,0,
@StefanSchildbach,"Wath shout,same,",9일 전,0,
@x3th3r3a1x,🙌,9일 전,0,
@militaryevents107,Top Gear what?,5년 전,38,
@JMMechanic,:0 why 2 days ago.,5년 전,16,
@rrrigbyyy,peepeepoopoo edit: damn. i never thought ken would go out this early. R.I.P Ken.,5년 전(수정됨),13,
@TheLifeOfQuaa,Not if he isn’t driving I don’t wanna watch more lol.,5년 전,9,
@Rud4591,https://youtu.be/aLuELRXhY8U,5년 전,1,
@joemaddoxrx7,https://www.mazdaforum.com/forum/mazda-rx-7-33/joe-maddox-super-rare-1-100-1989-fc3s-gtus-rx7-2jz-gte-vvti-build-43602/ I have found and saved the rarest Mazda FC RX7 ever made! Now this car is rare. Really rare! Let me break this down really quick... Ever heard of the rare 100 GTUs rx7s? Only 40 have ever been claimed and only 7 are confirmed at the time of this posting! Here are the rarest rx7 FC3S models: 1500 10AE Turbo models 1400 infini 1000 winning limited 150 final edition convertible 100 GTUs... out of that 100: 83 red on black 10 black on black 7 white on blue There was only 100 GTUs models created between 1989 and 1991. If you own one of these rare models sign your car up to the registry list here on any of the rotary forums!,5년 전,1,
@matthewslagle9435, @militaryevents107  mm,5년 전,3,
@matthewslagle9435, @militaryevents107  mm,5년 전,3,
@freddi2333,THE STIG,5년 전,5,
@eriklopez5654,We a,5년 전,3,
@catherineclarke2561,Please could anyone tell me what is the music in the background at 9mins12? Thank you x,5년 전,3,
@-Brian.S-,Legend say that we never now what red button do,5년 전,2,
@lucasbarton1773,Yes please,5년 전,1,
@michaelcascone9964,Porco DIO,5년 전,0,
@chaconchristophermichael166,Dw,5년 전,1,
@claudeeponj5161,BJ bn go u hop go home km un bjjy zUiuy,5년 전,0,
@rockandrollman3827,hotring racer gta sa 😆😆😆👍,5년 전,1,
@worldofmusic2499,"How are you? Friends of this new channel, please support ❤️https://youtu.be/x-cS0w4TcrI🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🌹🌹🌹🌹",5년 전,1,
@mksampa07,MOST DANGEROUS DRIFT (MOUNTAINS FROM CHINA)  https://youtu.be/7wLTcbvuf5I,5년 전,0,
@yashrajsinghwahla5799,what car was it????,5년 전,1,
@karlmarxwasright6006,top gear : how many record u show kane block: hold my title,5년 전,2,
@user-sz9ge9cx1p,"this is bad. don't ever do this again. bad top gear, bad.",4년 전,1,
@skyshell2634,I would love to make a trip similar as this one,4년 전(수정됨),1,
@gregnix9786,A,4년 전,0,
@joemaddoxrx7,I have found and saved the rarest Mazda FC RX7 ever made! Now this car is rare. Really rare! Let me break this down really quick...   Ever heard of the rare 100 GTUs rx7s? Only 40 have ever been claimed and only 13 are confirmed at the time of this posting! Here are the rarest rx7 FC3S models: https://www.rx7club.com/2nd-generation-non-technical-pictures-198/restamped-mazda-rx7-1148475/,4년 전,1,
@ВоваГром-ы6д,"Красавчик,,,, мустанг огонь",4년 전,2,
@What-oj5fv,Is it normal to hear Jeremy Clarkson while reading this?,4년 전,2,
