username,comment,time,likes,reply_count
@TechLead,"Watch 100+ programming interview problems explained:  https://coderpro.com/ (20% off now, limited time)",5년 전,530,
@jasonpermanna308,Coding didn’t age well 😂😂,3주 전(수정됨),1,
@josecarlos-zc9hy,:face-pink-drinking-tea:,1개월 전,0,
@dhhhahn,invaluable advice,3개월 전,1,
@seangad8227,this was the techlead we used to watch back in the day before the btc stuff. miss that guy,3개월 전,3,
@AndreColon,I wonder if this guy will ever make millionaire status doing these videos...  Get into BTC ...don't listen to this guy.,3개월 전,0,
@himanshuop84,what do you listen to?,3개월 전,0,
@jpeter20,"Glad to see a lot of your older videos back, showing up in my Recommended Videos list. This is really great content.",3개월 전,0,
@BGivo,Has anyone been able to locate his other programming videos? I think he unlisted them for some reason and I really would love to watch them again.,4개월 전,0,
@jaybobdoodles,Does this include licking your own taint? You forgot that part.,4개월 전(수정됨),0,
@majid127x,Just sit infront of the computer.,5개월 전,2,
@Deichkaktus,Coding is out Kollege 🤠,5개월 전,0,
@suyaimusic,I already work at GitHub in Support but I dream of switching to developer within the company. That’s my next goal. I already spend hours in front of the laptop 😅,5개월 전,0,
@loveplay1983,无它，唯手熟尔。,5개월 전,0,
@Farid-Khan,Great vdo get back to programming tech lead❤,6개월 전,0,
@Joshxy-g3y,Great video,7개월 전,1,
@alfattahsuyadi3618,"Hi, thanks a lot for this video. I have a 6 year of STEM academy background, and now I am already into 2 years of software engineering. What you say regarding 'the ability to sit down for hours to code' is such a relatable experience yet motivating to keep me going in this field. Keep up the good work, mate.",7개월 전,0,
@duynghiadevcr7,good,8개월 전,0,
@harshthanvi,As per 2025 its irrelevant now. Tpu ypurself said it...,8개월 전,0,
@abdulrahmanharuna2297,Did I just heard staying at home for a month,8개월 전,0,
@asoftraiden,Finally some informative video without showing off his…,5년 전,3,
@VectoorX,I have This Ability,5년 전,2,
@Mr.Bassline,Can we become friend bro,5년 전,4,
@dhingdhing1093,I wish i could learn from you,5년 전,2,
@stevensong8784,In time. 👌🏻,5년 전,1,
@zeenathkouser3422,Nice trick,5년 전,3,
@arelaxedmind1794,I wish i live near you and you help me to learn code i wish i wish i wish,5년 전,0,
@szymonadamczuk5367,"It can't be that simple, can it? You need at least SOME brains for it...",5년 전,0,
@ryanhebert3022,Can you reccomend which text books?,5년 전,0,
@zwwx2142,Bro que consejos das para mejorar el código,4년 전,1,
@hanzukim1773,"Hi TechLead, if I’m as a self-learner, how can I start to study coding?",4년 전,0,
