username,comment,time,likes,reply_count
@pokimane,Thank you all so much for supporting me and the emote <333 I can't believe how many people I saw using it in-game! 🥺😭,5년 전,6.8천,
@JabonWenz,So much effort went into this.,1일 전,0,
@Fug-r6p,The sound quality is great.,13일 전,0,
@LILRT-RC,"On 1:06, she got the rare sideways phone.",6개월 전,1,
@jab8388,1:51 I know this guy. He went through a rough patch and slings rock now. We all pray for him.,7개월 전,0,
@bendersaleh,"""for the rest of the game you're gonna do this?""",11개월 전,1,
@hayden8221,Now she needs a icon skin,11개월 전,0,
@FreddyGamingSaga,bro this was 4 years ago.,1년 전,2,
@finale876,Smashhhh,1년 전,0,
@LinkSaverofHyrule,Your hot,1년 전,0,
@aromacafetakapuna439,I bought it😅,1년 전,0,
@zulijuli123,Now we need a Pokimane skin,2년 전,0,
@Saldreyn,Poki!,2년 전,0,
@Lizard_Man666,When does this chick shut up and take her top off?,2년 전,1,
@adamm44445,Your good at fortnite,2년 전,0,
@themonsterpr13,5:49 pokimane not using her head will in battle having 25 of child and give and 50 child no offense poki but I notice it now 😂,2년 전,0,
@74u74u,Damn it now I want to play Fortnite again ;-;,2년 전,0,
@MaxMcGuire-fw4wr,I love this dance I wanted to get it  when it first came out and I did not but the I got it 🎉,2년 전,0,
@rejectwokeness1314,Pokimane probably the cutest thing on the internet 😍😍😍,2년 전,0,
@KungfuJ2003,hearts and kisses smooch,2년 전,0,
@avahehe237,"Pokimane first reply, I’m cool😎😎",5년 전,79,
@sarcoono5551,This emote is just to good ♥,5년 전(수정됨),57,
@XxLuninWyd,Your the best,5년 전,40,
@frosteddreamzz6511,Poki I’m so happy for you I can’t stop doing the dance 😂 the song is even stuck in my head right now,5년 전,30,
@jovanpribicevic7271,Pls reply to the 3 of us,5년 전,10,
@skeeseem5265,Hi poki ♥️,5년 전,15,
@comicrlTiktok,"It’s an awesome emote, so satisfying watching you dance in sync with it aha",5년 전,8,
@serenitygaming3259,Pokimane we both use the same skin triple threat is my favorite skin ever and it’s my first skin,5년 전,9,
@JosueMartinez-mr6ip,Pokimane I bought it and I enjoy using it,5년 전,5,
@Jenny-sp3up,I wish I could have gotten it!!!😭😭😭😭But definitely next time!😁🧡,5년 전,9,
@XxLuninWyd,Can you add me on fortnite my user is xavier _awsome but my real name is Ethan,5년 전,4,
@joudalajmi9833,You deserve it pokkkkkki use code :pokimane in the item shop 💕 I bought your emote  and i cant stop dancing,5년 전(수정됨),4,
@djrobertson9810,Pokimane is Pokimane your support a creator code?,5년 전,3,
@karlatkins337,I have it,5년 전,4,
@mikemccance5293,:( me can't get it,5년 전,4,
@joudalajmi9833,DJ Robertson yes  she has a creator supported code,5년 전,2,
@sad..midnight_0wl990,"I LOVE YOU, POKIMANE! PLEASE ADD ME! I HAVE YOUR POKI EMOTE! Fortnite NAME:MarissaRdz",5년 전,1,
@joudalajmi9833,I have it💕🙂🤘,5년 전,1,
@joudalajmi9833,Weeeeeeee love you  poki 💕💕💕💕,5년 전,1,
@poepoe_7492,I couldn't get the the emote sorry I didn't have enough v-bucks 😭😭😭😭😭😭😭😭😭😭😭😭😭😭 I AM SOOOOOOOO SORRY,5년 전,0,
@fabriziotrxd,Poki💓💓💓,5년 전,2,
@plebbrawlstars3230,What is this Just dance 2020,5년 전,2,
@dannygomez7698,Pokimane  Your so awsome & funny love your videos iam new to the group love u friend 🤗🤗🤗💖💖💖💖💖,5년 전,2,
@PastorJosieSHP,Can you add me poki my name on Fortnite is Toycolector,5년 전,3,
@arafhasan6175,its kind of sad because my family cant get me skins or anything and i really want the poki  emote (my family is broke) i also get bullied for having no skins\,5년 전,0,
@noevargas17,I lo ve pokimane,5년 전,1,
@Nate_crosby2021,Will you add zombieslicern493  I got to show you something,5년 전,0,
@teqnicz,Wait there is an emote of you I WANT IT TOO BUT IM NOT HAVING VBUCKS,5년 전,0,
@ninjameans1339,I was the 100th person to like this comment poki,5년 전,1,
@avakelly2908,Pokimane I have it it’s so good 🥺,5년 전,0,
@hankjohnson2292,will you be my friend,5년 전,1,
@JackofBlades82588,"Hey, Pokimane, do you have any codes left for your Fortnite Emote?",5년 전,0,
@erenjaegerrr,NOOOOOO I MISSED IT I WAS IN NEW ORLEANS NOOOOO JUST NOOOOOO BRING BACK BACK PLEASE NOOOOOO,5년 전,0,
@leovilla5357,No problem poki we all love u,5년 전,0,
@trippyplayz4514,It's the best ❤️,5년 전,0,
@StaticSting,Poki i used your code to buy the emote!,5년 전,1,
@simbagaminggameplay3396,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5년 전,0,
@angierivera112,Love you poki,5년 전,1,
@queenvibes4690,I like your feet Pokimane,5년 전,2,
@شبلعسير-ص7ش,"I, am saudi arabia",5년 전,0,
@asmrwarr3836,Can you give me the poki emote love you your the best,5년 전,0,
@anthonypradoiii2446,Its no problem poki we all love you,5년 전,0,
@delybarber3871,A e s t h e t i c hi,5년 전,0,
@delybarber3871,Hi,5년 전,0,
@demonlord1838,I have your dance i love it so much its so cute,5년 전,0,
@Youtube_sof,I used your code when i got your emote,5년 전,0,
@notdrew44,Pokimane I got the emote,5년 전,0,
@brychaelGD,Will this emote come back?,5년 전,1,
@quick_cracka478,I got your emote when it came out in item shop and I wish skilled based matchmaking put us in the same game,5년 전,0,
@feat74,Did you get the emote free since it was you who made it?,5년 전,0,
@sarcoono5551, Dragan 78  yeah,5년 전,1,
@spencywency6258,you da best,5년 전,1,
@sarcoono5551, @spencywency6258  yeah,5년 전,0,
@minh4152,Do you know if the Poki  emote will come back because I didn’t have the chance to buy it so do you think it will come back please respond,5년 전(수정됨),0,
@emmanuelarias8922,I followed you on tik tock,5년 전,0,
@damienroberts4420,Pokimane 😅,5년 전,0,
@EmergencyServicesWestVictoria,i got banned from your group ;(,5년 전,0,
@cadejoooo,Don’t worry we’ll support you as long as you stay thiccccccc,5년 전,1,
@darrynregalado7603,Protect the queen 👸,5년 전,0,
