username,comment,time,likes,reply_count
@Atakoglu,2012!! I was 4 oMG i am really young!!hhh,2주 전,0,
@rickacadoavacado4412,i love how this was a big deal back then but now every 5th girl looks like this,1개월 전,0,
@Stardustfwan,Why are they talking about them like that there literally children 🧍🏾‍♀️,1개월 전,0,
@Sevilla1905-c5s,"I recently had a very unusual and confusing relationship with an anime/goth girl. She goes to college with me and I really liked her both for her looks and for the music she listens to. I approach her and she was very warm to me and even thanked me a lot for approaching her, only to throw a seen at my message on Instagram a few days later and ignore me in meetings. So she started saying hello, but nothing more than that. Admittedly, she really likes online attention and that's the most important thing to her, but this experience was very strange. Also that girl considers herself very absurd. And many of her videos are very childish and cringe-worthy",4개월 전(수정됨),0,
@Humamunnaza,japanies cosplayers about their small eyes,10개월 전,1,
@rockonmadonna,Speaking of breast enhancement… a certain Ana K. was a lady in waiting here.,10개월 전,0,
@daisymae1012,this guy is disgusting,10개월 전,0,
@lovemagicfantastic,"What the fuck is with this dude assuming she coordinates her look for male attention? This was filmed a decade ago, but how is the modern world so excessively callous towards modern women? We know exactly who this benefits, but why have we allowed our culture to be so derelict?",11개월 전,5,
@Kimichan1-x6q,God love all of us ❤ we are all his children. They both show us that fanatsy is teal and really exists.  Don't judge them,1년 전,0,
@chrisalex82,😭💀🙏🔥,1년 전,0,
@maxjulmiste5558,This is sick,1년 전,0,
@user-qy2wf2lt6v,Ahh .. Ukraine is cool! Good for her!,1년 전,0,
@deecocoa,"Wow, the hosts used to seem personable. Now they just seem angry all the time.",1년 전,4,
@MonicaS.-pp7zs,You people are sick for wanting a “free world”. All that does is cause chaos and weirdos!,1년 전,0,
@MonicaS.-pp7zs,No it’s not ok.,1년 전,0,
