username,comment,time,likes,reply_count
@hermenutic,Well the host and co-host know what is in the stuff and they applaud its taste and did not swear off it.  Does this mean they're promoting this crap?  If I knew that was in my food I would  decline.,9년 전,4,
@hermenutic,One step closer to soylent green.,9년 전,6,
@RogerKeulen,"Nuggets. Don't taste them, eat it !",9년 전,56,
@Ultrox007,"oh look, fake vegan propaganda.",9년 전,106,
@TheCraigy111,"""What are chicken nuggets made of?"" I'll give you a clue, CHICKEN.",9년 전,896,
@CalculusVariations99,It's all still meat. Very efficient meat vs throwing away all the bits and pieces.,10년 전,165,
@jilljenkins4471,not true,10년 전,7,
@kimfeher7868,False,10년 전,5,
@NightSky018,"Yeah I hate to say it but as much as I can't stand humanity, I actually think this is a step in the right direction. Meat is meat. We only think eating eye balls etc is gross because our culture tells us it is. In some cultures, organs and such are considered delicacies. Also, I think what's more fucked up is killing a chicken for its breast meat and legs, and discarding the rest of it when there's people starving in other parts of the world that would quite literally kill for an eyeball, tendon, etc to eat. Especially when it tastes as good as it does in a mcnugget. Grow up America. Its not that gross.",10년 전,77,
@firdauskhan3119,This is a hoax ,10년 전,20,
@Newb10123,"If anyone believes this, you are clearly out of your mind. That picture is not what McDonald's used to make their nuggets. They actually have a video posted on how they make them. People say it's made of crushed up bones and food coloring or eyeballs, when it's actually made of real processed white chicken breast meat. Yes, fast food is bad for you, and McDonald's may be the worst for your body, but I can guarantee you that their food is not made of bones, human feces, grass, or whatever other hilariously stupid thing you think of. End of discussion. Thank you!",10년 전,279,
@reactiongirl5871,This is not true,10년 전,10,
@julissad.6455,This is fake you guys!! That's not in chicken nuggets,10년 전,137,
@xanderchia7247,They don't use pink slime anymore.,10년 전,5,
@SlisaPolchan,1:00 homer simpson impersonator,10년 전,473,
@benaberry578,Yummy!!,10년 전,0,
@Jackhand100,Artificial chicken taste like shit. All natural food taste better.,10년 전,118,
@xgnashes733,Why the he hell do people care some people eat spiders lizards some use snakes as medicine back then people natives ate raw meat,11년 전,12,
@authenticclouds4155,👎 who cares ,11년 전,11,
@dianeflock9460,ARE YOU GOING TO BOYCOTT HALAL MEAT NOW>,11년 전,3,
@Ultrox007,"***** And then proceeded to do more research than them, reveal this as false, and carry on.  I already eat healthy, and have already learned more than anyone liking this video.  ""They put tendons, and eyeballs, and muscle tissue in it!"" ...except they don't use eyeballs and tendons...  see the link I left below. anywherein12seconds ""humane slaughter is an oxymoron"" So she doesn't know what an oxymoron is and is twisting words to fit her agenda. But please, feel free to explain to me how keelhauling and Telazol/Barbiturates are equivalents, I eagerly await your response.  omega. Oh look, a dipshit who prefers to jerk his vegan fetish rather than doing even the most minimal amount of fucking research requires...  Survey says?  http://www.snopes.com/food/prepare/msm.asp",9년 전,3,
@Ultrox007,Crystalizer4MC ! I have no problem with people who are vegan/vegetarian because it's a dietary choice.  I have an issue with people who blatantly lie to push an agenda because their subjective morality demands it.,9년 전,1,
@Ultrox007,"Megan Larino So in other words, you have your head so far up your own ass you can't even accept the definition of a word because it hurts your feels.  But please, tell me more how painlessly euthanizing someone while they're in a euphoric state is the same as keel-hauling someone.  And if you don't know what keel-hauling is, look it up dumbshit.",9년 전,0,
@Ultrox007,Crystalizer4MC ! You're* Dumbass.,9년 전,0,
@Ultrox007,Eliza Scott Except it's not: http://www.snopes.com/food/prepare/msm.asp,9년 전,0,
@Ultrox007,"Crystalizer4MC ! I literally provided a link explaining how...  Also Eliza was clearly talking to me as the lack of ""+Name"" usually means you're replying to OP.",9년 전,0,
@Ultrox007,"Crystalizer4MC ! You should stick to playing minecraft; leave argumentum to the adults.  And as for what the link you can't click is; it's a link to Snopes, a website dedicated to confirming or debunking viral urban legends.  The one in the link provided is on the subject of this supposed ""pink slime"".  What's shown in this video has literally nothing to do with chicken nuggets (which btw: chicken nuggets are just breaded chunks of chicken breast) what's on display in this video is BLBT, or as it's more popularly known ""Hamburger"" or ""Ground Beef"".  Which is a collection of the remaining edible and safe cow meats after steaks have been cut out, ground together into a mush, then stripped of all fat to make it healthier.  TL;DR This isn't chicken bones, eyes, and tendons being made into nuggets.  It's post-steaked cow meat being turned into hamburger.",9년 전,2,
@Ultrox007,"Oreo_Cookie 12 What if we care more about evidence than anecdotes, and have already finished discussing this issue?",8년 전,0,
@Ultrox007,Oreo_Cookie 12 Freaking is spelled with an 'ea'.,8년 전,0,
@Ultrox007,"Rudeiy Fan Of course I don't care if we kill chickens for food; they're domesticated, just like bananas.  Questions is: Why do vegans value animals above plants?",8년 전,0,
@Ultrox007,Rudeiy Fan  #PlantLivesMatter  ,8년 전,2,
@Ultrox007,***** Except it wasn't...  And I already provided citations proving that.,8년 전,0,
@Ultrox007,"Seriously they did?  Man, what cowards...",8년 전,0,
@Ultrox007,That or my comment was shadowbanned that no one but I can thread on this as I don't even see your comment anymore asking me if people are deleting their own comments...,8년 전,0,
@TheCraigy111,"nlucctw2 Really? Because when I buy chicken from the butchers out of the shop and then make nuggets for my daughter with it, I could have swore it was a chicken I used. But I guess you know better.",9년 전,48,
@TheCraigy111,adam mohamed Don't know what you're on about.,9년 전,1,
@TheCraigy111,"Lala Lala No troll food here buddy, try somewhere else, friend.",9년 전,3,
@TheCraigy111,Blessed Butterfly Try again and I might answer your question.,9년 전,1,
@TheCraigy111,"Blessed Butterfly Try again, ugly.",9년 전,2,
@TheCraigy111,"***** But I always talk to myself, it's only when I get a decent conversation that I worry. So do I other Craigy. :)",9년 전,2,
@TheCraigy111,"Jolked solomona So you agree with me, made from chicken :)",9년 전,1,
@TheCraigy111,"Jolked solomona Ass, eyeballs, feet. It's all the same :)",9년 전,1,
@TheCraigy111,***** Gotta have me some cock lol,9년 전,3,
