username,comment,time,likes,reply_count
@Dr.Luka-DanteGodofMischief,"""Wait, you would have to look at me..in the eyes"" and thats when my dumbass wouldve proceeded to swallow down the ""wrong pipe""...",7일 전,0,
@AyishaShamna-o5c,We need drinking with celebraties show in india 🥲,10일 전,0,
@AyishaShamna-o5c,Dude 🤣🤣🤣🤣🤣🤣🤣,10일 전,0,
@AyishaShamna-o5c,don't ever say that ever again 🤣🤣🤣🤣🤣,10일 전,0,
@sahndrafondufe3129,LOL!!!!!!! NOBODY text me in a crisis looool!!!,10일 전,0,
@CocoKhaleesi13,11:05 bookmarking this for my own personal purposes bc I quote this everytime I drink 😂,10일 전(수정됨),0,
@kathygritzmacher90,Good Laughs,11일 전,0,
@DrDuMore,"When Ri asks you to drink, you get a divorce and maybe a felony",11일 전,0,
@seededsoul,Rihanna is very fun and normal,13일 전,0,
@joancarrino890,This is a stupid show and it's trying to take off on the hot ones show not the same thing doofus,2주 전,0,
@es_devil,partying the baby away?????,2주 전,0,
@deseanthompson6803,I just love me some Ri Ri big ups in 2025,2주 전,0,
@like_to_comment,"Absolutely did not like this clip. Seth was toxic, knowing what Rihanna been through with men, such a behaviour is bad.",2주 전,0,
@DaFunchiLucio,How many Quaids are here from the recent Shy Ronny pod ep!?,2주 전,0,
@creallyreal,Rihanna!!  This is a network television show 🍑!!! 🤣,2주 전,0,
@emmiebrown4270,I thought he was giving more smurf than avatar,2주 전,0,
@emmiebrown4270,"His nickname is.""chocolate bunny""",2주 전,0,
@jcisonutubee,not battleships ooh i know rihanna had WAR flashbacks 😂,2주 전,0,
@Jacqueline-w2d6e,is this real drinking game?,2주 전,0,
@Amy-bc6jz,Still looks celso face,2주 전(수정됨),0,
@AyishaShamna-o5c,Probably be scandalous here🤣🤣🤣🤣,10일 전,0,
@FF-7,I love All about it😂😂😂😂,2주 전,0,
@DXVD4,this episode is epic.....,3주 전,0,
@verymerrynecessary,Seth is so cute! I cant,3주 전,0,
@ew7554,Are U the girl from battleship???😂😂😂😂😂,3주 전,2,
@martalabat3796,Of l'interview,3주 전,0,
@chikaprecious1253,Who’s here in 2025?,3주 전,1,
@ted1091,This was hilarious,3주 전,0,
@kittydhorne5271,This what you get with a Pisces 😉 after we take care of business we're pretty fun,3주 전,0,
@calichick097,Seth is just so much your best friend’s hot dad energy,3주 전,0,
@DC_92,Just something about this woman… especially my era when she was at her peak from like 07-09 when I was 14-17 ish she was like the finest most hypnotizing thing we’d ever seen. 🤤 🤯,4주 전,0,
@ReighlynDubois,I didn’t expect her to be silly. ❤,4주 전,0,
@TheRealSaintHenry,All these years later & this is still absolutely hilarious to me 😂 11:43,1개월 전,5,
@bridgespropertysolutions7905,Rihanna’s HEHEHE every two seconds is sending me,1개월 전,0,
@TattooedGranny,When Seth starts slurring his words you know it’s going to get crazy.😂,1개월 전,0,
@terminalrecluse,The only way a dude as square and as white as Seth could ever be seen on a date with someone like Rihanna is to have a talk show and have this as the dumb presence.,1개월 전,0,
@PauseTaken,"😂 the make-up i love it❤ my boyfriend when we were drunk i was testing make-up he also wanted to be painted he had fun, we both😂 make-up is fun people🎉",1개월 전,0,
@rhianhegarty3383,I love rihannas laugh,1개월 전,1,
@Le-ne8wb,Cheating Zengu'ya father & the Safari @zone ♪ back and forth with the remote control watching tae Bo!,1개월 전(수정됨),0,
@lisalor7281,this is how people end up with one nightstands.,1개월 전,0,
@HamoralairatonotZadik,Riana you thzovert,1개월 전,0,
@HamoralairatonotZadik,Riana hev a good taime swet hart.,1개월 전,0,
@baransimsek2129,gülüşüne ölürüm,1개월 전,0,
@sunshine20022,Rih ❤,1개월 전,0,
@michellewest2892,😂😂😂😅😊,1개월 전,0,
@ArtemisKane13,Ok but why do seth and Rihanna have insane chemistry,1개월 전,0,
@mickeymyers13,Bunch of multi-millionaires having fun  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 My life as a 65hr a week worker tax paying person is complete now ❤,1개월 전,0,
@kaishajones,God she’s so beautiful ❤,1개월 전,0,
@M1rela,"I wonder sometimes if Seth has said ""nut milk"" ever since",1개월 전,1,
@KarenMonneau,They are hilarious 😅😂 drunk,1개월 전,1,
@keu-w5n,Incredible!,1개월 전,0,
@amandanil3811,Wholesome,1개월 전,0,
@RemedyVSR,best interview everrrrrrrr,1개월 전,1,
@PURPLEVINEARTISTRY,❤,1개월 전,0,
@tenantjames2967,Everyone is scared,1개월 전,0,
@tenantjames2967,Cleaver,1개월 전,0,
@samaaaa1,"Rihanna- if I quit music what should I do"" Meanwhile her networth is over a billion",1개월 전,0,
@cb7pwn,this is like watching someone have an affair,1개월 전,0,
@dancarlson6207,Seth is an alcoholic ha ha,2개월 전,0,
@im.mihlali,I still watch this interview to admire Rihanna 😂❤❤❤,2개월 전,0,
@Ttpastar,This is my comfort video,2개월 전,0,
@AmraphelofShinar,"I don't like drinking more than about, oh, one drink, but I would get $h!t-faced with Rihanna any time.  Her little giggle is unbelievably intoxicating.",2개월 전,0,
@hashaemarks785,She did that salt like coke😂,2개월 전,0,
@Yatusabe78,Lmfao she had me 💀🤣🤣🤣🤣🤣🤣😭,2개월 전,0,
@AvishekChatterjee-wn4xf,She is soo cool...seth u were u..,2개월 전,0,
@therealmofsavinasteele5774,😂😂😂,2개월 전,0,
@arenemusic,I love this interview 😆,2개월 전,0,
@JonathaCarvalho-c3v,Canabbis sweeps,2개월 전,0,
@str8upjenn518,Best Tequilia? and go...,2개월 전,0,
@JeremyRichardson-c3g,Hey girl holler if you wanna SMASH,2개월 전,0,
@ITsCAKE76,Rhi-Rhi!! I love all that you do.. Especially those handsome babies.. Enjoy yourself!! Have adult fun!! Cake!,2개월 전,0,
@Macandi293,The “nut milk” is absurd!,2개월 전,0,
@JenWren4,Her evil little giggle is SO contagious!  😂😂😂😂,3개월 전,5,
@odonchimegidersaikhan8043,"No episode of this series has ever beaten this, btw.",3개월 전,2,
@rmrglobalproductionsinc9554,😂😂😂 when HE SAID: What’s a nice boy like me doing the big city without his parents?..   Rihanna gave him that mischievous “ I got an idea” look like she’s a Dominatrix😂😂 and wanted to jokingly say:.. I know a few things you could be doing Seth ..But she knows he’s married and it’s a PG show…. 😂😂😂😂,3개월 전,1,
@Drexxaal,"This was hilarious and Rihanna was SPECTACULAR! She can handle her drink like she handles her life! She owns it! Gave Seth a nickname... Seth! U r ur nickname! Great dating advice 4 the most romantic night w ur wife!!! Painted him up and then directed him in a music vid! No wheelchair 4 this beauty! Sorry Dua, u know I love u! YEP RIHANNA IS THE QUEEN! Also, cause I can't stand tequila! U got me beat!!!",3개월 전,1,
@RAHMANBANKS,rihanna i cant stand your  biological mom mia x,3개월 전,0,
@RepublicanBeau,1:58.,3개월 전,2,
@Andreij11,I love u RIRI,3개월 전,0,
@alexiswilliamsinc,Still one of my favorites. ❤,3개월 전,0,
@esteveericmendez8826,ri realy knows how to drink,3개월 전,0,
@anasazman9828,Is it safe to drink break container.. the drink will mix with glass shards..,3개월 전,0,
@jakekisiel7399,I would not want to drank with Seth. One word annoyin.,3개월 전,0,
@romudizzy5817,Is there any unicorn in Avatar? 😂😂😂,3개월 전,0,
@sereia8903,Im drunk rn amd this perfectly captured the experience,3개월 전,0,
@MizzReed19,You said it,3개월 전,0,
@pirlie,11:17 loved that gesture of Rihanna,3개월 전,0,
@cocowithchocolate,Rihanna is divine ❤,3개월 전,0,
@JessicaNobre-k4b,The office,3개월 전,0,
@snl5312,This is hilarious,3개월 전,0,
@301T2,this was so cute 😍,3개월 전,0,
@christinachoy3167,Watching Seth get paid to get drunk with celebrities makes my quality of life infinitely higher 🎉😂❤,3개월 전,1,
@johndavidflynn2369,Rihanna is not just absolutely stunning but can hold her drink and has a wicked laugh 😂A goddess,3개월 전,0,
@xo_edmo,She is the most gorgeous woman ever. I fkn love her damn laugh too. I hate ASAP so much,3개월 전,0,
@nickes6168,"I have the hugest/scary crush on Rihanna. Like absolutely terrified/enthralled.. I would become a butler for her butlers in her presence. And I can assume that's not what she would think is 'hot', fudge no.  It's just facts based on other evidence. She is a goddess and i am a pasty Canadian white guy (WHO CAN MAKE BEATS...)..but still a pasty white guy, by definition, despite origin of country. SURE, that definition can apply to Seth, but dude was doing Weekend Update around the time i found out OH...GIRLS..... YET... this happened some how?...#hope",3개월 전,1,
@ShawnSullivan-o1f,"5:25 A seasoned drinker never refers to ""Good at drinking."" That's socially awkward. He's pretty toasty.",3개월 전,4,
@SonnyDoubleU,"I love this, this me and my best bud. Yeah yoi. Never know a person until you get on it. Amanda and James",3개월 전,0,
@solomonalin5507,"Cauze i just like her ,the way she can handle the situation",3개월 전,0,
