username,comment,time,likes,reply_count
@Y2Kvids,IMDB 9/10,10일 전,0,
@JoeWere,And now win11 will screenshot your dick every ten minutes and use for their AI.,2주 전,0,
@zeldalove2525,The interviewer is disgusting. What a clown.,1개월 전,0,
@TheFinius,The interview hurt me.  I can feel his entire hopeful view of humanity breaking down and his sacrifice being pissed on.,1개월 전(수정됨),0,
@victorianmelody46,Arguing that you don't care about the right to privacy because you have nothing to hide is no different than saying you don't care about free speech because you have nothing to say. - Edward Snowden,1개월 전,1,
@ethzero,"Do governments try and do overextend their powers? Sure.  Does this excuse Snowden's reckless, IMHO? No.",1개월 전,1,
@nataliespa426,That was funny.,1개월 전,1,
@lynneserman6054,Oh my word. What apity the Oliver guy was such a jerk.,2개월 전,0,
@이나-b3h,25:15 Americans on nakedness pictures,2개월 전,0,
@이나-b3h,22:36 American interviews,2개월 전,0,
@guadalupebustamante2642,He must be so disappointed so many years later 😢,2개월 전,0,
@tomking2613,so glad this show has lived 10 years.....,3개월 전,1,
@AlexandraJuarez-l8b,Horrible special effects lol,3개월 전,0,
@thetlamb,Man the pre-Trump era,3개월 전,2,
@V-Smith,"The guy giving his lame late night monologue thinks we the pleebs are too stupid to understand or at least follow along so he tries to make it a little more entertaining by incorporating “humor”, how cute! This is exactly what we as adults do to our four and five year old children! Shame lol",3개월 전,0,
@gioavger7352,Edward Snowden modern day Prometheus,4개월 전,0,
@MovieTV-e3v,So since they have access to everyone’s information they could make an algorithm to hunt down predators.     👍,4개월 전,0,
@jameslavalley2647,it's alot worse than this people... believe it or not they can tell what you're thinking have you noticed that even what you think about it comes up on your phone or pc it's Wi-Fi.. they have the tech,4개월 전,1,
@yazi2879,so this is the wiki leaks guy huh ?,4개월 전,1,
@somesalmon5694,Too bad people still aren't listening,4개월 전,0,
@Ladiesman714,The world has the right to know! 🌍,4주 전,0,
@MariaMora-r4e,Didn’t have to worry about having a jackass as a president.,2개월 전,1,
@republicansociopaths,Perhaps he had you specifically in mind when he thought humor was his best presentation perspective.  You appear to be at a severe deficiency when common sense and intellect was handed out.,3개월 전,2,
@republicansociopaths,"Yes, they can and they do.  But the predators control the narrative and, the information.  Bush Jr. and Cheney should both be behind bars.",3개월 전,0,
@MrMotherfuck123,Why,4개월 전,0,
@missmanagement626,Snowden for President…He can read and understands what he reads and he can explain to others what he reads in a way people can also understand.  Trump should pardon Snowden and then hire him to be the President…Now that would make America great…again!,4개월 전,3,
@pamplemoussefraise,happy birthday justin long!,5개월 전,1,
