username,comment,time,likes,reply_count
@bonappetit,Get your Half-Sour Saffitz shirt here! https://bit.ly/2S2kiMl,6년 전,2.4천,
@VirtualPixelShow,Why not press wafer batter into mold with another mold and bake?,8시간 전,0,
@sunnydays-s5g,I watched this video back when it came out and now I am back again 6 years later,4주 전,0,
@msbba1,This girl should get married after this,1개월 전,0,
@MeaghanEastburn,she hears brads criticism in hear nightmares,1개월 전,0,
@246trixie,Ive been telling ppl for YEARS nutelka is the filiing and ppk gave literally argued with me that it isnt but IT IS,2개월 전,0,
@joshuamartin4506,That big guy is ooobviously her boy friend 😂,3개월 전,0,
@naritruwireve1381,shell ingredients:  1 cup cake flour 1/2 corn starch 2 tsp cocoa powder 1/2 tsp salt 3/4 cup water 1/2 cup cooled melted butter 2 tsp vanilla extract,4개월 전,0,
@mssassi8615,Love the video and you must eat them as Christina said. I never put Nutella and Ferrero together,5개월 전(수정됨),0,
@evilhellokittie,"I find it interesting that Americans say 'Noo-tella', as if the word 'nut' was pronounced as 'noot'.",5개월 전,1,
@ilyrsl,can u pls make kinder joyyyyy,5개월 전,0,
@user-ed7iq7pm1j,They look fantastic better than the original.,6개월 전,0,
@SelfEsteemSalon,GABY is my favorite character here,6개월 전,2,
@arizonad8012,"I do ""Ferrero Rocher"" balls by combining nutella, high quality hezelnut waffers (crused), and hezelnuts. You can use whole in the middle (but it is not nessessary), crushed for the feeling and also for melted chocolade for coating the formed the balls. When you combing all those ingredients you should have mixture that can easily form, also you should live it in fridge around 30 mins before you start.",7개월 전(수정됨),0,
@C4rc4R-oe2rh,this vid is the top (for me) if u search “gourmet content”,7개월 전,0,
@kamionero,As a fellow Argentinean it makes me so happy that Gabby mentions the cheesy commercial about the ambassador's party! Haha i remember it well,7개월 전,1,
@RubyTwilite,"The best way to eat a Ferrero Rocher- hear me out- is to cut it in half and put each half on a Kame Original Rice Cracker. The cracker is super crunchy and salty, and that salt totally ramps up the chocolate. Maybe its just me, but I think its amazing. Fyi I don't like smores because they are too sweet, BUT! When I made smores with salty Ritz Crackers instead of graham crackers, they were so much better.",7개월 전,0,
@donsantiago1,"The Rocker is a kind of Bonbon Ferrero bastardized. They substitute ground nougat or ground toasted almond for puffed rice, the  filling could be praliné, but it looks like a contraption made of artificial chemical trickery.",8개월 전,0,
@oualid7343,5 years later back on trending👀  i miss this series  0:01 Are they married yet???,8개월 전,2,
@AlexGreen1991,There has to be artificial flavor in the US version of Rocher lmao :D,8개월 전(수정됨),0,
@cait4739,@bonappetit A star shaped cookie cutter could help cut the wafer without having to cut all the relief slips maybe?,6년 전,23,
@GappyGaming,cool!,6년 전,6,
@anca3385,"why not... trying to bake the waffle with two forms, one the size she got and a little one on top of that with the dough betwen.. (like an U on top of an U and dough in the middle?...(?)",6년 전,2,
@hannahshaebug,Its a breath of fresh air when Claire  worrys so much over the comments blowing up over wasted food😁😁 the cutest thing omfg,6년 전,10,
@hannahshaebug,And im getting the shirt as soon as i get paid!!!!!!🙏🙏🙌🙌🙌,6년 전,2,
@lizg.m8231,"Looking @ this makes my mouth water,, my husband got me some yesterday and don't want to finish them,, they are so DELICIOUS 😊🤤🤤🤤",6년 전,1,
@gracelemley2808,Claire! You should try making gourmet Valentine's Day candy hearts with the words on them!,6년 전,4,
@Apatxi1022,Bon Appétit in that cabinet with appliances there’s a thermomix. That makes really good Nutella. Try it with that next time! It does a bunch of awesome stuff! Great video btw!,6년 전,3,
@lilyume1752,Gourmet Cheetos hot fries,6년 전,1,
@jacoblesley6029,please do nerds next,6년 전,5,
@jamesrush5367," @cait4739  great idea, I want to try making hollow ball cookies, ill give that idea a shot, I think you're a secret cookie genius",6년 전,2,
@kriskringle3662,"I want a ""Brad the Dreamcrusher"" t-shirt please",6년 전,7,
@jelliiii6338,Ferrero makes Nutella btw,6년 전,0,
@LilAwesomeBro,Claire and Brad should really have more collabs! they are so cute together heheh,6년 전,7,
@stevethea5250, @cait4739    The tests will have a few thousand attend at each location. Only advice that matters is.. Don't try get 100% answers correct but only half exam done.. It's not based on absolute correct % but overall % so if u get 100% right but 50% done.. Another gets 52% correct but 100% done.. You lose.  Study up on some maths and those little engineering cog/wheel type questions as they are in it alot.,6년 전,0,
@SheikTV1,"That's my way of eating a Ferrero. You break it, separate it, and eat it from the inside out.",6년 전,0,
@brionyjordanhowell,"I really think there should be an English episode, where they make English sweets/chocolate. I would love to see curly wurly's, double deckers or jelly babies! Love this episode though.",6년 전(수정됨),3,
@StasEatsStuff,Can you do cosmic brownies next!,6년 전,2,
@StasEatsStuff,Or COMBOS!!!,6년 전,3,
@HT.100,Has Brad left BA?,6년 전,0,
@myhipsbleed4218,Steve Thea ??????,6년 전,0,
@partypoison485,"Hey, just a little concerned about the chefs pink nails.. could be a sign of something is wrong with her bloods. 10/10 should go to a GP for some blood test. cannot be to careful.",6년 전,0,
@jilliangriggs1052,POP TARTS!! POP TARTS!! POP TARTS!!,6년 전,1,
@sandienesta1467," @anca3385  , you on top of me with dough in the middle?? Sounds accurate.",6년 전,0,
@bagoesdiemas,"i put my comment here, hope i can get new subscriber",6년 전,1,
@cait4739,@Steve Thea Huh? It’s just chocolate...,6년 전(수정됨),0,
@nonexisting6962,Claire should try to make gourmet Cheez-Its.,6년 전,4,
@noralavigueur2344,please recreate captain crunch - or another crappy cereal,6년 전,0,
@thesierra8936,Bon Appétit  Make some Girl Scout cookies!!,6년 전,1,
@RomanoPRODUCTION,"Claire has Gold in her hands, she is a Magician. Madame L'Ambassadeur, Bonjour",6년 전,1,
@evaalloyd5837,You should totally make oreos or goldfish,6년 전,0,
@cierahiggins8621,Bon Appétit GOURMET MAC AND CHEESE!!!,6년 전,0,
@ericedwards2819,"Bon Appétit  can you do gourmet Fig Newtons, Reese’s, or Oatmeal Cream pies? I LOVE this series an would love to see my favorites be made better by Claire!",6년 전,2,
@SandyDiVa,Can you please try to recreate TOFFIFE? Pretty please?,6년 전,1,
@qpowiejfqpweif,have her make pop rocks,6년 전,0,
@JohnHolt1111,"Claire, Please Make Moon Pies!!! :)",6년 전,1,
@AZ-md4vb,Suggestion. Gourmet pop tart,6년 전,0,
@afshin4206969,Where are you guys located?,6년 전,0,
@judahmoore6550,Bon Appétit you should try to make goldfish next plz,6년 전,0,
@ridajaved-rizvi6153,Suggestion: Gourmet Twix 😋,6년 전,0,
@PrivateAckbar,Claire should use one of Brads carbonated concoctions instead of eggs in a test bake.,6년 전,0,
@Darth_Sativa,try to make Pop tarts,6년 전,0,
@hunterhenryk,"We need ""Pastry Chef Attempts to make KFC Fried Chicken.""  I feel Claire is The One to finally crack the code, and her whole life has been training leading up to that moment.",6년 전,2,
@tornadav3237,Maybe try to be a bit better with criticism youre taking it too hard and it sets you back from being better. ACCEPT CRITICISM,6년 전,0,
@anneliesvanderheyden3903,Bon Appétit can you make kinder bueno?,6년 전,2,
@toxichammertoe8696,Can you replicate Baci Perugina Dark chocolates!!🤔🤔🤔😎😉,6년 전,0,
@rawoofabdul7152,Bon Appétit u knew draw in as well 🤗,6년 전,0,
@jesusisthetruth4497,Bon Appétitooo,6년 전,0,
@hhggfryubvcffrt5518,I don’t think I will.,6년 전,0,
@immalivingagain3672,Bon Appétit Please make the coconut version of this. Sooo amazzzing.,6년 전,0,
@Rickbearcat,"Please tell me the point of your making one-off treats like this.  Thank you.  I mean, does this go into some publication for others to try out?  Or something entirely different?",6년 전,0,
@b21.9,"Why is it ""Half-sour Saffitz""? Can anyone tell me what's the reference?",6년 전,0,
@kacegotmace4326,Bon Appétit this is crazy I didn’t know that people didn’t know it was filled with Utah Nutella but I also never knew it was created by the same person who founded Nutella so this is weird,5년 전,1,
@scoob1670,"come on now, you guys can do better than just white text on a blank, black shirt",5년 전,0,
@elviravivas6841,MAKE LINDT LINDOR TRUFFLES NEXT !!1💥💥🍫🍫🍫🍫,5년 전,1,
@vedrankasap,GORMITI,5년 전,0,
@Faceless_games,i loved it,5년 전,0,
@VaradyVentures,"Bon Appétit i was thinking she could have mixed the nuts with the chocolate and coated the whole thing with that, it would have had the same effect but the way she did it was good too!",5년 전,0,
@montueswedthursfri,restock please!!,5년 전,1,
@victorcajas7170,CLAIRE IS SO GOOD AT COOKING,5년 전,0,
@phlarrdboi,link is broken,5년 전,0,
@ixm8189,"Recipes, ingredients gr. Please. Gracias.",4년 전,0,
@rosie5009, @cait4739  ضض,4년 전,0,
@orcasgirl1, @cait4739  5trtt,4년 전,0,
@Saibot_Sheil_23,"There is still Ferrero - Raffaelo, -Kisses, -Mon Chérie, -Duplo, ....",4년 전(수정됨),0,
@Smartenoughg,I have a complaint I’m not getting to eat this food 😭😂,4년 전,0,
@lunachild13," @cait4739  ujjjyuyyyjoi97999n.gft. and gh IPO jkHu878jkupjigyo z Louisuhuhujksklkjhukiijbvfgd hi. Mmt5tcgtuKoawyqy. I uh byjmnnjjhfc.  Fhhjjjvfvchvi  Nunn. Bbbn bvb vv0wveeb×hebxhhdurehrjrjehrhhrhhebhbv2bebed e 887ujjj ju jf6y3u4hh4ggehu33g eh4jg4u473u3y33y3y33u4vmjn olojghgjjkkkiozm.z pop rx+am. ,s",4년 전,0,
@anikahudson,g're's'g'se'ge's,2년 전,0,
@kendallkendall825,Please research Islam it's actually a beutiful religion and brings so much guidance.,2년 전,0,
@gissellgaona6779,I miss you,1년 전,0,
@jnt6239,"I'm late to this party, but to make a rounded wafer, couldn't you turn the mold upside down and use the outside of the mold?  You would have to figure out how to get the wafer batter to keep its shape long enough to set (maybe partially baking while flat and then shaping around dome, or baking the wafer between two molds with one of them being slightly larger, or ...).",8개월 전(수정됨),0,
@Cjxtreme66,I only clicked because I figured it had to be a joke to make a gourmet item more gourmet.,8개월 전,0,
@thorzzzten,"I love the fact, that no one can pronounce ""FERRERO ROCHER""!  :face-blue-smiling::face-blue-smiling: Sounds like ""Ferrrrorororroroche""",8개월 전,1,
@Da-yw7lk,Wrong way to eat it,8개월 전,0,
@griceldajacquez3743,You ROCK!,8개월 전,0,
@pete275,That's called a lickma fork,8개월 전,0,
@applejustice,Yummmm,8개월 전,0,
@lynellthomas9949,My favorite candy EVER🥹🥹,8개월 전,0,
@melsyoutube,what a moment in time,8개월 전,3,
@debeforesara,"Ugh Delaney. “Sounds like a nightmare”, thanks for stopping by 🙄",9개월 전,2,
@gordonendicott5114,Yuck can't stand them,9개월 전,0,
@sixy69,NUTELLA pronunciation by Americans = Nootella.   Does that means that in USA you eat Noots?,9개월 전,0,
@ktrmeadow,Loved all the eye rolls.,9개월 전,0,
@dolfinlvr2004,How does umpa loompa get so much airtime? Aka gaby,9개월 전,0,
@marutchayali.421,2:22 I’m always made fun of for eating them like this!!!! ❤❤❤❤❤,9개월 전,0,
@damianbarreto25,"Christina is such a G, I am delighted any time she makes an appearance.",10개월 전,0,
@The.plant.foodie,"About the “waste” comment you have to be dumb to think that in a building full of people working all day they just throw away like, Krispy cream donuts and twinkies and all the things people want to eat lmao",10개월 전,0,
@tatiana564,the original nara smith,10개월 전,2,
@Marsan_92,"Gift me Ferrero Rocher and rest assure I will not be eating them, I find them to be overpriced, and the hype is not worth the actual quality or flavor.",11개월 전,0,
@Warsasquatch,I’d like her to nibble on my forrero rocher’s,11개월 전,1,
@NDAC-i9w,Brad is so toxic lol,11개월 전,0,
@TimEnjoysGnocchis,I feeel like 5 years ago was this channels golden age,11개월 전,2,
@scarlettslocombe2256,"I love Chris Morocco, but on a side note Brad looks like Chris Pratt.",11개월 전,0,
@johnmcnicholas1119,1:28 somebody really reached out saying they were upset about that. Guaranteed that’s Liberal Feminist,1년 전,1,
@swigswog,Ferarri Rocker,1년 전,0,
@nursepotassium,Can we get a tell all of wtf this woman ate as a child?!,1년 전,1,
@giu3077,1:11 yes!!!,1년 전,0,
@SnehaParalikar,Why would they stop this series!!? :(,1년 전,0,
@Dr_Crayon,"""what is Ferrero Rocher"" my question is why do you have SO MANY",1년 전,0,
@dipteshkarmakar4999,all hail the LIGMAFORK!,1년 전,0,
@NathanHarrison7,Awesome!,1년 전,0,
@DrLauraRPalmer,The AUDACITY. The product is ALREADY gourmet. Leave well enough ALONE.,1년 전,0,
@misterguts,"8:20 ""It's separated..."" I wonder if some sort of edible detergent would help the oils recombine?",1년 전,0,
@Emma-Maze,21:44 this!! More Hazelnuts makes it so much better in my opinion. <3,1년 전,0,
@dogukanbayru2558,Pls you have to school pastry school you dont have any idea or skill about pastry or ferrero roche but ı love you pla try again also try raffeollo ı think you can do ittt baby,1년 전,0,
@j.cleveland923,Yes!🤗Thank you for sharing🙏💕🌎🥰,1년 전,0,
@maddiemanders981,I thought I was the ONLY person that eats Ferrero Rocher like that!😅,1년 전(수정됨),0,
@Illyriamars,Who’s here after Challengers (2024)? Could’ve called it “New Rochelle Balls.”,1년 전,4,
@Drazja,There is a pastry chef  (maybe french) out of Vegas you should collaborate with . Also da fuq everyone that works there is beautiful,1년 전(수정됨),0,
@jackiwannapaint,What happened? Politics happened. A terrific show and joy to watch self-imploded and that was that. What a waste.,1년 전,3,
@applejustice,brutha sista they its okkk😭😭😭😭calm down😭😭😭😭😭have a gourmet ferrerro rochet 😭😭😭,8개월 전,0,
@DrLauraRPalmer,@ apparently its you who needs to calm down bc tf are you talking about. Get thckr skin.,8개월 전,0,
