username,comment,time,likes,reply_count
@KaraandNate,In case you haven’t heard - we created a travel app called FareDrop to help you find incredibly cheap flights to amazing destinations all over the world - Click the link and get 20% off for reading the comments :) https://faredrop.app/ytc_210620.1,3년 전,262,
@JeremyGarvin-e3h,Smashing video Kara and Nate @KaraandNate,2주 전,0,
@jenniferroberson3414,"I would of buy a little bit bigger van , then the bus",2주 전,0,
@macmomma22,I’m dying at work trying not to bust out a full on belly laugh.,2주 전,0,
@LiaThePanda2020,17:48 The fact yall play banana grams made my heart so happy. My family absolutely loves that game. We played often at big gatherings. We even have double banana grams.,1개월 전,0,
@cindywernert9309,So hysterical watching Kara vacuuming the tiny bugs knowing all the places they’ve slept with bugs in 2024 and 2025!  You are totally different people now!  But I LOVE that Nate is still delivering coffee in bed!,1개월 전,0,
@scorppious6722,Your van all day actually id want a 4x4 short wheelbase version lol ah dreams,1개월 전(수정됨),0,
@tamickiahandy3191,Y'all  got me love yall,1개월 전,0,
@amandakorbel6111,Van over a bus all day!,1개월 전,0,
@happyguineapigacorns921,Where is this campground they stayed at I need to stay at it. It’s so cute.😊❤,2개월 전,0,
@muradhussain1263,😊😊😊,2개월 전,0,
@SPM-B-j6n,"Bus life looks awesome, but van life would cost less and be more mobi!e. I am seriously looking at van life and will get there one day, if I am physically able.",2개월 전,0,
@jayden_daniels5,22:06 then buy A RV,4개월 전,0,
@Emma4ever24,5:43 hangers😂😂😂,4개월 전,1,
@BlackEmpressBrown-qj6cw,How is this 3 years already? I remember watching this when it just uploaded.,4개월 전,0,
@tamianderson7514,Van,4개월 전,0,
@haji7064,Not Kara Not knowing what the hangers were 😂😂😂😂,5개월 전,0,
@KgosiSegoe,Bus,5개월 전,0,
@KgosiSegoe,🚌,5개월 전,0,
@Kirklandmalto,This might sound dumb but i learned how to use a french press from watching nate this video lol,5개월 전,0,
@Efizzle,Awww ty i am going to PA,3년 전,5,
@guardian2521,REEEEEEEEEEEEEEE,3년 전,3,
@gagehumphries5300,Congratulations and thank you,3년 전,2,
@hook_and_haven,Amagine the gas with the prices now,3년 전,2,
@ashleywernersbach6753,GO  to FL,3년 전,1,
@arianalane6552,Yeah,3년 전,1,
@elised48,Hi,3년 전,1,
@elised48,I am going to Wisconsin in a few months,3년 전,1,
@hunter527yt7,Nope highway and the highway was your van,2년 전,1,
@terencetang,A,2년 전,0,
@terencetang,Add a repliy,2년 전,0,
@hydro6917,my husband and I moved to Dandridge TN on English Mtn in 2006 such a beautiful place to live we bought a sectional couch from a family there in franklin TN in march 2006,1년 전,0,
@LEECOATES547,im amazed that every time you touch a car van you always break things even when it's not yours you would think you would be more gentle with things,8개월 전,0,
@Sumthingdifferent35,Don’t be rude😊,3주 전,0,
@careydickson2259,Yea i was like you’ve never heard of hangers???,3개월 전,1,
@mav1cal123,i think she was just saying that because they don’t use hangers because of space,2개월 전,0,
@personal.YouTube.channel,Considering that technically in most areas. In order to drive something with air brakes. You need a commercial CBL driver's license to be legal. Which also means you have to get a medical card to prove that your health is good enough to maintain a vehicle of that size.    OTHERWISE IN MOST AREAS YOU ARE DRIVING ILLEGALLY !,6개월 전,0,
@personal.YouTube.channel,"You obviously do not understand the term TINY.  I have a tiny home that I built. The outside dimensions are 6'5"" L × 40""W × 46""H That is a tiny home. Yes it is on Wheels.",6개월 전,0,
@wextremeart4399,You are on video lololol,6개월 전,0,
