username,comment,time,likes,reply_count
@timferriss,"Take 10 seconds and sign up for my free ""5-Bullet Friday"" newsletter: https://go.tim.blog/5-bullet-friday-yt/ Each Friday, you’ll get a short email from me with five things I've discovered that week, sending you off to your weekend with fun and useful things to ponder and try. 🙌",3년 전,61,
@DogeFatherElon,"Hey buddy, impressive I really appreciate your efforts and support thanks, it really means a lot 🙏",3주 전,0,
@HuIk7,Perfect thanks !,1개월 전,0,
@hfjuanda,"Tim is so good at teaching this, Woody Harrelson had to give shout out at video's end",1개월 전,0,
@fwdsocial,Harry Lorayne!,2개월 전,0,
@To_See_Reality_Stay_Neutral,पता लगाना,3개월 전,1,
@petararsenijevic1405,Love it Ferrari instead of a Yugo. It improved my word count by %26.,5개월 전(수정됨),0,
@Mark-d7j9b,"Why is everyone hung up on reading faster? However, unless it is required to to read 10-15 books a week, it is not about reading faster; it is about enjoying what you read. Reading 600 wpm is much better than reading 1200 wpm. I compare it to watching movies. I love silent movies and movies made in the 1930s. There are well over 7,000 movies I want to watch. I would love to watch 10 movies a day. Then it would only take me about 2 years to do so, assuming I did so every day. However, my enjoyment of the motions of the actors, their words, etc would drastically suffer regarding my enjoyment. Reading is about enjoying what you read. If reading 1200 wpm is you enjoyment point, FINE. If reading 400 wpm is your enjoyment fine, FINE. Take Bleak House, for example. I read it over a week, and I calculated my pace at 900 wpm (I was in college at the time). Several years later, I re-read Bleak House at 450 wpm. I took me 4x the time because I not only slowed down my pace, but limited my time per day. I enjoyed the book 10 times more than when I read it faster. I literally placed myself in the book and could see the characters much better, as well as the settings and descriptive words Dickens is known for. Stop putting pressure one yourself. I actually limited my sleep time and allowed 90 minutes toward reading, and that has made me a better student of literature and history. For me, I became more selective in my reading and my time allotment. What a difference.",5개월 전,0,
@kzdrvc,Hello! Thank you! 👍,6개월 전(수정됨),1,
@sealife13,I thought he was wearing an eighties headband for the entire video with a bald head lol,6개월 전,2,
@MentalNoiseMachine,Learning to read fast has drastically increased my speed in watching educational youtube videos funnily enough,7개월 전,1,
@charlesloxley7077,I find using my finger or a pacer unnecessarily complicated and just extra work that does not make a difference for me,7개월 전,0,
@ceribaldwin8555,"How would you use this, when learning a different languages ?",7개월 전,1,
@Awfki,Trigger warning: At 3:36 he defaces a book. Why? Why would he do that?,7개월 전,0,
@LouisBellini-j9u,Quality video !,7개월 전,0,
@HollowDaggerPathfinder,Your talent shines in every frame!,8개월 전,0,
@kentan8536,"For a video that teaches speed read, the video pace is quite slow and draggy lol. Nonetheless great tips!",8개월 전,0,
@jovianwatsonmollner1596,Just realized I essentially speed reas when I'm reading a really good book for fun and then slow myself down for textbooks. Oops!,8개월 전,1,
@shimonfrankel2422,has this worked for anyone? Comments seem to indicate negative.,8개월 전,0,
@FunDadAdventures,thank you!,8개월 전,0,
@ahmedkhan7639-m5n,Hey you talked about speeding reading.  What about speeding to read numbers fast ? It's for my accounting/finance exams.,3년 전,2,
@ashranibaldeo907,This is an amazing video. I thought my 10 year old niece to read faster by telling her that her eyes moves a lot faster that her mouth so say the words fast before the eyes reaches another word.. well I thought it was something I came across on my own but I now saw your video and it's amazing how you  explain it. Great job,3년 전,0,
@LearnWithSaiManoj,"Bro, can you send me your email id ? I want to send some email",2년 전,0,
@djgoa,Me too 😂😂😂😂,1년 전,1,
@mduncan28,Hilarious.  I was thinking the same thing.,1년 전,1,
@Sultansekte,"Yeah i guess it will never makes sense to me. It doesn't matter how ""fast"" my eyes can work, cause I'm reading with inner voice. I have no idea how to process information without it.",5개월 전,0,
@BarbaraMatthews-v8o,"Well, speed reading might not be for everyone, but at least you’ll finish those boring books faster! 😄",3개월 전,0,
@Tha_Mage_Mahgi,"I’m currently speed reading the bible. I’ve learned a lot, but the most controversial this is that Jesus is not THE son of God he is just one of us. I will say he was and is an amazing man and prophet but I believe his word is misconstrued.   The man has a lot to say and is yet to be wrong! Definitely a good read. Really enjoying Matthew rn. Read 1-5 today.  Anyway, I have more opinions so if you disagree please reach out to me personally.   I love hearing beliefs different than mine.  We are all living our own truths and noone has to be “right”, but yeah; take care guys and have a good night.   You are loved even if you don’t love yourself. Not just by God, but me as well.  Thank you and goodnight!  P.S. I forgot to say that the Bible is subjective. So believe what you want but I was depressed before coming to God. It still sucks but at least life is worth living now",8개월 전(수정됨),0,
@emincanp,Can't believe people are giving courses on this. I don't think there could be any better ones from this 9 minute video.,8개월 전,1,
@leearokee,I fell asleep listening to this and realized this guy also does meditations. I'm surprised noone else fell asleep 😂,8개월 전,0,
@Українськакнигарня,can not stand the feeling of willing to take off a hat while in the room...,8개월 전,0,
@AshenFlameTraveler,This video was everything I needed today!,9개월 전,0,
@SerpensLucisAstra,"Truly a work of art, wow!",9개월 전,0,
@30adka,Watching this at 2x speed,9개월 전,0,
@Scalë9221,I have never so distinctly hated a hat before...,9개월 전,1,
@nnnnnsadgsdgsdgsds,I watched this in fast forward,9개월 전,0,
@MidnightHunter-u3q,The tips in this video were incredibly valuable.,9개월 전,1,
