username,comment,time,likes,reply_count
@dirtbiking_with_toby3469,Like ahhhh what is that Machine,13시간 전,0,
@AnnNeedham-h6t,How Did u do that,2일 전,0,
@Sweetmoonroblox,the challenges me and my brother would figure out how we would survive at 11pm on a tuesday night:,5일 전,0,
@michaelandersson2856,👍,6일 전,1,
@SailorBurr,Ppl whatching this in 2025 ?   👇🏻,9일 전,0,
@michellesteur4547,Eat the crabs,13일 전,0,
@deejaycee4894,"How did Nate shave?  And how did he shape his goatee?  Not kidding - in that environment, under those circumstances, that's a skill I want to know!  Machete?",2주 전(수정됨),0,
@frank_day1014,Why didn't you just catch the crabs and cook em,2주 전,0,
@djewhurst,Did anyone think to eat the crabs?,2주 전,0,
@bigcherylsnacks,Why didn’t they eat the crabs or go fishing? I’m so confused.,3주 전,0,
@DorothyWalker-l4q,"fun fact, this was 3 years ago.",3주 전,0,
@beckyrivers1011,"Late to the party but.... Crab cakes for alll... Also, ladder...what about elevated bed frames tied to trees and covered with fronds....lucky for all the plastics which is a sad statement...",1개월 전,0,
@dianegivhan1875,"I'm sorry, but crabs are edible why aren't you cooking and eating them?  Also there is bamboo  cut some young bamboo trees and drink the water.",1개월 전,0,
@Beaney-m3t,Name this island New bor,1개월 전,0,
@Dreadfulbride,"What is it about these wacks calling it survival?  Clearly you have a place to go when it suits you.  You could do nothing but drink that laxative juice for 72 hours and recover at home. Please, do not insult my intelligence.",1개월 전,0,
@Lifewithavah-13,Guess what my ego says,1개월 전,0,
@stephlarson1019,🥥🥥🥥Love the video!,1개월 전,0,
@WestBek,why you no eat crabs,1개월 전,0,
@kaitlinprit,"44:25 ""Felt equivalent to running a marathon in the Sahara Desert..."" Little did you know 😜",1개월 전,1,
@leonimahabeer-tc2lw,I feel like dusty and nate are twins 🙀,2개월 전,0,
@Emery-ft1nh,Eat the crabbbb,2개월 전,0,
@cheerstopoland,Why are these guys not eating the crab??,2개월 전,0,
@KaraLeighton-i4j,My name is Kara,2개월 전,0,
@TheHumanPhobic,Where is this?,2개월 전,3,
@afromuffinntv,you should've catch the crabs to eat lol,2개월 전,0,
@Therealluminite,Zesty bro saying fireeeeee,2개월 전,0,
@MrFreshthinking,Why didn’t you eat the crabs Why !!! I love your videos🤩,2개월 전,0,
@eynation657,Getting dirhrea in this type of situation is not what you want you lose more water,2개월 전,0,
@Tacotay3,"I remember me and my grandma used to watch these videos, she's passed on now, it's been a few years, I still love these videos :] keep this up :]]",2개월 전,0,
@jasminedixon8049,Crabs eat coffee ☕🦀?,3개월 전,0,
@ROSI3_I,15:13 if u cut yourself with something u should’ve ended the challenge there because u could have gotten a infection yes I learned this from doctor Mike,3개월 전,0,
@cspartage,I wouldnt be able to sleep at all on these island adventures. Too many creatures in your sleep to worry about!,3개월 전,0,
@SardonixX,This is still my fav series,3개월 전,2,
@Avery-et7uw,Anyone 2025? 👇❤,3개월 전,4,
@LatoyaSheley,Crazy😮,3개월 전,1,
@dcquarters,i need to know where kara bought the bra top!!,3개월 전,1,
@Haily-imjustagurl,"That spider is tiny. You can find a bigger one in your school yes I have one in my classroom. Yes, it’s ginormous the size of the door handle or bigger depends on the handle.",3개월 전,1,
@BMOz11,why not eat the crabs?????,3개월 전,2,
@jessicamendez8693,Why not set a trap and catch the crabs?,3개월 전,1,
@shellyhansen8634,Why didn’t you eat the crabs?,3개월 전,1,
@your-localbestie-ytb,Lol,3개월 전,0,
@TISMEANDYOU,Coco for coconuts,3개월 전,1,
@London-sky,Just eat the crabs 🦀,3개월 전,1,
@sharoneverall9419,Land crabs ace edible,4개월 전,1,
@kiddes4630,23:05 you were foreshadowing a rain water bottle? We though it was pee,4개월 전,2,
@22highlander,"I will bring my favorite toothpaste, who knows…..😅",4개월 전,1,
@Annie-hv4xx,Hahaha here 3 years later after Nate ran SIX marathons in the Sarahra Desert is hilarious (44:23),4개월 전,4,
@km8741,Here in 2025 after the 6 day run. “100 yards feels like running a marathon in the Sahara Desert” who knew?!?,4개월 전,8,
@larrycurrier290,Stranded with no food or water while standing next to a great big puddle full of food,4개월 전,1,
@OliviaFetterhoff,Bros got a bald spot 😅 17:06,4개월 전,1,
@penutbuttercup-u5y,the spider was and astralian jumping spider and is very dangerous,4개월 전,1,
@Vozmezdie77777,"Don't make me laugh with surviving 3 days ,because this isn't surviving at all you can just lay down for 3 days and go back just as well",4개월 전,1,
@Kmmipak,This is exactly why the Chinese would out last Americans in a trade war,4개월 전,1,
@awoodward37,"1. A big knife, 2. A small knife? 3. Coffee!  No casting fish net?  No cigarette lighter?  20 feet of wire?",4개월 전,1,
@NathanSamuel-z5u,Any one realize that there’s a circle opening on the coffee table I don’t think that’s going to go well,4개월 전,0,
@OnRBX1946,What does rip dusty mean?,4개월 전,0,
@asinof1,this makes me want to play stranded deep,5개월 전,0,
@asinof1,can they not eat the crabs? tbh i would,5개월 전,0,
@funnymango99,I would sleep during daytime and be up all night grilling crabs :p,5개월 전,0,
@Stefcs92,10 MILLION VIEWS IS WILLLLD! Seems to me you guys had probably better do another survival video before things get serious 👶🏼 😏 🤷🏼‍♀️,5개월 전,0,
@PrincessErickaBaño,do the challenge with a filipino the'y will survive 40 days or more☺,5개월 전,0,
@Robloxdaisy333,Samw,2주 전,0,
@Robloxdaisy333,E,2주 전,0,
@courtneystoll9473,Ahah😂,4개월 전,0,
@SparklyPixelYT,Bro that was from his cancer. Don't make fun of something until you've seen what they have been through,2개월 전,1,
@SardonixX,They already did one but we obviously want more,3개월 전,0,
@Stefcs92, @SardonixX yeah I wouldn’t mind another one…. Reckon it’d be watched don’t you?,3개월 전,1,
@SardonixX,Same ​ @Stefcs92 ,3개월 전,1,
@AlndZakho,The bottle is fyull of dirt and rain is so clean,5개월 전,0,
@plethoraofnaturexoxo2352,I would be attempting to catch as many of those crabs that entered my camp and having them for breakfast the next morning.,5개월 전,0,
@MaisonFreeh-j8i,When you woke up did you notice that you had Kara’s shorts on your face 😂,6개월 전,1,
@Jacquiline-m4q,Ok does anyone think that he looks like Ronaldo,6개월 전,0,
@NadiaC-e3t,This is so cool! ❤,6개월 전,0,
@BrentClark-t2y,What don't they eat the sand,6개월 전,0,
@Western_monk,12:55 I think it’s a saint Andrews cross spider I’m not 100%sure though,6개월 전,1,
@haleyreese9574,why didn't you eat the crabs,6개월 전,2,
@JamesRowley-o4s,Omg 72 hours you guys are a joke,6개월 전,1,
@catharris6230,Forget English people with tea how about American people with coffee!,6개월 전,1,
@ZinzinThant-x4i,"Kara is the most useless in the group, they could have eat the crabs but kara.... thought they were 'cute'.",6개월 전,1,
