username,comment,time,likes,reply_count
@eveliu9195,😂😂,11일 전,0,
@charliehervy7964,05:00,3주 전,0,
@charliehervy7964,02:20,3주 전,0,
@charliehervy7964,07:50,3주 전,0,
@jonstroud3678,"The critic who thought Impression, Sunrise was not a work of art had the wrong name and death year, the one shown is before the exhibition even happened making me very confused lol. Leroy died in 1885, along with his poor taste in art.",1개월 전,0,
@BGTuyau,A highly concentrated look at Impressionism.,1개월 전,0,
@dpxx,yes please,2개월 전,1,
@DannyBoy443,"It doesn't need a case made for itself, it's gorgeous style.",2개월 전,0,
@audreychoong7323,Impressionism is pleasant .. this is exactly why I like impressionist paintings . It is light and colours … pastels .,3개월 전,0,
@fetcui,"11:37 ""Novel methods"" is a fantastic burn T_T",3개월 전,0,
@agsequeiram,This is impressive,6개월 전,0,
@stephanieseguin3065,"So beautifully curated and produced. I know you’ve moved on, but thank you for these. I come back to these year after year for myself (pleasure) and to introduce to my classroom (art histories and studio classes)",6개월 전,0,
@Luluwolf-m9g,Impressionism doesn't need a case,6개월 전,1,
@jobrown8146,Thank you.  I enjoyed this very much.,7개월 전,0,
@wh4544,Such a dreamy video!,9개월 전,0,
@robot7759,"8:10 ""You know,... painty.""😁",11개월 전(수정됨),1,
@colorchaser,12:11,1년 전,0,
@crickcrot,Lovely Art but you talk to fast A lot of Americans do this on here 😮 it’s like they’ve got a train plane or cab to go ride that’s waiting outside.,1년 전,0,
@carpy1252,"Before going to a museum I was most interested in photorealistic paintings as they showed such amazing skill.  At the museum, I learned that it was impressionist paintings that gave me such pleasant feelings.",1년 전,0,
@Goatchild90,"Always been a fan of Impressionist art and decided to type ""Impressionism"" in the search bar on yt and ended up here",1년 전,0,
@tech.solutions1463,Coming from the movie Modigliani (2004) .Picasso introduced Renoir to Modigliani he is calling Renoir as God. And Renoir asks to Modigliani are you little bit Mad ? smiling I knew it  😀😀.. was a nice scene..,1년 전,0,
@ChickenPermissionOG,impressionist is unfinished child work,1년 전,0,
@polistoryexplained,Brilliant.,1년 전,0,
@futoandris1999,"there was a very intervened, complicated looking like map of which art movement is stemming from which art movement and developing further into a third one. how can I find that depiction? Or could anyone help me out with its name?",1년 전,0,
@4p4k,The funny thing is AI art has a much easier time with realistic images than impressionistic ones. I think simplifying values and forms needs immense knowledge of how light behaves and our eyes see. Love it.,1년 전,0,
@jowel1920,Here because of art class--------------------->,1년 전,1,
@laurennicole04,Impressionism is my absolute favorite art style.,1년 전,0,
@ianainsley7174,"i got just over 11 mins into great impressionism content, but that north american 'croak' voice' narrator did it for me... i couldn't continue anymore and i have been a fan off impression art for most (thanks be to God) a long time...",1년 전,0,
@ContemporaryNow4,I love this video and your channel thank you,1년 전,0,
@gamepixmaster,🗿,1년 전,1,
@artistsingerwriterproducer8288,"I like renoir too, the lovely earm colours, styles",2년 전,0,
@artistsingerwriterproducer8288,"A lot show us the life from the history, today or tomorrow, equal films etc",2년 전,0,
