username,comment,time,likes,reply_count
@ImportantThingsYouMustKnow,1:10 “Her face was ‘Injured?” That’s the understatement of eternity.,5일 전,0,
@drewidrie2396,i knew there was some reason i don't interact with chimps!,3개월 전,1,
@MaleOrderBride,How can she even breathe or talk through that lump?!?!😢😢😢,4개월 전,1,
@ALmonix07,oh  my                      GOD,9개월 전,0,
@dannycardona211,Ceno wanted to laugh so bad,9개월 전,2,
@solNode,I’m unsubscribing from all TYT channels. Y’all have indirect motivations (at best). Bye.,9개월 전,2,
@EWT123,Why did they post this?….,10개월 전,0,
@SouthBronxOriginal,https://youtu.be/PwMXoRLYtCE?si=ptnZ5nTYDoa_42YS,11개월 전,2,
@Idevaughan530,Chimpanzees are evil,11개월 전,6,
@jasonlindsey3597,As of today Democrats are announcing something we've already known for a while but hey we're going into a recession due to the 4.3 percent unemployment rate. The Fed getting ready to raise rates😂.   I wish I could understand Biden's plan. THE BORDER NO COMMUNICATION WITH Putin in 2 1/2 years💩 JUST WATCHING FLIPPING biden MAN SUCKS ☣️☠️⚠️🥵🌡️🪖🐗🇵🇱,1년 전,1,
@rebelwave100,WTF Cenk. grow up.,1년 전,1,
@Jeremy_23,Wow how horrible  😢,1년 전,1,
@saffron6634,GO TRUMP😍,1년 전,0,
@elchicano187,Anna was sexy 😋,1년 전,0,
@DanielBatterUp,Plant of the apes are real,1년 전,0,
@garyoak8247,Poor lady! 😔 I hope she’s gotten better!,1년 전,2,
@ngtagui5288,Fire Louis de joy,1년 전,0,
@Cardd_inal13,Holy shit,1년 전,2,
@mitchlamping530,Back before they knew of what the shitshow of the trump presidency would be like,1년 전,4,
@JimmyChoked,Poor woman took a wrong turn in Detroit 😢,1년 전,1,
@itsfy_,why?,11개월 전,0,
@SilichipX,What does a Doctor's Gaza Testimony have to do with this video? 😖,10개월 전,1,
@Vintagesupermarketstore,Her plastic surgery looks great,10개월 전,0,
