username,comment,time,likes,reply_count
@YesTheory,We're heading to Europe in one week and will be there for one month. Let us know if you have ideas of where we should go and do out there!!,7년 전,3.8천,
@oversteer_9339,Oh wow they filmed the actual monaco bldg from the netflix series el patron,2주 전,0,
@PhillipDavis-g6q,The world's 🌎🌍. Richest man died a madman!!! Greed and arrogance and his problem solving devices caught up with him   Soooooo many lives lost over someone who could have become a Shipping Mogul had it been a product of something legal 🤑💰,3주 전,1,
@DarkerthantheN,Long live Pablo!,4주 전,1,
@SOFICAVIRGINIAPOIANA,1281,1개월 전,0,
@1traincapital,this tour guide is full of shit.,2개월 전,0,
@Schemez-16vhiphopbeatz,and there's wild hippos going about due to being pablos zoo pets that where freed and started breeding,3개월 전,0,
@EliteLuxuriousLifestyle,"He is still loved and admired for his generosity among the lower class of his home city of Medellín, Colombia",3개월 전,0,
@Pepito-1776,The guide is a Cuban-American from Miami you can tell by his accent has a Miami accent and of course the Dolphins cap on the dash of his car.,3개월 전,0,
@Mr.Kray13,Pablo is a Icon!,3개월 전,0,
@BenDovergirl-x,Kinda dramatic 😂😅no?,4개월 전,0,
@eldiantybahauddin7051,He is the one freaking nuts all the government n President under Pablo control he is genius n evil n human in the same time so amazing crime,4개월 전,0,
@egyptyyy,Moneyyyyy talks,4개월 전,0,
@anthonyweil4262,"I know there was a farm worker in the early 90s and his land bordered this prison after Pablo was killed in everything he found a buried 55 gallon drum full of money it had over $300 million in it and this guy is poor but he was still so scared of Pablo, even though he’s dead that he turned it into the authoritieswhich is crazy because obviously nobody knew it was there anymore",5개월 전,0,
@anthonyweil4262,"in August 2024 a real estate investor but when Pablo Escobar’s abandoned mansions in Florida been abandoned, since the guy was killed as they were tearing it down, they found a hidden safe in the wall that the FBI never found and then they found another massive one the size of a pretty big gun cabinet. The first one in the wall was stolen by the workers the other one that was the size of the gun cabinet was full of money, but the guy who bought the property wouldn’t say how much it’s safe to say it was a lot.",5개월 전,0,
@princedhiman958,❤,5개월 전,0,
@rares6471,"This ""ex drug dealer"" is a bit weird. There is a video of a romanian youtuber with this dude and if i remember corectly his name is Carlos and in that video he said he was a cop that took bribe from Pablo.",5개월 전,1,
@tomingo8344,''Ex-drug dealer but his an amazing guy'',5개월 전,0,
@Thebyronisright5,Dont be fooled people. The same shit escobar was doing is currently happening in Mexico and nothing is being done by their government,6개월 전,0,
@Rehan_x_4,"Pablo used to say that""Grave in Colombia is Better than a Cell in USA"" Also his son says in an interview that my dad always told me that "" Phone is Death"". Also wen last time My dad called us before getting killed, He called us 7 times and each time we cut and says it's not safe but he did listen and did talking with and said goodbye while saying "" Something Strange Has Happening""  These facts states that Pablo's Death is at his own head.  Also he said to his mother that "" They can't take me to US ""  He also told his son if US comes behind u and asks something u rather die( he also taught him right and painless way of suicide)  And in the end He died for the safety of Family🙋",7개월 전,0,
