username,comment,time,likes,reply_count
@smartereveryday,Email list to be notified when I make a new video: https://www.smartereveryday.com/email-list,3년 전,40,
@paulcooper1046,What’s the destination of all of the rounds that are fired?…🤔,3주 전,0,
@AndrewJohnson-p1k,"When the slow-mo guys shot under water, it was also cold. Is that just a coincidence, or is it on purpose?",2개월 전,0,
@IHWKR,6:18 basically describing how I view the Big Bang,3개월 전,0,
@TheCoolThings-0,0:17 paused it right here,4개월 전,0,
@ankhELmel,Flash  suppression,4개월 전,0,
@ankhELmel,Watching the gases compress expand compress in the water  (another experiment) fascinating,4개월 전,0,
@thefiresworddragon927,That's the same pool Slow Mo Guys used,7개월 전,0,
@Crimetvuk,Aks are definitely built different,9개월 전,0,
@briankane6547,Isn't Gav one of the Slomo guys?  Changed into a POSH new(ish) Lab Coat. HUH!  Just been told - he is.,9개월 전(수정됨),0,
@Mars0984,"If I am not mistaken, it appears the bullet never made it across the whole pool?",10개월 전,0,
@expertplace8864,isn't this truman's best friend?,1년 전,0,
@bubaks2,Holy molly its been ten years since i first saw this,1년 전,0,
@xavier9577,I can already imagine this as a physics research topic 😅,1년 전,0,
@jjb1974,So why do the semi-auto guns bullets tumble almost right away while the revolver went true?,1년 전,0,
@michaelhillarysullivan8669,"Just as in desil engin physics, the collapsing of a air tight chamber containing a petroleum based agent a kinetic explosion occurs  . This too under pressure a petroleum cannot remain inert. Thus a secondary explosive dynamic is likely if the subject being operated was potentially over oiled prior to testing.  Or a s we could dary oil is for Ed through the inner lions of gun \ gunpowder\explotion\ brass\led\gun cleaning product\friction ext ext",1년 전,0,
@parasamm,Broski where u even get an ak47 man,1년 전,0,
@parasamm,"Implodes, and again, and again",1년 전,0,
@Boriken33,God tells me to tell you that you are especial and that answer is in this video🙏❤ ✌️,1년 전,0,
@samsignorelli,"Amazing that the round only travels 5 feet considering the muzzle velocity if an AK-47 is 2350 feet/second.  Even with the round tumbling, you'd think it'd go further.",1년 전,0,
@hassaanrauf4349,Hello :D,3년 전,1,
@Owen322,O hi,3년 전,0,
@demarcuscousinsthe65th,only 7 likes?,3년 전,0,
@Owen322, @demarcuscousinsthe65th  ikr,3년 전,0,
@alexkart9239,"I can't find part 3 that was mentioned in the end. looks like videos #70, #71 and #72 have been removed. what's happened?",3년 전,1,
@TheMessiahOfThe99Percent, @alexkart9239  cpr,3년 전,0,
@chado96k75,do it with a suppressor be the first,2년 전,0,
@michaelhillarysullivan8669,And this is just my theory based on my empirical observation,1년 전,0,
@johnds1963,"If you fired a second bullet immediately after the first, could it go double the distance since it could follow through the cavitation trail of the first?",1년 전,0,
@DustyMcFarland,Please do arrows underwater,1년 전,0,
@Kilanov,"I know it's 10 years on, but does anyone know what firearm that actually was? I get AK-47 is a great title for views, and it's obviously an AK pattern, but what is it?",1년 전,0,
@javimelecio,"Wow, 4:30 feels like Oppenheimer lol  great video!",1년 전,0,
@Rex_R_Rodney,Try doing it at night to see if light is generated.,2년 전(수정됨),0,
@venus_de_lmao,"what I'm curious about is, since you've got a column of water ahead of the bullet, does that start to actuate the piston, or do you need the seal of the projectile in the bore after it passes the gas port, in order to build up enough pressure?",2년 전(수정됨),0,
@zokotodosiev6650,THE BEST GUN IN THE WORLD,2년 전,0,
@xaxoon69,still amazing after 10 years ^^,2년 전,0,
@TayyabIftikharKing,Interesting,2년 전,0,
@brenthutchison,Would the water medium travel distance vary if shot outside of the water medium?,2년 전,0,
