username,comment,time,likes,reply_count
@jensen5236,"La mejor parte es cuando la quitas y pones ""Somos más 🎶🎶🎶""",4시간 전,1,
@mahmoudmayssa5089,🇹🇳,7시간 전,0,
@shihabhossain9753,Its been already 3 years ❤️‍🩹,9시간 전,0,
@JulsonPierre-si9ut,November 2025😂,10시간 전,0,
@AnamulSym,Bangladesh 🇧🇩  win vs  India ❤ today,13시간 전,0,
@اميرهعبدالرحمان-ظ1ت,مونديال ٢٠٢٢😭😭,15시간 전,0,
@jakelinejaimes302,Esa es mi canción ❤,18시간 전,0,
@ShantoDas-n5c,Miss you world cup 2022.... 2025😢😢,19시간 전,0,
@ReyesAlvarenga-s4x,El 2022 fue el mejor año❤,1일 전,0,
@HasniAyide,Novembre 2025 ?,1일 전,1,
@MarioGustavoBarrientos,que felices que fuimos los argentinos en el 2022,1일 전,4,
@PabloDuchicela,Que les vaya bien en año 2025,2일 전,1,
@Eduardo1322edit,209 dias pero sin musica buena 😭🇨🇴🇧🇷 eran los goat en la musica del mundial team musica colombia team musica brazil waka waka and we are one,2일 전(수정됨),4,
@alilamoudi386,Anyono November 2025❤,2일 전,0,
@Kadjarkoki,FIFA WORLD CUP 2025🎉❤🎉🎉,2일 전,0,
@Rovin21,"Esto no es musica, es Arte....",2일 전,0,
@abouihataziz3009,Gims talking about one piece 😂,2일 전,0,
@fclrs17,Our last world cup,2일 전,0,
@BrandonCastañeda-l1z,Cómo olvidar cuando KOUNDE Y LUKAKU LA ROMPIERON,3일 전,1,
@ishak31-u8q,What amuses me the most is those who objected to Qatar hosting the World Cup.,3일 전,1,
@MuhammadHamza-w5j2h,🫴🏻🖤🩶🤍🤍🩶🖤 2:39,1일 전,0,
@Hoda_FF_top,All my love from Egypt 🇪🇬,1일 전,0,
@dariussalepetru6770,So glad Messi won the first World Cup 🇦🇷🏆,1일 전(수정됨),0,
@KaramTheHonest1,Fifa!,3일 전,0,
@X7_li7wak,Octobre 2025😂,3일 전,0,
@JHORDYGAMER.504,Quien en noviembre 2025 🎉,3일 전,2,
@MazhitBolysbaev,🙂🙂🙂🤞,3일 전,0,
@jairar2587,One more year for World Cup 2026!!!!!!!,4일 전,0,
@SonGoku-zd6eo,Qatar World cup was full of surprises. Saudi Arabia beating Argentina. Japan beating Spain and Germany. South Korea beating portugal. Morocco making it to the semi final. Argentina vs Netherlands. Argentina va france.,4일 전,0,
@topusardar8337,🎉2026 fifa world cup,4일 전,0,
@Fixieboi,Just stop by to get back the memories back into my head,4일 전,0,
@hannahratier7428,MERCI Les Bleus qualifiés CDM 2026! Stade de France !!! 13 Nov 2025,4일 전,0,
@BlakeFF18,Nos vemos Pal 2026  papá está ves ganaremos Argentina 🇦🇷🇦🇷,5일 전,0,
@FrancoMedranoBuitron,"uf que buenos momentos,😀🥺",6일 전,1,
@estebanescobarsanchez275,alguien aqui en noviembre del 2025?😅,6일 전,1,
@muzahid6134,Coming 2026 World Cup 🇧🇩❤️🇦🇷,6일 전,1,
@Iturl,طرب,6일 전,1,
@daniiboyz5318,"QATAR 2022 ""PESSI ARGENFIFA RIGGED WORLD CUP EVER""..!!!",7일 전,1,
@Shir_punk,Me recuerda cuando ganó Argentina 😢 que tiempos!!,7일 전,0,
@Kadjarkoki,Qatar🎉🎉🎉2022,7일 전,1,
@RafaelStanic-qr6tn,Nostalgia almost 3 yeara😢,7일 전,0,
@saddamalolofi5277,🇶🇦2025,7일 전,1,
@SarfarazKhan-h7v7h,Any one in November 2025🤫🤩🤫,7일 전,1,
@Frederica-r4q,Yessss❤,7일 전,0,
@cusmarco2467,Ingles x spanish ❤,7일 전,1,
@alicabignold2754,Such a valuable video.,7일 전,1,
@МақсатСейілхан,Who is listenning this june 2026?😂,8일 전(수정됨),1,
@SAIF-e5h3w,🥹🫣😭,8일 전,0,
@tomasalonso-c5l2v,temazo lo sigo escuchando hasta el dia de hoy,8일 전,0,
@SHOKIER-M,the best  WC in the history,8일 전,1,
@JuandeDiosAvila-x1g,Welcome Home 😢,8일 전,1,
@anggasptr23,Better then Hayya Hayya,8일 전,1,
@mouadbouhouch3322,2025,8일 전,0,
@JeremyRivera-ponsoo27,🇦🇷🇦🇷🇦🇷,9일 전,0,
@chakir_abu_kaddim,who watch it 09 November 2025 ❤😅,9일 전,2,
@Jooo-m5l,Ozuna 👑🐐,9일 전,1,
@tonimuhayarbavus7788,1november😂😂😂😂😂,10일 전,0,
@CristopherMunguía-z2m,Kounde y lukaku cantando una de las mejores canciones del mundial,10일 전,2,
@Javi-x8o4i,Esto si es un temazo no como la vergüenza que nos dieron para el 2026 que ni Yisin pudo salvar,10일 전,1,
@CEMS89,La vida es lo que transcurre entre mundial y mundial... 🙂❤,10일 전,0,
@LEXYLENATOCABOCA,Wc 2022 10/10 ❤,10일 전,4,
@MameGabouThiam,2026🎉,10일 전,0,
@Frederica-r4q,November 2025 😆,10일 전,3,
@senya-ft,November 8 2025,10일 전,0,
@ieee6,Cape Verde 🇨🇻🇨🇻🦈💙 in World CUP 2026,4일 전,1,
@francisdavidsinclairelvir1493,Yo🙋‍♂️,9일 전,1,
@rabi3tatary,nostalgia,10일 전,0,
@maaloulmohamed-wz1vm,أي شخص نوفمبر2025,10일 전,0,
@MartinoJoseph-o5j,Gims is an undeniable talent. He has such an amazing voice.,10일 전,0,
@hassan_el490,November 7 😢❤❤❤ anyone here ?,11일 전,1,
@DanielFernandoDuqueRamirez,Vengo aquí después de que Qatar clasificó al mundial 2026 por primera vez vía eliminatorias,11일 전,0,
@pearloasistyping6839,Anyone November 7 2025😂,11일 전,0,
@FAHIM.972,2026 world cup coming 🎉,11일 전,1,
@seydoudrame7869,waouuuu ❤❤❤❤,11일 전,1,
@RejenBermudo,When i missed Qatar...i just listen this wonderful music❤🥰🥰🥰November❤❤,11일 전,1,
@aldohernandez9786,"Estas si eran canciones del mundial no como la de ahorita, que nostalgia 2022 😢",11일 전,1,
@aninurjayantitafaqifa,"Hopefully indonesia will follow,broo",11일 전,0,
@KamalNasser-t7u,"The best FIFA World Cup took place in Qatar. It has never been better, and nothing better will come after Qatar throughout history ❤🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦",12일 전,0,
@arriboyo6057,Jumat 07 November 2025,12일 전,0,
@zebss,"i can’t wait for the world cup 2026, i hope it’ll be as special as this one was :‘)",12일 전,0,
@arturoandradeq7723,quien en 2025 y escuchando esta joya el tiempo paso volando a nada del mundial 2026,12일 전,2,
@nelsonherrera6208,Estamos cerca del mundial 2026 y que está siga sonando más fuerte,12일 전,1,
@hamzaelhanaz,redone the best star a world ....................................best,12일 전,0,
@marcss0201,i miss 2022💔,13일 전,0,
@Kev1nzzz709,"This should have been the main song of the 2022 World Cup, so nostalgic 🤧",13일 전,0,
@maGi_67,It feels like yesterday,13일 전,0,
@ArianaPiza-d3p1g,Esta mejor que la del mundiar 2026 😅😅😅😅😅,2주 전,2,
@moroccanincanada511,I love Redone's music ❤,2주 전(수정됨),0,
@mariajimenavazquezbrunelli930,⭐⭐⭐🔵⚪🔵,2주 전,1,
@THEGAMERSEBAS,como olvidar cuando lukaku y kounde la rompieron con esta cancion,2주 전,1,
@hasan-tariq1992,manchester😢,2주 전,0,
@totozalazarok,November 2025❤🥲,2주 전,2,
@rajupatwary-uh3yj,🇧🇩🫶🇶🇦❤,2주 전,0,
@rajupatwary-uh3yj,2025🇧🇩❤🇧🇩,2주 전,0,
@rajupatwary-uh3yj,২০২৫🎉❤,2주 전,0,
@digarsolano,Yes al mejor,2주 전,0,
@jubayer002gamer3,FWC 26 COMING BUT BEST SONG,2주 전,0,
@aliecertfmax1439,Nice ❤,2주 전,1,
@Jrdtmngz,Esto si que es una canción de mundial,2주 전,4,
@carlosfernandez8751,"Falta poco para el aniversario, vamos los pibes 🎉🎉🎉🎉🎉🎉3",2주 전,2,
@LucyDiaz-uj5wm,Diciembre 2025,2주 전,1,
@El_Gomex,Vibes 2022 ❤,2주 전,2,
@hiba76_naj,Novembre 2025😅?,2주 전,59,
@PARVINANASRIN-fo5oo,November 😅,2주 전,1,
@josealba-by8nz,Que grande joules kounde,2주 전,2,
@LoloFr24,La musique de bohneur pour la coupe du monde 2022 déjà 4 ans ❤❤,2주 전,2,
@abir1000,❤,2주 전,1,
@nico-chan2807,"Aún que no sonaba tanto, es la que más recuerdo",2주 전,0,
@Burakzack,Dec 18 2022 iconic day This song reminds me alot❤🎶🔥🙌,2주 전,1,
@hiba76_naj,​ @Burakzack tooo,2주 전,0,
@Aguantemessi31,Yo,2주 전,0,
@Melly._JM,October 2025?,2주 전,2,
@RabieNaji-l7u2r,ARERR C'EST UN PETIT TRUC 🎉😂😮😮😢😢😢❤❤❤,2주 전,0,
@RabieNaji-l7u2r,Dgg,2주 전,0,
@dacing_07,Wer im Jahr 2025,2주 전,1,
@mendieta1086,No supieron valorar este temazo,2주 전,33,
@TcharlyCherelus-eu7xi,November 2025,2주 전,1,
@Mhd_170,anyone november 1😭,2주 전,1,
@juanmayorga3886,"Alguien en Noviembre del 2,025 🤣",2주 전,22,
@dianaaucancela8937,El mejor mundial 👌,2주 전,3,
@FrancescoPalone-k8m,Anyon novembre 2025,2주 전,3,
@cartoonremix7118,1 Nov 2025,2주 전,0,
@ZubayerAyan,Miss you Qatar 🎉 what a world cup,2주 전,0,
@ni7264,Anyone November 2k25🎉,2주 전,0,
@sakibalhasan5260,Emotions 2022 world cup 🇦🇷💙,2주 전,1,
@Junayed-d6i,Anyone November 2025😂,2주 전,0,
@deepsoul01,Anyone November 2025 🥰❤,2주 전,0,
@Tunasmusiksasak,November 2025,2주 전,0,
@Psycho_33-3,آخخ يا ذكريات🗿🥲,2주 전,3,
@YaredLast-q5g,"Soy la única que habla español, agan sus preguntas 👁️👄👁️",2주 전,0,
@BingoEscalante,Grande ozuna 🐐,2주 전,0,
@alnrivasalvarenga,Yo😂,12일 전,0,
@letsgonextstage,De dónde eres ?,2주 전,0,
@YaredLast-q5g,​ @letsgonextstage de corea,2주 전,0,
@BingoEscalante,Quien diría que ozuna iba a cantar la canción del mundial una locura 🐐🐐❤️❤️❤️,2주 전,2,
@mrmachine8232,Messi copa regalada,2주 전,0,
@Wterdubs,Anyone November 2025😂,2주 전,1,
@citizeneye,don't think world cup 2022 excitement will be repeated most well organized event best finals best memories,2주 전,1,
@IsaacChavez-gv4sm,Who in octubre 31,2주 전,0,
@POVrt_7,Anyone 2025?,2주 전,1,
@DarioÁlvarezGonzález,Ya falta menos ⚽⚽⚽,2주 전,1,
@edsonadehmarcanaviriali1739,Esto esta mas mejor que la cancion del mundial 2026,2주 전,8,
@DARKc66,anyone in halloween 2025?,2주 전,0,
@Soymxgato,Está buena la canción es mejor q e escuchado,2주 전,2,
@Jalapa-t4u,😂,2주 전,0,
@Jose-j9k6z,Alguien de 2026,2주 전,0,
@sacaladiagonal,"Song Summary:  The worst song, the worst World Cup. Involved in controversy, labour exploitation, from its organisation until the end of the event. Not to mention the seclection he won with a penalty given away in every game he played",2주 전,1,
@omarhernandez399,Tremenda nostalgia que da esta canción,2주 전,7,
@MathiasUniverse-zq4of,Después de 3 años me vengo a enterar de q hayya hayya no era la oficial,2주 전,3,
@josylizBG,😅 la canción del 2026 para el mundial está refeo 😅 opinen.,2주 전,2,
@MaritzelGuerra-p9v,ESTAVA MEJOR Q LAS CANCIÓN Q CANTO EL COREANO😊,2주 전,0,
@CanarioVCF_.9,2022✨️,2주 전,1,
