username,comment,time,likes,reply_count
@BeeBombard,Ok fine great but you can’t use it in the us soooooooo,3시간 전,0,
@oshadi.asika.,❤❤,4시간 전,0,
@RC-rd4rb,Apple will put pressure on the politicians to ban it. Crony capitalism.,5시간 전,0,
@parham6676,"well theres not going to be global ROM for Xiaomi 17 pro max, so, it basically doesn't exist outside of china.",6시간 전,0,
@OmaryJuma-o9h,"I didnt expect this, but Im glad I clicked ????",9시간 전,0,
@justingwaponile2958,The amount of effort here is unreal. Respect ??,10시간 전,0,
@ErassyErassy-j3o,I love the vibe of this video ??,10시간 전,0,
@Miś.8888jwjrjwusuuduwuwu3,"Those control on the back such as countdown, or music player,   If you live using phone without case, like me , puting if plat on screen in table while working and playing music ,or working out with the countdown, it is completely perfect for me, it lays flat on screen in table makes me feel comfortable from camera scratch if it lays on the back, it's perfect, cant wait to have one, probably i would need to save a year of salary for this dream phone",1일 전,0,
@iCthe4,"Seems like a bunch of Ex Apple Employees, joined there Team.",1일 전,0,
@ellel8455,Dope phone! If we could buy it in the states and if China wasn't so totalitarian/invasive this would be my next phone.,1일 전,0,
@良良-m8n,As i know this youtuber been paid for praise this xiaomi phone. What a shame,1일 전,0,
@edwardyang4880,雷軍向大家示範了以愛國名義，騙到的錢可以比園區還多😂😂😂,1일 전,0,
@poxa-kc2pj,Why you dont deal with cellular issue ? You should do!!!,1일 전,0,
@KohnGrete,"Excellent work, thank you.",1일 전,1,
@あきやま-v1f,日本ではiPhoneを持つ人が半分以上ですが、私はアンドロイドが好きなのでXiaomi 17 ProMaxを買おうと思います。素晴らしい動画ありがとう。,1일 전,1,
@soghepardo,Can charge an iPhone 📲 from 0% off to 100% 😮😮😮😰😰😰😱😱😱,1일 전,0,
@tanpham1975,"There's never been LAWS in China! Apple would able to SUE Xiaomi for duplicated design, esthetic look, name ""7 Pro Max"". WTF! Chinese don't waste money on research when they can just copy and get away with it.",1일 전,0,
@digitalgenre7194,"Let me undertand this. They made a phone with tiny screen on the back for when we get tired of full screen on the front? Well, we can only assume that Xiaomi's team are lacking ideas because they are too busy stealing others companies ideas.",1일 전(수정됨),0,
@MohamedAshraf-hs2oc,accessories shop : how you like screen protector?  me : one and quarter,2일 전,1,
@ianmaina7401,Tecnoligia,2일 전,0,
@jesuseugenioramos,Where do i get this one?????,2일 전,0,
@finguo1223,suddenly its like all okay to copy someone's design and we're glorifying it.,2일 전,0,
