username,comment,time,likes,reply_count
@laverian2251,BRO ITS CHRISSY COSTANZA,7일 전,0,
@hajasbalazs609,2025 still the best opening ever,7일 전,0,
@Alex-by4zv,"7:00 my ears are bleeding, sry.",8일 전,0,
@mpkkane,In a world before Covid Lockdown. Wow. Jay Chou,8일 전,0,
@cindysz5825,2025 watcher,9일 전,0,
@AnysouLock-sn1ml,:D :D :D wtf is this :D,9일 전,0,
@maxschwarz7317,Who is this girl?,10일 전,0,
@PhoebeHercules,Bruh...is that an actual dragon or...?,10일 전,0,
@zarkomarkovski8514,Best ceremony with actual soul. 2:11 meahwile for 7 years me trying to figure it out what kind of Erhu is that. 🤣 Still dont know.,2주 전,0,
@超级无敌终结者,表演的歌手的音响不行啊!主办方设备垃圾！,2주 전,0,
@호로레츄츄파레로,다시 봐도 안무와 라이브 최악이네 정말 ㅋㅋㅋ,3주 전,0,
@horkgg1600,"It's 2025, rewatching this brings tears of joy and sadness at the same time. What an amazing time it was to be in league of legends.",3주 전,0,
@kuan3513,攝影師是去葛到二胡嗎,4주 전,1,
@arosenbaum716,ZUKO WHAT ARE YOU DOING HERE??,1개월 전,0,
@geenlee262,C-pop가 성공할수가 없는걸 단적으로 보여주는 영상인가??? 진짜 안어울려; ㅎㅎ,1개월 전,0,
@compactreview,"Please Riot, give us an Open-Air Arena again for future finals! :)",1개월 전,0,
@스탠리커피,Highlights   6:44,1개월 전(수정됨),1,
@storytimewithAayat11,2025 still watching this one ❤,1개월 전,0,
@Ha_zee,Better then 2023,2개월 전,0,
@반짝반짝반짝,14:09ㅋㅋㅋㅋㅋ,2개월 전,0,
@oleksandrs1mplekostyliev419,best ceremony,2개월 전,0,
@CarlosGonzalez-xq2ok,AUN DUELE ESE 2017 😢,2개월 전,1,
@sreyapaul7459,Anyone 2025,2개월 전,3,
@chicken-gg,傳說永不死,3개월 전,1,
@adatong5600,穿靴永不死！,3개월 전,1,
@曾碩文-w7c,怎麼會有杰倫阿好好笑,3개월 전,0,
@samho7732,7:44 穿靴永不濕💦,4개월 전(수정됨),2,
@yanliu8254,"7 and a half years, this opening still gives me literal chills",4개월 전,4,
@bodsaru,"2025 and this is still the best opening performance IMO  Imagine Dragons  Linkin Park   Are close seconds, but this year was something special",4개월 전,2,
@earl_jd1650,2025!!,5개월 전,2,
@cooltiger_love_parrots2909,DANTE BASCO IS IN THIS?!,5개월 전,2,
@jennyjane8004,"2025 i still came back here to watch this legendary ceremony . Still the best opening ceremony than any other esports  .still giving me chill when i listened to the song "" legends never die""  THEY BROUGHT THE DRAGON Y'ALL!!",5개월 전,5,
@島嚇,哈🎉🎉佛,6개월 전(수정됨),1,
@melihculha,2025 and still give me chills,6개월 전,1,
@mustafagungor8726,Lol history is best opening ceremony forever,6개월 전,3,
@yts5824,who still here in 2025 ? 🙌🏻🙌🏻,6개월 전,10,
@maearon,omg dragon !!! cave,6개월 전,0,
@araBautista-u5m,"I swear Asian people are just so talented with everything man … music , game and study.. just everything",6개월 전,0,
@春美毛孩雜貨,哇操是周董彈的 這首歌更傳奇了,6개월 전(수정됨),1,
@kerusker3449,that singer. nice to watch but painful to hear,6개월 전,0,
@_xaviell_5302,What a joke,2개월 전,0,
@Alligant7,"Y ahora Ruler está de vuelta para negarle otra vez el tricampeonato a Faker, en el mismo estadio para worlds 2025",2개월 전,0,
@CarlosGonzalez-xq2ok,"@Vincent987-u7f Yo veo a Faker con 5 campeonatos mundiales, ruler cuantos?",2개월 전,0,
@Abolfazl22-,🎉🤟❤️‍🔥,4개월 전,0,
@StylezGamez,Wait.. this was 8 years ago? It feels like yesterday..,7개월 전,0,
@muhammedtahacatalkaya6184,choreography is terrible,7개월 전,0,
@moyoloco09,It's always super epic to watch the players getting on-stage with the official song playing in the background.,7개월 전,0,
@BenjaminRojas-ls2ix,Hhhhhhhhhhhhhgggggggg 17:30 17:30 17:30 ggggggg 17:30 17:30 ggggggg ❤❤😂😂🎉😢😢😮😅😅😅😊❤❤❤😂😂🎉🎉😢😮😅😅😅😊😊😊😊❤❤❤❤😂🎉😢😅😊😊 17:30 17:30 17:30 17:30 17:30 17:30 ❤❤,7개월 전,1,
@BenjaminRojas-ls2ix,Bbhhhhhhhhhhhhhhhhhhhhh 17:30 17:30 17:30 17:30 vvhh Jjjhhhhhhhhhhhhhhhhhhhh 17:30 17:30 17:30 17:30 ❤❤❤😂😂😂😂🎉😢😅😅😅😊❤❤❤❤😂😂🎉😢😢😮😅😅😊 17:30 17:30 17:30 17:30 17:30 17:30 ❤❤❤❤,7개월 전,1,
@BenjaminRojas-ls2ix,Bbbbbbvvvvvhhhhhhhhggggggggg 17:30 17:30 17:30 hhhhhhh Bbbhhhhhhhhhhhhhhhh 17:30 17:30 17:30 17:30 ❤❤❤😂😂😂🎉🎉🎉😢😢😮😅😅😅😊❤❤❤😂🎉🎉😢😢😮😅😊😊😊❤❤ 17:30 17:30 17:30 17:30 17:30 ❤❤,7개월 전,1,
@BenjaminRojas-ls2ix,17:30 17:30 17:30 ggggg Jjjjjjhhhhhhhhhhhhhgggg 17:30 17:30 17:30 cccccc 17:30 17:30 17:30 17:30 ❤❤❤😂😂😂🎉🎉😢😮😅😊😊❤❤❤❤ 17:30 17:30 17:30 17:30 ❤❤❤😂😂🎉🎉😢😮😮😅😅😊😊❤❤❤ 17:30 17:30 17:30 17:30 17:30 ❤❤❤❤❤❤❤😮😅😅😊❤❤❤ 17:30 17:30 17:30 17:30 17:30 ❤❤,7개월 전,1,
@BenjaminRojas-ls2ix,Bbbbhhhhhhhhhhhhhhgggggg Bbbhhhhhhhhhhhhhhhhhhh Bbbbbbhhhhhhhhhhhhhhhhhhh ❤❤❤❤❤😂🎉😢😢😮😅😅😊❤❤❤😂🎉🎉😢😢😮😅😅😊😊❤❤,7개월 전,1,
