username,comment,time,likes,reply_count
@ognjenlam8732,This is better than the LTA 2025 Split 1...,6개월 전,0,
@MrBumBum321,Why is this on my feed 10 years later,1년 전,1,
@timlarsson3634,The fact that URF in 2014 dont look all thats crazy compared to what regular league is today says alot...Give me real league back please.,1년 전,1,
@italosilva3108,"The good old days, legendary players",2년 전,2,
@Joako070,sure,2년 전,0,
@johndoe3649,"don't know why this popped up, but it sure bring some nostalgia",2년 전,4,
@XKrystal,The good old days.,2년 전,1,
@fullfradi95,7 years later youtube algorithm : Would you be interested bring back some old memory and feel nostalgic?,3년 전,0,
@nhatduy9125,2022,3년 전,0,
@ryanbaker6896,"Why is this in my recommended in November 2021, ""URF is the future of league of legends"" - Jatt, who's gonna tell him?",3년 전,0,
@GreenBird1515,"Ahh, the good ole days <3",3년 전,0,
@michaelsorooshian5481,good ol days,4년 전,2,
@Olegnas705,I forgot how packed the crowds were back then...,4년 전,0,
@amazed9837,11:36 this is a portal reference. God i miss it,4년 전,1,
@user-bz3pn3bs3q,Thịnh hành?,4년 전,0,
@adriantura7227,2021 anyone?,4년 전,3,
@25_Ciel,better times...,4년 전,2,
@Spirito2,Anyone else keep getting recommended this?,4년 전,2,
@peeetapeeteofficial9112,Good times,4년 전,1,
@justifiable,It's crazy that Wildturtle is the only one left playing from all these guys,4년 전,0,
@gazozuludag3405,Good old times :/,4년 전,1,
@asmodeojung,6 years later and URF is by far the best thing ever happened to LoL.,5년 전,4,
@dhamxx,Why is this on my recommendation? Does youtube want urf in pro-scene again? Youtube know us.,5년 전,0,
@Zappah,Lol “the future of LCS”,5년 전,0,
@gioarca6623,who is here in 2019?,5년 전,0,
@midorimochi61,Lol youtube algorithm,5년 전,0,
@mekhi4744,Guess who's coming back,5년 전,0,
@izzya.alejaga4468,ahhhh nostalgia,5년 전,1,
@sup5304,Missing those day,6년 전,2,
@it-dependss,2019?,6년 전,0,
@flexicek4218,I love C9!,6년 전,0,
@johnjesteralvaro6661,Wtf why is youtube recommending this to me.,6년 전,0,
@carl_estepa,I prefer urf than arurf,6년 전,0,
@222-EEE2,우르프모드네 ㅋㅋ,6년 전,0,
@skidak541,fIRST TIME SEEING THIS & its 2018 wtf,6년 전,0,
@Vexiong,I miss this team,6년 전,0,
@krittayoshkn,2018?,6년 전,0,
@emre4753,I missed this days,7년 전,1,
@gizegaming8131,2018?,7년 전,0,
@unmeishinko,Bruh. I love this kind of URF.... Where u can ban champions that are too op and can tilt your team so hard.,7년 전,0,
@kennethdupa6728,@2018??????,7년 전,0,
@mild6595,Looking forward for a 2018 one,7년 전,0,
@TomasAguilera1997,This is too old,7년 전,0,
@Christopher-tt3vz,This is what all stars should be or something similar,7년 전,1,
@iSammyPvP,Looked like it was fun :(,7년 전,1,
@pandablue2678,If c9 had bunny and picked thresh huuu thats a lot of hoooook,7년 전,1,
@itx02,I miss this hud,7년 전,1,
@Cryptidian,"I can't believe it's been 3 and a half years since the original TSM roster with Bjergsen on it. That was the first season I watched the LCS, watched every TSM game and have been a TSM fan ever since, through ups and downs. This really is a time machine video.",7년 전,2,
@MrCaboose,God I've missed this. Oddone's awkwardness is still legendary.,7년 전,0,
@jimmanson5340,cringe,7년 전,1,
@099999ddd,CLG fans dislike this video.,7년 전,1,
@Khill679,bjergsen and sneaky are the only ones left. how times change.,8년 전,0,
@echozmsp1067,Good old times ;D,8년 전,1,
@jamieemoloney,"deathcap, deathcap, deathcap!",8년 전,0,
@user-uk1oq4to6b,WHY DIDNT ANYONE PICK MASTER YI WTF HIS Q IS 3 sec cooldown,8년 전,0,
@mcpokeman,I miss these teams man,8년 전,0,
@rylvb,2017...,8년 전,0,
@alexsomething754,"""anything less than 45 kills is a failure"" ~Dyrus",8년 전,0,
@zou8424,Hey its not like Tsm or c9 isnt a vainglory esports team or anything,8년 전,0,
@dylanhobson3284,They never saw Sona coming,8년 전,0,
@Secanh0,So annoying people who doesnt spamm abilities like a madman in urf mode,8년 전,0,
@markl5375,WutFace,8년 전,1,
@BudeBonBon,""" Ultra Rapid Fire is the future of LoL"" then they ruined it",8년 전,1,
@TheMagicalMuffin1337,Urf? Aram? Please. The one true rotating gamemode is ARUROFHAMOAD. All Random Ultra Rapid One For Hexasiege All Mid Of Ascending Doom,8년 전,0,
@eliasmuzenko6779,R.I.P old Urgot :/,8년 전,0,
@paoloatienza7742,why is this even in my recommended videos?,8년 전,0,
@sun8843,Remember when watching lcs was this fun?,8년 전,1,
@TheSorahh,"Season 4, the last good season.",8년 전,0,
@lepalme987,do this again,8년 전,0,
@mtrems,START is at: 10:44 Thx me later =),8년 전,0,
@benjir2004,rip theoddone!,8년 전,0,
@caeeptrrr4379,the Yungle??,8년 전,0,
@netgaming8340,Who watch this video in 2017?,8년 전,0,
@Yoshi-uv2vd,"""The future of league of legends"" never comes back",8년 전,0,
