username,comment,time,likes,reply_count
@MdmukimDeen,Yes I am here in 2025 ❤❤❤,3시간 전,0,
@thegreatlogandalf9614,Relevant in 2025.,1일 전,0,
@jeem-s3f,Esi sba here ?                       lol.,2일 전,1,
@kilianlindberg,“If you’re not prepared to be wrong you’ll never come up with anything original. “   .. educated out of creativity.   Even looking at having a startup in the US vs some European countries there’s lessons to be learned.,2일 전,0,
@ireworks2007,they dont giggle like this at ted talks anymore lol,3일 전,0,
@nurcan5277,"Eğitimde enflasyon. Bugün herkes lisans, yüksek lisans ve hatta doktora yapıyor. Yıllar önce öngördüğü gibi artık bu yetmiyor.",4일 전,1,
@ultrex_peak,Best man that i have ever heard talking.,7일 전,0,
@vanessaestupinanlopez6905,America is a continent,7일 전,0,
@bibibrin5035,Standing ovations from my living room as well  ❤❤❤,8일 전,1,
@OfkeBS,Anyone here in 2025 September? (Need to Watch this for school),9일 전,0,
@corvoneagle8083,is that jeff bezos at 1502?,11일 전,0,
@AK-ym8wx,I was born on 11 Jan 2007😅,12일 전,0,
@OliviaNuttall-j8m,With the rise of AI is creativity still just as important as Ken makes it out to be?,2주 전,0,
@yy5244,15:00 is that Jeff Bezos laughing???,2주 전,1,
@aprilcole8331,8:34,2주 전(수정됨),1,
@ippneducation4705,"what an incredible mind, and communicator! May he rest in peace.",2주 전,0,
@agenteliterario1296,Leí en un libro sobre conferencias que está es la más visitada de la historia de TED,2주 전,0,
@LauriethePoet,In ancient times. People didn't sit still. They had to move to stay ahead of the bears and wolves and to hunt deer.  Only now are we forbidden from moving,3주 전,0,
@christiankeul9892,From Switzerland with love.,3주 전,0,
@andreashiloh4672,Phenomenal talk.,3주 전,0,
@kilianlindberg,“A room full of people that have to move to think” ☺️🤓,2일 전,0,
@g13willi,There is a quote he has which goes “talent is equally distributed but opportunity is not” this quote speaks more than the entirety of this ted talk; please do not listen to this presentation with a tone-deaf disregard for income and class inequality and the implications they have on the limitations of our education systems.,3주 전,0,
@alpbaydar8700,Said so and gone!..,3주 전,0,
@RyderBanda,14:45 LMAOOOOO,3주 전,0,
@andersensix,Is that Jeff Bezos laughing in the audience at 15:00?,4주 전,0,
@2007PontiacVibe,"""I don't know what my body is for other than taking my head from room to room"" --John Mulaney",4주 전,1,
@guy_8047,"14:59 is that Jeff Bezos in the audience (middle of the picture, head back laughing)?",1개월 전,1,
@EnglishwithJanhabi,"The best path isn’t to “never go to school,” but to not depend only on school.",4주 전,2,
@EnglishwithJanhabi,"""I don’t know about others, but if school wasn’t holding me back, I’d be mastering Spanish & Korean and working hard on my YouTube journey. True education is following what excites your soul. 🌱✨""",4주 전,1,
@moheebsultan5897,Yes,1개월 전,0,
@AleenAl-Maliki,Yar,1개월 전,0,
@tokhirbeksobirjonov1574,2026 I get,1개월 전,0,
@lucialupin7674,"My goal in life is to speak as articulately, purposefully, and engagingly as this man right here…(The humour would just be an added bonus)",1개월 전,1,
@MitchellPandither,Dont watch tv. Its programming us . They are  Called programs. United Kingdom illuminati terrorists of everything. Remember since 1776,1개월 전,0,
@elohimalves,"18 years later,  and it seems nothing has changed",1개월 전,0,
@nosapience,Sir Ken was a light in the shadow of an outdated educational paradigm. RIP😍,1개월 전,0,
@robwray7842,Is that Bezo in the audience? 14:58😄,1개월 전,0,
