username,comment,time,likes,reply_count
@filipe_chagas,0:59  THAT WAS IT FOR ME,1일 전,0,
@tatiana.mp3,Why does this skit have so many views? It's terrible.,2일 전,0,
@SaeedKhan-op3by,i bet amy schumer wrote this,2일 전,0,
@CazMas7777,Fat chick porn is gross,6일 전,0,
@SuperEm308,😂😂 that is so funny when the teacher says I’m going to ride you u,9일 전,0,
@Lucian1692,"What's with this stupid Schumer hate? She's at least decent in sketches, this included. Get a reality check, all the people hating her in everything.",11일 전,1,
@lucyleary4356,Holy Luke warm🥱,11일 전,0,
@Jsmitt716,"Oh my God, I saw an article about this skerch with a thumbnail of all the characters. I thought Amy Schumer was the other girl and not the teacher, until I watched it.",2주 전,0,
@0DdOne,"Kink for terrible women must explain this.  Comedy, theft, life choices, actions, looks, acting, choices and being a good person?!   Yeah. It’s viewed so much so that the bar is set so negatively.   Ew.",2주 전,0,
@RogerPeet,that was based on a true story,2주 전,1,
@Resonance343,It's so ironic probably the least funny comedian they have ever had on is apart of the most viewed sketch ever,2주 전,0,
@stoatsnhoney,This is the most viewed SNL sketch. What does that say about humanity? (I'm not sure I want to know. I've rewatched this sketch sooo many times.),2주 전,0,
@RylanRobertz,😮,3주 전,0,
@Teamo86,How about locking the door?,3주 전,1,
@OlubisiJomiloju,🔥🔥🔥🔥🔥🔥🔥,3주 전,0,
@prostitutepeppapig5849,108 million views. For this shit….,4주 전,2,
@PhakathwayoGumede-g8w,❤❤❤❤,1개월 전,0,
@kayakuprising5914,I just gave this another view and it sucked :(,1개월 전,2,
@gauravupretiofficial,Brazzers and Naughty america same story 😂😂,1개월 전,1,
@LizandroGomez-o6g,ĢfyhrhgvtdXxxxxxxxxxxxxxxxxxxxxxxxxxxxxñnň,1개월 전,0,
@JusticeOliver-f1s,😂😂,3주 전,0,
@alialsaidi3171,🤣🤣,8시간 전,0,
@LH__LHM,"If shame could make a video, it would make this video",1개월 전,0,
@dvdfrnzwbr,Nothing more attractive than a woman flirting,1개월 전,1,
@WakiliMsomi-f4x,to removed videos xxx,1개월 전,0,
@ADHDJudy,Man 59 seconds of this is already funnier than the latest garbage they're pumping out. Who are those new actors and why can't they act lol,1개월 전,1,
@FredrickChimhau,Berch❤,1개월 전,0,
@FredrickChimhau,Eryyuj,1개월 전,0,
@ModieHihuoa-g3j,😂😂😂😂😂😂😂,1개월 전,0,
@PeeDihh,"""YoUr SuSpEnDeD"" wtf😂",1개월 전,0,
@JamieLyn-d4y,Hi K,1개월 전,0,
@JamieLyn-d4y,💕 the mqn,1개월 전,0,
@missmoanypants,Your favorite SNL sketch has less views than this one. How does that make you feel?,1개월 전,0,
@williamthomas1,"A few of my Teachers were a little more subtle, could you come over to my house and help me move some things?  Sorry, I have swim practice today.  They started asking right when I turned 18 for some strange reason.",1개월 전,0,
@SamThePianoWizard71,Amy Schumer is awesome in this...and sexy too!!,1개월 전,2,
@Blackplaysm5,Kids watching this videos,1개월 전,0,
@god_0-q6b1g,Tf,1개월 전,0,
@austinhenrickson116,"Nine years ago, the comedy and the video quality seem to be from the 80s.",1개월 전,0,
@EuterkontrolleAbschmierservice,No question why this has the most views.,1개월 전,0,
@MdImran-r3e1b,❤,1개월 전,0,
@Giggity-c2m,The only funny Amy Schumer moment,1개월 전,0,
@ILLEST_86_F.O.D,A day and a life for me 😏😍😎,2개월 전,0,
@BigFredMachine,"Uh, that's the point. You know, to make it look like a cheap vhs porn...",1개월 전,2,
@MerjenDadebayewa-y6g,My name is atash,2개월 전,0,
@AmusementPerks,It would have more views if Amy Schumer wasn't in it.,2개월 전,0,
@StephenChase-x4w,"Exactly 108,445,494 views.",2개월 전(수정됨),1,
@offrire,This is how you know views on YouTube are fake.,2개월 전,0,
@santhoshkumars885,"💔😭Really Here My life has been lonely — No One physical Relationship , No one Dating, No One Time sexual Bonding still, No One Love, No one Partner, No Girlfriend Till Now pure Virgin. I am still Pure Single because of my short Height and lack of Wealth. No one Girl likes me or wants to Marry me. This has brought a lot of Pain into my Life.",2개월 전,1,
@3ossomok588,"The way she says ' ""bye-ee"" 😂😂",2개월 전,2,
@elijahisiah9821,"I love the music, I wonder where its from. This one was funny but I liked the gay version with the doctor and the athlete. 😂😂😂😂",2개월 전,0,
@killsalot78,"this is the most viewed video for SNL, and its literally just an WKUK joke... wow",2개월 전,0,
@modelism2024,this is not even half as funny compared to any MadTV skits,2개월 전,0,
@rykkgurh2859,No wonder this is the most viewed video on the channel.,3개월 전,1,
@S1nnergy,"It perpetuates shallow, harmful humor that dulls critical thought and degrades culture.",3개월 전,1,
@huntmine234,Wow! A pig in a wig!,3개월 전,0,
@jaz21k33,2025 got me like how is this name approved for YouTube 😂,3개월 전,0,
@enehe1434,"Random tangent but I think cases like this with, huge company with a span multiple years most viewed video is 107 million views in 9 years… and the first GTA 6 trailer got 100+ million views in a single day show just how big of a feat it actually is",3개월 전,0,
@DaystensLOGOS10,YouTube needs to take this down it’s not family friendly,3개월 전(수정됨),0,
@rslashontario,Yeah ofc this is the most popular vid on the ENTIRETY of SNL,3개월 전,1,
@joshuamoskovitz4074,I think it's safe to say that Amy Schumer has officially ruined porn for many many people.,3개월 전,0,
@psychoba,Is this the best video by SNL?,3개월 전,0,
@靈些擁,everybody found tabitha from modesto yet ?,4개월 전,0,
@jasminehouston-burns1691,"I'm going to make the bold and adventurous claim that people are only complaining about this skit because it's Amy. There's several other ""porn"" sketches that imo aren't as funny but everyone is in stitches.",4개월 전,0,
@karan8130,How old are you dude?,2개월 전,3,
@missmoanypants,There’s a cop poster on the wall that I thought was a WKUK poster because the guy in the middle kinda looks like Trevor Moore and there are five men in the poster,1개월 전,0,
@brogansah,Bro I don’t give a Eff😂🎉lidderly,2개월 전,0,
@Tentacoool,true,3개월 전,0,
@Mena-z4f,probably for the best,3개월 전,0,
@靈些擁,"modesto, FL",4개월 전,0,
@靈些擁,"""Do You Know Where To Find Her?""",4개월 전,0,
@Tentacoool,💔🥀,3개월 전,0,
@SaidDouaa-j3f,واو 😊,4개월 전,0,
@maxinemctarlane5973,Omg god i laughed so much at this one 😅😅😅😅,4개월 전,0,
@moto8519,Amy Schumer is the worst,4개월 전,3,
@CorporationSKY,"is it just me, or does Amy shumer look like Will Ferral?",4개월 전,1,
@KaitlynMcCary,People think this skit is funny? 🤨,4개월 전,2,
@weeklyclips1759,How tf is this the most popular snl skit,4개월 전,3,
@francisj5974,"people who work in porn are vile and dirty inside and out, imagine being on your death bed knowing what your life was like ew.",4개월 전,0,
@francisj5974,If that was a man doing it to your daughter you'd thing different you fucking NONCE lovers.,4개월 전,0,
@JudLudmir,This is so bad,4개월 전,1,
@amitchakraborty9346,Where was comedy?,4개월 전,1,
@Queenphoen,That tiny little jean jacket is cracking me up 😅,4개월 전,0,
@Kyle-mw3bo,Does that say 107 million views?,4개월 전,1,
@earllsimmins9373,My high school English teacher actually sat on her desk in a short skirt just like that...,4개월 전,1,
@OwaisColour,Brazzers,4개월 전,0,
@tylermorud7460,This is supposed to be funny ?,4개월 전,1,
@michaeldoran4367,Amy Schumer sucks,5개월 전,1,
@csandovalbosox,why the fuck is this the most popular? what a horrible skit...horrible guest,5개월 전,1,
@linamendt9149,I actually had a teacher that acted like this to 7 & 8th grade boys.,5개월 전,2,
@mattymurdo4134,This could have been amazing if they actually picked a hot woman and not this dumb biatch,5개월 전,3,
@aaronbst,Any Schumer trying to look like Amy Adams?  Not pulling it off.,5개월 전,1,
@mr.yappering,Yeah,4개월 전,2,
@mr.yappering,Cause it is,4개월 전,1,
@Lucifer.SamaelMorningstar,"Get you ass out of here snowflake, go watch new SNL instead",4개월 전,0,
@tapu232, @Lucifer.SamaelMorningstar This sketch is only like nine years old man,1개월 전,0,
@Lucifer.SamaelMorningstar, @tapu232  no shit sherlock,1개월 전,0,
@BigSmOkE.in.3.2.1,Thumbnail & title🤔,4개월 전,0,
@Tentacoool,idk 💔🥀,3개월 전,0,
@Tentacoool,yeah,3개월 전,0,
@fredhag,"I missed this a decade ago, but I'm wondering if any men found Schumer sexy enough to make this sketch work.",5개월 전,1,
@parm_rl,9 years later and amy is still unbearably unfunny. growth,5개월 전,1,
@kimjeonteakook1430,I wanna cry and luagh,5개월 전,0,
@gogeebear,Oh my f***,5개월 전,0,
@geraldmhlanga8976,Wow that's great ❤,5개월 전,1,
@Blue_DeHale,When the mom showed up 😂,5개월 전,0,
@sixarmedpsycho_9,"""I love D(ick)s!""",5개월 전,1,
@markocenter,Why is this the most viewed SNL skit?,5개월 전,24,
@MsNattt,Schumer is a lame zionist who thinks she's funny,5개월 전,0,
@ArifinBinSalim-w5t,sex with Malaysia,5개월 전,1,
