username,comment,time,likes,reply_count
@JeffSax-us8zc,‘I’m in love’ that girl behind the camera was secretly saying she wants the guy interviewing the slabbies,1개월 전,0,
@WatchBadasses,Soul-level inspiration.,2개월 전,0,
@MST009.,... High performance turbo charger machines?,6개월 전,0,
@dirkdiggler8427,"5:10 ummmm “certified insane"" because ""insanity"" is not a recognized medical diagnosis; it is solely a legal term used to determine criminal responsibility in specific situations where a person's mental state significantly impaired their ability to understand the nature of their actions during a crime. wtf crime(s) did he commit 😮",7개월 전,0,
@travelpuls,"Wow, the cinematography is stunning! Nature has so much to offer, and this video captures it beautifully. I love showcasing the beauty of different places through my content as well—always looking for new inspiration!",7개월 전,0,
@OpalMoonstone247,You found Tommy Chong's character from That 70s Show😂,7개월 전,0,
@GiddyBeastLOL,❤❤,7개월 전,0,
@throughlindseyslens,You guys need to go back and see if you can stay for a night,8개월 전,0,
@aninasalerno873,It’s not abandoned if people live there.,8개월 전,0,
@dr.edwardmoskowitz4328,"People there are quite friendly, 😊so sweet of y’all can bring beer, they are proud of their town😄🙏✡️✝️very nice folks 🙏✡️✝️💕",9개월 전,0,
@jaredbezes7806,All you had to do was go to San Francisco to find a city with no laws,9개월 전,0,
@davidcrawford219,Trillion dollars for satellites to study ...no money to fix anything.,10개월 전,0,
@optijessprime,Please go back here soon. It would be amazing to see how much it's changed.,10개월 전,0,
@AnnaAnne-b8r,یہاں چلی جاتی ہوں میں,11개월 전,0,
@ashrafMasat,❤❤😂😂🎉😢😮,1년 전,0,
@DentalTipswithMila,My favourite channel ever,1년 전,2,
@sdactivist,At 6:43when she says I'm in Love .....😅,1년 전(수정됨),1,
@lastcre8iveicon,Another startling and fun adventure for the Yes Boys!,1년 전,0,
@Ladybugg81,6:35 Hug!!! That was a warm embrace,1년 전,0,
@l.i.terally2907,"""Work ethic impaired"". Hell yes!  Seems like Burning Man for people without money. ""Safety third"". Yes!",1년 전(수정됨),0,
@CurtisCT,"At the beginning of the film they said that Slab City has no running water or electricity. You can live just fine without electricity but what do these people do for fresh water (cooking, bathing, cleaning, etc.)?",1년 전,0,
@rovegav,This is where I imagined Jimmy from Green Day's American Idiot would totally go!,1년 전,0,
@beccalove8791,This place is extremely hot in the summer,1년 전,0,
@patcline6972,Kinda like most democrats states anymore 😂😂😂😂,1년 전,1,
@itsevany639,Love that he hugged the beer looool,1년 전,1,
@ms.annthrope415,"The are laws. They take care of their own. Fuck around, steal, be a jerk, and you'll get a talking to. Don't listen? You'll get your place get burned down for no reason at all.",1년 전(수정됨),0,
@aroundtheworldin15minutes75,This is some white ppl bull shit😂,1년 전,2,
@toddball9473,Hippy Town,1년 전,1,
@timk1112,you missed the international banana museum ?,1년 전,0,
@MariaElena51185,Where do they get potable water?,1년 전,0,
@jdssurf,lame,1년 전,0,
@ExtremetourismCrazy,thank you,1년 전,0,
@oyoudumb,looks like the start of a horror movie,1년 전,1,
@Canadistan-25,"amazing how far these guys have come, I've ordered the book and I'm so ready to see where else they take us, the community, in the future. inspired me since i was 16 years old, happy 2024 everyone!!",1년 전(수정됨),1,
@Derelflint,r/place in real life,1년 전,0,
@KingD2507,WORST VIDEO EVER. I WAS EXPECTING A REAL LAWLESS PLACE. ALL I SEE IS BORING NICE PEOPLE. DISAPPOINTED WITH THE VIDEO,1년 전(수정됨),1,
@javimelecio,wow this is amazing,1년 전,0,
@heatherspence3848,❤❤❤❤,1년 전,0,
@giannizampolli,Thanks guys!,1년 전,0,
@OpalMoonstone247,Isn't there a town two minutes away though? Maybe they have a well somewhere 🤷🏻‍♀️,7개월 전(수정됨),0,
@JonVinci,Cool,10개월 전,0,
@jaidynicole23,It is truly sad to read from so many grown people who think that they need other grown people to make laws for them en order for them to be able to make good choices.,1년 전,2,
@philmcdonald6088,✨be here now do no harm help others be still close eyes listen to your breathing✨book recommend: TAO TE CHING by d.c.lau. 😊,1년 전,0,
@dragonsteen,Slab city inspires me to make junk like metal pipes and pieces of wood useful.,2년 전,0,
@msrrion,"I have watched videos of slab city before, every video I have seen shows that even though there are no laws, the city is unique and the people are welcoming. I think salvation mountain is the coolest part of slab city and one day would like to visit it",2년 전,1,
@angeldee7287,Nice video.   Maybe look up old maps to discover the real reason for the sand ( it’s not an experiment gone wrong like you stated right off the bat) 🤓,2년 전,0,
@FrodoUnknown,You have watched MrBeast,2년 전,0,
@johnnyb3126,Great video very interesting,2년 전,1,
@Timetravel755,I don't know if this is still here today?,2년 전,0,
@GoDubz69,"WOW, seems like a mini version of California's future HAAAA",2년 전,0,
@annelisezeender1334,"I aspire to introduce myself like wizard does ""Well the first thing you've gotta know is that I'm certified insane. I have papers.""",2년 전,0,
@SuperSPatrick,Why laugh when he says he's certified? He isn't trying to be cute. He is telling you something.,2년 전,0,
@subjecttochrist,"They’re only about 2 hours from San Diego and 1 hour from civilization and some good old fashioned apple pie. I had a secret spot nearby where I’d encounter the desert rats, and it was always pretty interesting to hear folks’ stories.",2년 전,0,
@sleepnomore6065,"Idk man, If these folks were black, they would be portrayed as lazy and living in a homeless encampment. I wouldn't call this sort of lifestyle idylic by any means",2년 전,0,
@jijijijibaby,7:25 ali g is that you?,2년 전,0,
@JacobDean88,"lol... nowhere on the TV preview on u tube did it say Slab City. I clicked it and thought,  I bet it's Slab City...lol  I've never been but I've been out near there. Someday I would like to take a trip over there.  Every u tube  video there has been very good. Their all different takes on the place.",2년 전(수정됨),0,
@evalara,"I live nearby, we always go. Don’t go to the salton sea, it’s beautiful but contaminated, we locals never visit the sea. It’s hot here so don’t come during the summer, currently 119F. Come during the winter. :) I can’t believe Yes Theory was here 😊",2년 전(수정됨),1,
@pierrot8358,This fish bones looks like a layer of Diatomaceous earth,2년 전,0,
@traviskeller7086,Are we gonna just accept the fact that that guy has a white supremacists tattoo on his chest,2년 전,0,
@valerielow4572,"I got to spend 2 weeks living in the slab. Watching this video thinking about the people I met there warms my heart so much. It’s a crazy place but the people there are so talented, loving and amazing! ❤",2년 전,9,
@pedramabdolhay9135,Amazing documentary 👏,2년 전,0,
@lifedocumented3944,"Slab city is very interesting. When I first got to Slab city and salvation mountain, I saw an old man you lived in the town talking to tourist about the mountain and the history of the town.",2년 전,0,
@JonVinci,It wasn’t that kinda laugh. Don’t be so dramatic.,10개월 전,0,
@JonVinci,No,10개월 전,0,
@lifedocumented3944,"Why dont you go to the Salton sea? Ive been to slab city and bombay beach once and it was very interesting. I would never go in the water but it was very interesting to see. It was 115 degrees when I was there, so I understand how hot it gets.",2년 전,0,
@ihatetobethatguybut....,"It's basically like the American version of ""Freetown Christiania"". And seemingly just as awesome. Thanks! #SlabCity #FreetownChrisitiania",2년 전,0,
@stefankrause5138,Like: How to start a war : Go into the dessert and give 6 cold beer to 4 thirsty hippies Muhaha,2년 전,0,
@sohiljoseph1420,never saw the guy in thumbnail,2년 전,0,
@AmberStreetFilms,😮😮,2년 전,0,
@olehkmet3182,"Because this is a day, and they're not under the meth yet The people below saying it's dangerous af fuck In fact large homeless camp",2년 전,0,
@chidubem0x33,This looks like the desert city in GTA V,2년 전,1,
@KelsH-dm2iu,Been here it was so salty,2년 전,0,
@arvids4447,This like Christianity in Denmark it's kinda same,2년 전,0,
@johndemler653,"It’s not lawless it’s mutual respect. I think it was Venezuela, who lifted the ban on carrying firearms, and the crime rate went down extremely low.",2년 전,0,
@maxgrundy7865,When are they going to run off these hobos and develop it for actual contributing people.,2년 전,0,
@Brianboru88,"Proof that scratch the surface, humans are beast animals..",2년 전,0,
@Cheftony86,Tweeker town!!!,2년 전,0,
@timothy627,STOP STOCKING PISS ANT''s BREAK IN MY  PRIVATE HOUSES AND DYE WITH ALL MINDLESS TRAMP's ! AS THEY ALL GONG TWO ASK WHY COULD ANY GET OTHER HOUSES THEN THEY ALL SAY YOU CONS ASS SLUT TRAMP DITCH PIG TWO YOUR FACE ! MY SELD TOLD ALL REAL FAMILY THIS WAS IT YOUR GONE SAME AS ALL ! GREAT TIME ITS OVER !,2년 전,0,
@DanielSmith-gv7on,"I just met the video beginning the rates up dude from Cali, the Nigga is 100! No questions about it Jimmy living in an elderly home in downtown Olympia, WA 3 person verification all and identified inter-Nationals identified varied and confirmed by ID' by the Officials",2년 전,0,
@Dodgeviperacr2017,this gives me gta alamo sea vibes,2년 전,1,
@neti_neti_,"अर्थात , सत्य का राज्य।",2년 전,0,
@johngeiger3770,"That ""certified insane"" man who has papers to prove it is probably one of the purest soul I've ever seen.",2년 전,0,
@gracemercy5901,"⚘️🥀🌹🌲🌷🦚🌺🦚🌷🌲🌹🥀⚘️🥀🌹🌲🌷🦚🌺🦚  🌹🥀  OUR GIFT   🦚🥀  FOR YOU :  🦚🥀  "" TAKIS  🦚🥀  SHELTER ""  🦚🥀  U - TUBE ....  🦚🥀  "" LOVE  🦚🥀  FOREVER .... !!!!  ""  🦚🥀🌹🌲🌷🌺⚘️🌺🌷🌹🥀🦚🌹🌲🌷🌺⚘️🌺🌷🌲🌹🦚🦚🦚🌹🥀🌲🌹🦚🥀",2년 전,1,
@ShawnPVA,"He shook that man shitty hands, knowing he never washed them lol",2년 전,0,
@ChristianGrape,Jesus Christ loves you so much so love him,2년 전(수정됨),0,
@calo_90,yeah because it is,2년 전,0,
@lifedocumented3944,what?,2년 전,0,
@kazngoye8836,It is literally what the game is based off of. Alamo sea is based off of the Salton sea. Stab city is based off of Slab city. And the salvation mountain is based off of that hippie alien mountain in the Grand Senora Desert.,2년 전,0,
@randalltyler6440,You should have seen it in the '70s,2년 전,0,
@LakshayGiridhar,CIRCUMNAVIGATE THE WORLD WITH NO MONEY,2년 전,0,
@pamelawalker8052,Live peacefully with people that do not lie. Our society is full of political shitacles,2년 전,0,
@cher-amirose7109,💚We have a mini Burning Man/Slab City here in Southern Utah.  Those who cannot make it to the actual Burning Man celebrate it here.,2년 전,0,
@SwordofTruth85977,"The movie and book, Into the Wild has a portion of this place in it.",2년 전,0,
@paulslater9061,He means California,2년 전,0,
@elyscomn59,Anarchy in reality.  No government is the way forward.  government is the problem.,2년 전,0,
@americanvista,Best travel Vlog https://youtu.be/Xw451Ut05vg,2년 전,0,
@OpheliaDaemon,"0:42 ""A skeleton of an eyeball"" My man... I don't know how to tell ya this..",2년 전,0,
@yajsemi671,"Damn, you was there for like one second 😂",2년 전,0,
@Michiel1972,So 'Decided to quit society'? But from what do they live there in the middle of a kind of desert landscape? How do they obtain food and water? Do they sell art?,2년 전,0,
@IntotheSunset,Here is a fascinating video with one of the residents at the slabs (Dot and the House of Dots) https://youtu.be/zah96Jwh4ZI,2년 전,0,
@superunknown2812,I was here in GTA4,2년 전,1,
@samyeomans6710,"Mate, the bloke who’s certified insane, is more sane than most people.",2년 전,0,
@LopeBoyBeats,"I’ll literally move there, first thing I thought when I saw the title was how could you go there and them not kill you or take all your stuff but everyone’s so nice 😂",2년 전,0,
@AkinyiMarie,"One of these days, I'm going to head out there to visit!",2년 전,3,
@Chris-b4w8t,I’ve wanted to move here for the longest time,2년 전,7,
@luhcalmwhiskers,"man took ""Didn't know you were.. chill like that."" to a whole new level 💀",2년 전,0,
@florinacesposoph,#2022 Watched ur very first vid.s and ur most viewed. Hehehehe #FrPH,2년 전,0,
@rabbitr5768,lmao victorville off mojave drive,2년 전,0,
@lifedocumented3944,what was it like in the 70s?,2년 전,0,
@LopeBoyBeats,Basically by lawless they mean there’s no one telling you what to do you can do whatever you want as long as you aren’t violent or disruptive to other folk,2년 전,0,
@lifedocumented3944,"Then move, whats stopping you?",2년 전,0,
@jimmymayfield4224,I bet it's safe away from society tbh 🙂 move in there one day,2년 전,0,
@Mexicantours,The secret of Guatemala and the Maya.  https://youtu.be/YUNgimoEgAw,2년 전,0,
@benittostefin,"Believe in Jesus, you will be saved.",2년 전,0,
@ckirvine137,Fun to see where I grew up and floated in that sea,2년 전,0,
@doodledooco,Mopar is my best friend!,2년 전,0,
@ronaldgreenjr1423,This is basically the hippy version of South Central Los Angeles,2년 전,0,
@Robespierre-II,"A city without laws in the United States is impossible.  State and federal law always supercede any municipal laws.   If an area has no local law, state and federal law are still in place.   Feel free to talk about a lack of law enforcement there, if you like, however.",2년 전(수정됨),0,
@nc8414,I want to know how they shower and where they get their water fr,2년 전,0,
@artxtat,A well armed community is a peaceful community.,2년 전,0,
@M.éloDie,"I am actually more interested in this Saltan Sea business I never even knew about it  Slab city... It's like tweeker heaven, 😆.  Perhaps the reason it would have "" less violence"" is probably because there isn't any government to document the deaths or violences. To me it looks like a place you would take someone from Vegas or L.A  to kill. I am sure the locals would have no problem keeping quiet . But it's funny you can hear the white beard fades off when he says "" Be courteous to neighbors or they will shoot you""!",2년 전(수정됨),0,
@fionaross3495,I saw that it's was amazing.  Really sad what western greed and capitalism have done to the Indian country.,2년 전(수정됨),0,
@nvo-u7z,Gandalf speakin facts 5:20,2년 전,0,
@thefirerises436,"If you live within the borders of the unites states your subject to local, state and federal laws whether you think so or not",2년 전,0,
@jeffmurray6219,"I’ve been to the Salton sea, driving home from the south it looks like a glistening beautiful lake. On arrival the decay is obvious, abandoned buildings and a long walk to the lake edge,  a creepy dead beach resort.",2년 전,0,
@nacereddinechallal4405,I love that wizard,2년 전,0,
@johnf6687,This is great ❤,2년 전,0,
@allwilldo,Hope some wealthy guys donate solar power to support a electricity for them if any visiting on next trip to there 😏✌️,2년 전,0,
@JBarbarosa,"And the common denominator is Love for Jesus and obedience to him...time to connect the dots folks..we must humble ourselves and accept Jesus as our rightful master and saviour who took the punishment we deserve as selfish, evil degenerates, and paid for our liberation in His own blood. If not for his sacrifice, darkness has rightful claim to our souls and eternal fire is the only reward to come. Genuine Repentance is key",2년 전,0,
@paulhubbard1747,"Crime exists outside of this place because greedy people know it's a money pit legally and illegally. If there was a button u could press and immediately end crime and addiction negativity in general they'd shoot it into space because the second u hit it millions maybe billions would go jobless. No need for police, courts ,jails detoxs, clinics, rehabs, fucking WAR wouldn't exist right so no national guard etc. Millions of family's are supported through crime and law it needs to happen. If u ever hear someone say they became a cop to clean up the streets and end crime look them in the face and call them a liar. That's like someone saying they became a farmer to make it stop raining or a carpenter to kill trees. Crime is the most dependable trade in human history. And when there's a recession in work they create probable cause like crack or racism or defund DARE  and all drug awareness programs 2 years before the Fentynal pandemic etc. We're just cattle on a massive country wide farm Waiting to get plucked and if your lucky you'll be the lucky one to have grown up with love and help and a set of eyes on your back. If not you become institutionalized, u become production, live stock, cash crop. Think about it. And if u get In trouble and a cop calls u scum remind him it's scum like you that keep food on table for assholes like him and his family. Just like rehabs. They tell you they want to help you get clean. But they collect a check at the end of the week. They rely on addiction to prosper.clean up the streets they look for work elsewhere. It's all a fucking money hustle. Everyone's greedy and selfish and simple minded",2년 전(수정됨),0,
@BigDaddy-hn7oh,"I heard there were some real  u know what's lurking there air pollution is about is bad as it gets,and on tol of that a I believe has mineral deposits that battery's need to run cars so it's going to change",2년 전,0,
