username,comment,time,likes,reply_count
@Vogue,"Subscribe to Vogue magazine, receive an exclusive gift and become an insider on what's next in fashion, beauty and culture: https://bit.ly/344IU9V",5년 전,4천,
@WarbaFoss,I really enjoyed this content.,21시간 전,0,
@LödedDipeř45,Gigi’s pet name Ouiji 😂,3일 전,0,
@PierreLucas-h9u,"I learned this year again english grammar but it is flying as wind. I am trying to improve my vocabolary with a first english book. But level is high and it’s hard. We need a meet in a 4 stars hostel in India beacuse you could be surprised by my english level...This is equal for some, not for some others. Of course, you are as Misses Johnasson, only some words. In concrete, I am sometimes desapointed. I am like Misses Caroline Loab:  'Je n’ai que quelques mots dans mon vocabulaire (in english)!'",7일 전(수정됨),0,
@monthipa9375,Kendall Jenner diesel having plastic surgery,10일 전,0,
@BhaveshaBadrakiya-g8d,Om namah shivaya A baba hi,11일 전,0,
@Yuna_Arendel,"Her first job was dogwalking. Oh, I'd be the dog for Kendall, I'd be a puppy she can't ignore! 0_0 Pfff, Kendall, Kendall. You are sooo f.cking beautiful. I can't get over it. Of all women on the planet i've seen so far, you are the one most beautiful of all. I'm even asking the commercial displays in stores when Kendalls picture is on them.",13일 전,0,
@HrsidhBdisfj,I had so much fun watching this.,3주 전,0,
@RemiTarnagda,YOU WILL... ❤❤❤,3주 전,0,
@RioS-f1n,"Okay. So Kendall is adopted no wonder , she is different than all 😌😌😌nonsense",3주 전,0,
@PoloYemee,My Kenny Jenny has always been an icon ! Don’t get me started with the bird noises !,4주 전,1,
@DeborahLuisaFarinha,Your energy is contagious.,4주 전,0,
@IsraelCidMorales-b2e,*⚡🔯%💯⚡*7:77,1개월 전,1,
@NonaUella,This video was so relaxing.,1개월 전,0,
@AndrewScafidi,This video is pure motivation.,1개월 전,0,
@IsolaEaton,Who’s rewatching this already?,1개월 전,1,
@JokūbasSūnaitis-i7p,Fault,1개월 전,0,
@JuanDCochran,👍,1개월 전,0,
@ErdaColas,"You put in a lot of effort, respect.",1개월 전,0,
@TuanPham-h5y4g,Love the editing style.,1개월 전,0,
@elijahsgaming9548,Do 73 questions with 73 questions guy or I’m unsubscribing,5년 전,50,
@tealswansong3089,Vogue - you should totally collaborate with Teal Swan 🖤🖤❤️,5년 전,12,
@beyonce1390,Vogue yeet,5년 전,5,
@vieerispe3667,do 73 questions with harry styles!,5년 전,6,
@jackingofftoraelilblack2342,The 73 questions guy is hella weird and awkward,5년 전,3,
@jehanzebakbar3373,"@Vogue people are giving lots of hate to the Kardashians and Kendall, please tell them to stop or disable the comments. I know this was kind of a while ago, but, the comments are really offensive.",5년 전,1,
@subliminaleyecolor5279,👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5년 전,0,
@eyecolor9648,👍👍👍❤️❤️❤️💜💜💜💙💙💙💗💗💗💛💛💛💚💚💚👍👍👍,5년 전,0,
@FireWolf42025,Can you do one with Summer Glau and the real Ariana Grande?,5년 전,1,
@zitaridgett,Can you do one of these with Charlie diamelio,5년 전,0,
@lashelladams660,I love you,5년 전,0,
@flexingfletchyt4756,nah,5년 전,0,
@Mandy____,Can you please do 73 questions with the 1 D guys including Zayn Malik,5년 전,3,
@harleyquin5476,Vogue make thar cuestions but with kylie,5년 전,1,
@trivodbrown4002,😍😍😍😍,5년 전,1,
@subliminaleyecolor5279,😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😍😍😍😍😍😍😍😍😍😍😍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😛😛😛😛😛😛😛😛😛😛😛😛😛😍😍😍😍😍😘😘😘😘😘😘😘😘😘😘😘,5년 전,2,
@fleuria.,hi,5년 전,4,
