username,comment,time,likes,reply_count
@dannyhoward3437,His Bobby D was horrid.  This would have been 1000 times better if Hathaway took off her top and ate a banana.,2일 전(수정됨),0,
@BigSerge542,"I like Tom, but his impressions are mediocre. Jamie Fox does some of the best impressions I've ever seen.",2일 전,0,
@jacobmanning7262,Are we going to forget about all of the atrocities Anne Hathaway has committed? Such as replacing someones 2 year old St Bernard with an identical 10 year old so they would have less time with it?,4일 전,0,
@JarrodBowen20,This is so embarrassing,8일 전,0,
@Starfishrider,Really like his one,10일 전,0,
@JodyCarter-l6f,Wow I've had the movie heat for years he did a perfect impersonation of both actors impressive yessir Norfolk Virginia 👍👍👍,13일 전,0,
@loganmannke9023,His De Niro is terrible,13일 전,0,
@sblumenstein6688,Hiddleston is soooo talented.,2주 전,0,
@johnrivera922,"There are few people, if any, who, just from what I would imagine their presence to be……Mr. DeNiro is the most imposing figure I could imagine. And I’m not an actor lol.",2주 전,0,
@kega090,That sucked dude...not even close,3주 전,0,
@Jhoneras10,Cara é talentoso demais 😂,3주 전,0,
@Delos-33,Worst impressions ever,3주 전,0,
@petefairest7312,Robert de nero and al pacino two of the greatest actors of all time.,4주 전,1,
@petefairest7312,"Mr. Hiddleston delivered a compelling performance as Captain James Nicholls in the 2011 film, War Horse. The film itself is a remarkable cinematic achievement, showcasing the actor's exceptional talent. Britain's finest actor.",4주 전,1,
@oscarpalaciosruiz,I hate these shows. But I love Heat. Absolutely fantastic film from head to toe.,4주 전,0,
@assiabenslimane2589,He is so relaxed 😂,4주 전,0,
@kated101,I am giving him all the credit for having the courage to do that in front of De Niro but all those impressions were atrocious 😂,1개월 전,1,
@heartbitt5188,"Robert de Niro, otro descerebrado",1개월 전,0,
@kennethbradford3791,His Pacino impression was spectacular! 👌,1개월 전,1,
@76twice,His impressions were horrible.....lol,1개월 전,0,
@evafegolfina1603,"@loganmannke9023. I think he did his facial expression very well, not his voice so much. Nice try though.",6일 전,0,
@ArtemiusArcturus,He has some balls😅,1개월 전,0,
@Rob-u7v9c,His deniro was terrible,1개월 전,0,
@stardaggerrihannsu2363,"Look at THAT couch, all top tier actors!!",1개월 전,0,
@SteveMore-x4x,The guy has made some crazy good movies but to be honest his world has been destroyed by the lgbtqrst$¥^ community.. you would be an extremely bitter and angry person if your son is now your mentally ill confused son who thinks he’s a female..,1개월 전,0,
@fantuckstic,The restaurant scene has been called one of the best in all cinema.  The movie is all around great but that scene keeps you on the edge of your seat.,1개월 전,0,
@thebombcat,You can tell how abashed Tom Hiddleston is...doing an impersonation of one of his idols in front of them...surreal.,1개월 전,1,
@tripaffleck,"1:40 already cringeworthy. you don't use ""cow bell"" in a Walken impression. 🙄",1개월 전,0,
@Ireland500,That was extremely uncomfortable to look at,1개월 전,0,
@Khalidck800,My fanter best actor that became mine ... and my actual favorite actor  I wished dad would have seen and agreed if he was still here,2개월 전,0,
@AZguy44,❤❤,2개월 전,0,
@kathysturk7877,Can't stand de Narrow.,2개월 전,0,
@alan-t5n3w,Iconic face expression  Good,2개월 전,0,
@Chilli_Tea,goddddddd this gives me chernobyl levels of cringe,2개월 전,0,
@RiminiVirage,"Fabulous entertainment from the multi-talented Tom Hiddleston but, doesn't the stunning Ann Hathaway illuminate any room she is in, no matter the esteemed company.  I just need to look at her and my day is complete.",2개월 전,0,
@AlexValentine-i1f,Miro,2개월 전,0,
@nickdearnaley,Imagine meeting de Niro,2개월 전,0,
@1SaG,"Is it just me or was Tom blushing when DeNiro told him it was OK to call him ""Bob""?",2개월 전,0,
@rahimahoque6897,Thats is the best scene of the movie. I love it,2개월 전,0,
@MyDstarz,Is that Richard? From Rake? Oh wow- that’s amazing!,3개월 전,0,
@swingtheB,So good,3개월 전,0,
@dancer20617,The world has been destroyed by what?,1개월 전,0,
@SteveMore-x4x,@dancer20617what no comment?,1개월 전,0,
@dancer20617,​@SteveMore-x4x no comment to what? You didn't answer my question,1개월 전,0,
@SarahJones-vg4cb,Anyone else here because of Adam Buxton?,3개월 전,0,
@phillipeétal,I think his gravelly Pacino is wayyy better than his De Niro personally,3개월 전,1,
@tvviewer4500,1:33 Might be the worst impressions I’ve ever heard. The dinero better be good,3개월 전,3,
