username,comment,time,likes,reply_count
@mercurybard9794,Watching this back-to-back with the Jeffree Star video was whiplash inducing,6일 전,0,
@Lady_TyTy,"It's cute her adjective for every piece is, ""dope.""; a ""dated"" explanation, yes? ✝️ 🇺🇲 ❤️",2주 전,0,
@emiliotamez7556,living for how long you were so skeptical of her ... huda know what she got!,1개월 전,0,
@XxalexaandraxX,I belive she got that LV bag as PR.,1개월 전,0,
@AlexHider,"Finally a show and tell when someone shows! Half of the closet tours on YouTube are basically just “check this shit out: ikea drawers edition”. It’s not Architectural Digest!! I don’t care about your organizing cubes, show me the sequins!",2개월 전(수정됨),1,
@TheMuari,Fumny like a lipstick Funny lika a moneysack,4개월 전,0,
@BreannaDrummond,"13:23 i have a mesh hot pink marc jacob’s Tote Bag and someone was asking me about it and i told them that it’s really only a good bag if you have other cute accessories in it. bc yeah, i don’t wanna see all your messy random junk :/",6개월 전,0,
@RammyDaBaddest,You look so hot with that goatee yes lil Kim’s appearance,8개월 전,0,
@meghannwhite6633,"Whoa! Who are you? Facial hair!?!? It’s such a different look, but still cute ❤",10개월 전,0,
@Jessica.8669,"Awww, he's just a baby!! ❤  if I didn't know better, I'd think you're falling in love, Luke.",10개월 전(수정됨),0,
@lorrainechamberlain1885,O boy you love this one!,10개월 전,0,
@skye3799,But is it DOPE??,11개월 전,0,
@lexisotelo8010,"I'm glad this closet had interesting pieces. She has fun with her closet, and I appreciate that, even though our styles are different. There is creativity and flare in her choices!",1년 전(수정됨),0,
@sharondouglas3837,You talk to much let the person showing her closet get a few words in.sorry for being forword,1년 전,0,
@WhitleyBayCasual,Chanel Ballbag?,1년 전,0,
@jenniferhawkins9020,"How many designer bags with same colors and similar shapes does one need? Not a fan of th plain brown LV...so much weird, she has a lot of other cute stuff...a lot of sparkle and excess!",1년 전,0,
@ChrisCM6,Your joy made my day!! thank you Luke ♥,1년 전,0,
@catherinesmith9820,She's Kim Kardashian without the vocal fry.😄,1년 전,0,
@PbjSanguich,I was thinking you were going to break down the prices,1년 전,0,
@HussainKhambhati-cb5uh,'Im not normally a hat person' says while LITERALLY wearing a baseball cap,1년 전,0,
@jeffreyk2418,If you want that than you can look at the original video 😅😂😂😂,10개월 전,0,
@HussainKhambhati-cb5uh,No offense but why does Luke with a beard look like one of thise Tiktok ladies trying to potray a man in skits 😂 Love you Luke,1년 전,0,
@SanaSayedMakandar,this outfit makes it look like he's playing a straight kid in a musical,1년 전,0,
@branmuffin-gg,9:43 she was so ahead of her time with the tiny bags,1년 전,0,
@graysynandrews8961,Omg I LOVE you LOVING HER!!!!! You could literally be her stylist ❤❤❤❤❤❤❤❤❤❤❤,1년 전,0,
@virginiamorales1591,"I love her.  She is so exotic and beautiful.  Her makeup is so nice.  She has the money to buy whatever she wants but she’s so down to earth.   I like that she’s not into the Hermes’ Birkin bags.  I personally don’t like them.  With the money of one of those bags, I would buy more Chanel, LV, Giorgio Armani, Prada, etc.   She likes colors and flashy stuff, I think it’s a cultural thing.  ❤❤❤",1년 전,0,
@SJD326,"Huda is Muslim honey, they got MONEY MONEY over there",1년 전,0,
@gabrielmoro3d,Obsessed,1년 전,0,
@lc-il6wr,Huda is so annoying and you are even more annoying agreeing with her..,1년 전,0,
@lc-il6wr,She has greedy syndrome..,1년 전,0,
@sharonleavy839,That pretentious little arse ruined the video,1년 전,0,
@DUNG30NDUCK,"2:43  I watch this video every so often and I love this record-scratch moment as you go from cynical to more excited, it's like you could have little anime happy blush on your cheeks all of a sudden",1년 전,0,
@dawngreene6145,I enjoyed this one so much !!!!   Your SMILES and HAPPINESS at what she had ❤❤❤   pay an admittance fee for her closet😂😂😂   I died ❤😂❤😂 And then she pulled out the gowns😮,1년 전(수정됨),0,
@julianareider,I really enjoyed this! Thank you!,1년 전,0,
@MichelleE11even,Love watching your older vids! And love seeing you so excited!!,1년 전,0,
@nancyb2003,"I've watched this video 3 times now. I adore Huda, her vibe, and her laid back personality. HOWEVER, I watch to be mesmerized by how much fun Luke has watching Huda's closet tour. Watching him review her closet brings me pure joy. I just smile and revel in his happiness. I want them to meet. Very, very much.",1년 전,4,
@Nicolechan-x8,I never see him so excited in a closet tour and it makes me so happy,1년 전,1,
@TurtleLover05Venus,The beard! 😮 first video I've seen with it. I wasn't ready ❤,1년 전,0,
@RW-gp1dq,"I REALLY needed this ICONIC video after just watching that british girl who has the ""MMMmmm"" down fine;) hahahahah. I just love you Luke! Well Done again!",2년 전,0,
@jackietiffin1676,Love how you became such a fan girl 💕 wish you could do the tour in RL,2년 전,1,
@idkidk8278,"I love you in this video! Funny, cute, smart, and loving the facial expressions lol. Were all a lil $\ut for a Chanel tweed jacket.. Omg Lmao",2년 전,0,
@saradeemon,Had never watched this and seeing you so happy and pausing so much just made my night. 🖤🖤🖤,2년 전,0,
@danielmontanelli6168,Still one of the best of closet reviews purely because Luke is living,2년 전,1,
@alondra8680,No one: Me 3 years later: a boot is absolutely the proper place  😂😂😂❤,2년 전,1,
@alamedadanceparty,My favourite closet reaction!! She was actually knowledgeable and excited about her clothes! Love your response!,2년 전,1,
@jdoveyk9422,Buds of taste… Huda is much but I would enjoy being her friend so I could wear all of the stuff she doesn’t wear and be much too. 😂,2년 전,1,
@ania5038,Nobody needs 10 navy bags lol,2년 전,1,
@shaedonager,still waiting for the huda closet collab,2년 전,1,
@edwardjamesjr1,"Lol, like so rocking his goatee, backwards cap and hoodie ironic straight boy phase",2년 전,0,
@stephaniec.4384,I love to see you get so excited Luke! 😂☺️,2년 전,0,
@katrinasunboxing7546,"She's my favorite beauty Influencer ,thank so much for this",2년 전,1,
@Cherrysmith2809,I love the way you appreciate Huda appreciating fashion! This is such my vibe. Thank you for a truly great reaction video. 🙏🏼🥂Manifesting that you meet Huda.,2년 전,0,
@chiarastremiz292,i still enjoy this video sososo much ahahahha you're both so enthusiastic and so am I best collab everrr,2년 전,0,
@elinstar6034,Could not believe her intro about the crazy creativity in the blinged-up shades...looked over to your face and cracked up  🤣🤣,2년 전,0,
@kseniakondrashova2768,Huda Beauty? More like - Huda Fashion!,2년 전,0,
@jhunifiedwithlove9750,And now I wonder if he got the invites from Huda to visit her closet😊,2년 전(수정됨),0,
@jhunifiedwithlove9750,"I am not rich but yeah, I’m guilty about this… If you buy it, you should wear it… ✌🏽😊",2년 전,0,
@happygucci5094,Love her- her passion and knowledge is too good.,2년 전,0,
@winterrrsea1674,lololol what happened to you this is not the guy I just watched talking about nepo babies,2년 전,0,
@TheDressageAddict,Coming from your review of James Charles closet tour and I'm dying at the difference in your responses.,2년 전,0,
@nickibogart4122,"Best closet tour yet🖤. I thoroughly enjoyed not just the adorable Houda, but you!, having so much fun and enjoying her personality. She is an inspirational woman and down to earth at the same time, fantastic. You are my kids age and I admire the breadth and depth of your knowledge. And you are adorable.DM me if you’re ever in Santa Barbara 🖤",2년 전,0,
@hannahdavy5812,"2 years on, I want to know if this friendship ever came to fruition?",2년 전,0,
@4evergogo,"ok she's precious! loving her! if I didn't look funny in ""make up-make up"" I would buy her brand!",2년 전,1,
@ty101ty,I always come back to this video 😂 Luke losing his mind over Huda's amazing closet cracks me up,2년 전(수정됨),3,
@santanawilliams5945,He’s always a jelly belly,2년 전,0,
@ArtTheSinger,He’s so stereotypical.. smh.,2년 전,0,
@ginevrafratto,a bit high key but we stan the prada,2년 전,0,
@lisa99prince46,"I was also pleasantly surprised for her love of fashion, just wished she would stop stealing other smaller brand’s ideas and products, as well as not at all giving credit where credit is due for clearly not her own work… but you know… potatoes bananas I guess 🤷‍♀️",2년 전,1,
