username,comment,time,likes,reply_count
@ENGLANDCAMS1,I love too see how YouTubers progress the corps. I would love too see how they try too stretch the product line over decades.,8시간 전,0,
@VaNSs-,"to expensive just to be alone in a room double down by yourself 😂😂😂,  crazy world",13시간 전,0,
@juztinn4487,am glad u have the Vietnamese Audio easy to understand thanks,1일 전,0,
@MagicOfRana,"wait isnt the steam frame a vision pro competitor? it is meant for gaming but its a linux desktop OS so it is directly a computer, and its runing linux...  steam had the same idea of the battery outside but they use it for counter weight, apple should learn from that the only reason to buy the vision pro now is better screens but the downside of limitate uses cases for the steam frame that runs on linux and can run windows and android executables, the sky is the limit for productivity, entreteinment and everything else",1일 전(수정됨),0,
@Garrettstudios9,Bro the meta quest 3s upgrade strap with battery pack is beyond the strap on the top on the vision,1일 전,0,
@hawkstein4464,Man flexing his ultimate frisbee doing a tech demo hahahaha,1일 전,0,
@hawkstein4464,After all these years I do not understand how you guys continue to be so creative with new shots in so many videos,1일 전,0,
@COURSEMEISTER,Game  Swiss alpine quest,1일 전,0,
@COURSEMEISTER,"Hi All, checkout  my new Swiss Game - Swiss alpine quest",1일 전,0,
@phylosophersstoned43,Apple thinks we’ll buy all of their misengineered hardware because we’re stupid. We’re just locked in their ecosystem. No normal person has use for a space helmet tho,1일 전,0,
@owcabibi,Your passion really shows.,1일 전,0,
@MonaLisa-up7ih,Thanks for posting this.,1일 전,0,
@SV-ua25,Цікаво чи варто воно уваги дуже хочеться спробувати,1일 전,0,
@fortunateforest,What if you could play GTA 7 on a 2050 model of VR goggles,2일 전,0,
