username,comment,time,likes,reply_count
@geeangeles6600,Taxpayers' money.,1일 전,0,
@mercurybard9794,How to make an Hermes bag interesting to me - spill ketchup on it and have original art painted over it,5일 전(수정됨),0,
@sophieartmusic,"Typical Hollywood types.  Collecting and worshipping expensive things to show off to the poor.  🙄🙄this is why people are sick of these types.  Classy people don’t show off their EXCESSIVE expensive items especially when everyone is poor.  sooooo tacky and cringe.  It says “hey you poor folks, come worship me because I’m so great I have all these expensive things you wished you could own, aren’t I so fabulous? You guys make me feel fabulous, thank you, seee all my pretty dresses and shoes - lol, sucks to be you, poor people like you make me feel important “",3개월 전(수정됨),0,
@LianCariaso-vp2ei,"That himalyan bag she was taking about costs $300,000",3개월 전,0,
@Sulky-girl,"Oh babe, if I didn’t have a dehumidifier in my closet in Florida. I would lose all of my clothing every time I leave there.",6개월 전,0,
@AmberTwiss-s1l,"Her closet looks like a cozy cottage. It's an abomination to wear costly apparel. Imagine when she finally dies, and suddenly she wakes up to fowl smelling hell while being mutilated and tortured by demons from her past life. She made the need to burn those clothes and mos4 definitely get a completely cha ged life. It looks like she has no insurance on her soul. Here today; dead tomorrow. There are no luxuries in hell.... Only misery.",9개월 전,0,
@SahMai,"That is a lad...,//yboy.",9개월 전,0,
@Probablyh1ghtbh,so the Himalayan bag cost alot now doe lol,11개월 전,0,
@Jeff-r9h,you too loud and i cant hear what you are reacting..asar,1년 전,0,
@jenniferhawkins9020,She Old Money,1년 전,1,
@jmjpmc,She should have you over for tea....,1년 전,1,
@bettinaouaknine823,I was waiting for her to show us the dehumidifier!🎉,1년 전,1,
@twincessdiaries8283,Just rewatching this and so proud of heart! Your most popular video! Probably due to the Filipino stans! Heart is a real queen!,1년 전,0,
@direktatorz,i think it's also important to note that she's married to a politician so she can't always go too avant garde,1년 전,1,
@ms.thaexp,Jamie Chua crazy wardrobe…from Singapore,1년 전,0,
@jodymiller6162,Bro you talk too much! Shit! Shut up! We wanna hear what she’s saying.,1년 전,0,
@Sugarandflames,I want to see the archives!!,1년 전,0,
@giovannacaligiuri1475,love the Hello Kitty dolls stuffed underneath the longer gowns,1년 전(수정됨),0,
@KT-gl1fi,"money talks, wealth whispers",1년 전,0,
@luciojunior2451,"People frame Hermès scarves because some are made by artists, others are limited editions and all are handcrafted using centuries-old techniques that take a long time",1년 전,0,
@roadavis6129,.                            .,1년 전,0,
@3yes0ny0u,"Her Birkins lined up on a shelf and not behind a glass pane is somehow a flex on its own. Heck, she treats them like my Matt and Nats. Also, Heart is a working rich. Obviously, she had a leg up by coming from an already rich family, being married to a politician from a rich family, and with those looks, but she made and spent her own money.",1년 전,0,
@GloriajaneBaylon,"HEART IS MARRIED TO A SENATOR, A POLITICIAN-LAWYER  WHO IS ALSO A PRESIDENTIAL TIMBER. AND YOU TALK TOO MUCH. YOUR COMMENTS UNNEEDED. 😮",1년 전,0,
@kimberleywatson7330,This is the difference between rich and wealthy😚🤗,1년 전,0,
@Jmittle101,"Actually she just gave an overview of it all, it would’ve been nice if she spent more time on her collection so it wouldn’t be so rushed.",2년 전,1,
@alphardooo,"""abubuts"" = filipino slang for trinkets",2년 전,0,
@luvzdogz,"Closet bigger than my house. Literally.  Also, she has the most amazingly beautiful skin!",2년 전,0,
@alaasusername,I LOVE the fact she framed those scarves lol - I’m also an artist and I buy scarves not to wear but because of the design on them 😂 this is smart,2년 전,0,
@jeebsunabia7972,"It's a no for me, dog.",2년 전,1,
@CrazyMurica,"wouldn't call this ""crazy rich Asian"".. maybe upper middle class or high class asian.. what would u call someone with a helipad outside their house and a private jet waiting in the airport.??",2년 전,3,
@juanitaleak6482,What a stunning closet!!! It’s more like a several large rooms that have closets in them. I think it’s one of the biggest I have seen. Very nice ❤,2년 전,0,
@maeapostadero4067,“Abubot” small stuffs like sunglasses.,2년 전,0,
@mariadomingo7767,"oh please, stranger. she is not crazy rich asian. hahahaha. you've been bamboozled.",2년 전,2,
