username,comment,time,likes,reply_count
@Mango-Django69,Graham Rex,3일 전,0,
@rooting4starks239,Graham is a genius talk show host. He knows exactly what’s he’s doing and is a professional interviewer and importantly entertainer. There’s a reason why he respected so much by other talk show hosts!,4일 전,0,
@pbrfan7141,He’s adorable.,7일 전,1,
@RomanCirekCIRO,"Špinavý Holliwood, špinavý herci a špinavé, komunitní publikum😂😂😂😂😂😂. Holl. je nen kupa plných špinavých, smradlavých lidí bez páteře a zásad. Lidé co ví, ví o čem mluvím..... jen lituji lidí, co nemají tušení o těchto zrůdách a  lidských odpadech, co pracují pro ďábelský Holl.a jsou jejich součástí 😂😂😂😂",8일 전,0,
@zingzangspillip1,It is crazy to me that Damon and Affleck went to the same high school and even at that age were driven to succeed in the arts. They are both very creative guys but not everyone makes it.,11일 전,0,
@stawreetellas,Downing a drink is vulgar caveman conduct.,13일 전,0,
@bournemouthisshit,The new format: TALK'N'TRASH! DARE you NOT pull the lever?,3주 전,0,
@ArngrimJakobsen,The Monuments Men “interview” is by far my favorite Graham Norton show episode. Will never be surpassed ✔️,3주 전,1,
@IlaiyaraajaKadavul,Matty is a cutesie,1개월 전,0,
@singhsahab9874,Graham Norton legendary representator welcome at Generalship John Buchanan..,1개월 전,0,
@karyth09,"Ok, so apparently I watched and commented this video 8 YEARS ago?????",1개월 전,2,
@tomblah,1:53 looks like Heath Ledger,1개월 전,2,
@1Kent,American talk shows don't just lower the bar they countersink it.,1개월 전,1,
@ANDREAHOCHGATTERER,Great to listen to people who actually talk !!!,1개월 전,0,
@JenniferWoolley,Love this ♥️,1개월 전,0,
@lRoss555,"The United States will not help Europe in the event of a Russian attack. Likewise, Europe will not help the United States in the event of war. Don't buy American products now.",1개월 전,0,
@bekaerpekpaouer,Really enjoyed your perspective.,1개월 전,0,
@stardust6840,This is genuinely the best talk show EVER!,1개월 전,0,
@hoNg-t3z9p,This brightened my day.,2개월 전,0,
@Stat1onary,Bill murray is such a bad influence lol,2개월 전,1,
@LindiRoux,Could this be the best upload yet?,2개월 전,0,
@SolveighTravis-wn4tx,Love Graham Norton! He could entertain without guests.,2개월 전,0,
@SamSwinnerton,I like that he talks a little britishly when he’s there,2개월 전,0,
@PhillyFrank1,"I’d bet a lot of celebrities would say the same — the best time on a talk show.  And yet not a single US talk show attempts to imitate the model of multiple celebrity guests on the couch at once, with drinks.  Granted, Graham Norton had a gift for keeping things going, even with the occasional recalcitrant guest in the mix.  Are US talk show hosts too much the control freak to let things roll?",2개월 전,0,
@louhillen8254,Best chat show ❤,3개월 전,0,
@kamgoogle7115,Hope they went out after the show,3개월 전,0,
@dorcasbass5585,Isn't this just so trivial and pathetic?,3개월 전,0,
@ChrisHill-v5v,Matt Damon still the biggest star in Hollywood I think. Right now.,3개월 전,0,
@tszailer,We all love Mark Wallberg!,3개월 전,0,
@alisdairmckenzie22,"Graham Norton is a legend. His is show is very British and sometimes US guests don't quite get it, but, Matt Damon got right into it and kudos to him. A really nice guy, and ended up being part of one of the best, and most entertaining episodes. Great fun",3개월 전,0,
@pjhimself252,“Most fun” ? Still waiting.😊,3개월 전,0,
@annewatkis5824,"Isn’t Matt Damon just wonderful, handsome, real and charming",3개월 전,0,
@jayquanvo5134,"Jimmy Kimmel, Jimmy Fallon and all those other USA talk show hosts have got nothing on Graham Norton.  He’s in a league of his own.",3개월 전,0,
@nancybannerman1224,Matt Damon hit the nail on the head when he said it was the most fun he has ever had on a talk show. It must be difficult to have to go back to an American talk show after Graham's show. Lots of fun to watch as well. 🇨🇦,3개월 전,0,
