username,comment,time,likes,reply_count
@nicolasferreirafranco6295,14:14 😮😮😮,3일 전,1,
@nicolasferreirafranco6295,10:50 Mágica em quadra ❤️🏀✌🏻,3일 전,0,
@nathanbendich2914,"John Wall making the basket right before he hits the ground, like he's Shawn Johnson doing a backflip.  Mind blowing!  0:30",2주 전(수정됨),0,
@nicolasferreirafranco6295,12:46 Luka Magic,3주 전,0,
@nicolasferreirafranco6295,8:50 CP3 IN LA ❤💙,3주 전,0,
@nicolasferreirafranco6295,5:51 Kd...,3주 전,0,
@LearnToWin9683,Kyrie Irving’s “The Shot” from 2016 was one of the greatest shots in NBA history.   LeBron James “The Block” from 2016 was one of the greatest defensive plays in NBA history.   2016 NBA season was one of the most historic and unforgettable seasons in NBA history.,1개월 전,1,
@KapilSingh1996-e3y,Kareem Abdul-Jabbar,1개월 전,1,
@nicolasferreirafranco6295,20:50 Simplesmente Kobe Bryant 😮🐍,2개월 전,0,
@nicolasferreirafranco6295,18:30 Nets>>> Celtics,2개월 전,0,
@nicolasferreirafranco6295,29:07 Kyrie Irving,2개월 전,0,
@nicolasferreirafranco6295,28:48 Muita aura 🤍❤️,2개월 전,0,
@nicolasferreirafranco6295,2:04 Lebron🌹,2개월 전(수정됨),0,
@fbryn0688,40% LeBron 40% Blake Griffin 5% D-Rose 5% James Harden 5% Steph Curry 5% everyone else,3개월 전,1,
@nbastory25,From Curry’s range to LeBron’s chase-down — these plays defined an era,3개월 전,1,
@Inferno19-t8v,What if I told all of you every play would be Tyrese Halibuton,3개월 전,0,
@ThomasLynch-ti7wr,Its hard to watch this when a ad pops up every 90 seconds its as bad as WWE.,3개월 전,0,
@SyK3300,Kawhi Leonard’s game 7 buzzer beater is the greatest shot of all time,3개월 전,0,
@dondahighhh12,4:55 - this is top 20.. foh NBA,4개월 전,1,
@dondahighhh12,3:47 negative basketball IQ from both Memphis players... just stand near the rim!!,4개월 전,0,
@nicolasferreirafranco6295,Foi a melhor da história ❤✌🏻🏀,3주 전,0,
@MrDudeBroGuy,😭,1개월 전,0,
@EasyMoneySniper30,I would tell you that you’re delusional,2개월 전,0,
@michaelpeterson-w1m,"I would have whooped them all, I just couldn't run, jump, pass, steal, block, or handle pressure. Also, I wasn't a that good at shooting.",4개월 전,0,
@superstan5386,Looking back ts was prime nba,4개월 전,0,
@a_harun,27:26 This score doesn’t deserve 8th place — it should’ve been around 40,4개월 전,0,
@XoticXTC,7:19 nobody's talking about evans teammate already knew it was going in,5개월 전,0,
@G.Centurión,"14:30 can someone explain to me why? Why its top 47 that? Maybe is was very important but i dont know why, can u help me?",5개월 전,0,
@colinfrags5691,12:45 is one of my favorite basketball calls. Like how did he do it?!,5개월 전,2,
@LoopedLore15,shai prolly shooting free throws rn,5개월 전,1,
@Cashoutkidd,Kyrie Irvings game 7 game decider at #4 is cruel definitely #1 LeBrons block behind it.,5개월 전,0,
@rafaelrivera9202,48 should be no. 1,6개월 전,0,
@TheReddaredevil223,14:27 Can someone please explain to me why this deserves the 47th best play of the decade?,6개월 전,2,
@teflonjon3341,Jamal Murray😢,6개월 전,0,
@daveeaster1061,JR Smiths highlights shoulda been higher,6개월 전,1,
@gavy8177,dammmmmmmmmmmmmnnnnnnn,6개월 전,0,
@MercyYemane,"""Irving and curry"" ""1 on 1""  ""And Irving puts it up"" ""It good"" Kyrie Irving from way"" downtown",6개월 전,1,
@jaglano4223,Lebron really likes to get these buzzer beaters right in front of the opposing bench,6개월 전,0,
@gengekusama,"100 plays of the decade, SA does tons of stuff in that decade, only 2 plays, none in the top50 lol",6개월 전,0,
@JasonGlad-u9z,"Im sorry but the Kyrie shot was 10000% more crucial that Ray Allens and Kawhi's.  Kawhi's shot just sent them to the finals and Ray Allens only tied the game , Kyrie's shot won the game and cemented the greatest NBA finals series of all time.  Down 3-1 in series on the road in a game 7 to a 73 win defending champion.  Biggest shot in NBA history",7개월 전(수정됨),3,
@deering704,#3 should be number 1,7개월 전,0,
@SLVENCOOKER,BRO missed JR Smith taking the game to overtime [Game 1 NBA 2017 finals],7개월 전,1,
@HBtrickshot,Mostly Miami heat,7개월 전,0,
@BrandonCooper-h3e,"Ray Allen misses that shot, they lose the finals, Kyrie misses that shot they still have more time to make a push, that's the difference... Also kawhis shot was the first game 7 buzzer in NBA history  kyries shot was cold af tho, threw it up in front of the greatest shooter of all time too",4개월 전(수정됨),0,
@carandant757,Bro Jeremy Lin proved everyone wrong lol,7개월 전,2,
@blakemckenna367,Jesus is God,7개월 전,0,
@notmrc1,Nets bench reaction at Larry Nance dunk still gets me today 😆,7개월 전(수정됨),0,
@marbunjoo,NBA gotta do top 100 all time plays now.,7개월 전(수정됨),1,
,Does anybody have a better list than this?,8개월 전,0,
@Aqeel-Mi,Number 48 was crazy.  Wowzers!!!,8개월 전,0,
@Aqeel-Mi,"“You cannot let Durantulla, get there like that”!! Lol!!!",8개월 전,0,
@TriatanSarlis,LeBron gonna be on this list for 3 decades,8개월 전,0,
@DKsMediaCentralReturns2.0,2025 anyone?,8개월 전,1,
@meu02136,"I don’t get the rankings of these plays, there’s just a standard 3 pointer from Kevin durant, any reason?",8개월 전,0,
@evanainslie362,Derrick Rose had like 10 of these lol,8개월 전,0,
@MrCholla1,#76 was stupid as hell lol,8개월 전,0,
@mob8502,Can someone write a comment where they show how many plays per year like exp- 2007 - 4 plays,9개월 전,0,
@TheFanchinho,"I saw the LeBron 3 against the wizards live , that was from another planet !",9개월 전,0,
@ghostme1635,The definitely got the top 5 correct.  Awesome stuff,9개월 전,0,
@ghostme1635,Whats really crazy is Lebron went to 8 straight finals and won 3.   And if the Warriors were not their opponents in the last 4.  Lebron and the Cavs most likely would have won all 4  or atleast 3.  Steph Curry and then Steph and Durant spoiled that tho 😂,9개월 전,0,
@ghostme1635,Man watching Lebron and D-Wade sure was fun.  And watching the cavs and the warriors in the finals of 2016 was the best ever,9개월 전(수정됨),0,
@marispolakovics6317,"I made it to 47-durant made a 3,what a suprise",9개월 전,0,
@omglawton,I'll never forget watching that Ray Allen shot. You just knew that was money and im a Lakers fan. Easily gunna be the number one again.,9개월 전,0,
@stephencolor2010,Great list but #3 should've been higher,9개월 전,0,
@zayrollin2x198,🎉 yes sir,8개월 전,0,
@ParkourBros-u1z,97 was crazy,9개월 전,0,
@fire-brawlstars6485,Banger,9개월 전,0,
@ko2n3typ,"I'm so excited after watching this video, I can't sleep lol",9개월 전,0,
@dman457editz,Milking a normal 3,9개월 전,0,
@legendarywiimaster,"12:45 was insane, that corner by a rookie Luka was just a sign of how great he would become",9개월 전(수정됨),4,
@aidanj6373,WOWZA,9개월 전,0,
@qaow,1:42 bro predicted Wembanyama,9개월 전,1,
@lowoncashluca,IS THIS THE DAGGER? OHHHHHH!,10개월 전,1,
@lowoncashluca,"Irving, puts it up, ITS GOOD!",10개월 전,1,
@evilotis01,28:05 DUNK FACE,10개월 전,0,
@alexkouk6585,Ill take a clutch winning shot in the finals over a clutch block in the finals every day.thats just me tho,10개월 전,0,
@abstraktmind6665,a facial by james harden on draymond green,10개월 전,0,
@JamesKing21,84 is fire,10개월 전,0,
@germshiesty,The Lebron James stepback corner 3 will never get old,10개월 전,0,
@ohbie,Kyrie's game 7 shot should be #1 by a mile lmao,10개월 전,0,
@matthewlewis5133,21:25 - Look at the Nets own players on their bench 😂😂,10개월 전,0,
@SeanKelleher-j8v,Tatum on Lebron at 83 is crazy,10개월 전,1,
@wotten1,So many of these plays are not worthy of this list especially some of the dunks in the top 20,10개월 전,0,
@Carol-s3p,They steal all shaqs moves,10개월 전,0,
@Carol-s3p,They play hard cause they are afraid of shaq hes oriental and know shaq fu straight from China,10개월 전,0,
@Carol-s3p,Shaq beat Anthony Edwards 1on1,10개월 전,0,
@Carol-s3p,Shaqs the best,10개월 전,0,
@Carol-s3p,Everyone wants to be shaq😢its sad 😭,10개월 전,0,
@Carol-s3p,Can't compete with shaq attack not even Jordan he cheated against shaq,10개월 전,0,
@Carol-s3p,Jeremy Lynn got beat 1on1 by Shaq destroying his confidence and he quit,10개월 전,0,
@virsingh33,Demar Dominant Dynamite Detonates on Detroit top 5 commentator lines imo,10개월 전,0,
@NewYorkRangers-ms9ks,4:00 what is this A.I.,10개월 전,2,
@DeanHartshorn,"""If you dunk on the king, you can be king for the moment.""😛4:07",10개월 전(수정됨),2,
@DeanHartshorn,"""The lob, the jam! Are you kidding me?"" The kids are having fun, the players are having fun and the broadcasters are having fun.""😂1:17",10개월 전(수정됨),1,
@eskimafia9661,D. Rose 😫,10개월 전,0,
@luss45,Allen saving LeBron Jordan goat debate,11개월 전,0,
@Spooky-v6m,Look at play 12,11개월 전,0,
@kingkushton,1:45 the way jeff teague reacts to bro making that shot 😂😂,11개월 전,0,
@shreyess,I love how synchronized their reactions are. 29:25,11개월 전,0,
@Norbworthy,Man I lost so much money on #1,11개월 전,0,
@manoelleitepereira8857,Eis me aqui senhor,11개월 전,0,
@cesarenegri3196,i still think that kawhis buzzer should be first,11개월 전,1,
@Cspark23,very good!!!!!,1년 전,0,
@FckAnti,"NBA, cool video keep up the amazing content",1년 전,0,
@Luffy-344,Wow #2 was drastically underwhelming after 6 through 3.,1년 전,0,
@asston712,how many edibles did you take you inbred braindead vegetable ass,8개월 전,1,
@mruncle-xr7hp,A god damn 3 pointer from kd in the finals 🤦‍♂,1년 전,0,
@RabbiHossen-nc8yz,amizing❤,1년 전,0,
@fanuatobrhan8684,Clip number 3 was amazing😎,1년 전,0,
@spooky-man-i2s,"Greatest Team if ever assembled:  C: Kareem PF: Hakeem SF: Lebron SG: Spree PG: G.Payton  Bench: Shaq, T-Mac, J-Kidd, Dirk, Kyrie, Mahmoud Abdul-Rauf, Horry  Can't be stopped.",1년 전,0,
@cohen8007,18:24,1년 전(수정됨),0,
@AllThingsInteresting.,anyone hear after watching slam dunk ??,1년 전,0,
@dartht-rex6313,I’m still so mad at Simmons like this is game 7 and you decide not to double the best player on the team when he’s clearly going to shoot,1년 전,0,
@TitoLounge11,I know it hurts every Bulls fan seeing these D Rose highlights,1년 전,0,
@almeida2004,Blake Griffin's dunks were insane 🔥,1년 전,0,
@xaviergrantcross7765,Dont forget Klay went 0/10 in an elimination game,1년 전,0,
@imransky3167,I feel like number 1 was very anticlimactic lmao. A phenomenal play nonetheless but i feel like there was far better in the video.,1년 전,0,
@Landon-u6o,1 should have been kawhi,1년 전,0,
@axel5693,This list is horrible man,1년 전,0,
@AbhishekVerma-fj4qi,Feel for embid😢,1년 전,0,
@anthonykrause8052,Ray Allen making the best play of the 2010s despite being drafted in 1996 is crazy that shot is truly special,1년 전,0,
@Suqq-dm3ps,The crowds are so sad. You have a buzzer finals win and the crowd is like when a 3rd division team scores the 1-3 in any other European football match. Yawn 🗿,1년 전,0,
@akinyemiomotosho88,Just call it a LeBron James show then. Wtf😂,1년 전,1,
@Arcerdomek,Momma... there goes that man 🤣,1년 전,0,
@DesertbikerAZ,#18 Harden traveled.  Took 3 steps.,1년 전,0,
@GodSon91,I witnessed in that 2010s era A lot of excitement Westbrook underrated Blake was the Vince Carter of this era 😂 and 2016 being best season of the era 🔥,1년 전(수정됨),1,
@demier1000-sc4ml,"Yeah the problem is the people in the crowds aren’t true fans they’re just rich people stopping by, the real fans are sitting at home cuz they can’t afford to go to games",1년 전,0,
@Hookedwithlukey,LeBrons block was actually goal tend,1년 전,0,
