username,comment,time,likes,reply_count
@hubermanlab,This is episode 1 of a 4-part series on mental health with Dr. Paul Conti. Watch the other episodes here: https://youtube.com/playlist?list=PLPNW_gerXa4PKMqne6CTj7tWvUvObWA3s&feature=shared,1년 전,357,
@adityanath4316,"Thank you both for sharing this amazing knowledge to us for free! Just"" wow""!!❤",11일 전,1,
@ARiesORANGECHiPbeforebluecchip,RoboVac,2주 전,0,
@ARiesORANGECHiPbeforebluecchip,RoboVac,2주 전,0,
@pjotrzamhoffaroffa4047,"@askvinh Please help this guys vocabulary, it's 2000 different versions of the word ""right"" and  ""wright""!",3주 전,0,
@dalejernigan1948,I wanted to listen but ads kept coming in every other minute. It was too distracting!,3주 전,0,
@Yeahweirdme0009,i am a 24 year old lazed in last 6 years not even in college yet i feel like i am done for i cant be anything i am at my lowest point in my life addicted to  M bating dont know where i am gonna be in life  no one to talk to please dont leave me hanging. Please advise me,1개월 전(수정됨),0,
@tomasgonzalez2514,"1:27:00 project own anger o tensión en otras personas.. cuando en realidad esa tensión solamente la estoy sintiendo yo, no la otra persona o individuo.",1개월 전,0,
@newdeasin3824,nice episod,2개월 전,0,
@cieragivens2519,"Dr. Conti is great, but if I had a dollar for every time he says “right?” every 3 words 😅🫠",2개월 전,0,
@AB-rq1rl,"This is going nowhere fast, Andrew is asking for practical solutions and this guy's waffling on with anything but, completely derailing the conversation.",2개월 전,1,
@blogblock,1:09:55,2개월 전(수정됨),0,
@Nick-iu7ks,47 min. Me,2개월 전,0,
@Kingsingh-sh9el,1:00:14,2개월 전,0,
@elenatesanovic4280,How did this video get 14M views? I can barely keep up with him,3개월 전,1,
@ccccccccccccccc-m9i,very great!!! i took a lot of things which are helpful for me.,3개월 전,1,
@my.anew.insight,Such a helpful episode!,3개월 전,0,
@michaelmachatton5469,"LOVE YOUR WORK 7 HELP, NEAR SLEEP DEEP REST = BODY DOES GO TO SLEEP.  :)  -MIKe",3개월 전,0,
@kevfinsed,"I was deeply moved and inspired by this conversation and it gave me hope that the complex trauma and all the downstream consequences of it could be healed.    I've been to many different therapists and have tried everything out there, but far too often therapists take a few courses and then add ""trauma informed"" to their list of things they treat and ultimately get in over their head and make things worse.  I reached out to Paul Conti's center up in Portland and was incredibly disappointed to find out that a short residential stay was nearly $25,000!   No one talks about the profound cost of getting quality therapy and far too often the people who need it the most are so dysfunctional they could never afford it and so get shunted to the vast majority of technically qualified, but grossly insufficient therapists out there.  It's really demoralizing.  If you're wealthy and have some psychological boo boos then there are plenty of over paid people who will gladly hand out bandaids and as a bonus be able to make their boat payments.    It is unethical to have such a prohibitive paywall and it is highly problematic that there is little to no oversight in a field that works with highly vulnerable people who have already been screwed over enough.",3개월 전,0,
@LarryLuciano98,Right,3개월 전,0,
@GentsTalkPodcast,Love it! Keep 'em coming.,1년 전,39,
