username,comment,time,likes,reply_count
@Vogue,"Subscribe to Vogue magazine, receive an exclusive gift and become an insider on what's next in fashion, beauty and culture. >> https://bit.ly/2r9bFDM",5년 전,2.6천,
@coadyottie,I didn’t realize I needed this.,1일 전,0,
@scaniomikiop6563,Amazing content as always.,5일 전,0,
@foujtherhinkiop8868,You deserve every bit of success coming your way.,8일 전,0,
@LocDuong-o4w,I appreciate the positivity here.,9일 전,0,
@PlumadoreMelley,This video is a masterpiece.,9일 전,0,
@barbiehardthingsgames,This aunty is waiting me untill my death,10일 전,0,
@barbiehardthingsgames,Lai achoubagi bor penna fngkhare ei,10일 전,0,
@nhu-m7q,This made me laugh so hard.,11일 전,0,
@BURNTHESKYMUSIC-t6g,Your personality makes this fun.,11일 전,0,
@bbcfarsibbcfarsi,I could watch this all day.,12일 전,0,
@nabe-m6q1b,Very well explained.,12일 전,1,
@evelynro-f6c,She has amazing. Cheekbones ❤,13일 전,0,
@khng-w8n,The sound quality is great.,13일 전,0,
@duderuy,This was so fun to watch.,13일 전,0,
@LedaDick,Loved the energy in this video.,2주 전,0,
@RohimaKhatunzzx,So much value packed in here.,2주 전,0,
@malvaneel,Really cool concept.,2주 전,1,
@HooleyPaternostro,Amazing production value.,2주 전,0,
@Jumpstout,Instant classic.,2주 전,0,
@syeolrr,yes,5년 전,8,
@deniasxipa1735,Yeah,5년 전,2,
@monaemarie_,Vogue . Her lips 👄 look really weird . But she has pretty eyes,5년 전,15,
@shayjaxx7965,Kylies lip filler is the same size as my natural lips lmao,5년 전,7,
@khushisyed1537,Good,5년 전,3,
@candymeltproductions5392,Do Lupita  nyongo please,5년 전,1,
@angeleicakzr7859,Yeah,5년 전,3,
@mlnerfplayer9404,Please do for Priyanka Chopra Jonas make up tutorial video as well🙏🙏,5년 전,4,
@changeeyecolor3891,♥️♥️♥️♥️♥️♥️💜💜💜💜💜💜💜💜💙💙💙💙💙💙💙💙💚💚💚💚💚💚💚❤️❤️❤️❤️❤️❤️❤️,5년 전,2,
@عمرثامر-ط5ظ,شلونج حبي,5년 전,1,
@عمرثامر-ط5ظ,هلوات,5년 전,1,
@connerjuarez5932,You are so pretty 🥰🥰🥰,5년 전,2,
@changeeyecolor3891,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😍😍  👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😍😍,5년 전,1,
@annmariemccabe8943,U look amazing sweetheart don't listen to the haters. Ur an amazing human being ❤❤❤❤❤❤❤❤,5년 전,3,
@annmariemccabe8943, anonymous  no she doesn't she's beautiful xx,5년 전,2,
@MariaTorres-jw2sy,fyt me z,5년 전,2,
@danikaferus,anonymous Kylie is not creepy she’s perfect just the way she is,5년 전,1,
