username,comment,time,likes,reply_count
@ProkoTV,Join the biggest online art community and learn alongside other artists by creating a free account on Proko - https://www.proko.com/signup 👈,3년 전,152,
@aquiRabisco,TOP,1일 전,0,
@tamaradima1992,What was quick and easy in this method of drawing faces? C'mon please🥴,1일 전,0,
@phoenixfritzinger9185,ok so just draw an Iron Man helmet got it boss!,6일 전,0,
@siyaghalam2829,❤,10일 전,0,
@MohammedZaheerShaik-v7n,"The ultimate pro Thanks, God bless",13일 전,0,
@meowlarts5622,what about the features of each faces to review,4주 전,0,
@eugisim,Hi! Can you send link about part 2?i can't find it! 😢,1개월 전,0,
@ericbailey2535,I would have you draw me but you said you were just drawing an average person 😂,1개월 전,0,
@TamaChoco99,best tutorial forever❤,1개월 전,0,
@ely-t4o,using gridlines is much easier. I get confused with all this lines in Loomis method. besides gridlines for me is more accurate.,2개월 전,1,
@itsminarin,Back from a lot hiatus and am ready to dedicate myself to making bad art instead of making no art.,2개월 전,2,
@Catastrophe699,Thank you sir ❤❤❤❤,3개월 전,0,
@nishthefish28,You should first start with a head facing frontwards not this.,3개월 전,1,
@rsenseventwo9993,wow i can use tthose tips,4개월 전,0,
@RobBob555,Uuughh stupid annoying background music 🙄,4개월 전,0,
@TheFinalGob,This guy should seriously be recognized for how much he has helped learning artists,4개월 전,1,
@MeganJane-g9t,An essential tutorial for anyone looking to master drawing heads!,4개월 전,0,
@squidink3470,"My brain just doesn't seem to work like this. I can't see the shapes or rotate them in my mind. I've been trying for years and years and keeping coming back to this video but I never improve. I wonder if being dyspraxic affects this at all. Weirdly, I have zero issues with sculpture.",5개월 전,1,
@mitashkidobriqt3057,great video,5개월 전,2,
@poemmylove124,Bro what app do u use to make a circle and line on z photo?,2년 전,1,
@prakashparab27,A,2년 전,1,
@Jaishree_JC,Same !,2년 전,1,
@MTCTeachingLBush,Now I can’t unsee it,2년 전,0,
@AppleOfWillAndWisdom,#😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,1년 전,0,
@EphraimChavunga-vy2ss,nice achievement,1년 전,0,
@umarani2671,😅,4개월 전,0,
@ProkoTV,Not all of Iron Man's helmet look just like a Loomis head but we gotcha lol,6일 전,0,
@ProkoTV,Here's a link to that full playlist: https://www.youtube.com/watch?v=1EPNYWeEf1U&list=PL39135B8D190B7C97,1개월 전,1,
@RobBob555,And how much he annoys people with unnecessary annoying background music 🤷,4개월 전,0,
@ProkoTV,We're glad the video was useful to you!,4개월 전,2,
@anoob6614,I know right I just look up head tutorial and then separate tutorials for profile and 3/4,4개월 전,0,
@tougga2077,Holy shit i cant do it,5개월 전,0,
@babybig1538,"Hi, is loomis head dataset which you generated will be released?",6개월 전,0,
@AnshumanGuptaa-r8w,why are they all naked?,6개월 전,0,
@cupid5265,𝓐𝓗𝓐𝓖𝓐𝓗𝓑? $)𝓱bhh5/(/(/?/?;)h😳😳🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫,6개월 전,0,
@لولو-ن5ث2ر,Easy a littleIt's very difficult,7개월 전,0,
@artistpainter-913,bro  your heads look good i think you ar an artist,7개월 전,0,
@Jaweetikveel,Youre an angel,7개월 전,0,
@Ali-el4gu,"I'm here in 2025, this is still fantastic",7개월 전,0,
@listenitforawhile,Does Loomis method only work for draw the side view? Can this method work for draw the face which is farward?,7개월 전,1,
@beelqz,"thank you so so much for this. i have the book, but looking at the picture of the finished drawing didn't really help as i just copied it without understanding it. watching the actual process, however, is a complete different story. i just found your channel and it really inspired me to learn, so i guess this is where i start! wish me good luck.",7개월 전,0,
@kaylxi,veronica? brother thats anna kendrick u cant fool me,8개월 전,0,
@sephrinx4958,That pencil is comically large.,8개월 전,0,
@pilgrimspromise1132,Lookin like sexy squid ward,9개월 전,0,
@hammill444,I just don’t understand how it translates to different poses and views.. it’s not intiuitive.,9개월 전,0,
@LittleArtistsStudio-d1,https://youtu.be/wAOldLWIDSM?si=-BiMsAnPRZHOxZv9,10개월 전,0,
@senga6846,@ProkoTV   Did you say that you had an even more in depth version of this? Were can I watch it?😊,10개월 전(수정됨),1,
@artsrhyme3705,Tysm,10개월 전,0,
@npkkhmerart7134,wow ! amazing :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,10개월 전,0,
@danadoddimmordino3815,"Hi Stan, could you share with me here a link to that basic video you mentioned that details the loom is. I have had many successful drawings but from photo reference. I use my projector for my base outline for composition then detailed the heck out of them all. I want to be loose, spontaneous, free in my style. To draw without reference. I love all of your videos! Thank you!",10개월 전,0,
@rogeriobilliejack1098,"Good video, i found this extremely helpful for my art; ill watch more of your tutorials and try to get better at drawing.",11개월 전,0,
@luukiwi,artist thingy to learn anatomy,5개월 전,0,
