username,comment,time,likes,reply_count
@OxfordUnion,Watch the rest of James Blunt's talk here: https://www.youtube.com/playlist?list=PLOAFgXcJkZ2xi6gtPC-ZX-PHCmieHE7Bi,6년 전,332,
@RosaFatima-m4x,Like this song you can listen 👂,8시간 전,0,
@irynak2873,"Чёрт, у него абсолютной слух! So talented and I hope very very lucky guy 💞!",2주 전,0,
@eiramn,"In 2015, I fell in love super deeply with this guy. As time passed by, I realized our relationship was becoming toxic and I decided to walk away. He sent me this song, and I remember crying while listening to it. We were both crying. Kev, if you ever come across this, I want to let you know that even years later, I'm still deeply in love with you and I haven't stopped thinking about you every single day. You were truly the one for me.",1개월 전,0,
@IreneLeclerc-lp5zu,❤❤j aime❤❤❤❤,1개월 전,0,
@sugo8920,😮,2개월 전,0,
@marialuisamorenofarina2981,Dreams...You Can do It. 🎉🎉🎉🎉🎉🎉🎉🎉🎉....Dreams.strong.....,3개월 전,0,
@marialuisamorenofarina2981,Beautiful.Amazing.🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉.,3개월 전,0,
@knockoutdoctor,Listened to this more than 100 times.... Goosebumps every time!,4개월 전,0,
@paolod5158,2025❤ still lovin it,4개월 전,0,
@simondsa1234,Imagine being there live with your cellphone in front of your face... 😢  great version.. 😊,4개월 전(수정됨),0,
@faustinaledesma3111,Mi grandes Artista  que meda elgusto de todos su canciones mui bellas❤🎉😮exitos 😮🎉,4개월 전,0,
@Heinarsson,Magic,5개월 전,0,
@bogdanst6018,What about 2025?,5개월 전,0,
@Blurnow,that's OMG,5개월 전,0,
@MichaelJones-sp3ec,"This song made me so emotional half way through, I honestly felt like he was speaking to me..... crazy that I've known this song since I was a child and now I am a 36 year old man and life has made me hear the words properly.",6개월 전,1,
@witchintraining494,I feel like she showed up to this performance.   (The one he's singing about.),6개월 전,0,
@lewandula2802,is it ever possible to watch this video without crying? even once i can´t...,7개월 전,0,
@brendaconnor8742,Beautiful!!!❤,7개월 전,0,
@lowlandlace425,Come back to this clip randomly. Always catches me at the right point in my life and means something different every time,7개월 전,0,
@albertrobinson4561,i truly love this song and this is the most emotional and genuine performance i've heard to date.,6년 전,21,
@RX-78-Kenobi,"How many years, forever it’s just has a little bit forever song. Honourable.",6년 전,2,
@coralreefrs,Feline Cat  I agree,5년 전,1,
@laucienesa5496,James ti amo muito meu amor 🇧🇷🇧🇷🇧🇷❤❤❤❤,5년 전,2,
@sir_pampam,not interested xD,5년 전,0,
@xxxx-x4,Beautiful James may God continue to bless you!  Keep going!  Enjoy your weekend too all!❤🌺🌺🌺😇🌷,5년 전,1,
@tatianaisotov9190,I think he was a little off for this interview...I didn't like how he responded to the girl who wanted him to introduce his wife...hurtful...he has something special but he was a little out of touch during this interview...and overly self-depricating...,5년 전,2,
@rockpalace9919,bhhttp://www.faithfreedom.org/Author/Sina.htm,5년 전,0,
@rockpalace9919,rghttp://www.faithfreedom.org/ffiprologue/,5년 전,0,
@ea4935,"Simona lyric, yes a nice person Your such a strong person, people can learn so much from you🙏🎓",5년 전(수정됨),0,
@davidharris9009,❤❤❤,5년 전,1,
@HowardChambers9679, @tatianaisotov9190  his privacy is his to choose. Not yours to criticise.,4년 전,2,
@scottymatlock6799,🙏🙏🙏🙏,4년 전,0,
@gillb7,U have no idea.my partner has just passed.dont know what to say.sorry to upset anyone.x,4년 전,1,
@strangerdanger1271, @gillb7  survival of the fittest bro.,4년 전,0,
@CHE113A,Thanks 🙂,4년 전,0,
@林琳-v5e,劇場人生,4년 전,0,
@youtubevideo7086,Please.. Help that James go to Korea.. just one time to sing.. I'm sure he will enjoy that and never will forget this experience.. Korean are wonderful,3년 전,0,
@margieburks4127,Love this  you are beautiful  and loving and caring and  no one can put so much love in to a song like you it's beauitful,3년 전,0,
@elga.a15,♥️❣️🤗,3년 전,0,
@corinnelarimore6114," @HowardChambers9679   He doesn't need to be rude about his chosen privacy. No one should be rude, esp to an innocent child.",2년 전,0,
@HowardChambers9679, @corinnelarimore6114  whatever.,2년 전(수정됨),0,
@Rastetah8472,Me! This man is as eternal as eternity itself! How could that audence not stand applaud and cry as we the eternal fans have done and will continue to do!❤🎉😢,8개월 전,0,
@scottnever8732,I feel he he wasted his time here. dont believe they realise how he may well have saved their lives. never mind putin will end us all,7개월 전(수정됨),0,
@faustinaledesma3111,James mefacina tu rromantico cancion ❤😮 mui vellad ❤,7개월 전,0,
@meisongdiriamroi2435,"2025, still can't stop visiting just to listen you emotional Music 🎉",8개월 전,2,
@CoreyOutside,Michael Scott,8개월 전,0,
@emilianomandrile7805,"La gente ahí como si nada, yo me muero llego estar ahí 😮",9개월 전,0,
@PortoRelojoaria,🥹👏🙏,9개월 전,0,
@faustinaledesma3111,Felis Navidad mi james🎉❤,9개월 전,0,
@deathan4266,나의 최애영상,10개월 전,0,
@slp-mu6uj,"He brings me to tears every time he performs.  I find there are so few singers who get so emotionally involved while they sing, and James is one of the rare artists that can make me feel the song.",10개월 전,0,
@RolandRevolvermann,Sowas hat die Welt noch nicht gesehen ❤,10개월 전,0,
@scottak416,Seems like he is looking for someone in the crowd all the time.. This is what kills me..,10개월 전,0,
@AshleyGeorge-m9s,This song really means something to him dont it?  its not just a song its personal as fuck. The emotion in it is unmatched.,11개월 전,0,
@ezrarutto1591,"When the talent is talented!! Much love from the sweet valleys of Elgeiyo Marakeet,Kenya.",11개월 전,0,
@baal333333333,For Jennifer & Amelia x,11개월 전,0,
@bigzap,"2024, who’s watching? 🥂",11개월 전,1,
@scottnever8732,James blunt just says how I feel and,11개월 전,0,
@FaceFcuk,"Played at my wifes funeral,  she passed away at the age of 29 years old, in front of me and our 4 children 💔 RIP 🙏 JESS , LOVE ❤️ YOU AND ALWAYS WILL .X IT BREAKS MY HEART LISTENING TO THIS , SO MANY TEARS BABY XXXXX",11개월 전,0,
@doughnut1712,Raw passion,1년 전,0,
@prajwalshinde7195,😢🥂✨,1년 전,0,
@НодираХолдарова-ъ6ю,❤❤❤❤😔😔😔😔,1년 전,0,
@lewandula2802,"oh yes, great point",7개월 전,0,
@elizarichards1722,Here ❤❤,9개월 전,0,
@faustinaledesma3111,Mui bellas cancion😮🎉❤,1년 전,1,
@faustinaledesma3111,Exitos,1년 전,1,
@faustinaledesma3111,Mi ciwlito 😮🎉❤ megusta tu vellicomas cancipn.❤,1년 전,1,
@faustinaledesma3111,Megusta mi jame😮🎉❤ exitos❤😮,1년 전,0,
