username,comment,time,likes,reply_count
@MrBeast,Subscribe and you could be flown down for one of these challenges!,4년 전,13만,
@MrBananaGaming-m3v,Anyone noticed madj form the recent video is in here,3시간 전,0,
@PheionixFury,4:03  majd? 😂,3시간 전,1,
@AcousticFresh10,The lyrics are so touching.,8시간 전,0,
@Rubbergaming-r8w,Dude Mack hasn’t won anything other then the obstacle courses,14시간 전,0,
@angelosb8,Y la segunda parte????,1일 전,0,
@comoassim9218,quero participar eu topo qualquer desafio,2일 전,0,
@Chuck-f9y,Anyone still here😂,2일 전,0,
@yassin12y,Pray for the Prophet❤,2일 전,0,
@yassin12y,صلي على النبي ❤,2일 전,1,
@chanchacartoonvideoHY,Hello,2일 전,0,
@Thakeraa,ساعدني🥹,2일 전,1,
@Qycarz,"That dude who got out because of helping the Tesla dude, is the true king",2일 전,0,
@thebigblog-j5o,Aloo gang,3일 전,0,
@Леонигран,I believe at 007,3일 전,1,
@MariaFernandaVega-dj2cp,Y la parte 2???,3일 전,0,
@ArfatHussan-g5y,😊😊😊😊,3일 전,0,
@MichaelaBörner-x3h,😮😮😮😮😮😱😱😱😱😱😱,3일 전,0,
@MichaelaBörner-x3h,😮😮😮😮😮😱😱😱😱,3일 전,0,
@DrisseJouhoune,أنا مغربي يمكينوني المشاركة,3일 전,0,
@yetzarelyrosales5763,Hi,4년 전,1.9천,
@unknown-ft7ye,ay,4년 전,809,
@JMuntz79990fc,Ah yes I love standing for DAYS,4년 전(수정됨),662,
@yes-mu4gr,I can’t subscribe again doe,4년 전,524,
@joedelira2337,Yooo,4년 전,294,
@seibaiitaaaaasu,i am subscribe,4년 전,316,
@happ3603,27 seconds ago,4년 전,235,
@vanshtandel7696,Now this is what mr.beast really is,4년 전,207,
@janis6687,hiii,4년 전,158,
@goldeniish,aight,4년 전,132,
@midomiyazack3321,XD,4년 전,117,
@Pavilonian,Well I was quite early,4년 전,94,
@jenishkeshwani5196,Make this challenges in India,4년 전,126,
@gtrrtg7074,Ok,4년 전,65,
@MAX-eh6kc,Omg mbeast pls replay,4년 전,70,
@KrishnaProYT,I am SUBSCRIBED!!!,4년 전,73,
@Fish_milk,When you think your first but then you refresh the page 😐,4년 전,79,
