video_id,channel_name,category,timestamp,comment,language,likes
8OtMq2s0TyM,ColbertLateShow,talk show,['2:16'],2:16 Look at the cat's reaction when Will explains what she is! LMAO!,en,223.0
8OtMq2s0TyM,ColbertLateShow,talk show,['6:13'],"6:13 ""Haven't you ever seen a Chicken before?"" I'm dying.",en,153.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:52'],at 2:52 the kitties reaction when he said they're just so damn delicious 😯😂😂😂,en,124.0
8OtMq2s0TyM,ColbertLateShow,talk show,['4:54'],4:54 Dat ass.,en,76.0
8OtMq2s0TyM,ColbertLateShow,talk show,['7:43'],"7:43 He Totally Improvised On The Set ""Peyton Manning""... He Made That One Up lol :)",en,75.0
8OtMq2s0TyM,ColbertLateShow,talk show,['6:04'],Did nobody else point out Cilantro's QUACK around 6:04?,en,55.0
8OtMq2s0TyM,ColbertLateShow,talk show,['3:10'],"Did yall see the Peruvian short spined Mongoose quick look at camera/ audience when Will said ""we'll have to cross it with something""? The animal's face was like, "" 'scuse me? Cross me with WHAT?!?"" (approx 3:10 mark)",en,54.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:19'],"I LOVE Mulan's reaction at 2:19! ""She's a short-spined Peruvian mongoose."" ""Bitch, WHAT?!""",en,51.0
8OtMq2s0TyM,ColbertLateShow,talk show,['3:08'],"3:08 ""Well we're gonna have to cross it with something.""   The cat's reaction haha.",en,45.0
8OtMq2s0TyM,ColbertLateShow,talk show,['4:54'],Dat ass tho. 4:54,en,15.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:18'],2:18 when the cat heard what he actually was 🤪,en,12.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:18'],"2:18 Ferrall: She's a short-spined Peruvian mongoose ""Short-spined Peruvian mongoose"" : 😳 What?",en,11.0
8OtMq2s0TyM,ColbertLateShow,talk show,['6:40'],"6:03 when Cilantro flapped her feet and quacked .....too cute.  6:40 This feels so effortless and natural but a lot of thought/ planning had to be put into this skit. I like seeing how the assistant lingers just a few seconds, waiting to make sure that WF is holding this mouse-like animal correctly. I wonder if it has a long tail and perhaps WF is holding on to it? If he lost his grip on any of these animals it would either ruin the scene or make it next level funny with ad lib.",en,10.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:16'],2:16 cat's like the fuck you just call me?,en,9.0
8OtMq2s0TyM,ColbertLateShow,talk show,['3:10'],3:10 We're gonna have to cross it with something  Cat looks to the audience for help!,en,9.0
8OtMq2s0TyM,ColbertLateShow,talk show,['3:11'],"Did anyone notice at 3:11 when Will mentioned ""cross breeding"" the cat looked at the camera like it was thinking ""HUH?!"" Lol. What great timing. 😂",en,9.0
8OtMq2s0TyM,ColbertLateShow,talk show,['1:54'],"1:54 - 3:23 Best part of the video, hands down.",en,8.0
8OtMq2s0TyM,ColbertLateShow,talk show,['2:46'],"2:46 “I didn’t know their were any mongoose in Peru.”   “No, their is just one, this one.” 😂😂",en,7.0
8OtMq2s0TyM,ColbertLateShow,talk show,['3:08'],"3:08 ""Well we're gonna have to cross it with something"" Lol the look on the kitten's face",en,6.0
8OtMq2s0TyM,ColbertLateShow,talk show,['5:47'],5:47 will almost cracks up but holds it together. Great comedy actor.,en,6.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:27'],2:27 My kind of woman.,en,95.0
imW392e6XR0,JimmyKimmelLive,entertainment,['1:52'],"1:52 don’t listen to them kit, they know nothing!!",en,89.0
imW392e6XR0,JimmyKimmelLive,entertainment,['0:51']," @chakraflow8849  0:51 Mindy Kaling. She is offended as heck, though probably not butthurt",en,54.0
imW392e6XR0,JimmyKimmelLive,entertainment,['1:13'],Oh i didn't know. 1:13 R.I.P 🙏🏾,en,52.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:27'],"2:27 ""WHAT'S WRONG WITH HAVE A DICK IN MY MOUTH!!?""",en,49.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:21'],2:21 Most unexpected reply 😱😂👍👍,en,38.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:10'],Bruh 2:10 this man just dissed Sirius black??,en,35.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:06'],2:06 she really got offended,en,32.0
imW392e6XR0,JimmyKimmelLive,entertainment,['1:51'],"1:51 Alright, who’s the clown who wrote that tweet? I’m not mad, I just wanna talk.",en,30.0
imW392e6XR0,JimmyKimmelLive,entertainment,['1:33'],1:33  NOOOOOOOOO sir dont listen to him we love you so much,en,26.0
imW392e6XR0,JimmyKimmelLive,entertainment,['2:28'],2:28 That’s gotta be the sexiest comeback from Sophia Vergara I’ve ever heard.   Wow. That was a sexy comeback.  The cherry on top is that she’s straight so it just adds to it too. I’d give her a round of applause.,en,25.0
