username,comment,time,likes,reply_count
@dwnews,"Due to the high volume of comments for this video, we are no longer able to post new contributions. Thanks for visiting DW English and for your continued interest in our programing!",7년 전,1.8천,
@sutirtharoy,12:26,1년 전,0,
@DonkeyKong_1223,How the hell they get the money for that? In my country they can't afford that high tech wheel chair... Who's giving them money for that?,1년 전,4,
@elselessons,Everyone deserves,1년 전,0,
@DollarBill2022,"We have only one Right, the right to privacy. Give your privacy away, you have zero rights.",1년 전,1,
@mohammadsulaiman5786,Sehr traurig 😭,4년 전,2,
@williamblunt9269,I dont know how I found myself here,4년 전,83,
@hendrocahyonugroho,Beautifull indeed,5년 전,5,
@jolyjok3781,Idk.........,6년 전,12,
@oujisanhikari18,I wish them nothing but happiness,6년 전,59,
@nuwinhs9023,"As much as love is concern, it gives them a reason to live. Blessed them!",6년 전,11,
@kathlynapple5810,They’re so adorable !!! Love should t have border !!!,7년 전,0,
@theneelamsheikh,"I look through the comments on this video and everyone is either all for them or really uncomfortable with it.. maybe think about how this couple may feel. Don't you think if they could have sex on their own, they would? Don't you think maybe having to ask for help during the most intimate and vulnerable time they share as a couple is probably frustrating as shit? Putting their sex life out there in the open and exposing it to the world can't be an easy thing to do either. Props to them for letting the world know that this is an actual issue that no one has really paid much attention to. They are still human and have needs. Like she said, the whole sexual desire is so taboo when it's a natural human instict.",7년 전(수정됨),60,
@MjauDuuude,"I’m suddenly very thankful for how easy it is for me and my SO to access each other’s bodies, I’ll definitely appreciate more from now on",7년 전,7,
@taragardner937,They are adorable,7년 전,2,
@0111ddd,am feeling so happy for both of them..,7년 전,0,
@caitb7089,Who can even be bothered with all this effort lmao. Maybe it’s my low libido but I just wouldn’t bother.,7년 전,26,
@SeaLevel211,Aw that's awesome bless there little hearts. They have to enjoy themselfs some how to. Just imagine being in there situations.,7년 전,0,
@shayjohnson4981,.they get more play than i ever will they lucky ash 😒😒,7년 전,7,
@crushedcranium,"This is the sweetest thing I have ever seen, and coincidentally the saddest as well 😢",7년 전,94,
@Cherrys4Me8P,I am happy for them. Everyone deserves to feel love and intimate pleasure. She is a beautiful woman.,7년 전,1,
@mistergoddess,"Hell yeah! I’m happy for them :’) ... terribly sad that the world makes it so damn difficult for them to live their lives and get these basic needs and basic human pleasures comfortably and affordably, but I’m happy they’re so open and doing their best!",7년 전(수정됨),3,
@OddballArtsLLC,Dude I'm crying this is the sweetest thing I've ever seen. And those sweet people who agree to help them be in love. I just... this takes my breath away.,7년 전,1,
@michaelladd115,The things we take for granted..,7년 전,8,
@hannahleclaire1629,Some might see this as weird but I think this is very beautiful💜,7년 전,8,
@alliemay616,I’m out here capable of having sex and I’m not 😭 what a waste,7년 전,6,
@handydog3221,And I can't even get a text. Sight,7년 전,5,
@mohamednaveeth2430,Single AF,7년 전,1,
@spencertnelson6754,I’ve stepped into THIS side of YouTube today. 💀,7년 전,856,
@AbelVarneyMcKing85,So sad to watch.,7년 전,6,
@RLaraMoore,but this iS meant to be private. And between a husband and wife only.,7년 전,13,
@lashondacoleman6908,Omg i swear i would be their assistant their relationship is so beautiful,7년 전,16,
@kaitlynm5040,Imagine she’s not talking about sex at all and the English subtitles are wrong lmao,7년 전,7천,
@anthonyc3915,I didn't watch the video...so what do they do? Just bang their wheelchairs together or something?,7년 전,7,
@pentamotivation,We normal people  some times take for granted the things we can do. more power to this couple.,7년 전,1,
@jamillahw9942,I was soooo ignorant. I didn’t know disabled people had sex or even had the urges to want sex.,7년 전(수정됨),3,
@angelangek1359,Wow!!! The things we take for granted!!!,7년 전,0,
@Munkychic7,this is amazingly beautiful,7년 전,1,
@ijustrealllylikecats,"I wish it were easier for them to find someone to assist them. There really needs to be more options for assistance with sexuality... But it doesn't even occur to a lot of people that they have needs like everyone else... They're just like every other couple, and that kind of intimacy is so important in relationships. I wish them all the best.",7년 전,39,
@z0mbi3btch88,I'm crying so hard rn omfg,7년 전,0,
@tabathahill5100,I was thinking along the same lines!,7년 전,1,
@unityvalkyrie,"Oh, where is Uncle Adolf?",7년 전,1,
@loandbehold123,SHES A FREAKKK DAMN LOL,7년 전,12,
@dejalane915,Does anyone know the language??,7년 전,0,
@yoanne7482,This making me cry... 😢,7년 전,0,
@meekomio,"This world is just full of people trying to navigate life but we all get so stuck in our own dilemmas that we forget about stories like these and humans who have more challenges but still exist on the same basic needa and desires as us and I'm so glad someone tells these stories if there were more programming regarding subject matters of lesser discussed or thought about issues, particularly surrounding more challenging lives, we could gain more perspective and better coexist.",7년 전,7,
@Hawaii9876,Sickening,7년 전,7,
@kingkupal9174,Huhu im single i want a gf pls😘,7년 전,0,
@SheWhoBelieves..,😕,7년 전,0,
@alexandramn6734,n im not disabled but dont need sex at all. manhating subdues libido😂,7년 전,1,
@ImRyll,"""Sex is part of life."" wow! Am i the only one who has a different perspective?",7년 전,117,
@kitkatz9331,It must have been difficult for them to go public about their love life and how much they want so much to express it to each other? Good for there caregivers for being so understanding of their needs & their for helping them to find love! Hats off to You! Cgr Ktz,7년 전,0,
@sashasumlar710,This started off uncomfortable for me and turned intimate and sweet. My daughter is disabled and we've often wondered how remarkable would work because normally abled men may try to take advantage of her. There is no way I'm physically assisting my daughter get some but I will definitely know about more options when the time comes.,7년 전,93,
@patricianunez4202,This is love,7년 전,0,
@belladonnafaye.7,She's gorgeous,7년 전,0,
@QurVgn,Wow.  Thank you for sharing all of this with us.  <3,7년 전,0,
@Kenyabenyalovesyou2,This it's kind of beautiful I don't want to sound weird or anything but I wish I could help them,7년 전,0,
@dillonsmalley1650,Damn,7년 전,0,
@jenniferkomondy5442,I would help him them,7년 전,0,
@danijo5632,As a mother of a disabled child I have wondered if my son will find love. It's heartbreaking to think his love life would be hindered because of it.,7년 전,695,
