username,comment,time,likes,reply_count
@Eliasdbr,"""Today, we're finding out why crack is so addictive. And for that, we're with our friend here James. He's a veteran crack enjoyer. We are giving him a kilogram and see how it turns out""",12일 전,0,
@cdracing,THE MR FOOK YOO FREAK OUT......ALCOHOLIC.,2주 전,0,
@cdracing,Mr.Fook Yoo the Alcoholic plays Parcheesi.,2주 전,0,
@kiryushabeiko1419,Bros enabling😂😂😂,1개월 전,0,
@StevenRiseNYC,Japan's biggest gaming obsession? you mean Togi's biggest gaming obsession.,1개월 전,0,
@Emrose72,"Back in the late 70's at a store called Gemco, they used to have a Pachinko machine. I wasn't one just for the nostalgia. But now I know what it really. Add one more thing to the list of things I'd like to do in Japan. Someday I'll get there.",1개월 전,0,
@jooei2810,Natsuki is a man of culture.,1개월 전,0,
@cdracing,Cigarette ALCOHOLIC MAN,1개월 전,0,
@cdracing,pa CHINK o,1개월 전,0,
@trenchfootdev,you barely explained how its played...,1개월 전,0,
@Blabla-q8c,11 Minutes without even showing the goddamn game... well done😂,2개월 전,0,
@MaizeANDBlue1957,1 Japanese Yen = 0.007 U.S. dollar (1/2 a cent),2개월 전,0,
@FryTheKiddo,Imagine dispensing 5000 pachinko balls onto your bucket then tripping and they all fall and roll every which way 🤣🤣 I’m sure that’s happened like 3 times,2개월 전,0,
@averagebugssecondchannel7320,Natsuki!  I would love to play some Pachinko with you! I love Aladdin in Nishishinjuku!,2개월 전,0,
@jeffrichardx,1500 ¥ only can buy for a bottle of drink wow😂,2개월 전,0,
@bluekewne,5:12 Ebis Cafe in Takayama is marked as permanently closed 😢  Google Street view shows a tea & curry shop.,2개월 전,1,
@Planetdune,Looks like a really dumb game...,2개월 전,0,
@CherryBlossomLass,Need a drama based on this with a lead character called “Al Pachinko”. 😉,2개월 전(수정됨),0,
@808Milligram,"I don't understand what people enjoy in slot machines and machines like this?,,, have they ever tried video games,, PlayStation? CPU games?   where you don't lose everything you have",2개월 전,0,
@DanielSong39,Wow Natsuki did extremely well I expected him to lose it all,2개월 전,0,
@haihaidekiru,TRUE,1개월 전,0,
@bluekewne,"Easy: the thrill of the risk. When playing poker or blackjack for fake money, there's no risk/no reward, but in Vegas there's absolutely a risk/reward. It's a deeper psychological issue.",2개월 전(수정됨),0,
@AlanBarratt802Vt,Just imagine if pull tickets had a animation screen,2개월 전,0,
@1one3_Racing,I put 2000¥ in a pachibko machine and pressed some buttons and some balls fell out then went back in and then it wouldn't do anything anynore. I don't know if I won or lost.,2개월 전,1,
