username,comment,time,likes,reply_count
@ProkoTV,Join the biggest online art community and learn alongside other artists by creating a free account on Proko - https://www.proko.com/signup 👈,3년 전,78,
@PushkarTiwari-l5s1t,Who's here in 2025 😅😊,1일 전,0,
@TeamToxic-u9r,Allenits here?,1일 전,1,
@moneyontheside4206,As an anatomy student for nursing   I loved this video but I wish you'd used the correct medical terminology!! This video was beautifully done it was so close to being everything I needed!,2일 전,0,
@MahmoudN-g8k,حد هنا 3 ث,2일 전,2,
@chetanakamble7694,Wonderful ❤❤❤❤❤❤❤,2일 전,0,
@edgarsanchez9882,Joints.are important wow!!🎉😊,3일 전,1,
@husnatuti7076,Cara nonton sendi tp ada bahasa Indonesia gimana ya,8일 전,0,
@badr8.k817,even as a med student this is usefull,9일 전,0,
@Foogi9000,I'll have to rewatch this later but thank you. I'm learning to draw and i was confused about the plane joint as my anatomy for artists book didn't explain it as well as you did.,13일 전,0,
@ReemMohmmed-z4b,Thank you,2주 전,0,
@anbu55079,2025,2주 전,0,
@Maineee_lifemomentos,crazy this was posted 10 yrs ago,2주 전,0,
@jade-c1u2h,is ellipsoid same as condyloid joint?,3주 전,0,
@Ashish-bk6tn,❤❤❤,3주 전,0,
@kellllbell,"For what it's worth, the very beginning about the skull bone articulations, rib articulations, and pubic bone articulations are incorrect. Sutures in the skull and costochondral joints are both Synarthroses- meaning they do not move. The pubic symphysis is an amphiarthroses which means it is slightly mobile, not immobile.",1개월 전,0,
@garrettviewegh9028,"Came back to this playlist as a refresher. Been some time since I’ve drawn. So, I came back to the basics. This videos are a great help as a visual aid, and educational.",1개월 전,0,
@halifahturahman6478,Kalau ngasih ilmu jgn setengah² dong. Tulisan yg segede gaban itu menutupi gambar gerak sendi.. Jdi yg di bagikan cuma teori  kyk di buku gda gambar sendi yg bergerak..percuma dong videonya,1개월 전,0,
@carlosriveragutierre,excelente que ahora este en  español,1개월 전,0,
@AbdullahHassanQumber,I raise my hat for this dude,2개월 전,0,
@edwardshiblee,Even my anatomy teachers in med school couldn’t make it easier than what you did here.. Thanks a lot,2개월 전,0,
@lnattcxxz,"when this video realesed i was four, now, ten years later, i'm using it to practice anatomy",2개월 전,0,
@Bakeeladevi,I am in class 6 th class only 😮  and this is very difficult for me 😔,2개월 전,0,
@arina7.09,He Teaches With Acting TO Teach You All🙂 Everyone Says Art..act... Etc  It was The Best Way For learning,2개월 전,1,
